科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"36,862,299.57","93,346,252.24","154,554,107.76","289,531,021.48","186,407,878.92","127,542,486.95","157,299,490.97","119,474,075.81","73,454,542.06"
短期借款,"101,941,342.84","124,163,748.00","100,993,000.00","70,983,000.00","73,157,800.00","102,072,800.00","96,699,800.00","193,784,147.50","365,240,382.64"
交易性金融资产,,,,,,,,,
交易性金融负债,,,,,,,,"18,970,000.00","18,767,700.00"
应收票据,"350,000.00","4,930,000.00","14,740,000.00","15,900,000.00","3,650,000.00","3,700,000.00","24,000,000.00","10,600,000.00","6,040,000.00"
应付票据,,,,,,,,,
应收账款,"118,972,742.55","169,142,609.97","165,522,905.60","189,950,374.17","187,289,068.52","195,538,197.52","247,450,065.73","292,550,066.75","303,409,459.56"
应付账款,"70,340,490.00","74,515,976.02","100,769,589.86","97,113,738.53","107,339,739.44","135,030,434.42","162,204,774.20","152,262,028.71","331,858,239.14"
预付款项,"4,543,157.04","11,344,925.40","8,078,615.21","13,946,015.36","13,767,284.37","20,432,165.33","5,056,626.14","90,803,279.14","20,260,624.04"
预收款项,"3,337,855.81","5,816,891.47","583,958.53","34,640.30","4,230,350.02","8,929,150.47","4,519,448.08","17,226,127.15","47,775,791.78"
其他应收款,"7,600,539.99","13,738,422.02","10,882,320.63","16,272,247.44","31,150,032.23","17,771,902.53","18,283,981.78","18,340,727.92","22,613,969.32"
应付职工薪酬,"10,052,131.12","9,120,523.65","12,754,515.44","1,282,766.60","1,196,331.00","1,180,465.97","15,383,997.60","1,552,332.45","3,648,975.84"
应收关联公司款,,,,,,,,,
应交税费,"10,878,899.51","21,469,789.82","13,752,719.35","7,023,539.92","4,954,505.28","4,733,921.52","13,426,636.62","3,276,910.18","10,783,682.68"
应收利息,,,,,,,,,
应付利息,"213,094.74","293,549.29","458,772.49","481,914.89","396,242.46","515,839.53","475,815.62","781,295.28","1,394,047.94"
应收股利,,,,,,,,,
应付股利,"368,000.00",,,"2,169,000.00","772,597.12",,,,"2,140,269.00"
存货,"46,374,846.86","71,938,819.61","60,843,159.06","51,973,285.53","94,224,341.74","97,973,679.60","218,767,656.37","210,697,402.22","338,990,455.94"
其他应付款,"2,644,742.44","2,470,876.30","1,975,022.53","1,480,742.96","1,065,194.24","1,285,595.38","24,189,408.86","22,736,283.78","61,373,402.02"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,"8,529,857.78","4,885,876.43","29,319,204.81","29,499,890.98","31,368,552.62","40,865,919.10","21,686,540.32","19,074,473.91","26,043,621.35"
一年内到期的非流动负债,,"1,000,000.00","11,486,538.52","11,667,788.53","27,349,038.54","27,530,288.55","62,849,787.33","62,978,152.71","96,531,713.30"
其他流动资产,,,,"2,135,495.79","6,335,715.47","6,303,676.86","14,374,231.10","16,995,086.73","48,949,216.57"
其他流动负债,,,"21,442,843.92","18,456,794.33","25,580,447.64","28,412,357.69","46,473,642.15","48,854,267.32","80,225,036.03"
流动资产合计,"223,233,443.79","369,326,905.67","443,940,313.07","609,208,330.75","554,192,873.87","510,128,027.89","706,918,592.41","778,535,112.48","839,761,888.84"
流动负债合计,"199,776,556.46","238,851,354.55","264,216,960.64","210,693,926.06","246,042,245.74","309,690,853.53","426,223,310.46","522,421,545.08","1,019,739,240.37"
可供出售金融资产,,,,,,"10,397,031.68","7,897,031.68","17,897,031.68","17,897,031.68"
长期借款,,"35,000,000.00","72,395,833.34","72,395,833.34","50,895,833.34","56,895,833.34","50,800,000.00","105,000,000.00","96,980,000.00"
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,"9,736,204.46","24,523,548.59","44,330,903.35","44,659,014.78","47,388,579.85","128,162,206.86","126,388,171.39","125,763,851.40","212,889,891.63"
长期应付款,,,,,,,"79,867,228.99","75,673,702.31","125,174,980.42"
