科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"46,846,847.80","4,259,469.44","45,948,714.16","87,164,048.44","7,868,808.39","347,654,954.60","41,356,345.42","23,534,592.92","145,315,746.09","26,182,095.23"
短期借款,,,,,,,,,,
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,,,"200,295.00",,"80,000.00","130,000.00","600,000.00",,,"500,000.00"
应付票据,,,,,,,,,,
应收账款,"16,339,272.17","19,682,848.73","20,711,012.37","18,114,260.62","21,748,591.92","23,530,460.16","28,477,549.72","21,959,054.39","29,562,316.23","29,988,885.32"
应付账款,"28,311,865.34","28,491,290.83","23,047,725.17","31,500,751.55","26,351,270.66","30,287,128.45","34,843,473.91","41,100,399.50","49,025,260.47","45,022,717.64"
预付款项,"2,928,912.58","479,647.90","197,334.26","839,532.40","715,471.14","602,814.98","4,984,340.01","2,272,616.91","3,902,655.78","2,505,425.06"
预收款项,"8,592,723.40","13,045,790.85","7,678,857.11","13,745,575.92","22,066,885.22","32,734,898.47","21,294,233.81","41,892,017.58","27,335,431.52","48,764,997.23"
其他应收款,"178,901.10","361,470.42","352,923.01","322,126.54","755,450.51","951,549.61","363,764.60","456,998.48","476,279.53","846,708.24"
应付职工薪酬,"5,644,680.15","8,530,974.35","7,095,205.11","3,496,369.55","4,120,254.96","12,368,984.60","5,179,112.07","4,987,569.53","5,241,286.52","11,647,244.48"
应收关联公司款,,,,,,,,,,
应交税费,"6,043,296.56","2,872,156.60","4,192,701.23","6,224,477.33","13,605,799.18","6,037,968.56","12,775,438.88","16,119,881.52","15,147,596.70","10,347,102.94"
应收利息,,,,,,,,,,
应付利息,,"120,088.89",,,,,,,,
应收股利,,,,,,,,,,
应付股利,,,,,,,,,,
存货,"43,676,690.53","60,101,883.74","45,513,413.56","39,615,456.23","39,706,001.83","63,979,093.75","53,862,298.42","67,301,991.20","77,975,064.95","109,448,058.27"
其他应付款,"6,097,353.80","19,340,262.42","2,416,986.66","3,088,621.38","2,654,929.66","13,742,212.90","3,549,850.68","3,278,226.51","4,125,226.80","56,536,257.55"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,
其他流动资产,"286,575.64","2,914,079.76","1,865,049.10","2,580,404.15","99,196,680.76","101,130,073.80","448,000,000.00","589,722,124.32","568,483,987.61","744,600,679.64"
其他流动负债,,,,,,,,,,
流动资产合计,"110,257,199.82","87,799,399.99","114,788,741.46","148,635,828.38","170,071,004.55","537,978,946.90","577,644,298.17","785,308,738.71","849,329,719.86","914,071,851.76"
流动负债合计,"54,689,919.25","72,400,563.94","44,431,475.28","58,055,795.73","68,799,139.68","95,171,192.98","77,642,109.35","107,378,094.64","100,874,802.01","172,318,319.84"
可供出售金融资产,,,,,,,,,,
长期借款,,,,,,,,,,
持有至到期投资,,,,,,,,,,
应付债券,,,,,,,,,,
长期应收款,,,,,,,,,,
长期应付款,,,,,,,,,,
长期股权投资,,,,,,,,,,"2,074,400.50"
专项应付款,"11,034,722.63","10,873,849.01","9,082,903.75","9,052,978.75",,,,,,
投资性房地产,"3,181,946.49","2,995,350.81","26,298,784.66","37,758,734.07","38,667,126.17","45,634,434.93","50,017,654.51","39,646,741.77","38,022,505.22","43,661,935.89"
预计负债,,,,,,,,,,
固定资产,"78,671,519.52","118,276,647.46","237,130,222.35","227,257,701.42","221,251,604.67","211,871,915.82","205,192,225.49","129,774,771.79","135,424,148.25","129,392,764.75"
递延所得税负债,,"472,871.66","701,015.16","1,089,048.91","1,295,052.73","1,338,830.83","1,506,547.44","1,424,341.60","1,493,299.98","902,589.73"
在建工程,"26,116,590.54","687,065.90","1,125,758.00","751,291.66","895,062.80","962,987.33","1,564,296.87","1,610,642.84","2,153,970.11","5,285,277.53"
其他非流动负债,,,,,,,,,,
工程物资,,,,,,,,,,
非流动负债合计,"12,169,722.63","16,692,127.77","17,040,375.09","18,151,633.38","10,116,233.22","9,051,586.09","9,120,877.47","9,020,246.40","8,990,779.55","8,241,644.07"
固定资产清理,,,,,,,,,,
负债合计,"66,859,641.88","89,092,691.71","61,471,850.37","76,207,429.11","78,915,372.90","104,222,779.07","86,762,986.82","116,398,341.04","109,865,581.56","180,559,963.91"
生产性生物资产,,,,,,,,,,
实收资本(或股本),"50,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","133,360,000.00","133,360,000.00","135,225,000.00","135,225,000.00","135,314,000.00"
油气资产,,,,,,,,,,
资本公积,"48,576,363.63","3,576,363.63","3,576,363.63","3,576,363.63","3,576,363.63","274,975,397.59","275,599,171.24","324,739,198.94","328,093,732.61","341,801,291.15"
无形资产,"15,461,611.74","15,020,828.30","23,848,049.72","23,447,294.96","31,174,450.94","31,399,629.42","31,263,714.54","35,657,964.74","35,587,592.27","35,501,813.71"
盈余公积,"10,425,980.95","21,436,806.15","30,672,729.54","37,075,661.84","42,202,962.86","45,613,987.34","45,613,987.34","57,758,991.43","64,846,718.75","68,946,624.79"
开发支出,,,,,,,,,,
减:库存股,,,,,,,,,,"52,851,560.00"
商誉,,,,,,,,,,
未分配利润,"56,849,329.25","124,121,548.35","189,033,598.39","201,501,923.79","212,491,609.34","244,138,390.52","298,132,928.08","333,417,940.63","397,198,385.52","433,948,610.33"
长期待摊费用,"1,938,431.02","404,656.51",,,,,,,,
少数股东权益,"11,831,842.94","11,439,099.35","17,592,596.36","17,733,504.86","18,191,682.84","18,822,942.41","18,769,811.27","16,989,548.35","17,008,775.77","16,751,936.95"
递延所得税资产,"893,738.87","1,330,669.52","127,297.51","147,595.86","182,005.05","227,151.38","240,322.02","189,269.82","237,913.93","2,577,710.95"
外币报表折算价差,,,,,,,,,,
其他非流动资产,"11,104,588.09","127,826,449.32","5,689,000.00","5,720,000.00","720,000.00","1,125,828.00","998,000.00","904,020.00","658,556.00","1,583,420.00"
非正常经营项目收益调整,,,,,,,,,,
非流动资产合计,"137,368,426.27","266,541,667.82","294,219,112.24","295,082,617.97","292,890,249.63","291,221,946.88","289,276,213.43","207,783,410.96","212,084,685.78","220,077,323.33"
所有者权益(或股东权益)合计,"180,765,984.21","265,248,376.10","347,536,003.33","367,511,017.24","384,045,881.28","724,978,114.71","780,157,524.78","876,693,808.63","951,548,824.08","953,589,211.18"
