科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"208,182,670.59","175,546,758.90","193,060,671.17","114,844,170.83","249,672,711.40","315,485,088.48","214,670,963.70","158,891,724.17","157,906,573.99","291,786,700.71"
短期借款,,"15,185,086.00","51,654,486.31","42,469,941.90","55,377,317.14","35,628,836.63",,,,
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,,,"7,675,000.00",,,,,,,"3,375,000.00"
应付票据,"5,941,707.00","5,653,870.00","23,246,051.00",,"1,605,403.15","8,855,570.00",,,,"6,948,320.00"
应收账款,"119,343,662.62","168,334,604.00","190,598,492.00","235,811,711.04","251,657,067.03","234,775,114.14","259,070,438.80","326,796,992.77","343,932,011.12","322,544,206.44"
应付账款,"78,985,664.41","92,546,957.20","53,182,641.54","42,065,202.12","30,903,252.97","54,575,090.98","43,826,690.43","40,347,377.92","58,174,221.84","103,655,423.70"
预付款项,"888,277.33","6,022,260.70","9,720,860.72","11,009,063.81","25,625,555.75","13,723,971.68","22,554,764.08","21,025,881.65","25,701,055.64","8,259,938.18"
预收款项,"12,172,805.85","36,732,535.87","20,849,496.28","6,852,308.34","6,127,397.29","34,044,344.95","6,461,537.07","3,894,258.19","5,021,596.56","7,367,252.73"
其他应收款,"4,365,077.63","5,889,691.31","6,811,435.08","8,569,126.35","6,282,849.83","5,115,066.02","5,961,133.02","7,483,920.37","11,208,188.76","7,794,789.86"
应付职工薪酬,"7,029,640.06","8,742,582.21","13,239,188.32","14,586,349.39","15,118,636.51","15,907,697.81","15,666,000.77","17,410,002.72","18,421,378.97","18,464,652.49"
应收关联公司款,,,,,,,,,,
应交税费,"10,361,280.88","18,993,660.72","11,450,884.34","14,082,697.10","9,747,406.76","11,411,652.64","16,482,136.39","24,763,577.42","22,762,423.23","31,442,724.51"
应收利息,,,,,,,,,,
应付利息,,"37,740.51","122,161.83","115,433.13","115,433.13","103,328.83",,,,
应收股利,,,,,,,,,,
应付股利,,,,,,,,,,
存货,"37,476,489.74","52,529,287.41","29,307,509.19","20,045,800.00","22,137,860.10","41,968,558.76","27,893,601.39","21,276,323.23","41,464,814.97","33,186,538.52"
其他应付款,"2,508,349.23","1,867,716.93","1,959,539.99","1,305,062.78","6,035,310.45","1,670,651.52","947,829.74","1,769,587.66","25,209,630.81","25,485,551.81"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,"288,235.22","316,901.88","316,901.88","316,901.88","316,901.88","316,901.88","316,901.88","316,901.88","316,901.88","316,901.88"
其他流动资产,,"5,867,041.56","337,016.95","354,126.60",457.78,"517,616.32","351,992.02","4,320,224.17","4,381,877.69","6,247,725.48"
其他流动负债,,,,,,,,,,
流动资产合计,"370,256,177.91","414,189,643.88","437,510,985.11","390,633,998.63","555,376,501.89","611,585,415.40","530,502,893.01","539,795,066.36","584,594,522.17","673,194,899.19"
流动负债合计,"117,287,682.65","180,077,051.32","176,021,351.49","121,793,896.64","125,347,059.28","162,514,075.24","83,701,096.28","88,501,705.79","129,906,153.29","193,680,827.12"
可供出售金融资产,,,,,,,,,,"1,000,000.00"
长期借款,,,,,,,,,,
持有至到期投资,,,,,,,,,,
应付债券,,,,,,,,,,
长期应收款,,,,,,,,,,
长期应付款,,,,,,,,,,
长期股权投资,,,,,,,,,,
专项应付款,,,,,,,,,,
投资性房地产,"2,052,587.15","1,870,123.19","1,687,659.23","1,596,427.25","1,550,811.26","1,505,195.27","1,459,579.28","1,413,963.29","1,368,347.30","1,322,731.05"
预计负债,,,,,,,,,,
固定资产,"18,966,238.79","16,984,254.10","14,955,792.44","13,852,992.99","13,412,957.23","13,054,391.99","12,685,478.92","12,214,825.88","11,901,401.31","12,868,828.23"
递延所得税负债,,,,,,,,,,
在建工程,,,"727,491.00",,,"92,026,015.52","92,026,015.52","92,026,015.52","92,026,015.52","89,622,829.57"
其他非流动负债,,,,,,,,,,
工程物资,,,,,,,,,,
非流动负债合计,"1,231,008.14","2,798,346.86","1,305,006.22","1,146,555.28","998,873.71","988,104.34","908,878.87","829,653.40","750,427.93","671,202.46"
固定资产清理,,,,,,,,,,
负债合计,"118,518,690.79","182,875,398.18","177,326,357.71","122,940,451.92","126,345,932.99","163,502,179.58","84,609,975.15","89,331,359.19","130,656,581.22","194,352,029.58"
生产性生物资产,,,,,,,,,,
实收资本(或股本),"67,600,000.00","67,600,000.00","67,600,000.00","67,600,000.00","90,150,000.00","90,150,000.00","90,150,000.00","90,150,000.00","91,191,500.00","91,191,500.00"
油气资产,,,,,,,,,,
资本公积,"64,331,175.57","64,331,175.57","64,331,175.57","64,331,175.57","199,256,514.42","199,256,514.42","199,256,514.42","199,256,514.42","222,471,549.42","224,707,239.03"
无形资产,"373,370.12","2,046,201.35","2,328,344.84","1,774,971.44","1,490,312.87","1,440,981.93","1,150,340.62","873,825.39","599,921.57","2,373,423.64"
盈余公积,"29,557,923.73","32,667,915.83","33,800,000.00","33,800,000.00","33,800,000.00","36,925,460.85","36,925,460.85","36,925,460.85","36,925,460.85","39,991,615.35"
开发支出,,,,,,,,,,
减:库存股,,,,,,,,,"24,256,535.00","24,256,535.00"
商誉,,,,,,,,,,
未分配利润,"155,186,593.49","177,893,410.17","205,429,819.73","212,243,702.78","215,112,788.40","236,700,724.74","233,760,616.73","237,957,965.54","240,930,400.80","263,511,881.12"
长期待摊费用,,,,"790,518.75","769,715.61","748,912.47","728,109.33","707,306.19","686,503.05","726,627.23"
少数股东权益,"3,036.44","-7,788.63","-8,325.02","-8,347.84","-11,552.03","-10,555.09","-12,566.56","-13,421.38","-13,465.86","-11,802.92"
递延所得税资产,"2,265,876.05","3,116,530.60","4,115,397.37","5,104,715.37","4,900,026.92","6,163,411.92","6,137,583.91","6,576,875.99","6,728,780.51","8,376,588.25"
外币报表折算价差,,,,,,,,,,
其他非流动资产,"41,283,170.00","87,153,358.00","87,153,358.00","87,153,358.00","87,153,358.00",,,,,
非正常经营项目收益调整,,,,,,,,,,
非流动资产合计,"64,941,242.11","111,170,467.24","110,968,042.88","110,272,983.80","109,277,181.89","114,938,909.10","114,187,107.58","113,812,812.26","113,310,969.26","116,291,027.97"
所有者权益(或股东权益)合计,"316,678,729.23","342,484,712.94","371,152,670.28","377,966,530.51","538,307,750.79","563,022,144.92","560,080,025.44","564,276,519.43","567,248,910.21","595,133,897.58"
资产总计,"435,197,420.02","525,360,111.12","548,479,027.99","500,906,982.43","664,653,683.78","726,524,324.50","644,690,000.59","653,607,878.62","697,905,491.43","789,485,927.16"
负债和所有者(或股东权益)合计,"435,197,420.02","525,360,111.12","548,479,027.99","500,906,982.43","664,653,683.78","726,524,324.50","644,690,000.59","653,607,878.62","697,905,491.43","789,485,927.16"
