科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"532,169,213.04","575,587,002.19","645,206,004.23","169,157,446.54","309,044,871.74","499,075,108.68","668,468,273.47","207,726,021.37","426,337,728.76","689,957,020.84","1,132,271,578.11","306,950,676.53","686,404,221.13","1,052,664,042.19","1,304,772,524.00","364,904,855.27","756,039,888.50","1,230,934,612.72","1,554,559,726.41","462,109,522.25","913,714,528.54","1,502,279,472.66","1,027,369,058.77","387,117,521.55","946,199,301.68","1,296,576,607.26","1,898,840,243.29","726,644,058.93","1,633,598,266.45","2,218,038,278.86","981,952,443.18","498,113,241.94"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"36,970,177.36","46,970,177.36",,,,,,,"10,000,000.00","-698,239.45",,,,,,"-11,528,203.64","29,606,696.36","487,320,178.86",,,,,
收到的税费返还,,,,,,,,,,,,,,,"704,351.30",,,,"110,782.15",,"1,305,449.62","1,305,449.62","1,305,449.62","1,062,901.36","1,062,901.36","1,062,901.36","2,603,475.67",,"780,273.58","4,391,058.71","11,758,586.40","4,533,960.33"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,"133,556,000.00",,,,,,,,,,
收到其他与经营活动有关的现金,"28,566,460.91","14,934,511.94","12,119,843.60","954,517.63","3,287,645.81","4,209,458.01","6,417,127.20","1,503,359.40","2,389,530.99","12,634,056.15","83,528,521.16","59,058,350.10","92,634,896.77","110,360,162.53","49,369,726.49","50,790,136.82","81,569,814.26","94,962,375.47","86,107,266.92","68,358,390.15","78,842,840.05","84,081,761.43","85,115,849.49","67,048,511.95","58,332,528.09","69,065,992.48","96,496,743.67","93,450,909.01","409,524,366.79","710,386,940.07","147,470,390.80","283,199,951.61"
投资活动现金流出小计,"24,142,710.74","30,678,281.52","22,861,655.70","243,424.63","1,663,061.82","48,003,799.61","105,218,138.28","27,218,720.00","46,897,280.00","114,266,636.36","139,241,801.31","99,014,330.75","131,026,225.14","197,630,741.28","222,971,097.00","20,678,766.64","62,792,077.33","93,343,454.56","127,558,561.59","12,091,676.96","31,395,959.53","194,856,890.56","442,324,752.59","48,480,819.22","108,984,488.64","165,034,922.97","692,794,408.30","14,291,221.13","80,619,815.83","119,312,643.63","89,232,529.08","14,656,448.54"
经营活动现金流入小计,"560,735,673.95","590,521,514.13","657,325,847.83","170,111,964.17","312,332,517.55","503,284,566.69","674,885,400.67","209,229,380.77","428,727,259.75","702,591,076.99","1,215,800,099.27","366,009,026.63","779,039,117.90","1,163,024,204.72","1,354,846,601.79","415,694,992.09","837,609,702.76","1,325,896,988.19","1,640,777,775.48","530,467,912.40","993,862,818.21","1,587,666,683.71","1,113,790,357.88","455,228,934.86","1,005,594,731.13","1,366,705,501.10","1,997,940,462.63","820,094,967.94","2,043,902,906.82","2,932,816,277.64","1,141,181,420.38","785,847,153.88"
投资活动产生的现金流量净额,"-23,576,335.74","-30,557,925.27","-22,748,176.95","603,883.37","-815,753.82","-47,156,491.61","-104,349,199.55","-25,916,142.80","-45,594,702.80","-112,964,059.16","-133,429,224.11","-97,376,484.35","-129,388,378.74","-195,992,894.88","-221,114,224.54","-19,653,266.07","-61,765,015.12","-92,312,792.35","-116,719,648.94","-12,091,676.96","-21,670,755.65","-185,131,569.75","-84,498,414.07","41,859.77","-60,456,151.42","-116,424,817.96","-644,185,177.08","-6,291,221.13","-72,385,156.98","-107,917,984.78","-80,270,832.95","17,712,891.46"
购买商品、接受劳务支付的现金,"470,493,678.95","454,310,970.27","622,293,042.85","151,888,726.24","278,336,240.37","407,701,588.09","501,407,356.75","221,926,196.90","420,217,673.00","657,919,875.71","1,014,844,937.58","285,894,943.95","573,541,356.04","829,096,339.61","1,093,158,761.50","354,331,903.43","734,043,672.08","1,033,736,505.06","1,368,498,602.37","614,841,655.49","1,176,739,201.93","1,405,496,034.19","885,426,892.06","610,576,783.44","830,896,429.17","1,083,012,846.16","1,668,047,881.18","620,394,337.69","1,437,306,226.80","2,198,046,791.20","740,598,904.43","600,523,709.66"
吸收投资收到的现金,"25,000,340.56",,,,"319,400,000.00","319,400,000.00","319,400,000.00",,,,,,,,,,,,,"594,339,619.48","641,631,996.84","641,631,996.84","639,871,996.84",,,,,,,"1,290,779,272.10",,
