科目,2007-06-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"24,899,892.02","81,950,431.42","293,047,944.66","148,162,838.50","238,614,771.39","299,646,500.00","265,368,080.44","775,845,228.99","1,069,734,467.44","1,588,204,349.35","2,312,679,584.02","2,074,402,005.70","1,679,778,027.08","1,984,664,542.95","2,689,146,549.43","2,893,114,575.00","3,778,617,502.09","3,629,444,763.35","3,475,470,689.32","3,694,710,758.91","3,878,164,496.50","4,686,550,200.38","6,204,136,974.40","7,351,973,059.07","7,085,803,167.28","6,899,649,496.46","9,601,377,320.46","13,805,880,311.75","13,712,064,835.28","10,543,677,636.82","9,502,265,329.27","7,692,667,592.04","9,900,360,498.62","11,366,998,930.64","9,513,668,849.11","9,236,115,073.20","6,515,788,192.91","6,248,283,937.12","6,772,325,890.83","6,990,755,240.22","6,169,043,930.19"
短期借款,"117,647,326.18","170,066,613.60","198,320,448.39","138,021,025.73","358,633,786.40","309,942,979.61","328,796,214.37","953,716,902.89","1,113,093,514.23","1,608,846,887.92","2,317,308,584.68","2,019,399,033.48","1,943,473,495.84","2,065,830,890.91","1,886,492,520.57","1,979,657,627.48","2,697,209,394.67","3,090,909,647.44","2,413,745,004.18","2,206,599,381.26","2,771,171,921.26","2,843,204,632.89","3,993,668,108.10","4,601,054,149.36","4,698,943,700.87","4,770,502,556.79","6,793,098,625.83","9,553,697,321.08","9,484,451,732.45","8,497,377,391.75","6,034,530,050.54","2,739,587,020.19","2,597,949,494.99","3,542,463,297.98","2,364,024,184.79","1,737,570,740.75","1,720,693,477.60","1,218,412,279.25","2,480,525,294.24","2,795,965,137.36","3,115,934,242.58"
交易性金融资产,,,,,,"565,844.97",,"2,731,291.50","3,581,147.63","5,821,511.80","5,436,947.69","7,451,120.52","6,044,299.16",,,"5,923,986.47","4,736,564.78",,"546,381.85","143,611.35",,"369,889.51","1,465,801.08","2,286,366.70","2,304,851.73",,"26,306,279.58","6,752,589.78","15,743,765.21","6,690,343.97","1,469,367.80","8,314,175.32","3,379,818.31","34,694,132.45","45,194,862.04","23,091,188.89","9,707,481.11","62,577,856.79","83,121,253.18","95,603,799.48","131,251,662.72"
交易性金融负债,,,,,,"212,287.78",,,,"2,798,058.44",,"1,941,314.83","1,292,697.79","8,741,964.05","1,678,534.92","1,506,026.21","7,366,973.93","41,465,933.49","36,482,658.33","37,757,633.93","38,642,876.03","4,926,164.29","4,527,234.55","15,352,827.55","14,610,407.50","18,098,401.69","351,017.69",,"4,488,572.82","21,077,319.06","3,399,926.25","264,629.46","24,471,065.00","57,353,956.85","50,948,497.83","71,438,655.71","3,959,569.19","3,053,366.61",,,"3,726,372.55"
应收票据,,,,,,,,,,"43,400,000.00","500,000.00",,,"13,809,237.00","37,848,029.99","60,756,862.23","60,737,642.58","184,597,011.00","471,646,298.27","221,183,466.00","65,622,000.00","359,403,281.33","743,655,008.77","192,294,719.55","472,435,968.70","729,313,808.54","270,771,343.83","330,019,654.73","110,526,763.57","108,893,625.22","72,133,187.60","18,140,000.00","15,034,517.51","1,096,043,000.00","3,000,000.00","300,000.00",,"4,796,323.00","8,820,000.00","35,255,944.12","36,000,000.00"
应付票据,,"11,720,478.23","31,488,918.13","53,585,367.58","92,216,588.77","106,020,903.46","97,660,632.22","71,793,976.08","258,487,905.62","471,644,839.60","504,643,663.43","655,044,009.52","717,273,950.45","1,497,004,235.72","2,488,351,757.97","2,964,437,847.90","3,651,406,169.39","3,125,240,810.27","4,169,589,168.02","4,280,702,454.44","3,571,925,040.84","5,013,300,596.00","5,828,052,207.17","6,551,807,106.60","6,880,613,847.77","6,216,944,360.40","7,343,880,029.91","7,863,742,576.01","9,034,353,718.99","6,890,676,996.10","9,214,554,997.14","11,523,789,478.60","13,214,735,384.59","12,986,245,430.37","13,093,680,833.77","13,324,354,720.05","10,458,384,233.67","9,304,461,935.31","10,436,022,356.34","10,618,368,055.25","10,220,208,699.74"
应收账款,"96,154,657.04","153,213,572.49","140,711,884.70","156,097,783.95","252,786,561.37","241,794,220.17","186,692,668.04","374,763,273.84","349,340,958.30","283,750,116.88","208,308,241.46","275,438,761.94","382,624,214.01","973,188,886.14","456,530,500.88","522,782,139.58","506,935,003.17","1,338,420,971.29","1,260,742,427.08","1,007,187,337.67","1,110,352,646.45","1,190,421,650.80","1,110,093,950.79","583,738,793.78","667,651,155.71","923,548,157.59","884,256,921.74","842,738,757.40","990,209,993.50","1,302,437,496.62","1,305,461,754.92","1,157,894,939.46","1,879,409,458.19","1,996,527,911.55","2,585,602,381.26","2,716,316,898.79","2,894,498,778.87","3,004,763,299.53","3,010,773,855.62","2,478,836,194.57","2,435,400,400.97"
应付账款,"15,035,753.37","17,756,394.01","53,205,441.37","16,429,368.65","82,650,643.37","30,923,926.10","12,563,714.58","61,220,603.58","54,401,596.24","169,199,644.29","145,474,559.33","68,260,161.95","49,229,602.47","375,119,912.44","152,635,159.10","124,504,627.96","126,260,900.01","261,499,525.11","198,942,167.86","90,684,214.14","170,360,394.42","628,077,590.56","237,160,789.78","375,873,145.04","244,068,068.53","588,389,276.41","756,266,741.52","176,082,277.90","132,600,548.84","203,521,648.50","292,093,206.77","39,658,157.54","311,421,409.99","279,405,477.61","695,729,852.78","282,108,608.63","929,428,953.41","473,962,010.16","294,166,458.23","278,361,068.66","279,101,783.39"
预付款项,"45,010,985.52","73,611,223.63","134,361,718.58","30,893,776.95","162,262,006.69","244,645,737.16","216,764,743.27","143,634,256.41","155,173,488.52","509,220,406.76","595,195,861.43","412,425,461.46","808,444,181.48","1,059,970,612.14","1,454,279,507.60","1,357,271,243.34","1,784,505,875.70","1,416,365,707.42","1,959,575,777.02","1,891,192,880.05","1,727,769,339.41","2,605,963,834.98","2,613,925,771.67","3,954,928,277.42","4,306,709,290.51","3,228,985,458.34","4,275,112,378.93","2,930,299,104.43","4,427,235,003.58","4,043,633,733.05","5,230,383,886.00","6,412,200,474.94","7,346,122,226.50","5,025,215,854.22","7,005,927,571.66","6,559,115,958.76","7,498,698,065.21","6,032,211,418.18","6,340,560,963.94","7,231,396,940.91","7,769,416,249.29"
预收款项,"19,154,171.08","39,571,866.08","56,108,069.01","13,038,838.74","104,638,768.56","191,271,049.01","129,316,226.96","97,331,220.48","50,248,069.52","99,399,296.90","49,864,593.93","58,766,953.69","124,073,327.38","63,392,569.88","128,007,370.08","128,838,119.21","159,679,056.81","288,795,225.20","371,313,888.87","405,797,501.09","254,969,917.27","419,628,917.92","445,269,448.86","543,444,043.22","504,209,902.37","251,098,962.09","248,875,500.99","250,841,184.10","429,511,205.95","373,084,477.72","360,048,672.95","725,150,685.94","807,315,982.73","343,103,935.11","962,525,956.78","548,928,427.89","937,744,633.50","1,505,251,740.28","327,190,267.60","322,804,657.54","358,244,853.93"
其他应收款,"10,144,931.67","33,376,946.94","49,019,623.93","70,871,553.74","150,023,146.22","137,524,162.68","162,053,221.21","185,715,241.62","216,136,153.80","193,821,398.93","174,299,751.66","309,359,747.72","225,936,200.08","280,460,947.49","304,821,065.91","622,778,780.30","707,716,223.51","281,501,760.20","303,535,113.02","258,990,058.81","193,166,511.46","708,668,311.43","426,429,736.07","222,076,620.68","61,218,287.74","544,987,043.85","565,037,561.83","326,834,971.48","338,569,505.27","341,833,170.38","289,402,373.78","305,093,521.80","296,566,964.09","374,596,024.37","430,418,484.66","125,876,733.55","82,730,047.93","285,660,859.19","392,804,293.78","266,990,823.92","209,539,850.06"
应付职工薪酬,"978,242.92","823,204.14","980,001.34","1,124,989.28","1,293,555.80","1,771,054.12","1,440,662.66","1,744,435.27","1,484,808.28","2,246,221.06","1,678,655.35","1,749,140.47","1,547,257.34","2,386,379.87","2,390,266.22","2,256,190.81","2,054,520.52","2,605,863.31","1,798,804.74","1,930,245.31","1,828,528.56","2,505,838.55","1,775,217.61","1,773,060.45","1,778,080.77","2,487,512.76","1,657,057.92","1,742,730.54","1,823,717.17","3,232,462.94","1,994,783.24","2,124,707.45","4,292,749.46","7,454,739.78","5,241,861.96","5,011,118.56","5,217,565.97","10,176,913.43","6,065,076.32","6,828,719.13","7,338,197.08"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"2,235,605.42","-1,926,512.03","-35,381,293.32","-55,504,425.18","-75,148,489.40","-32,264,581.76","-22,480,935.96","-10,348,948.18","-7,297,403.12","-1,121,365.26","-5,665,600.11","2,095,349.29","7,598,660.73","23,356,365.97","34,541,327.69","17,630,067.17","-28,067,153.32","65,732,290.65","74,066,952.06","26,487,622.83","52,985,059.59","47,907,727.49","7,963,117.43","-2,929,521.44","16,267,992.18","41,508,535.45","41,404,768.50","28,556,548.70","37,338,908.24","40,969,005.45","41,800,243.46","20,374,616.77","30,397,617.75","44,480,042.83","50,374,018.63","26,750,566.47","39,755,829.47","37,627,200.44","62,118,504.87","28,819,025.03","51,128,740.66"
