科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"330,219,475.98","345,020,927.14","219,797,302.71","1,789,033,087.19","1,117,983,490.76","865,001,215.09","873,603,865.81","824,564,383.21","1,342,133,099.91","1,438,088,604.88","1,275,308,535.28","1,343,570,628.29","1,260,682,438.72","1,424,957,572.05","1,221,032,754.07","1,159,754,971.82","1,505,232,168.78","1,475,712,181.89","1,197,784,732.41","1,548,657,581.04","1,118,398,917.98","1,333,458,616.68","1,509,731,952.51","2,909,627,952.10","2,321,380,100.02","2,184,329,620.64","2,085,923,027.97","1,955,898,864.58","2,811,760,752.84","3,977,530,889.13","2,982,521,862.53","2,735,710,104.94","2,507,031,638.18"
短期借款,,,"100,000,000.00","100,000,000.00","100,000,000.00",,,"150,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","225,000,000.00","505,000,000.00","770,000,000.00","820,000,000.00","789,232,901.04","699,000,000.00","450,000,000.00","200,000,000.00",,,,,,,,,,,"87,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"282,600.00",
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"33,559,591.46","38,609,300.00","22,141,255.54","32,847,747.93","31,883,889.99","7,934,889.99","42,160,000.00","72,935,435.82","103,247,082.82","96,219,600.00","93,220,600.00","53,027,038.00","57,668,874.15","70,569,005.67","68,370,349.20","97,700,858.01","147,604,832.44","71,406,513.00","141,337,531.20","181,490,000.00","255,224,347.30","191,713,334.75","346,577,034.96","516,438,813.03","643,385,481.70","605,681,331.50","771,374,911.08","824,104,417.88","1,003,692,491.98","862,400,828.25","816,608,282.33","964,348,121.47","1,014,356,506.35"
应付票据,,,,,,,,,"134,330,000.00","262,257,400.00","184,582,000.00",,,,"1,000,000.00",,,"149,000,000.00","196,700,000.00","275,200,000.00","354,500,000.00","350,500,000.00","40,000,000.00",,,,,"77,000,000.00","77,000,000.00",,,,
应收账款,"39,237,800.05","64,866,659.30","50,056,548.82","84,086,303.40","71,311,524.64","71,544,003.19","99,166,569.39","107,811,462.05","102,003,100.54","74,527,574.74","115,811,005.90","132,235,705.05","138,171,740.78","133,038,089.59","177,713,505.66","207,320,892.67","259,319,558.45","140,299,466.85","234,404,178.97","258,867,871.40","319,721,064.20","362,711,528.94","378,088,124.04","449,577,416.59","498,948,393.45","680,375,120.69","706,037,118.74","782,261,417.85","757,313,772.32","770,793,686.70","810,483,250.03","722,410,304.39","688,747,919.43"
应付账款,"251,673,450.65","408,199,118.47","386,474,762.11","485,956,881.11","376,076,909.52","292,650,927.48","321,054,459.02","402,919,243.40","1,393,315,997.49","1,475,255,363.88","1,376,393,148.05","1,346,182,595.81","1,258,690,088.77","1,450,764,762.53","1,280,261,741.87","1,094,418,287.17","1,103,140,750.80","1,381,809,952.55","1,194,788,375.04","1,361,902,236.52","1,869,992,040.80","1,966,887,439.57","1,769,313,700.34","2,329,991,193.07","2,327,492,989.72","2,129,756,802.31","2,034,702,742.90","1,809,687,821.17","1,872,022,884.19","1,662,359,270.39","1,606,771,274.59","1,528,373,176.35","1,593,997,308.79"
预付款项,"199,680,938.65","52,491,345.46","196,325,791.56","102,016,012.96","135,639,837.49","38,841,731.80","126,198,578.45","97,845,278.83","225,476,196.30","138,263,609.28","254,433,219.59","260,453,571.22","333,851,580.61","149,667,795.51","222,145,859.81","227,140,195.60","308,089,955.63","278,389,275.95","252,357,980.03","295,899,786.20","467,934,658.51","162,732,518.14","55,635,661.37","82,726,690.54","54,302,538.13","75,683,307.03","95,578,059.53","270,741,527.24","196,385,915.22","26,876,439.72","91,318,719.12","61,130,505.86","88,298,664.82"
预收款项,"74,147,953.88","61,913,565.31","158,007,501.63","146,335,417.35","188,126,468.03","92,315,306.73","132,290,129.02","149,915,402.00","225,334,498.11","202,114,719.40","285,999,889.48","305,484,787.90","305,709,186.68","262,327,114.90","287,220,797.51","354,606,084.86","379,409,642.19","388,801,789.31","289,356,246.80","242,022,130.55","382,843,737.80","337,749,381.33","252,351,036.43","230,028,743.40","194,908,783.48","226,637,229.62","239,002,842.14","345,941,915.03","399,864,940.77","188,844,632.77","131,357,560.55","142,019,109.70","220,257,083.78"
