科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"60,700,159.11","283,123,735.30","790,557,791.21","111,257,792.05","439,505,731.66","674,332,666.03","1,085,066,494.17","164,025,320.32","402,646,412.56","647,663,653.14","1,315,833,553.76","106,769,169.44","424,731,342.18","719,535,956.15","1,541,067,097.06","202,376,956.38","546,223,750.37","791,867,616.82","1,385,123,076.53","177,903,563.71","528,478,969.04","863,114,964.11","1,387,240,444.19","168,932,845.67","436,434,505.49","700,921,398.24","1,340,409,714.62","157,002,381.66","483,570,224.23","780,530,024.97","1,387,636,618.07","192,932,953.67","486,238,471.95","761,182,633.12","1,388,992,143.27","170,735,297.45","372,351,842.76","602,838,863.12","1,269,874,504.37","263,158,817.28","575,438,090.00","899,717,312.00","1,712,208,976.17","223,492,661.52","582,495,313.20"
二、营业利润,"869,232.89","12,827,203.29","37,836,725.01","215,970.44","35,426,329.18","52,965,524.74","59,351,225.07","1,694,581.71","27,756,506.14","57,215,925.06","78,135,272.63","-498,897.06","32,956,711.04","63,620,254.57","95,257,064.22","1,542,951.45","32,485,944.36","57,547,632.70","34,864,052.19","-3,082,693.07","31,063,056.38","67,275,098.73","28,566,305.16","-1,592,036.20","-3,221,973.06","-6,121,250.75","-17,447,927.10","-899,593.55","-5,198,010.96","-8,262,652.16","-14,385,919.28","2,475,739.26","3,470,685.09","-7,985,077.80","24,351,299.80","348,580.97","-1,239,329.43","-2,032,571.69","1,280,456.96","449,520.61","7,709,541.61","22,633,771.81","71,242,486.59","5,651,916.02","26,541,315.33"
减:营业成本,"47,278,763.81","243,292,172.24","672,306,349.05","86,734,547.57","355,254,776.25","551,554,303.94","929,208,093.24","140,209,149.84","335,193,797.09","517,683,691.23","1,126,452,607.87","83,067,961.40","352,297,708.14","595,453,674.88","1,341,974,163.80","174,022,350.55","450,638,176.22","632,630,990.56","1,187,527,819.40","135,989,606.66","417,308,594.41","676,699,306.06","1,176,156,153.13","134,836,348.78","358,892,495.76","578,986,270.24","1,114,984,987.27","118,014,508.12","392,113,994.16","635,739,036.00","1,162,694,666.23","157,575,552.81","396,807,504.38","626,411,559.68","1,094,708,153.21","136,581,242.66","297,476,673.44","483,940,136.47","1,030,217,116.21","230,767,426.36","500,894,205.21","773,763,924.55","1,462,790,952.57","181,815,606.59","487,528,684.08"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"256,436.36","1,063,162.18","4,231,772.32","403,207.79","1,620,545.65","2,334,181.68","5,481,559.85","334,353.03","1,175,109.63","2,525,153.80","6,575,497.04","389,600.84","2,554,819.81","4,219,291.94","8,680,588.37","1,143,085.52","3,179,602.85","5,485,537.83","13,393,185.26","3,126,458.88","5,324,734.55","8,482,240.65","19,700,912.36","1,512,111.45","6,747,780.03","7,886,026.84","11,019,325.35","488,306.20","1,217,711.71","1,896,267.17","5,092,734.90","644,362.29","1,379,092.87","2,882,005.82","5,509,268.58","575,316.81","1,186,994.95","1,572,656.18","10,790,003.70","3,656,722.37","5,593,037.65","10,108,515.03","14,473,745.09","2,121,417.04","3,918,099.95"
营业外收入,"5,000.00","774,479.45","15,227,454.87","2,697,671.49","2,789,808.23","5,009,573.18","10,506,699.77","1,202,673.67","3,101,891.88","4,318,791.88","7,826,560.43","2,636,198.29","2,439,198.29","6,870,198.29","8,687,295.14","1,097,898.93","6,127,211.38","16,395,457.16","29,877,879.16","3,905,250.00","6,152,426.01","7,818,243.52","15,346,491.00","4,693,512.99","6,019,971.48","9,176,860.56","18,995,596.45","3,013,729.59","8,033,372.04","13,446,000.57","19,394,373.68","1,387,797.81","2,577,141.47","3,963,194.59","24,890,417.47","1,998,891.16","5,317,555.12","7,557,742.88","52,262,519.90","2,826,179.23","6,186,577.42","9,172,984.17","618,563.39","3,394.00","41,190.52"
销售费用,"1,279,692.06","2,008,073.91","4,343,162.41","1,049,219.76","2,571,117.54","5,194,559.24","6,495,239.86","1,331,996.67","2,923,384.55","4,381,761.25","6,093,792.94","818,078.84","2,797,915.29","5,021,180.93","7,404,357.14","1,780,396.90","4,301,985.69","6,601,752.66","8,303,393.71","1,317,174.40","3,303,479.86","6,264,755.15","9,580,586.38","2,341,307.06","4,998,694.31","8,258,211.60","11,843,238.57","2,977,722.51","5,631,043.77","8,529,501.18","12,938,512.88","2,525,335.18","5,073,815.87","7,286,767.64","12,785,614.50","2,943,523.94","5,983,397.67","9,068,632.11","15,725,555.93","4,108,664.97","7,189,014.23","10,273,670.14","16,111,423.92","4,548,154.72","9,154,417.79"
减:营业外支出,"16,949.05","82,142.00","2,759,450.04",,"218,502.63","231,247.13","3,051,452.46","26,059.30","311,862.33","642,228.62","1,457,542.72","57,665.95","132,838.80","193,551.58","225,288.58","3,001.00","79,960.47","107,335.54","404,995.49","11,223.76","22,550.41","139,428.38","204,854.94","2,632,172.40","221,198.38","384,513.02","478,045.93","1,441,702.41","1,458,986.20","1,513,397.73","1,546,119.47","16,866.07","68,419.29","71,909.29","38,269,008.83","55,175.25","125,725.64","428,623.10","302,368.75","491,322.61","957,822.52","1,055,768.29","2,774,498.34","30,649.83","49,719.24"
管理费用,"10,638,733.81","21,354,754.08","66,787,280.51","20,847,025.13","41,301,454.32","56,372,181.29","78,409,673.93","20,729,519.82","35,325,896.54","63,251,480.15","94,710,869.28","22,385,828.66","32,376,258.72","49,207,477.65","86,826,483.71","21,974,768.42","51,184,482.02","83,314,973.94","131,937,919.26","40,365,230.64","69,047,780.86","102,560,633.41","147,913,408.33","30,440,008.43","65,730,319.35","105,321,980.01","204,199,050.42","37,138,729.59","89,920,969.96","142,292,507.15","194,359,658.35","30,778,418.94","79,816,406.05","133,074,626.91","219,519,515.77","30,886,419.67","70,353,325.23","112,546,322.05","168,781,893.98","30,117,604.87","61,480,090.06","91,969,820.13","155,522,825.38","31,455,056.16","62,029,899.00"
其中:非流动资产处置净损失,,"22,013.35","1,093,336.39",,"18,502.63","30,667.13","75,152.44","4,826.63",,"504,180.61","822,348.44","57,665.95","88,491.44","110,713.67","153,938.19",,"76,359.47","101,116.56","398,502.70","11,223.76","22,550.41","139,428.38","204,354.94","2,632,172.40","62,305.60","165,620.24","244,380.10","1,441,702.41","1,443,468.88","1,443,468.88","1,530,460.95","16,743.25","49,667.31","53,157.31","616,286.13",,"100,771.88","180,737.82","205,931.89","385,534.86","543,202.97","641,148.74",,,
