科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"70,564,584.52","155,276,101.72","77,075,684.42","192,457,928.86","129,971,317.85","208,481,054.79","297,134,379.58","70,510,389.67","182,307,437.36","276,700,055.73","376,907,978.96","92,781,913.49","193,304,686.01","275,291,043.63","376,268,819.77","123,747,073.94","222,232,633.35","337,146,759.45","479,500,570.96","100,601,213.54","198,918,919.08","326,321,851.99","426,368,263.47","88,041,542.15","221,267,754.66","412,337,136.79","614,470,376.98","196,571,530.46","458,339,249.93","841,786,437.04","1,149,632,814.10","267,960,807.53","574,312,474.97","871,697,175.06","1,130,287,914.02","222,934,402.21"
二、营业利润,"21,799,136.60","61,835,395.18","33,215,720.27","87,357,387.93","64,008,602.01","102,958,366.54","141,237,320.19","38,287,818.02","98,754,766.25","148,623,669.99","186,800,513.10","34,169,988.22","67,074,091.90","91,067,074.18","106,721,543.57","25,132,602.04","52,333,904.59","81,069,651.37","108,420,176.48","16,453,523.59","49,282,303.94","65,805,575.95","52,410,065.44","4,426,941.43","23,905,082.64","22,247,164.21","-122,954,735.95","-6,122,243.10","-20,163,733.68","4,112,627.58","13,598,046.68","40,684,515.14","97,848,849.59","152,675,123.97","252,848,931.57","56,497,814.25"
减:营业成本,"36,002,923.11","67,325,709.83","33,305,369.54","79,010,578.25","50,145,286.63","78,521,560.26","115,158,692.32","25,133,698.01","66,198,687.21","102,930,662.33","150,834,317.34","51,172,645.76","110,172,529.59","158,973,346.01","218,940,421.87","87,053,589.31","145,958,856.99","216,692,728.13","293,550,024.33","69,233,654.09","117,412,275.49","203,441,421.57","261,630,800.09","61,783,018.11","148,903,612.22","306,474,493.94","492,528,825.46","175,517,040.45","404,244,609.44","712,888,906.29","899,641,649.99","184,287,416.16","372,807,983.64","554,499,851.50","713,160,049.58","141,969,174.12"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"288,263.55","318,618.93","97,738.73","233,790.56","1,248,397.70","1,833,599.23","2,348,892.36","515,754.52","1,349,281.23","1,702,837.31","2,128,477.90","554,789.40","1,020,218.11","1,343,614.39","1,511,771.58","247,786.82","552,354.44","818,963.01","1,505,596.10","628,976.99","1,411,207.32","1,977,009.19","2,407,220.91","3,579.70","757,246.74","1,294,558.36","3,213,048.51","488,138.97","1,023,033.04","1,598,376.51","6,217,287.51","2,343,484.47","4,307,560.69","6,781,988.77","9,466,278.11","984,693.03"
营业外收入,"307,928.68","2,269,817.24","2,839,716.60","10,611,015.24","8,174,619.11","12,601,207.21","27,217,324.68","3,292,477.16","7,462,218.47","12,163,697.11","24,186,474.32","3,999,654.63","7,431,971.75","11,107,786.03","20,914,089.90","2,403,574.23","6,862,171.80","9,823,657.47","16,781,651.83","3,172,902.71","5,668,404.05","9,680,016.66","15,995,908.21","2,953,681.86","5,517,977.70","10,962,804.56","15,425,901.93","7,942,251.50","17,061,864.80","26,557,064.27","45,581,522.36","8,342,262.13","23,864,365.54","39,076,750.12","2,284,829.66","8,000.02"
销售费用,"723,015.07","1,411,652.53","760,092.28","2,404,026.52","1,786,476.63","2,867,856.97","4,177,408.17","1,268,726.95","2,704,935.26","3,857,802.11","5,201,930.77","1,131,032.07","2,717,433.59","4,673,133.39","7,459,595.07","1,602,737.47","3,558,729.70","5,710,500.75","8,496,994.72","2,411,677.41","4,955,807.38","7,685,737.36","11,503,753.34","2,901,791.25","5,348,085.76","8,503,199.25","14,047,529.45","4,051,623.51","8,625,767.57","12,946,888.69","19,312,968.20","4,529,786.35","9,973,202.25","14,498,347.01","19,478,375.89","5,216,109.13"
减:营业外支出,"26,298.50","27,943.27",150.00,"2,759.28","104,582.55","105,232.55","3,451,530.62",,"22,775.32","49,979.60","1,833,185.19","49,122.56","49,122.56","86,220.56","379,735.30",,13.00,"59,336.60","224,194.93","34,927.93","465,045.89","664,080.93","1,731,795.19","38,058.93","139,217.13","157,700.85","640,809.85","2,284.79","776,010.08","1,550,207.36","4,447,980.65","149,054.87","765,844.62","1,314,608.31","3,002,544.67","2,441,592.42"
管理费用,"5,818,230.86","14,717,544.89","9,243,529.30","20,629,487.97","10,077,990.39","18,113,794.18","34,755,243.99","9,425,339.72","20,882,372.33","31,940,682.03","44,991,824.77","8,639,587.58","18,742,795.58","29,274,700.73","44,433,334.54","12,993,639.71","27,374,044.78","43,369,839.52","64,754,963.41","15,406,089.99","33,501,418.55","55,759,745.73","83,624,025.25","20,273,659.54","42,872,288.33","70,566,445.74","126,500,205.86","26,308,872.45","60,456,474.74","91,101,962.57","124,395,860.03","27,557,704.15","77,566,164.39","120,838,584.82","167,619,696.75","42,601,994.27"
其中:非流动资产处置净损失,,,,,,,"39,605.95",,,,"29,712.70",,"19,922.56",,"28,947.06",,,,"42,790.71",,"459,506.37","652,647.39","1,722,843.76","37,886.36","53,574.84","-67,638.31","412,275.86",844.14,"348,858.68","1,105,243.01","2,665,988.39","11,480.78","13,067.84","317,723.96",,
