科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30
货币资金,"219,575,933.81","441,291,142.47","616,076,114.08","567,334,311.38","443,706,973.72","318,035,810.53","329,875,745.61","84,455,819.78","83,586,774.16","261,817,646.00"
短期借款,"230,000,000.00","245,000,000.00","190,000,000.00","255,000,000.00","255,000,000.00","225,000,000.00","255,000,000.00","225,000,000.00","225,000,000.00","225,000,000.00"
交易性金融资产,"2,980,070.00","1,483,600.00","1,093,090.00",,,,"1,990,071.57","1,998,230.86","2,453,161.22","2,999,833.88"
交易性金融负债,,,,,,,,,,
应收票据,"400,000.00","300,000.00","659,616.00",,,,,,,
应付票据,"949,680.00","982,890.00","752,560.00","1,232,600.00",,"316,560.00","327,630.00",,,
应收账款,"6,629,421.26","6,160,358.28","6,359,748.78","1,656,218.54","2,000,259.22","1,598,971.64","745,430.95","817,610.15","944,121.27","941,582.81"
应付账款,"102,531,805.63","118,407,043.89","100,082,841.24","212,499,106.93","144,922,290.78","120,799,239.54","112,691,926.85","107,968,167.60","86,502,452.21","74,715,094.46"
预付款项,"11,448,040.00","11,154,970.00","27,935,390.62","19,091,520.00","20,589,747.24","19,080,000.00","19,787,553.50","15,547,962.80","16,687,076.63","15,304,181.40"
预收款项,"589,487,434.05","1,011,456,330.25","1,694,599,770.58","990,342,196.37","212,161,375.00","346,189,896.90","282,204,310.17","296,778,160.05","271,714,314.90","401,162,470.41"
其他应收款,"117,166,163.91","6,501,680.95","8,340,652.38","6,618,625.47","7,276,233.75","5,455,611.52","6,776,240.53","6,094,856.12","6,488,485.55","5,052,370.16"
应付职工薪酬,"2,088,603.60","2,293,325.69","2,519,818.44","1,830,917.56","1,616,766.51","1,880,141.07","1,805,856.28","1,810,851.07","1,771,971.57","2,039,611.60"
应收关联公司款,,,,,,,,,,
应交税费,"7,552,183.45","-66,662,547.78","-120,607,614.03","127,886,649.01","197,350,666.08","10,336,293.34","15,507,278.37","10,401,244.35","20,551,539.51","3,222,500.74"
应收利息,,,,,,,,,,
应付利息,,"450,445.80","887,487.50","1,209,835.00","1,198,532.50","1,069,920.50","1,077,420.70","415,515.00","406,462.50","406,462.50"
应收股利,,,,,,,,,"5,000,000.00","5,000,000.00"
应付股利,"6,183,343.25","6,175,876.19",,,"385,975.88","385,975.88","385,975.88",,"93,881,122.85","93,881,122.85"
存货,"1,787,116,653.08","1,943,397,845.80","1,936,020,190.62","1,671,010,238.39","1,378,913,610.16","1,351,769,961.26","1,317,858,442.35","1,342,423,324.91","1,332,877,209.18","1,309,730,153.89"
其他应付款,"48,118,598.60","68,152,726.62","47,873,571.94","34,826,938.88","34,255,798.22","40,820,205.73","23,606,324.65","22,644,207.39","22,197,943.50","22,121,723.72"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,,,,"222,000,000.00","285,000,000.00","254,000,000.00","205,000,000.00",,,
其他流动资产,"23,040.00",,,,,,,,,
其他流动负债,"1,376,766.55",,,"385,975.88",,,,"93,885,975.88",,
流动资产合计,"2,145,339,322.06","2,410,289,597.50","2,596,484,802.48","2,265,710,913.78","1,852,486,824.09","1,695,940,354.95","1,677,033,484.51","1,451,337,804.62","1,448,036,828.01","1,600,845,768.14"
流动负债合计,"988,288,415.13","1,386,256,090.66","1,916,108,435.67","1,847,214,219.63","1,131,891,404.97","1,000,798,232.96","897,606,722.90","758,904,121.34","722,025,807.04","822,548,986.28"
可供出售金融资产,,,,,,,,,,
长期借款,"691,056,000.00","671,056,000.00","335,000,000.00","63,000,000.00",,,,,,
持有至到期投资,,,"9,550,000.00","9,550,000.00","9,550,000.00","9,550,000.00","9,550,000.00","9,550,000.00",,
应付债券,,,,,,,,,,
长期应收款,,,,,,,,,,
长期应付款,,,,,,,,,,
长期股权投资,"50,100,000.00","160,100,000.00","160,100,000.00","440,532,858.78","443,553,980.52","545,974,547.98","548,263,668.17","549,028,991.56","553,513,508.78","551,351,395.97"
专项应付款,,,,,,,,,,
投资性房地产,"38,609,375.70","38,292,131.61","37,974,887.52","37,816,486.10","37,497,397.79","37,178,309.48","36,859,221.17","36,540,132.78","36,221,044.47","35,901,956.16"
预计负债,"541,066.55",,,,,,,,,
固定资产,"5,114,391.20","5,113,129.88","5,955,343.08","28,587,313.18","29,459,040.03","28,912,788.39","28,352,195.34","17,268,141.78","16,810,740.41","16,346,129.51"
递延所得税负债,"213,612.30","83,014.80","106,081.80",,,,,,,
在建工程,,,,,,,,,,
其他非流动负债,"-541,066.55",,,,,,,,,
工程物资,,,,,,,,,,
非流动负债合计,"691,269,612.30","671,139,014.80","335,106,081.80","63,000,000.00",,,,,,
固定资产清理,,,,,,,,,,
负债合计,"1,679,558,027.43","2,057,395,105.46","2,251,214,517.47","1,910,214,219.63","1,131,891,404.97","1,000,798,232.96","897,606,722.90","758,904,121.34","722,025,807.04","822,548,986.28"
生产性生物资产,,,,,,,,,,
实收资本(或股本),"304,082,330.00","304,082,330.00","304,082,330.00","304,082,330.00","304,082,330.00","304,082,330.00","304,082,330.00","304,082,330.00","304,082,330.00","304,082,330.00"
油气资产,,,,,,,,,,
资本公积,"6,276,703.04","6,276,703.04","6,276,703.04","5,818,709.14","5,818,709.14","5,818,709.14","5,818,709.14","5,818,709.14","5,818,709.14","5,818,709.14"
无形资产,"66,725.00","63,924.75","61,675.00","58,875.00","56,625.00","53,825.00","51,575.00","48,775.00","46,525.00","43,725.00"
盈余公积,"32,112,421.91","32,112,421.91","32,112,421.91","11,410,907.90","11,410,907.90","11,410,907.90","11,410,907.90","14,806,708.49","14,806,708.49","14,806,708.49"
开发支出,,,,,,,,,,
减:库存股,,,,,,,,,,
商誉,,,,,,,,,,
未分配利润,"21,427,238.42","19,185,702.46","19,128,051.42","241,500,395.78","415,018,937.68","458,322,037.74","496,252,685.98","489,048,488.65","503,506,982.62","526,245,870.86"
长期待摊费用,"261,933.55","336,017.62","319,887.69","328,700.76","297,531.58","266,732.40","235,748.22","204,764.40","178,780.23","152,796.10"
少数股东权益,"204,846,954.14","204,301,267.39","206,850,362.73","314,063,554.69","509,242,337.28","542,149,271.86","590,058,840.42","496,914,647.60","510,451,209.60","537,065,014.57"
递延所得税资产,"8,811,927.43","9,158,728.90","9,217,790.80","4,504,969.54","4,563,227.96","4,704,931.40","4,884,303.93","5,596,395.08","5,884,319.99","5,925,848.46"
外币报表折算价差,,,,,,,,,,
其他非流动资产,,,,,,,,,,
非正常经营项目收益调整,,,,,,,,,,
非流动资产合计,"102,964,352.88","213,063,932.76","223,179,584.09","521,379,203.36","524,977,802.88","626,641,134.65","628,196,711.83","618,237,200.60","612,654,918.88","609,721,851.20"
所有者权益(或股东权益)合计,"568,745,647.51","565,958,424.80","568,449,869.10","876,875,897.51","1,245,573,222.00","1,321,783,256.64","1,407,623,473.44","1,310,670,883.88","1,338,665,939.85","1,388,018,633.06"
资产总计,"2,248,303,674.94","2,623,353,530.26","2,819,664,386.57","2,787,090,117.14","2,377,464,626.97","2,322,581,489.60","2,305,230,196.34","2,069,575,005.22","2,060,691,746.89","2,210,567,619.34"
负债和所有者(或股东权益)合计,"2,248,303,674.94","2,623,353,530.26","2,819,664,386.57","2,787,090,117.14","2,377,464,626.97","2,322,581,489.60","2,305,230,196.34","2,069,575,005.22","2,060,691,746.89","2,210,567,619.34"
