科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"22,279,334.27","45,419,055.77","60,083,765.74","50,473,229.06","267,712,765.56","249,856,725.76","125,267,756.69","101,205,534.39","102,892,835.64","77,974,469.05"
短期借款,,"13,700,000.00","4,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00",,,,
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,"200,000.00","200,000.00",,,,,,,,
应付票据,,"532,511.55","342,444.75","342,444.75",,,,,,
应收账款,"124,486,758.58","161,510,911.91","197,106,695.10","198,218,043.16","218,932,628.75","232,069,933.56","239,232,246.51","250,923,583.84","282,381,406.20","294,209,817.23"
应付账款,"3,361,546.75","4,375,798.44","19,083,739.84","15,473,749.96","22,494,591.59","12,732,709.31","20,541,862.52","11,073,527.88","17,275,928.62","14,572,870.67"
预付款项,"4,743,317.11","5,736,770.35","3,827,084.05","9,131,671.96","12,995,825.78","16,000,622.91","4,378,290.84","7,046,778.12","7,961,444.11","10,503,999.46"
预收款项,"15,990,603.62","9,955,709.74","13,741,429.19","14,793,369.14","11,805,663.33","14,394,508.47","18,084,346.98","19,663,959.04","18,992,437.83","16,288,529.22"
其他应收款,"7,941,663.79","10,124,220.55","8,627,712.18","7,095,253.09","7,155,421.36","9,476,201.87","9,697,073.51","9,794,520.06","10,948,949.87","15,691,902.88"
应付职工薪酬,"12,695,707.37","14,199,726.68","14,197,860.91","6,985,238.87","7,764,385.07","9,513,772.25","16,462,935.21","8,211,331.38","9,998,299.12","11,222,219.86"
应收关联公司款,,,,,,,,,,
应交税费,"2,346,937.96","9,047,062.98","15,240,766.98","14,007,434.93","17,032,730.25","19,035,417.27","8,907,981.97","6,908,839.80","6,916,800.18","7,131,740.25"
应收利息,,,,,,,,,,
应付利息,"3,105.10","35,312.01","36,466.70","53,482.38","48,613.37","48,542.44",405.63,330.39,242.18,171.26
应收股利,,,,,,,,,,
应付股利,,,,,,,,,,
存货,"5,871,511.63","759,808.47","1,756,667.55","3,947,828.86","2,863,360.52","5,649,960.21","4,455,763.39","8,918,929.34","4,700,493.83","6,951,273.05"
其他应付款,"2,681,839.10","2,523,394.71","2,198,349.81","1,563,560.04","1,885,941.49","1,762,441.87","1,467,528.58","1,152,812.04","2,337,744.17","1,232,097.65"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,"987,341.92","689,277.52","1,508,981.14","3,200,887.52","3,209,603.18","2,860,853.22","1,586,105.77","1,052,616.89","1,241,956.55","684,389.67"
一年内到期的非流动负债,,"92,666.48",,,,,,,,
其他流动资产,,,,,,,"116,692,042.82","116,879,658.24","102,042,829.82","116,696,307.25"
其他流动负债,,,,,,,"15,080,381.30","16,244,581.73","18,116,197.84","19,739,067.92"
