科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"74,090,956.21","125,785,023.55","49,485,001.77","139,707,781.31","99,240,418.17","142,090,829.11","169,146,998.13","25,566,667.70","76,709,693.28","139,623,203.36","242,917,847.24","41,079,041.33","187,525,410.47","240,671,110.87","342,021,332.86","58,411,433.07","138,637,715.51","222,161,470.69","310,372,662.46","112,482,222.84","250,500,905.12","288,103,450.93","378,346,865.38","46,896,846.87","169,984,527.22","222,368,382.19","319,983,467.62","47,825,311.54","109,133,482.47","147,737,333.43","215,105,185.07","40,428,795.88","105,126,655.09","159,432,312.55","253,800,403.77"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,"315,393.84","539,248.81","539,248.81","442,990.41","442,990.41","442,990.41",,,,"359,073.00","192,610.10","218,448.02","218,448.02","218,448.02","215,328.80","510,460.46","510,460.46","649,469.77",,"504,766.34","504,766.34","793,948.44",,"407,193.98","407,193.98","4,362,393.98",,,,"2,448,500.00",,"56,810.13","56,810.13","56,810.13"
支付其他与投资活动有关的现金,,,,,"18,040.00","301,077.20","1,300,000.00","5,825.40","1,917,816.27","3,094,952.70",,"282,769.87","513,869.95","631,341.27",,"269,607.91",,,,,,"63,013.60",,,,,,,,,,,,,
收到其他与经营活动有关的现金,"19,108,054.44","4,875,307.55","7,941,233.42","17,569,515.94","3,927,901.64","5,607,922.34","5,507,644.55","1,806,794.75","3,943,818.09","6,604,996.59","4,720,389.06","5,268,921.24","7,770,184.01","32,652,372.28","13,394,688.48","7,675,300.69","11,172,768.31","12,822,351.82","21,861,878.09","1,434,538.43","50,270,006.93","77,156,525.15","78,738,502.27","7,580,574.36","11,907,211.52","51,169,542.32","48,812,159.48","6,272,732.07","10,223,389.98","12,536,735.79","12,767,186.73","1,778,950.80","4,079,311.95","5,971,298.84","3,061,750.12"
投资活动现金流出小计,"17,051,811.46","2,536,387.64","25,810,344.22","15,151,104.49","4,158,969.48","9,876,114.61","17,390,337.82","10,347,136.55","21,474,967.20","28,026,379.92","47,962,124.81","11,977,232.94","35,864,555.56","34,753,713.80","38,964,245.75","6,609,201.21","14,520,587.74","20,864,473.21","27,734,472.26","2,617,841.75","5,682,621.37","10,012,364.95","203,473,449.02","101,987,225.40","133,094,658.03","244,481,786.65","360,833,706.26","70,957,300.24","102,372,620.87","290,565,525.23","338,925,072.79","253,679,439.05","611,933,409.05","788,073,950.85","1,055,500,174.40"
经营活动现金流入小计,"93,199,010.65","130,975,724.94","57,965,484.00","157,816,546.06","103,611,310.22","148,141,741.86","175,097,633.09","27,373,462.45","80,653,511.37","146,228,199.95","247,997,309.30","46,540,572.67","195,514,042.50","273,541,931.17","355,634,469.36","66,302,062.56","150,320,944.28","235,494,282.97","332,884,010.32","113,916,761.27","301,275,678.39","365,764,742.42","457,879,316.09","54,477,421.23","182,298,932.72","273,945,118.49","373,158,021.08","54,098,043.61","119,356,872.45","160,274,069.22","230,320,871.80","42,207,746.68","109,262,777.17","165,460,421.52","256,918,964.02"
投资活动产生的现金流量净额,"948,188.54","-2,536,387.64","-25,810,344.22","-15,151,104.49","-3,158,969.48","-8,576,114.61","-16,090,337.82","-10,238,858.55","-21,327,062.95","-27,858,475.67","-47,890,898.56","-11,977,232.94","-35,864,555.56","-34,753,713.80","-38,964,245.75","-6,609,201.21","-14,520,587.74","-20,864,473.21","-27,734,472.26","-2,567,841.75","-5,611,621.37","-9,880,316.95","-155,646,717.24","-851,557.21","-6,433,995.67","-5,343,150.54","-79,622,901.25","-54,856,602.36","-55,783,837.99","-99,106,290.29","31,698,119.27","-100,754,151.39","-280,124,830.16","-309,106,515.64","-34,851,642.73"
购买商品、接受劳务支付的现金,"35,688,060.12","68,558,134.57","38,071,209.96","79,232,723.13","34,155,444.99","53,117,253.05","75,980,634.58","25,418,728.20","47,890,103.51","88,323,396.71","157,170,162.64","17,972,528.57","90,840,601.14","118,583,338.20","187,530,156.04","61,468,990.18","126,464,816.84","188,096,574.64","258,657,895.45","107,011,935.60","189,332,818.02","203,223,685.50","266,752,118.54","31,033,636.05","113,582,225.64","153,521,379.76","221,398,616.22","30,070,701.99","64,343,839.34","79,199,497.59","120,190,444.02","34,195,787.97","79,766,705.43","106,146,016.01","152,644,006.00"
吸收投资收到的现金,,,,,,"458,587,675.00","458,587,675.00",,,,,,,,,,,,"200,000.00",,,,,,,,,,,,,,,,
