科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"432,723,319.61","298,865,952.77","254,857,003.87","231,376,478.62","295,294,879.82","58,725,657.47","121,672,099.21","203,578,198.17","259,875,649.58","52,251,925.51","130,119,299.28","206,265,244.14","382,539,101.34","97,905,726.93","335,504,858.34","584,325,195.32","866,188,107.67","172,313,149.39","518,192,192.21"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"77,717,141.67",,"122,029,121.63","122,029,121.63","291,268,267.91",,"65,900,000.00"
收到的税费返还,"5,445,823.36","6,731,864.02","5,197,552.37","6,134,359.24","7,306,514.23","1,521,018.02","3,602,236.55","6,617,811.16","9,865,969.11","1,884,261.13","6,077,911.11","13,272,366.42","17,174,965.91","3,696,237.76","7,888,444.00","9,282,676.56","11,521,473.49","5,220,846.18","9,057,249.01"
支付其他与投资活动有关的现金,,,,,,"378,658.02",,,,,,,,,,,,,
收到其他与经营活动有关的现金,"14,191,974.56","6,167,573.53","14,911,446.83","8,665,645.09","16,337,468.21","6,073,473.20","6,032,097.55","9,986,291.93","44,852,049.05","1,081,361.52","18,601,900.45","25,040,006.36","35,630,624.60","19,908,598.57","30,077,896.73","39,897,127.47","33,273,308.82","16,278,444.88","29,638,524.24"
投资活动现金流出小计,"69,067,760.75","16,862,300.71","14,201,228.61","14,257,205.82","16,916,678.85","1,879,903.87","44,270,253.46","102,983,283.10","217,724,386.60","3,082,359.85","76,032,061.68","790,868,425.88","749,344,133.05","406,644,496.02","826,556,271.13","1,929,775,424.46","2,550,961,024.27","421,121,482.24","852,492,929.72"
经营活动现金流入小计,"452,361,117.53","311,765,390.32","274,966,003.07","246,176,482.95","318,938,862.26","66,320,148.69","131,306,433.31","220,182,301.26","314,593,667.74","55,217,548.16","154,799,110.84","244,577,616.92","435,344,691.85","121,510,563.26","373,471,199.07","633,504,999.35","910,982,889.98","193,812,440.45","556,887,965.46"
投资活动产生的现金流量净额,"-49,510,852.99","-16,800,900.71","-14,162,228.61","-14,017,415.98","-16,675,989.01","-1,879,903.87","-44,140,253.46","-102,853,283.10","-156,313,899.67","26,917,640.15","1,317,839.18","-694,375,057.90","-701,237,184.62","170,622,339.57","84,578,819.83","-171,456,099.19","-358,170,061.99","-3,234,561.04","-50,212,020.03"
购买商品、接受劳务支付的现金,"297,118,940.94","166,586,120.74","121,692,245.17","112,508,526.56","148,966,507.98","24,694,153.04","62,294,919.46","107,950,846.57","126,974,218.68","25,868,724.41","97,955,107.62","157,375,433.60","289,924,485.66","92,162,931.27","261,600,703.09","410,387,807.48","589,395,385.39","187,038,440.07","382,592,821.27"
吸收投资收到的现金,"400,000.00","1,600,000.00",,,,"181,000,000.00","181,000,000.00","223,106,364.00","223,103,520.00","2,653,200.00","9,403,200.00","939,586,203.07","940,887,658.10","55,712,000.00","55,104,000.00","55,104,000.00","71,347,056.23","1,068,340.00","1,068,340.00"
