科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"588,482,339.23","770,995,325.36","658,969,647.88","27,838,634.36","271,356,820.24","416,858,350.24","802,925,130.24","50,500,000.00","307,020,715.14","644,538,683.82","1,030,339,098.64"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,"39,000.00",,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,"29,400,000.00","9,533,925.00","14,816,180.00","32,632,950.00","55,637,648.51"
收到其他与经营活动有关的现金,"79,286,681.43","296,983,671.57","464,182,405.35","498,841,733.51","522,603,951.72","523,931,908.29","608,778,513.12","123,683,159.89","124,741,465.89","137,980,871.73","221,560,237.64"
投资活动现金流出小计,"575,715,362.31","319,537,694.34","209,183,602.33","46,667,609.64","116,443,516.23","208,291,472.54","608,498,817.36","413,028,932.11","806,928,949.77","1,360,766,866.16","1,515,661,649.07"
经营活动现金流入小计,"667,808,020.66","1,067,978,996.93","1,123,152,053.23","526,680,367.87","793,960,771.96","940,790,258.53","1,411,703,643.36","174,183,159.89","431,762,181.03","782,519,555.55","1,251,899,336.28"
投资活动产生的现金流量净额,"-554,608,362.31","-317,341,087.30","-207,575,197.33","-46,667,609.64","-116,326,035.23","-208,173,991.54","-182,809,086.91","-178,005,201.51","-284,757,291.75","-435,254,300.16","-266,795,298.54"
购买商品、接受劳务支付的现金,"228,855,179.78","230,955,392.80","125,092,972.17","71,989,098.86","125,665,449.19","229,250,633.45","184,123,757.80","92,249,619.59","132,302,280.19","247,476,619.56","413,279,171.70"
吸收投资收到的现金,"8,000,000.00",,"42,000,000.00","341,360,000.00","349,092,703.00","412,426,039.00","411,920,138.00",,"11,327,840.00","11,327,840.00","11,327,840.00"
支付给职工以及为职工支付的现金,"71,769,861.57","71,104,706.79","69,131,139.58","23,760,180.43","40,405,351.95","58,818,884.30","84,563,787.52","27,298,477.86","46,530,420.43","66,719,250.36","83,517,387.31"
取得借款收到的现金,"490,000,000.00","540,000,000.00","417,000,000.00","425,340,200.00","447,000,000.00","700,000,000.00","825,000,000.00","322,000,000.00","322,000,000.00","322,000,000.00","401,999,806.20"
支付的各项税费,"106,668,379.10","141,483,443.91","170,489,174.52","26,230,827.63","56,968,259.35","105,462,043.64","156,570,567.27","50,881,676.11","96,207,023.05","148,293,313.17","207,158,912.29"
