科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月
销售商品、提供劳务收到的现金,"3,324,996,612.85","11,986,674,460.57","18,706,400,672.98","20,469,268,990.84","6,073,831,036.87","16,219,150,177.44","22,735,565,717.23","29,386,030,757.82","5,281,611,000.00","14,029,595,500.00","22,376,633,290.00","27,394,118,510.00","6,691,377,180.00","21,644,136,480.00","32,654,294,590.00","35,659,917,640.00","13,259,759,810.00","25,016,052,740.00","36,411,971,610.00","47,086,533,990.00","11,010,306,550.00","20,593,085,570.00","36,090,452,460.00","53,109,710,940.00","15,070,869,040.00","29,363,451,080.00"
取得子公司及其他营业单位支付的现金净额,,"150,000,000.00","150,000,000.00",,"1,079,495,183.10","1,123,927,428.26","1,509,653,316.54","1,891,957,003.76",,"23,020,000.00","23,020,000.00","228,268,520.00",,"16,141,710.00","408,192,400.00","433,168,670.00","100,000,000.00","30,000,000.00","30,000,000.00","1,473,866,310.00","28,887,680.00","28,882,140.00","173,307,700.00","171,305,680.00",,
收到的税费返还,"167,370,047.35","329,820,999.34","474,976,938.47","682,079,880.45","204,962,292.64","437,623,131.68","1,123,174,192.57","1,468,656,559.92","147,919,000.00","241,043,320.00","327,861,990.00","444,467,350.00","329,432,800.00","710,763,460.00","828,441,380.00","1,507,128,010.00","969,549,060.00","1,650,607,250.00","2,115,376,880.00","2,745,097,100.00","764,471,750.00","1,528,971,310.00","2,260,331,010.00","2,610,303,560.00","428,307,810.00","1,056,807,570.00"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"33,995,888.16","59,859,925.55","118,356,391.08","189,352,928.35","30,630,503.86","97,224,471.27","235,472,038.67","505,770,741.10","86,485,000.00","182,592,500.00","219,679,710.00","567,171,560.00","126,434,510.00","903,894,310.00","2,364,662,590.00","3,063,219,200.00","392,390,560.00","563,151,680.00","943,090,170.00","1,339,511,370.00","263,328,150.00","570,255,600.00","1,013,656,400.00","2,502,930,440.00","276,512,050.00","725,235,460.00"
投资活动现金流出小计,"259,731,237.94","525,004,721.83","873,544,325.42","1,439,389,873.95","1,403,466,243.79","1,816,589,334.09","2,963,673,428.61","3,955,064,045.48","233,317,000.00","587,378,520.00","933,211,980.00","1,371,708,580.00","471,310,810.00","1,134,892,650.00","2,808,975,310.00","4,370,349,040.00","1,129,097,440.00","2,193,262,170.00","3,176,881,180.00","5,326,383,880.00","571,442,410.00","1,257,127,980.00","1,606,656,270.00","1,695,398,800.00","317,733,780.00","702,180,770.00"
经营活动现金流入小计,"3,526,362,548.36","12,376,355,385.46","19,299,734,002.53","21,340,701,799.64","6,309,423,833.37","16,753,997,780.39","24,094,211,948.47","31,360,458,058.84","5,516,015,000.00","14,453,231,320.00","22,924,174,990.00","28,405,757,420.00","7,147,244,490.00","23,258,794,250.00","35,847,398,560.00","40,230,264,850.00","14,621,699,430.00","27,229,811,670.00","39,470,438,660.00","51,171,142,460.00","12,038,106,450.00","22,692,312,480.00","39,364,439,870.00","58,222,944,940.00","15,775,688,900.00","31,145,494,110.00"
投资活动产生的现金流量净额,"-259,339,853.05","-486,556,849.13","-498,582,552.72","-1,044,621,396.97","-1,402,737,219.78","-1,761,321,933.21","-2,898,300,389.66","-3,851,929,033.12","-231,989,000.00","-527,090,960.00","-818,012,110.00","-1,112,635,550.00","-450,589,170.00","-1,090,128,980.00","-2,720,814,150.00","-4,212,275,770.00","-1,055,164,900.00","-1,973,406,760.00","-2,838,337,530.00","-4,714,954,400.00","-490,330,330.00","-1,072,939,320.00","-1,297,239,480.00","-1,334,976,540.00","-220,754,380.00","-457,176,070.00"
购买商品、接受劳务支付的现金,"2,552,785,875.80","8,697,800,310.46","13,999,202,614.21","14,003,105,409.66","4,834,061,784.24","11,383,011,337.32","15,249,801,329.45","19,657,041,393.46","3,336,371,000.00","8,189,513,540.00","13,354,237,390.00","17,022,905,470.00","4,295,331,810.00","12,403,631,620.00","17,239,392,710.00","20,778,842,570.00","10,818,640,230.00","15,281,863,580.00","22,874,197,920.00","30,915,887,470.00","11,034,724,470.00","14,256,078,920.00","26,758,749,880.00","38,307,831,870.00","10,026,659,370.00","15,720,429,950.00"
吸收投资收到的现金,,,,,"5,687,500.00","11,375,000.00","28,250,000.00","45,364,276.90",,"135,192,700.00","3,161,293,990.00","3,266,901,280.00",,,,"51,985,720.00","4,300,149,990.00","4,300,149,990.00","4,300,149,990.00","4,304,373,930.00",,"28,351,500.00","92,146,790.00","92,146,790.00",,
支付给职工以及为职工支付的现金,"262,485,073.94","526,085,161.91","793,702,868.91","1,231,900,029.40","375,516,564.50","805,587,292.89","1,328,240,537.01","1,826,860,387.32","462,341,000.00","977,114,160.00","1,405,429,770.00","1,926,291,770.00","861,181,560.00","1,188,388,320.00","2,035,874,740.00","3,404,597,740.00","1,185,935,000.00","2,005,714,690.00","2,895,840,810.00","4,245,299,070.00","1,094,668,620.00","1,908,101,300.00","2,979,500,220.00","3,940,703,130.00","1,491,464,250.00","2,669,097,840.00"
取得借款收到的现金,"293,150,633.65","380,090,745.74","380,090,745.74","1,417,386,394.80","2,310,287,135.90","3,932,671,589.88","5,136,315,077.32","7,162,053,388.32","792,481,000.00","1,962,508,880.00","2,088,895,390.00","2,664,237,000.00","678,932,380.00","1,452,508,100.00","1,989,012,660.00","3,000,754,540.00","2,895,532,850.00","5,281,831,110.00","9,552,707,840.00","12,119,842,920.00","2,227,563,290.00","7,373,667,900.00","10,922,818,650.00","11,423,896,440.00","4,548,734,840.00","9,284,600,540.00"
支付的各项税费,"78,507,647.56","282,095,737.31","540,740,321.92","631,707,601.43","133,739,405.65","584,432,239.30","904,050,990.07","1,321,481,199.20","234,306,000.00","716,798,500.00","1,453,752,270.00","1,794,101,670.00","377,836,660.00","992,298,140.00","1,906,793,690.00","2,276,786,070.00","657,609,000.00","1,566,196,350.00","2,562,524,930.00","3,108,851,730.00","548,691,740.00","1,469,546,420.00","2,696,984,480.00","2,912,522,010.00","474,578,640.00","2,655,440,370.00"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"655,790,901.72","1,502,977,806.72","2,689,182,647.59","3,840,456,392.91","719,069,405.66","2,237,840,289.67","3,540,122,199.29","4,802,227,388.86","700,608,000.00","2,118,501,770.00","3,531,170,940.00","5,605,991,530.00","1,488,524,800.00","3,471,825,790.00","5,974,243,150.00","8,324,317,470.00","1,832,705,930.00","6,604,991,270.00","9,110,000,880.00","9,942,187,810.00","1,681,595,630.00","4,519,465,050.00","6,115,166,850.00","8,755,342,650.00","2,151,119,040.00","5,437,091,530.00"
筹资活动现金流入小计,"293,150,633.65","380,090,745.74","380,090,745.74","1,417,386,394.80","2,315,974,635.90","3,944,046,589.88","5,164,565,077.32","7,207,417,665.22","792,481,000.00","2,097,701,580.00","5,250,189,380.00","5,931,138,280.00","678,932,380.00","1,452,508,100.00","1,989,012,660.00","3,052,740,260.00","7,195,682,840.00","9,581,981,100.00","13,852,857,830.00","16,424,216,850.00","2,227,563,290.00","7,402,019,400.00","11,014,965,440.00","11,516,043,230.00","4,548,734,840.00","9,284,600,540.00"
经营活动现金流出小计,"3,549,569,499.02","11,008,959,016.40","18,022,828,452.63","19,707,169,433.40","6,062,387,160.05","15,010,871,159.18","21,022,215,055.82","27,607,610,368.84","4,733,626,000.00","12,001,927,970.00","19,744,590,370.00","26,349,290,440.00","7,022,874,830.00","18,056,143,870.00","27,156,304,290.00","34,784,543,850.00","14,494,890,160.00","25,458,765,890.00","37,442,564,540.00","48,212,226,080.00","14,359,680,460.00","22,153,191,690.00","38,550,401,430.00","53,916,399,660.00","14,143,821,300.00","26,482,059,690.00"
偿还债务支付的现金,"150,759,101.46","517,033,290.49","517,033,290.49","1,152,001,967.65","615,295,275.87","2,445,791,930.95","4,419,964,257.13","6,138,845,178.18","995,126,000.00","2,881,348,960.00","4,109,432,070.00","4,484,863,350.00","468,035,760.00","1,131,666,820.00","1,645,971,710.00","2,418,071,280.00","1,176,963,370.00","3,606,184,430.00","5,780,718,640.00","8,984,386,780.00","1,647,277,450.00","3,713,001,170.00","6,997,021,150.00","10,871,463,890.00","1,392,352,990.00","5,966,822,990.00"
经营活动产生的现金流量净额,"-23,206,950.66","1,367,396,369.06","1,276,905,549.90","1,633,532,366.24","247,036,673.32","1,743,126,621.21","3,071,996,892.65","3,752,847,690.00","782,389,000.00","2,451,303,350.00","3,179,584,620.00","2,056,466,980.00","124,369,660.00","5,202,650,380.00","8,691,094,270.00","5,445,721,000.00","126,809,270.00","1,771,045,780.00","2,027,874,120.00","2,958,916,380.00","-2,321,574,010.00","539,120,790.00","814,038,440.00","4,306,545,280.00","1,631,867,600.00","4,663,434,420.00"
分配股利、利润或偿还利息支付的现金,"7,090,105.10","408,196,272.07","414,230,376.65","474,208,217.61","14,883,151.10","595,639,072.37","804,676,604.38","805,015,698.96","259,469,000.00","509,396,750.00","671,303,500.00","702,592,960.00","6,366,050.00","215,257,210.00","407,471,620.00","449,580,830.00","26,044,860.00","674,927,770.00","795,693,580.00","919,487,340.00","27,413,290.00","1,914,753,280.00","2,125,054,840.00","2,246,820,720.00","117,276,150.00","2,310,157,010.00"
