科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"105,031,469.13","241,441,922.40","120,031,365.71","186,494,786.19","279,754,908.44","54,948,977.65","136,294,427.19","219,625,252.42","343,918,575.49","62,300,865.28","132,498,622.43","220,149,274.47","324,013,915.20","90,824,463.95","170,851,573.16","232,954,664.23","374,391,482.51","80,352,117.59","145,623,610.67","236,380,591.31","444,274,296.47","72,981,380.88","188,177,817.06","325,080,107.05","524,527,487.44","161,716,630.30","326,266,709.47","512,556,211.97","713,596,377.63","153,337,946.04","323,247,193.52","494,642,371.51","835,177,093.82","222,173,373.36","444,314,864.48","715,835,484.06","1,103,044,521.23","235,112,101.23","501,622,960.76","771,980,847.80","1,163,045,340.80","201,293,328.39","473,356,394.98"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"-32,925,310.60",,,,"15,146,391.02","-8,334,356.23","-8,094,356.23","-8,334,356.23","58,026,501.49",,,,,,,,,"85,980,471.89","157,193,657.87","157,193,659.29","423,803,736.72",,"188,202,692.59","191,765,946.51","194,229,086.18",,,,,,
收到的税费返还,,"1,652,838.76",,,"474,572.00",,"1,498,650.00","1,498,650.00","2,807,593.38",,,"2,797,722.02","2,797,722.02",,"1,830,427.01","3,393,878.21","3,393,878.21",,,,"2,250,613.88",,"5,197.90","44,565.42","7,876,439.62","5,970,000.00","6,052,026.75","6,052,026.75","9,353,394.77",,,"4,735.02","1,491,526.78","84,021.04","103,577.45","134,179.52","444,499.25","1,893,009.13","1,893,009.13","1,969,361.80","9,127,502.61","3,648,717.56","3,664,401.69"
支付其他与投资活动有关的现金,"6,990,000.00","16,990,000.00",,"3,000,000.00","355,000,000.00",,"20,000,000.00","67,000,000.00","190,516,352.62",,"125,341,200.00","269,456,900.00","346,174,211.16","30,270,000.00","126,000,000.00","367,000,000.00","356,000,000.00","37,088,096.26","35,115,839.47","77,834,596.26","15,000,000.00","76,504,750.00","253,424,000.00","335,571,046.75","190,154,332.69","117,622,129.48","545,376,639.47","572,839,882.25","601,739.07","58,814,171.00","59,209,474.33","14,158,005.80","5,192,563.27",,,"1,781,408.80","1,920,294.80","21,313,886.27","29,175,810.14","2,452,393.13","25,014,474.12","32,421,428.62","13,889,058.13"
收到其他与经营活动有关的现金,"6,708,192.61","5,168,842.42","6,876,013.65","9,061,851.38","10,477,822.54","1,281,487.29","2,500,054.45","4,110,791.43","6,031,220.55","17,654,426.06","28,731,870.22","33,926,298.50","37,311,317.80","5,732,252.60","9,640,009.80","15,707,496.59","18,384,201.80","7,198,414.99","14,738,044.23","31,162,499.54","17,508,973.79","4,607,667.69","3,815,833.66","6,647,927.54","15,632,255.09","2,499,822.87","3,809,447.97","9,081,504.23","20,372,335.68","2,562,024.93","4,188,439.04","6,579,446.55","92,869,334.17","139,331,931.52","7,289,109.56","16,146,146.39","102,506,962.90","7,318,138.22","41,205,369.19","34,303,475.85","117,897,924.04","2,458,178.41","16,790,124.58"
投资活动现金流出小计,"11,260,535.86","54,254,990.15","33,246,151.26","39,794,378.75","395,867,355.62","5,191,386.89","31,152,212.14","91,879,276.62","216,751,860.15","57,076,484.36","132,829,366.84","298,141,050.03","373,466,992.82","42,907,401.87","171,366,152.36","425,141,990.79","433,716,389.69","33,915,180.36","39,879,425.99","167,143,942.50","151,829,323.07","85,737,071.79","265,290,450.05","350,710,951.71","210,811,066.91","136,877,050.96","594,012,789.84","648,027,118.45","95,089,789.02","156,612,057.50","286,400,552.96","293,180,271.07","500,420,408.42","255,426,157.98","358,129,759.92","391,193,110.83","385,103,987.58","50,000,110.89","90,177,226.94","97,037,162.25","130,665,052.56","42,260,850.32","32,991,069.27"
经营活动现金流入小计,"111,739,661.74","248,263,603.58","126,907,379.36","195,556,637.57","290,707,302.98","56,230,464.94","140,293,131.64","225,234,693.85","352,757,389.42","79,955,291.34","161,230,492.65","256,873,294.99","364,122,955.02","96,556,716.55","182,322,009.97","252,056,039.03","396,169,562.52","87,550,532.58","160,361,654.90","267,543,090.85","464,033,884.14","77,589,048.57","191,998,848.62","331,772,600.01","548,036,182.15","170,186,453.17","336,128,184.19","527,689,742.95","743,322,108.08","155,899,970.97","327,435,632.56","501,226,553.08","929,537,954.77","361,589,325.92","451,707,551.49","732,115,809.97","1,205,995,983.38","244,323,248.58","544,721,339.08","808,253,685.45","1,290,070,767.45","207,400,224.36","493,810,921.25"
投资活动产生的现金流量净额,"-11,260,535.86","-25,228,495.57","-22,877,186.96","-29,425,414.45","-365,967,291.51","6,164,464.99","-4,341,209.53","-18,111,131.68","79,134,063.78","-45,093,127.36","-83,846,795.75","-124,208,851.37","-26,516,490.21","8,027,656.96","-71,977,721.41","-80,546,852.60","-69,693,755.29","25,366,177.53","53,515,215.23","87,386,643.08","2,412,856.98","-69,802,910.39","-157,340,754.44","-100,987,344.14","-199,314,838.65","-32,417,550.97","-38,034,314.04","-72,302,283.57","82,319,295.63","-154,812,667.93","-277,484,538.14","-260,587,459.32","-457,668,793.29","-224,675,631.60","-97,574,446.51","-258,871,004.94","-248,470,402.95","-26,790,808.98","-57,244,744.00","-45,826,726.05","-53,002,081.55","-18,770,485.26","21,375,179.59"
购买商品、接受劳务支付的现金,"45,052,004.81","81,639,293.79","36,723,815.14","53,495,198.43","86,662,935.55","27,833,612.27","51,198,295.58","82,210,582.86","125,417,398.08","51,887,231.62","80,813,864.34","109,292,152.33","127,339,372.52","41,414,010.45","73,883,134.99","113,278,234.90","147,157,866.93","23,403,986.68","47,866,116.03","88,299,780.87","108,702,165.77","23,225,068.32","56,567,892.41","102,239,511.38","177,517,679.63","54,180,900.04","144,302,976.43","250,523,516.96","303,650,683.24","61,386,677.98","162,963,829.91","243,845,212.95","329,319,186.51","54,980,361.84","141,155,462.08","223,322,104.28","318,238,743.00","73,145,522.05","156,550,363.24","268,225,078.49","446,888,743.35","67,259,319.82","267,141,567.87"
吸收投资收到的现金,,,,"295,178,000.00","290,205,000.00",,,,,"980,000.00","980,000.00","980,000.00","980,000.00","4,370,000.00","5,370,000.00","9,540,000.00","12,590,000.00",,"450,000.00","160,000.00","610,000.00",,,,,,"1,351,500.00","61,159,140.00","332,199,134.71",,"300,000.00","600,000.00","452,429,704.00",,,"90,000.00","760,000.00",,"6,001,625.00","6,001,625.00","10,462,029.00",,
