科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"300,163,476.60","286,623,556.64","325,370,771.89","60,852,269.36","137,616,985.68","189,230,864.40","277,190,686.19","86,028,955.73","150,225,282.81","231,917,672.53","414,418,980.13","110,521,119.08","233,793,794.34","398,258,178.22"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"145,855,776.04",,,
收到的税费返还,"9,832,109.45","10,290,631.54","10,854,281.28","3,443,711.83","4,860,508.31","7,012,101.99","9,259,435.96","1,516,478.31","2,285,785.47","4,561,785.33","11,645,612.66","4,901,775.39","7,468,184.39","14,751,228.01"
支付其他与投资活动有关的现金,"20,000,000.00","16,000,000.00","50,299,067.73",,"180,000,000.00","210,000,000.00","355,633,859.39","144,673,107.30","2,350,041,739.80","3,304,901,891.20","521,825,654.21","64,293.04","57,101,438.27","20,000,000.00"
收到其他与经营活动有关的现金,"4,383,646.60","13,489,614.46","4,147,641.56","1,342,813.10","3,039,314.49","4,888,756.45","4,537,396.06","19,508,911.90","4,309,594.43","9,499,090.27","4,317,244.09","2,431,201.94","13,869,108.08","45,686,313.31"
投资活动现金流出小计,"53,761,945.24","52,518,746.08","67,853,731.62","1,977,740.28","184,953,781.12","215,550,645.72","391,728,876.39","154,052,666.59","2,382,950,130.76","3,404,209,048.40","719,192,915.20","496,279,177.30","748,686,730.38","227,481,712.21"
经营活动现金流入小计,"314,379,232.65","310,403,802.64","340,372,694.73","65,638,794.29","145,516,808.48","201,131,722.84","290,987,518.21","107,054,345.94","156,820,662.71","245,978,548.13","430,381,836.88","117,854,096.41","255,131,086.81","458,695,719.54"
投资活动产生的现金流量净额,"-43,499,629.30","-26,279,740.51","-16,698,639.35","-1,878,957.35","-161,474,939.55","-101,915,394.46","-84,942,148.24","-92,722,846.38","-95,235,572.77","-111,487,494.63","-115,400,705.27","-197,361,602.24","-290,335,782.64","-177,535,239.31"
购买商品、接受劳务支付的现金,"199,542,758.13","176,993,225.79","195,253,399.05","60,101,544.34","102,502,585.15","145,597,779.65","184,996,567.05","48,198,984.27","82,375,038.54","134,316,555.49","233,763,570.59","70,130,634.26","149,361,436.49","266,725,230.94"
吸收投资收到的现金,,,,"225,520,000.00","225,520,000.00","225,520,000.00","225,820,000.00",,,,,"80,000,000.00","80,000,000.00","2,628,400.00"
支付给职工以及为职工支付的现金,"42,624,883.25","44,670,993.81","47,286,174.24","11,830,708.36","22,604,820.76","34,998,549.35","50,098,478.68","12,479,356.44","25,072,171.00","38,271,417.87","62,023,290.51","18,139,220.34","42,220,581.31","63,675,125.35"
取得借款收到的现金,"175,000,000.00","109,503,784.66","60,000,000.00",,,"60,000,000.00","80,000,000.00","20,000,000.00","20,000,000.00","42,000,000.00","174,240,000.00","76,360,000.00","136,360,000.00","156,360,000.00"
支付的各项税费,"23,036,702.97","21,314,562.21","25,912,726.95","5,924,844.10","15,054,077.69","19,080,680.20","22,211,974.17","3,897,148.48","8,905,780.89","12,116,788.57","17,387,621.68","8,166,811.73","21,594,192.54","35,098,687.03"
收到其他与筹资活动有关的现金,,,,,,,"4,000,000.00","114,500.00",,,,,,
支付其他与经营活动有关的现金,"27,039,008.50","23,285,587.87","25,210,010.28","4,317,062.18","23,948,738.21","29,574,385.33","29,474,210.26","23,867,484.81","16,783,998.13","25,492,595.54","43,313,563.74","19,929,725.64","26,725,669.66","57,838,729.67"
筹资活动现金流入小计,"175,000,000.00","109,503,784.66","60,000,000.00","225,520,000.00","225,520,000.00","285,520,000.00","309,820,000.00","20,114,500.00","20,000,000.00","42,000,000.00","174,240,000.00","156,360,000.00","216,360,000.00","158,988,400.00"
经营活动现金流出小计,"292,243,352.85","266,264,369.68","293,662,310.52","82,174,158.98","164,110,221.81","229,251,394.53","286,781,230.16","88,442,974.00","133,136,988.56","210,197,357.47","356,488,046.52","116,366,391.97","239,901,880.00","423,337,772.99"
偿还债务支付的现金,"135,000,000.00","100,246,481.87","99,195,810.00",,,"40,000,000.00","60,000,000.00",,"20,000,000.00","60,000,000.00","148,000,000.00","20,000,000.00","20,000,000.00","42,000,000.00"
经营活动产生的现金流量净额,"22,135,879.80","44,139,432.96","46,710,384.21","-16,535,364.69","-18,593,413.33","-28,119,671.69","4,206,288.05","18,611,371.94","23,683,674.15","35,781,190.66","73,893,790.36","1,487,704.44","15,229,206.81","35,357,946.55"
分配股利、利润或偿还利息支付的现金,"5,881,639.32","9,533,191.38","13,835,633.47","928,868.93","10,652,350.98","11,978,694.47","12,451,861.17","946,700.51","9,866,911.30","10,574,888.21","12,631,742.82","1,612,566.82","16,464,220.72","19,955,605.46"
收回投资收到的现金,,,,,,,,,,,"13,200.33","288,789,635.96","418,789,908.48",
支付其他与筹资活动有关的现金,,,,"1,334,331.60","5,064,455.60","5,064,455.60","5,493,224.50",,,,,,,
取得投资收益收到的现金,"262,315.94","1,239,005.57","98,970.20",,"478,841.57","625,330.10","2,503,408.34",,"4,777,111.44","4,493,698.06","5,454,222.40","127,939.10","440,539.26","825,972.90"
筹资活动现金流出小计,"140,881,639.32","109,779,673.25","113,031,443.47","2,263,200.53","15,716,806.58","57,043,150.07","77,945,085.67","946,700.51","29,866,911.30","70,574,888.21","160,631,742.82","21,612,566.82","36,464,220.72","61,955,605.46"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"56,122.07",,"3,000,000.00","3,000,000.00","984,252.08","10,030,000.00","27,379,510.00","37,754,510.00","1,344,510.00","10,000,000.00","29,120,500.00","29,120,500.00"
筹资活动产生的现金流量净额,"34,118,360.68","-275,888.59","-53,031,443.47","223,256,799.47","209,803,193.42","228,476,849.93","231,874,914.33","19,167,799.49","-9,866,911.30","-28,574,888.21","13,608,257.18","134,747,433.18","179,895,779.28","97,032,794.54"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"131,011.34","-1,503,960.57","-78,391.64","13,322.60","787,597.95","1,288,049.58","7,678,903.03","-52,699.53","-647,518.09","231,128.82","6,246,270.71","-334,042.09","-933,336.05","-1,630,368.51"
收到其他与投资活动有关的现金,"10,000,000.00","25,000,000.00","51,000,000.00","98,782.93","20,000,000.00","110,009,921.16","303,299,067.73","51,299,820.21","2,255,557,936.55","3,250,473,345.71","596,980,277.20",,"10,000,000.00","20,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,
投资活动现金流入小计,"10,262,315.94","26,239,005.57","51,155,092.27","98,782.93","23,478,841.57","113,635,251.26","306,786,728.15","61,329,820.21","2,287,714,557.99","3,292,721,553.77","603,792,209.93","298,917,575.06","458,350,947.74","49,946,472.90"
五、现金及现金等价物净增加额,"12,885,622.52","16,079,843.29","-23,098,090.25","204,855,800.03","30,522,438.49","99,729,833.36","158,817,957.17","-54,996,374.48","-82,066,328.01","-104,050,063.36","-21,652,387.02","-61,460,506.71","-96,144,132.60","-46,774,866.73"
购建固定资产、无形资产和其他长期资产支付的现金,"33,761,945.24","36,518,746.08","17,554,663.89","1,977,740.28","4,953,781.12","5,300,645.72","28,595,017.00","9,379,559.29","32,908,390.96","35,947,157.16","41,191,485.36","21,535,924.10","41,658,889.16","68,171,712.21"
期初现金及现金等价物余额,"42,533,400.69","55,419,023.21","71,498,866.50","48,699,843.98","48,699,843.98","48,699,843.98","48,400,776.25","207,218,733.42","207,218,733.42","207,218,733.42","207,218,733.42","185,566,346.40","185,566,346.40","166,828,416.35"
投资支付的现金,,,,,,"250,000.00","7,500,000.00",,,"63,360,000.04","10,319,999.59","474,678,960.16","649,926,402.95","139,310,000.00"
期末现金及现金等价物余额,"55,419,023.21","71,498,866.50","48,400,776.25","253,555,644.01","79,222,282.47","148,429,677.34","207,218,733.42","152,222,358.94","125,152,405.41","103,168,670.06","185,566,346.40","124,105,839.69","89,422,213.80","120,053,549.62"
