科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"68,957,752.08","45,098,742.61","73,460,149.71","79,786,172.82","101,407,637.39","692,301,524.87","676,223,010.38","663,002,262.48","652,724,921.60","628,083,139.71","572,305,039.31","545,140,811.33","540,486,585.06","572,091,423.75","479,530,576.67","485,138,515.57","502,790,421.96","492,314,086.44","454,242,666.23","461,924,173.86","502,415,042.78","527,460,414.69","485,011,624.64","499,659,571.45","513,587,964.01","488,447,125.44","449,168,251.87","447,374,850.33","422,352,400.98","416,725,787.46","334,338,476.85","296,035,480.66","315,684,954.60","294,405,929.13","304,421,807.17","324,343,102.24","254,884,578.14","305,279,068.01"
短期借款,"12,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,"5,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"6,651,852.30","8,498,382.45","13,024,729.14","14,000,744.00","27,937,891.57","12,492,578.50","25,101,806.70","18,882,179.51","40,408,089.28","31,174,582.15","42,891,708.84","46,711,288.15","52,022,056.43","37,418,762.62","42,098,102.31","40,454,996.77","52,184,597.17","36,635,541.47","32,874,126.42","31,206,335.92","53,750,122.62","33,846,765.81","26,599,656.24","26,818,242.38","49,243,396.77","26,935,530.94","16,302,496.77","12,312,038.04","38,600,934.59","31,561,233.35","31,027,590.45","29,658,009.76","48,254,778.21","25,854,098.83","24,488,900.87","22,308,753.77","45,397,594.17","17,401,639.88"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"8,311,674.65","9,562,517.98","16,290,049.68","24,121,863.53","12,088,133.00","26,617,854.36","29,257,690.73","40,055,345.54","19,353,889.47","34,586,433.08","32,927,372.55","38,512,014.93","29,468,266.48","38,781,644.97","55,570,168.48","58,396,178.49","31,669,790.12","57,638,828.15","59,591,543.70","69,288,746.61","40,103,457.13","51,312,708.80","60,463,003.90","62,636,872.04","34,446,095.26","58,712,818.69","62,885,685.53","68,815,303.45","48,826,578.50","58,433,191.66","78,791,225.88","83,095,736.60","51,413,687.29","79,782,728.37","88,148,622.20","118,987,141.28","60,209,669.59","78,990,582.82"
应付账款,"32,679,708.74","21,146,354.90","28,171,313.46","24,739,900.90","30,729,098.10","33,306,143.79","37,791,433.09","34,822,831.99","37,483,103.90","41,976,556.87","49,329,689.43","50,584,652.78","51,572,130.58","55,638,768.00","51,750,141.69","52,830,864.31","46,970,838.44","51,641,918.29","53,998,905.29","50,056,405.23","52,905,882.86","55,051,193.57","49,969,150.68","48,025,882.31","40,669,582.82","40,863,449.74","37,345,612.18","28,842,464.12","28,726,862.41","31,047,737.57","42,435,638.84","57,510,103.07","40,449,409.20","44,271,604.05","54,664,066.26","72,651,288.97","60,020,382.14","64,947,097.68"
预付款项,"15,929,808.67","31,620,604.94","22,116,088.13","15,746,579.88","8,753,123.70","397,295.05","10,910,772.25","23,751,522.56","35,543,771.35","55,982,370.50","61,748,476.76","73,519,469.05","11,703,027.63","12,151,207.93","12,131,120.90","16,714,428.97","13,942,201.59","31,905,221.80","2,674,877.51","26,668,574.33","690,474.02","1,004,373.30","972,541.19","1,034,316.07","25,851.55","366,428.04","195,553.51","149,940.70","207,622.96","921,072.73","2,159,103.62","18,552,067.53","2,993,825.88","24,036,216.54","11,901,641.40","8,788,157.44","15,444,188.47","62,141,674.51"
预收款项,"10,313,106.38","10,763,199.22","8,721,289.76","6,991,836.16","10,928,053.84","8,044,333.26","12,024,795.72","7,167,656.80","8,058,302.85","8,933,777.68","9,293,742.75","8,888,328.09","5,779,274.32","12,648,980.53","2,360,692.91","1,154,874.51","4,294,218.90","4,144,988.97","3,203,100.65","1,309,853.74","3,605,704.81","1,044,229.92","2,117,310.68","1,714,942.36","2,967,797.32","985,822.42","1,467,770.78","517,029.37","1,033,874.45","722,195.34","1,396,427.65","3,891,554.36","11,991,193.77","10,566,215.45","10,920,290.10","3,762,662.53","15,230,324.23","1,086,232.22"
其他应收款,"324,815.88","249,265.00","275,434.06","282,796.03","189,875.33","231,434.72","394,527.86","289,320.00","20,881.00","192,396.47","351,737.97","317,271.29","34,501.95","178,145.75","397,295.00","349,843.48","99,701.49","723,751.52","373,973.81","507,087.09","10,246,509.01","2,721,956.56","340,644.35","341,054.75","546,448.76","1,071,122.31","509,152.78","453,635.04","11,699.72","256,036.06","798,495.99","441,331.27","286,258.47","1,307,079.77","446,387.60","562,428.33","337,391.93","590,956.87"
应付职工薪酬,"8,878,218.68","7,869,664.65","7,583,866.88","7,132,220.56","9,557,550.82","7,680,291.36","5,791,635.44","5,493,255.25","8,706,129.67","5,215,145.60","4,747,335.53","4,549,665.78","6,869,542.73","3,053,940.94","3,153,056.17","3,083,961.69","5,336,146.09","3,202,763.74","3,292,495.99","3,090,778.28","4,973,064.16","3,492,136.91","3,675,391.09","3,543,825.22","6,408,414.66","4,679,198.98","4,138,984.68","4,355,477.21","5,902,311.37","4,723,805.97","5,459,126.54","5,678,337.27","9,159,871.93","7,301,394.75","5,153,170.10","5,198,271.90","11,504,065.17","8,688,467.26"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"8,778,514.22","1,777,216.74","6,489,335.30","3,801,792.86","1,425,356.54","2,429,914.40","6,280,666.30","3,896,300.78","5,351,483.94","1,286,558.18","4,163,252.47","1,870,266.49","2,640,035.19","-63,591.46","4,695,742.92","3,505,200.32","1,862,153.83","3,263,531.89","4,925,939.08","3,128,567.39","2,438,611.93","3,787,605.90","3,493,620.98","2,666,125.71","3,241,262.50","2,294,664.55","3,377,963.60","3,093,751.54","2,078,259.61","3,813,319.81","9,225,104.49","5,905,335.29","2,149,609.48","3,870,545.81","4,144,546.33","5,243,349.84","12,585,160.81","12,426,960.94"
应收利息,,,,,,,"5,427,123.29","4,165,890.41","10,003,808.22","5,824,356.18","10,361,061.66","7,863,561.66","13,900,931.52","1,908,493.15","6,102,465.75","4,481,917.80","10,089,041.09","864,143.83","5,594,452.05","4,120,821.91","8,702,431.50","918,458.89","7,197,465.73","5,826,232.85","11,300,993.13","11,300,993.13","18,567,393.12","18,392,226.00","25,821,931.54","23,418,717.36","25,904,246.59","24,463,698.64","26,820,410.96",,"466,838.78",,,
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,"4,420,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
