科目,2011年度,2012年度,2013年1-3月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"415,278,163.81","623,731,061.36","129,991,830.52","729,774,528.23","192,766,822.12","471,282,281.64","710,015,519.35","1,079,466,179.21","217,476,945.10","455,433,885.48","701,850,861.44","1,013,538,570.32","220,632,470.49","508,674,172.09","795,984,394.27","1,165,998,433.50","197,254,424.72","511,898,498.99","883,388,230.45","1,547,386,406.42","334,088,608.16","840,326,445.79"
二、营业利润,"64,252,626.54","115,461,480.05","23,748,653.81","128,671,606.76","31,837,968.43","89,885,431.86","126,411,350.02","178,260,850.39","34,396,010.62","54,520,803.69","97,152,618.34","143,745,474.07","31,521,378.52","74,942,498.03","111,627,223.02","172,467,183.33","8,309,960.17","28,656,204.31","49,276,320.27","112,040,864.31","26,312,851.04","115,778,613.27"
减:营业成本,"277,513,809.50","396,493,651.44","80,482,646.43","468,947,309.56","127,087,021.99","306,570,225.26","467,005,235.95","717,003,889.05","146,799,418.33","310,122,774.03","469,194,423.13","679,897,780.41","138,255,428.71","335,960,484.63","524,922,307.34","760,889,745.50","124,929,616.71","326,559,087.64","558,835,165.25","985,831,904.01","212,443,032.27","537,877,352.95"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,069,699.39","4,722,598.94","878,169.16","4,257,273.19","2,465,761.62","3,941,811.28","5,845,523.52","8,351,537.30","2,965,202.18","4,044,747.27","4,830,584.80","6,191,218.64","2,072,257.63","4,043,464.41","4,602,700.80","6,089,009.57","2,853,256.87","4,976,320.55","6,652,912.29","8,858,761.95","3,409,211.91","5,748,835.93"
营业外收入,"1,091,463.14","1,626,893.72","485,434.00","4,922,795.52","910,467.28","1,140,438.08","2,970,988.16","4,576,504.30","1,916,983.21","2,272,136.93","2,976,811.94","6,629,284.53","26,737.26","1,195,826.76","3,948,646.40","10,264,671.65","5,606,122.78","6,133,450.09","7,287,104.83","5,859,766.10","70,170.96","2,439,036.12"
销售费用,"33,868,019.57","53,352,852.57","11,981,275.35","64,831,536.20","16,858,726.74","40,427,294.82","64,178,369.96","99,425,528.59","17,810,776.87","46,473,162.99","74,475,693.35","102,036,292.27","25,477,898.67","53,931,289.72","85,490,224.37","118,457,912.54","24,159,600.08","70,784,172.88","122,577,006.43","176,938,960.03","46,083,625.59","114,429,687.42"
减:营业外支出,"186,054.47","12,654.57","10,269.93","34,253.79","4,302.49","20,430.50","21,437.52","473,364.96","121,025.69","2,146,781.56","2,376,999.15","3,785,403.88","233,938.23","259,083.73","610,466.34","3,746,703.87","97,815.88","169,425.87","217,273.35","249,311.11","53,572.30","550,660.33"
管理费用,"35,683,578.76","48,749,349.52","11,384,302.67","56,448,536.61","15,633,023.40","34,414,635.70","56,284,096.65","82,638,805.53","24,752,173.95","52,339,239.51","80,650,144.17","107,294,157.40","22,638,488.56","54,696,921.81","89,622,258.67","129,819,375.89","34,410,966.27","70,580,763.23","112,014,271.65","190,004,793.21","36,262,687.25","76,983,947.16"
其中:非流动资产处置净损失,"6,377.09","12,654.57","10,269.93","34,253.79","4,302.49",,,"464,678.12",,"146,781.56",,"918,969.24",,"197,980.34",,"2,526,189.29",,"70,040.16","77,738.32",,,
