科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
其他应收款,"8,115,874.44","3,357,884.70","2,536,351.82","10,059,376.24","6,984,367.37","6,558,026.36","7,228,629.57","11,705,234.35","10,940,786.19","9,421,058.59","9,867,283.27","15,980,963.91","37,634,043.25","30,374,474.02","38,257,128.73","20,042,666.00","39,063,314.59","82,129,035.01","25,240,202.05","50,193,223.42","25,034,411.21","28,781,910.38","17,074,951.33","12,480,081.09","2,667,596.34","3,083,584.70","3,058,372.91","29,018,203.52","15,792,279.37","22,103,799.57","26,817,652.61","19,336,977.36","19,929,072.24","20,244,894.91","20,939,713.86","8,272,306.92","5,508,272.58","72,217,131.40","67,490,851.01","69,249,476.90","92,430,359.08","24,953,395.87","46,446,465.44"
应付职工薪酬,"141,507,203.10","146,523,329.11","151,474,238.20","96,593,037.42","81,456,657.67","70,126,568.72","76,799,065.76","78,244,431.13","79,299,393.49","88,910,729.45","91,861,459.84","100,227,635.07","89,113,040.77","91,938,093.70","95,111,741.15","109,312,824.37","104,043,790.78","97,919,914.74","84,229,210.84","105,017,420.78","88,017,658.27","88,824,870.52","89,428,502.89","90,136,010.60","91,189,163.55","95,734,181.22","96,750,254.98","22,380,383.72","84,076,169.13","94,628,508.37","97,569,128.32","64,880,697.61","89,321,760.74","96,896,074.86","106,008,778.60","53,705,505.62","82,126,937.88","225,495,812.74","245,107,476.76","214,784,840.70","258,542,190.63","272,424,793.30","292,033,942.91"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"1,214,691,309.21","1,298,573,572.04","1,255,099,626.03","1,302,163,532.99","1,237,773,465.59","1,243,288,260.56","1,067,427,743.65","163,182,704.93","-74,754,433.43","-60,875,129.11","32,979,600.23","-186,102,776.26","-152,793,821.63","-359,878,058.00","-33,212,258.68","4,501,608.87","17,465,145.23","-40,159,806.74","-45,448,157.93","-14,923,082.75","-40,648,850.76","-60,197,091.65","-40,092,898.84","1,822,415.21","-3,330,565.18","472,803.80","116,429.48","872,044.68","22,173,693.13","3,282,390.70","65,071,333.07","235,049,716.98","235,706,165.43","50,345,107.59","13,108,614.47","54,669,280.48","74,989,718.25","107,504,783.49","152,513,210.47","176,444,805.69","295,868,815.75","77,619,352.46","200,594,042.62"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,"9,275,929.16",,,,,,"19,086,934.18",,,,,,,,,,,,,,,,,,,,,,"13,800,627.51","12,208,441.67","8,453,566.67",,,,,,"37,599,999.99","75,199,999.98","113,176,623.95","28,195,312.36","107,036,872.31","185,899,355.81","260,566,666.64"
应收股利,,"108,652,000.00","37,792,000.00",,,,,,,,,,,,,,,,,,,,"274,685,418.30",,,"38,910,525.70",,"257,187,176.75","257,187,176.75","109,290,970.64",,,,"311,886,996.10",,,,"157,574,690.05",,,,"298,337,125.03",
应付股利,,,"3,000,000.00",,,,,"11,086,934.18","11,086,934.18","11,086,934.18","16,496,673.78","8,496,673.78","8,496,673.78","8,496,673.78","8,496,673.78","7,269,642.01","7,269,642.01","303,922,247.71","7,269,642.01","7,269,642.01",,,,"1,199,137.07","1,199,137.07","1,199,137.07","1,199,137.07",,,,,,,,,,,,,,,,
存货,"1,181,128,228.18","1,205,430,281.95","1,149,511,930.74","1,283,001,914.80","1,582,747,622.92","2,364,178,025.39","3,327,332,925.41","1,561,298,159.90","1,784,370,543.33","1,622,882,582.99","1,892,400,227.83","1,881,325,014.55","2,265,706,676.90","2,509,845,265.11","2,124,477,873.61","1,486,681,980.07","1,522,416,680.59","1,605,197,360.59","1,635,391,903.72","1,542,532,030.32","1,543,414,315.03","1,494,400,799.81","1,291,428,045.12","1,213,667,333.84","1,192,958,710.21","1,144,454,681.89","1,187,464,815.00","1,031,596,638.15","4,220,510,322.32","4,157,491,589.13","4,174,353,749.33","4,183,752,390.74","4,372,874,400.44","4,212,618,388.23","4,248,623,432.47","3,603,162,154.73","3,439,985,063.38","5,774,083,850.92","4,786,144,248.22","5,934,145,540.16","6,035,883,446.66","5,941,526,862.70","6,150,422,882.23"
其他应付款,"83,228,260.58","84,851,432.89","92,311,576.54","410,048,149.36","416,282,710.91","413,003,690.45","422,040,293.96","428,398,088.52","361,777,783.83","369,021,520.10","376,617,358.43","335,736,809.37","328,196,852.38","401,095,451.93","403,085,966.26","415,630,669.54","410,096,846.00","401,161,711.66","423,765,294.07","422,505,887.47","431,511,322.68","449,161,181.05","447,912,795.77","460,981,518.51","484,715,604.12","499,963,236.11","505,551,472.00","90,321,782.65","8,353,343,571.26","8,273,007,537.62","8,089,048,733.29","5,171,408,623.84","4,664,759,167.38","5,065,761,076.03","5,122,161,503.27","3,752,509,199.89","3,836,511,076.01","10,862,161,119.78","8,648,919,911.14","3,130,389,021.15","3,522,722,082.50","3,699,987,094.22","4,128,589,846.50"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
