科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"96,791,984.98","176,148,275.92","212,493,482.52","171,493,011.55","508,834,648.99","465,507,808.88","311,599,699.66","467,846,260.95","362,593,887.41","512,929,490.26","459,391,785.16","442,459,002.54","324,551,544.31","384,417,695.79","370,540,226.47","398,092,986.11","394,455,775.13","303,396,258.58","405,216,072.87","640,030,264.60","722,588,998.45","449,093,235.43","438,140,284.56","457,529,557.59","636,135,853.52","537,220,481.27","546,650,441.05","815,915,789.08","723,233,882.31","796,039,363.74","956,668,516.87","743,707,526.37","1,260,434,775.20","1,124,313,551.36","1,119,988,926.60","1,390,606,163.84"
短期借款,"85,500,000.00","63,000,000.00","60,600,000.00","30,000,000.00",,,,"3,000,000.00",,,,,,"10,000,000.00","10,000,000.00","35,000,000.00","14,500,000.00","113,000,000.00","112,944,968.00","522,000,000.00","895,000,000.00","1,055,000,000.00","1,130,000,000.00","1,453,041,010.61","1,740,000,000.00","1,503,000,000.00","1,435,000,000.00","1,704,000,000.00","1,674,436,490.96","1,696,600,000.00","2,077,700,000.00","2,114,800,000.00","2,120,000,000.00","2,068,659,540.11","2,564,659,540.11","2,826,659,540.11"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"4,257,936.58","10,384,947.45","5,721,911.80","3,889,617.20","2,510,948.30","2,284,902.87",,"3,022,374.00","3,357,884.00",,"2,381,921.50",,"1,420,700.00","1,357,500.00","2,215,708.96","4,185,526.00","4,277,264.00","10,530,240.00","10,950,182.00","6,678,858.00","6,876,840.00","17,965,110.00","16,715,992.04","16,984,120.00","16,660,680.20","22,613,061.15","23,797,542.00","12,238,508.90","20,085,340.00","32,246,740.58","35,446,213.18","28,216,950.44","39,646,420.66","81,776,237.49","62,198,719.24","35,656,139.72"
应付票据,,,,"43,693,435.86","28,562,600.09","24,898,785.38","4,978,062.23","41,408,813.69","14,502,415.13","62,448,872.99","22,187,490.81","22,187,490.81","15,216,129.93","74,614,387.28","28,839,952.48","1,000,140.00","36,373,018.31","95,624,627.23","9,306,710.91","5,553,427.91","13,060,533.60","10,494,134.87","4,863,150.01","20,406,667.10","45,305,890.69","56,504,168.85","38,789,407.90","48,432,998.13","94,000,000.00","196,722,322.97","101,751,270.66",,"117,925,195.89","288,779,486.34","250,004,403.56","237,823,482.54"
应收账款,"112,862,048.59","133,217,393.26","178,711,200.25","208,567,678.28","228,460,220.16","282,700,615.89","310,821,021.24","364,015,391.70","416,022,116.33","428,840,897.96","488,759,027.74","589,201,744.97","660,875,585.85","744,432,089.43","782,207,321.16","841,866,297.06","1,007,765,246.00","1,320,974,345.55","1,379,167,380.09","1,649,076,151.56","1,917,127,420.66","2,324,100,057.72","2,556,652,181.19","2,984,907,207.13","3,182,919,235.09","3,145,312,234.16","3,552,292,577.85","3,778,766,927.94","4,022,522,785.62","4,079,691,980.26","4,311,172,706.25","4,850,997,552.34","4,368,967,566.64","5,104,577,852.45","5,532,780,124.26","5,995,776,762.87"
应付账款,"108,803,495.12","163,347,504.61","228,171,978.39","222,988,804.86","225,444,889.70","320,328,710.19","213,701,609.47","276,172,196.50","294,981,395.12","365,456,001.43","435,348,338.33","596,298,965.97","573,706,356.76","642,193,507.56","727,095,933.03","744,404,824.47","968,090,307.02","1,015,223,043.32","1,034,673,118.47","1,262,145,275.64","1,248,939,624.53","1,286,554,381.88","1,491,717,422.13","1,525,258,696.31","1,458,821,826.69","1,720,711,745.28","1,676,110,298.20","2,077,515,967.56","2,261,862,923.28","2,180,401,877.02","2,194,553,738.86","2,616,729,847.01","2,831,544,182.98","2,410,800,634.51","2,697,735,190.48","2,858,788,587.65"
预付款项,"83,074,945.97","6,781,393.80","11,434,857.13","9,553,247.20","5,918,363.47","46,429,041.25","23,583,057.12","15,930,386.95","684,393.98","30,308,420.00","11,292,274.33","8,902,339.93","13,125,268.82","19,421,229.66","9,393,374.52","13,789,870.17","12,311,850.89","58,626,075.14","16,873,735.90","23,455,000.95","37,981,189.08","91,345,768.37","64,265,627.62","67,463,194.08","40,613,281.04","104,755,907.68","60,683,000.35","83,515,000.11","106,236,669.67","138,888,264.12","94,673,115.17","112,672,500.01","180,987,636.86","183,179,076.93","241,860,727.30","302,038,304.25"
预收款项,"1,394,785.18","572,308.28","414,551.14","380,035.95","875,171.32","3,082,400.97","6,940,059.26","4,321,167.38",,"1,657,314.50","146,243.90","5,196,620.00","288,396.86","802,569.17","23,231.60","1,144,407.98","40,725.52","1,699,161.64","12,616,067.85","6,443,247.55","790,535.55","9,341,468.73","1,699,361.25","1,003,929.69","14,826,253.68","37,714,345.89","29,006,772.56","66,127,840.25","51,504,780.05","111,135,989.39","120,458,570.70","111,349,004.30","99,911,457.76","93,506,568.50","135,712,722.90","128,300,293.83"
