科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"36,916,305.04","73,607,120.71","59,792,579.99","145,731,415.40","101,973,355.54","173,053,150.27","238,258,165.65","104,751,988.97","223,103,383.88","355,895,566.29","598,555,886.31","275,808,462.04","552,975,255.68","828,735,210.47","1,167,307,146.72","341,886,400.32","751,920,231.09","1,365,272,776.92","2,361,244,730.86","1,026,947,707.76","2,938,801,853.16","4,745,146,054.66","6,818,938,622.38","2,133,457,686.29","4,460,713,020.06","8,374,974,349.15","13,016,725,124.12","4,634,512,164.20","10,056,558,911.77","16,773,829,590.55","21,950,951,410.47","4,906,428,614.52","5,540,886,553.04","6,094,642,044.27","7,025,215,802.22","428,543,205.74","983,775,013.66"
二、营业利润,"14,920,483.69","31,687,234.76","19,747,702.37","47,423,819.37","32,713,366.63","54,275,535.87","72,926,101.82","34,692,464.91","71,198,681.39","109,327,449.25","161,361,770.12","58,761,304.16","102,027,231.07","133,738,433.69","197,411,228.59","82,042,966.73","130,986,107.16","181,731,968.89","236,707,644.84","43,771,273.57","52,512,352.36","12,628,704.71","47,866,453.36","23,108,037.91","73,363,015.23","54,166,635.61","69,422,832.97","122,848,420.46","28,372,297.48","24,478,800.60","-337,499,261.08","239,144,767.31","-1,094,426,710.21","-2,860,726,216.59","-17,408,447,243.49","-445,053,694.47","-1,309,541,050.80"
减:营业成本,"11,821,791.91","14,850,092.14","21,134,492.46","49,551,009.37","34,992,303.47","58,881,275.32","80,214,851.97","38,086,681.52","86,194,524.37","139,195,015.02","275,090,733.33","153,294,269.01","320,848,865.30","504,623,220.59","684,246,822.49","186,947,889.82","453,704,141.85","910,887,880.79","1,668,684,007.47","803,278,083.26","2,487,947,546.42","4,081,610,878.55","5,828,133,468.42","1,866,500,640.98","3,787,893,148.04","7,370,724,878.09","11,112,009,123.84","3,909,094,399.00","8,558,379,982.94","14,245,707,962.32","18,229,220,564.66","3,573,190,570.93","5,614,535,512.20","7,081,314,648.34","9,706,710,025.61","530,487,372.88","1,472,461,188.60"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,218,238.06","2,991,417.66","2,684,574.54","6,468,272.51","4,624,116.79","7,701,217.60","10,159,858.87","6,384,579.96","9,580,628.71","15,694,669.81","29,951,803.73","14,292,110.83","31,744,242.46","39,552,084.32","45,132,765.55","4,961,597.56","6,793,318.69","11,531,587.32","25,921,973.19","5,062,057.69","14,729,224.54","14,287,081.27","56,848,870.42","8,617,821.95","16,782,339.68","27,586,610.78","94,680,829.11","12,013,744.15","29,996,246.61","48,600,322.08","152,575,155.84","15,417,466.24","21,550,676.54","23,019,783.33","19,761,340.58","333,775.22","1,537,354.09"
营业外收入,216.00,0.77,,"343,823.63",,,"2,000,000.00",,,"2,537,700.00","2,887,700.00","4,111,800.00","6,814,800.00","23,032,800.00","31,100,500.00","158,700.00","2,558,700.00","9,483,070.00","10,694,405.72",,"13,364,106.70","13,511,172.30","27,556,349.09",276.56,"50,635.80","34,641,709.79","44,987,912.96","102,963.92","17,973,441.38","24,612,814.72","46,601,816.72","23,824,799.30","548,060.43","3,741,492.32","18,062,969.49","70,291.90","15,787,023.39"
销售费用,"5,805,870.97","18,297,251.94","12,341,828.90","28,920,126.14","22,455,248.26","40,609,138.75","57,919,042.57","19,704,291.26","40,216,453.47","69,280,089.89","96,315,718.62","27,073,627.39","56,930,976.70","85,521,702.73","133,586,195.97","30,762,528.91","65,765,728.31","110,849,982.05","194,520,082.60","102,396,489.15","204,615,005.91","355,894,549.90","489,035,465.49","161,772,442.53","442,883,846.04","629,421,133.10","1,040,736,778.35","386,692,167.42","909,152,985.83","1,636,940,879.83","2,365,883,026.28","830,047,756.53","501,612,381.30","741,217,973.06","1,714,570,749.99","65,440,122.64","189,301,680.42"
减:营业外支出,"237,222.30","10,000.00","65,356.90","65,356.90","50,000.00","50,000.00","89,481.25",,,,"5,000.00",0.09,,,"500,000.00",,"1,000,000.00","1,000,000.00","1,001,167.33",,"361,293.00","483,458.66","2,523,697.61","3,624.98","3,624.98","566,441.50","40,241,523.84","136,303.00","303,832.65","865,733.48","37,811,076.51","783,312.27","1,748,261.95","1,867,193.02","71,345,250.06","200,000.78","271,300.95"
管理费用,"2,916,798.09","5,647,441.35","4,486,200.49","8,754,562.67","5,048,625.24","7,957,713.01","11,602,932.65","5,232,047.01","10,401,581.45","16,762,454.02","30,508,708.30","15,175,757.87","26,539,044.11","41,471,732.22","57,784,961.58","14,387,067.87","32,803,373.32","59,066,883.99","89,988,324.29","31,782,878.27","75,868,697.72","127,952,076.22","175,454,652.60","58,801,948.58","121,086,828.08","212,487,633.71","309,492,095.22","116,448,872.38","242,190,634.81","399,556,960.01","596,273,473.81","148,010,853.76","311,220,682.38","609,795,815.60","1,402,733,564.93","109,685,402.58","206,497,432.30"
其中:非流动资产处置净损失,"11,352.30",,"65,356.90","65,356.90",,,"39,481.25",,,,,,,,,,,,"1,167.33",,,,"474,357.08",,,,"37,634,806.94",,,,"35,423,474.44",,,,,,
