科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"154,198,498.41","159,676,562.98","221,535,790.44","148,991,167.16","308,185,109.22","71,601,157.55","123,817,146.00","184,370,954.07","349,626,946.02","45,222,958.55","134,617,930.00","219,139,972.12","479,676,096.52","174,681,509.08","357,246,401.96","558,559,323.84","928,183,399.31","247,736,647.20","575,177,931.64","857,113,654.99","1,331,094,163.94","331,741,635.12","519,106,190.18","771,299,880.42","1,135,626,040.12","162,434,965.94","442,870,116.73","640,185,216.53","1,257,998,403.45","512,721,456.02","877,638,470.92","1,126,948,637.43"
取得子公司及其他营业单位支付的现金净额,,"6,919,121.55",,,,,,,,,,,"41,118,461.96","40,505,743.35","117,209,565.35","238,798,223.35","238,663,806.62",,,"9,401,543.96","511,356,555.38",,,,,,,,,,,"15,569,732.23"
收到的税费返还,"1,803.51","991,982.81","146,984.92","3,167,971.05","4,236,872.12","64,732.27","8,034,963.10","10,077,913.12","15,357,239.53",,"9,600,473.70","12,833,167.49","18,763,365.58","283,064.93","1,403,162.69","2,115,635.93","5,807,680.17","9,545,216.84","17,133,481.66","17,466,257.17","17,504,771.31","16,603,255.91","22,003,791.20","22,802,403.71","73,965,210.97","12,017,589.76","23,643,708.90","29,450,678.48","32,952,380.18","5,620,551.46","23,355,699.76","31,764,059.58"
支付其他与投资活动有关的现金,,,,,,,813.50,"181,721.36","6,480,541.61","628,301.67","14,941,180.91","16,487,479.49","23,902,439.64","2,173,648.34","3,869,676.69","5,258,071.38","39,265,551.78","21,094.71","29,487,848.59","29,590,408.96","29,959,197.61","149,326.19","2,561,429.70","3,028,523.20","3,629,624.32","295,808.62","3,027.97","5,588.53","6,803,697.08","310,501.62","349,710.02","453,599.50"
收到其他与经营活动有关的现金,"2,774,345.85","3,171,472.33","19,033,950.56","27,730,430.09","44,356,258.82","2,445,654.25","26,681,533.25","31,039,330.12","37,191,269.95","7,352,074.61","14,024,163.83","33,897,419.08","50,139,723.09","11,156,399.74","34,998,858.82","51,273,899.91","76,892,446.73","14,441,991.76","57,542,596.65","237,584,057.45","190,863,916.46","15,512,127.05","70,298,042.57","152,321,709.24","184,534,571.33","30,685,068.59","74,195,970.49","89,816,021.02","78,301,846.36","74,489,211.40","110,236,917.43","206,655,299.35"
投资活动现金流出小计,"597,090.00","24,471,564.14","49,941,768.83","7,718,538.70","13,883,839.74","7,199,433.88","117,207,861.77","163,792,798.99","192,550,929.04","17,671,491.00","73,557,960.41","113,625,902.54","204,382,703.68","54,632,635.36","170,817,382.03","312,598,329.69","361,996,034.92","11,995,393.50","54,575,625.53","243,256,459.17","632,944,509.93","28,834,658.16","48,745,557.27","175,649,449.06","218,923,351.74","13,387,709.90","31,492,229.39","401,658,494.58","475,853,963.19","124,572,591.77","161,046,718.58","548,393,414.97"
经营活动现金流入小计,"156,974,647.77","163,840,018.12","240,716,725.92","179,889,568.30","356,778,240.16","74,111,544.07","158,533,642.35","225,488,197.31","402,175,455.50","52,575,033.16","158,242,567.53","265,870,558.69","548,579,185.19","186,120,973.75","393,648,423.47","611,948,859.68","1,010,883,526.21","271,723,855.80","649,854,009.95","1,112,163,969.61","1,539,462,851.71","363,857,018.08","611,408,023.95","946,423,993.37","1,394,125,822.42","205,137,624.29","540,709,796.12","759,451,916.03","1,369,252,629.99","592,831,218.88","1,011,231,088.11","1,365,367,996.36"
投资活动产生的现金流量净额,"-597,090.00","-24,445,564.14","-49,911,639.91","-7,666,538.70","-13,679,839.74","-7,199,433.88","-117,189,448.38","-163,563,798.99","-192,321,929.04","-17,671,491.00","-72,133,960.41","-112,171,902.54","-202,909,605.73","-50,629,252.03","-166,813,398.70","-308,594,346.36","-355,960,407.15","-11,995,173.50","-54,575,405.53","-236,243,816.16","-586,933,195.99","-20,020,080.08","-39,930,979.19","-171,834,870.98","-210,088,929.87","-13,312,738.83","-31,416,943.15","-401,582,430.32","-473,812,496.58","-124,527,455.38","-157,108,724.15","-544,453,548.70"
购买商品、接受劳务支付的现金,"75,307,801.83","114,495,930.50","110,575,767.24","72,222,702.05","181,344,113.51","81,755,839.44","134,168,004.22","185,391,775.84","260,651,862.84","85,867,056.67","133,590,022.75","186,966,947.39","293,872,140.04","194,980,438.97","358,198,121.45","520,327,780.52","760,397,501.75","230,468,422.30","446,178,551.65","628,720,803.81","901,957,704.78","241,653,461.02","491,082,205.10","704,858,769.33","888,795,760.12","221,691,097.51","395,657,646.69","651,340,629.26","901,101,496.30","297,350,863.21","566,407,661.25","828,222,415.64"
吸收投资收到的现金,"9,439,328.54","63,000,000.00",,,,"832,300,000.00","832,300,000.00","832,300,000.00","832,300,000.00",,,,"200,000.00","3,076,857.00","4,076,857.00","9,776,857.00","18,176,857.00",,,,"2,450,000.00","574,975,000.00","575,225,000.00","577,761,020.00","676,625,000.00","65,000,000.00",,,,"5,500,000.00","10,500,000.00","10,500,000.00"
支付给职工以及为职工支付的现金,"10,268,794.54","12,866,142.69","21,946,087.63","17,339,339.39","32,687,643.55","15,698,545.65","25,211,753.70","36,008,916.07","47,039,069.65","18,905,447.34","34,418,025.15","48,706,338.79","64,455,537.87","25,191,421.65","50,692,170.16","75,958,306.32","102,437,078.19","33,910,030.42","59,354,459.20","88,993,308.47","120,250,626.84","43,521,840.65","76,663,711.72","114,645,540.24","149,380,260.25","40,916,369.00","76,397,481.54","113,445,698.93","151,020,113.32","53,021,995.91","91,633,035.82","137,313,885.05"
取得借款收到的现金,"20,360,000.00","30,000,000.00","50,000,000.00","52,000,000.00","90,000,000.00","16,000,000.00","17,000,000.00","17,000,000.00","44,000,000.00",,,,"50,250,000.00","29,983,879.78","30,974,325.00","178,897,024.15","257,710,534.52","40,950,620.64","119,948,473.64","448,650,588.64","788,650,588.64","23,000,000.00","193,000,000.00","465,789,972.00","486,789,972.00","219,793,687.02","809,352,768.53","1,219,670,520.90","1,415,219,616.63","215,675,475.46","484,343,337.31","942,824,568.89"
支付的各项税费,"14,266,124.07","16,217,473.30","20,738,280.59","17,074,533.24","34,743,167.60","17,314,253.82","21,517,495.42","27,850,671.34","35,277,204.29","17,184,359.92","19,908,265.82","32,514,351.38","39,314,628.64","25,323,794.14","36,990,674.33","48,858,054.81","60,090,550.42","30,512,801.21","40,410,314.19","65,132,354.31","87,408,480.56","63,046,688.88","75,690,096.83","99,069,272.17","110,118,564.71","34,293,145.07","54,256,609.74","63,407,301.32","74,349,462.35","14,723,750.36","26,017,149.42","40,458,906.10"
收到其他与筹资活动有关的现金,,"3,000,000.00",,,,"641,357.40","1,491,905.29","2,450,894.22","3,846,419.36","762,344.09","13,761,207.72","15,020,355.33","16,783,892.97","1,105,872.91","6,920,375.70","7,254,868.45","7,335,391.38","23,879.98","43,875.85","44,195.07","58,197,195.07","30,960,000.00","11,260,000.00","11,260,000.00","30,960,000.00","19,700,000.00","19,700,000.00","48,379,229.50","48,452,480.57","50,960,054.94","68,081,394.29","80,231,394.29"
支付其他与经营活动有关的现金,"24,519,954.56","31,596,471.48","43,202,236.34","31,934,266.52","53,980,142.99","13,496,115.95","35,572,786.93","56,078,509.74","67,014,946.56","11,453,376.64","31,704,649.55","77,441,179.95","68,837,922.15","42,365,609.30","72,014,090.84","110,224,634.11","133,381,818.28","49,962,901.38","111,846,848.73","288,500,573.55","323,590,395.69","40,505,463.91","76,356,446.13","116,916,985.30","229,936,549.66","56,000,133.25","113,944,350.02","178,760,025.80","229,356,119.74","80,154,439.84","144,352,368.22","224,726,025.97"
筹资活动现金流入小计,"29,799,328.54","96,000,000.00","50,000,000.00","52,000,000.00","90,000,000.00","848,941,357.40","850,791,905.29","851,750,894.22","880,146,419.36","762,344.09","13,761,207.72","15,020,355.33","67,233,892.97","34,166,609.69","41,971,557.70","195,928,749.60","283,222,782.90","40,974,500.62","119,992,349.49","448,694,783.71","849,297,783.71","628,935,000.00","779,485,000.00","1,054,810,992.00","1,194,374,972.00","304,493,687.02","829,052,768.53","1,763,549,750.40","1,959,172,097.20","272,135,530.40","562,924,731.60","1,033,555,963.18"
