科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"769,378,109.81","736,605,636.53","902,450,083.47","781,026,620.76","1,107,646,212.91","238,788,316.81","557,045,547.31","843,855,176.31","1,141,912,812.72","270,780,828.33","679,020,627.38","1,084,545,651.96","1,670,609,521.10","332,104,430.42","751,769,587.76","1,337,314,377.58","1,815,688,184.52"
取得子公司及其他营业单位支付的现金净额,"8,296,000.00","1,008,993.91",,,,,,,,,"8,834,097.70","8,834,097.70","8,834,097.70",,,,
收到的税费返还,"7,621,406.11","5,319,577.78","329,943.66","1,544,697.47","1,544,697.47","134,643.09","3,283,913.67","3,670,048.91","6,820,644.05","3,331,571.53","7,793,015.77","8,259,273.66","8,896,625.11","3,373,611.34","4,024,288.14","4,476,778.00","4,770,397.22"
支付其他与投资活动有关的现金,,,,"1,383,862.94","1,383,862.94",,"10,800,000.00","18,000,000.00","45,200,000.00",,"171,000,000.00","244,000,000.00","327,000,000.00","41,000,000.00","108,167,028.50","287,217,470.99","430,340,910.99"
收到其他与经营活动有关的现金,"14,821,533.12","40,799,055.25","7,676,395.74","14,105,381.51","18,204,325.02","1,367,929.29","7,568,919.43","13,916,928.71","23,633,177.14","1,817,276.18","6,526,833.14","7,444,497.52","58,763,079.07","8,142,638.05","26,405,403.12","28,816,927.81","72,641,208.09"
投资活动现金流出小计,"81,052,565.38","63,187,694.25","133,476,905.07","180,712,078.80","195,231,874.99","28,243,526.61","44,696,797.46","100,620,725.29","140,259,288.66","31,057,337.61","401,828,825.11","508,764,931.02","609,727,394.76","65,244,828.96","168,328,873.91","369,141,916.62","607,736,486.85"
经营活动现金流入小计,"791,821,049.04","782,724,269.56","910,456,422.87","796,676,699.74","1,127,395,235.40","240,290,889.19","567,898,380.41","861,442,153.93","1,172,366,633.91","275,929,676.04","693,340,476.29","1,100,249,423.14","1,738,269,225.28","343,620,679.81","782,199,279.02","1,370,608,083.39","1,893,099,789.83"
投资活动产生的现金流量净额,"-69,295,043.08","-63,037,751.95","-133,112,993.24","-180,515,477.98","-194,789,071.86","-28,011,584.89","-44,594,013.46","-100,279,327.16","-84,306,056.18","-30,876,754.78","-229,545,540.27","-262,586,583.53","-282,800,999.55","-26,201,849.38","-61,009,100.07","-141,899,143.09","-209,687,757.23"
购买商品、接受劳务支付的现金,"538,201,551.39","499,545,061.94","543,335,159.25","527,956,965.36","737,440,592.43","148,544,743.04","355,938,172.37","477,124,491.05","693,418,921.62","198,109,356.66","362,740,342.36","626,631,233.01","973,005,719.53","295,947,755.16","608,945,782.94","885,525,501.00","1,152,140,041.05"
吸收投资收到的现金,,,"4,900,000.00",,,"360,600,000.00","373,624,000.00","373,624,000.00","374,199,000.00",,,,,,,,"640,463.11"
支付给职工以及为职工支付的现金,"82,365,043.72","118,192,002.18","155,961,800.19","152,614,325.21","197,054,248.59","68,349,083.20","124,274,871.99","175,862,675.61","211,919,462.28","68,248,246.60","135,590,961.55","195,351,698.05","261,521,975.34","75,818,489.13","151,096,640.43","216,519,612.19","288,439,793.91"
