科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"1,394,971,550.13","1,547,376,018.14","1,921,534,960.54","278,514,443.29","735,303,164.97","1,182,901,057.50","2,125,393,654.06","389,074,106.88","928,510,147.85","1,479,615,024.15","2,329,226,695.49","465,979,708.89","1,015,152,907.83","1,722,823,436.04","3,145,377,052.08","489,558,816.61","1,134,244,593.75","1,891,144,056.51","3,636,854,803.15","499,953,828.86","1,602,117,455.33","2,519,590,218.38","4,486,058,365.81","595,030,960.08","1,438,601,808.78","2,426,216,149.67","4,891,256,931.24","863,100,895.97","1,952,571,307.36","3,029,888,346.01","5,832,977,418.98","1,285,111,578.24","2,267,179,440.46","3,289,603,823.72","7,414,301,183.82","907,248,180.39","2,114,411,512.01"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,"27,914,868.71",,,,,,,,,,,,,,,,,,
收到的税费返还,"2,704,211.87","3,077,033.18","1,323,141.31","93,779.06","2,747,993.58","3,012,831.13","3,097,201.85","868,058.72","868,058.72","4,941,593.18","4,941,639.38","1,241,226.18","1,783,277.24","2,463,651.34","2,705,430.91","641,371.86","2,496,447.93","3,345,726.45","14,163,241.65","4,194,164.42","6,407,170.04","7,766,270.26","12,194,296.91","2,973,772.14","10,497,119.79","11,422,894.81","16,394,297.27","7,776,840.82","8,687,263.56","9,558,339.97","19,228,012.89","6,865,864.00","7,185,078.82","11,059,680.66","17,841,265.67","7,262,458.01","9,418,949.15"
支付其他与投资活动有关的现金,,,,,,,,,,,"1,759,844.38",,,,,,,,,,,,,,,,,,,,,,,"3,963,155.37",,,
收到其他与经营活动有关的现金,"236,612,547.02","121,921,939.48","113,245,139.07","44,338,889.46","80,739,603.49","143,023,208.52","173,323,407.18","36,425,463.69","73,940,204.37","111,993,759.05","165,961,147.11","42,456,726.30","92,896,921.40","145,916,720.27","209,750,218.69","82,910,852.85","139,642,751.29","202,074,129.20","325,310,841.28","248,941,774.21","100,270,525.82","227,304,677.90","347,660,611.77","79,480,418.12","245,294,152.80","345,003,891.33","662,855,574.60","76,520,658.52","178,086,622.77","179,002,587.06","426,993,958.41","79,611,281.28","173,502,381.30","296,598,214.01","505,349,018.28","71,997,965.67","159,088,014.43"
投资活动现金流出小计,"29,769,068.04","5,280,438.79","5,924,445.11","348,538.00","2,140,483.00","2,746,085.25","4,491,458.25","1,525,920.00","48,839,523.80","50,379,329.80","54,617,179.18","6,496,585.01","401,787,817.81","405,099,190.80","438,354,915.00","3,143,645.76","36,484,681.77","82,599,536.12","142,218,407.01","2,843,356.32","22,248,888.45","33,148,688.06","139,964,440.02","157,368,922.90","207,946,525.88","316,009,774.04","454,520,623.95","117,855,043.38","169,763,825.95","248,214,294.97","359,717,499.47","23,158,011.29","31,984,280.94","53,499,354.70","80,748,668.41","21,224,576.44","39,999,886.77"
经营活动现金流入小计,"1,634,288,309.02","1,672,374,990.80","2,036,103,240.92","322,947,111.81","818,790,762.04","1,328,937,097.15","2,301,814,263.09","426,367,629.29","1,003,318,410.94","1,596,550,376.38","2,500,129,481.98","509,677,661.37","1,109,833,106.47","1,871,203,807.65","3,357,832,701.68","573,111,041.32","1,276,383,792.97","2,096,563,912.16","3,976,328,886.08","753,089,767.49","1,708,795,151.19","2,754,661,166.54","4,845,913,274.49","677,485,150.34","1,694,393,081.37","2,782,642,935.81","5,570,506,803.11","947,398,395.31","2,139,345,193.69","3,218,449,273.04","6,279,199,390.28","1,371,588,723.52","2,447,866,900.58","3,597,261,718.39","7,937,491,467.77","986,508,604.07","2,282,918,475.59"
投资活动产生的现金流量净额,"2,315,263.78","-5,115,171.43","-5,908,051.11","-348,538.00","-2,076,838.00","-2,679,700.25","-4,389,012.63","-1,525,600.00","-48,308,921.30","-49,702,499.30","-51,768,960.89","-6,496,585.01","-394,827,402.24","-398,138,375.23","-431,108,727.42","-3,141,825.76","-36,482,861.77","-82,590,551.12","-142,107,804.36","-2,842,756.32","-22,224,388.45","-33,007,938.06","-139,642,636.44","-157,366,108.80","-207,900,512.78","-315,962,260.94","-451,747,942.69","-117,840,043.38","-167,935,615.95","-246,386,084.97","-357,111,029.87","-23,154,541.29","-31,968,042.16","-53,479,792.42","-80,562,879.06","-21,201,236.44","-39,976,546.77"
购买商品、接受劳务支付的现金,"1,170,525,710.48","1,288,289,023.10","1,562,017,956.94","389,353,901.42","859,112,398.50","1,274,120,977.67","1,802,917,457.61","530,542,899.21","942,309,120.14","1,544,553,558.95","2,136,251,500.53","464,603,266.73","932,377,162.95","1,518,620,064.96","2,409,872,883.07","767,954,256.16","1,293,937,804.24","1,909,444,065.30","2,752,695,150.63","985,286,090.74","2,050,075,161.98","2,802,618,471.41","3,851,209,183.57","957,823,089.92","1,710,328,763.96","2,680,901,874.44","4,066,807,454.25","1,086,218,748.14","2,252,487,352.01","3,107,241,165.51","4,711,875,455.47","1,311,228,751.88","2,443,021,097.85","3,172,586,089.36","5,907,355,247.89","1,135,696,968.41","2,154,969,380.08"
吸收投资收到的现金,,,,"671,049,200.00","671,049,200.00","671,049,200.00","671,049,200.00",,,,,,,,"1,666,700.00",,,,"152,356,382.40","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","44,041,028.40","39,242,158.77","39,242,158.77","44,041,028.40",,,,,,,,"70,192,250.00","6,000,000.00","6,000,000.00"
