科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"216,199,560.97","487,051,716.64","760,978,188.34","1,242,868,198.62","387,550,095.00","565,915,403.19","868,773,084.13","1,058,124,755.30","147,449,200.24","479,845,688.20","564,822,821.28","1,132,432,157.21","173,043,769.98","902,550,392.15","1,348,640,179.41","1,975,506,596.63","425,831,644.05","900,717,375.20","1,349,859,788.81","2,578,346,213.73","190,888,593.14","1,342,656,060.68","2,123,426,166.76","2,240,288,827.65","359,127,232.49","1,014,056,884.86","1,337,603,482.09","2,692,453,791.47","206,965,960.97","922,434,692.24","1,238,001,955.83","1,537,692,795.86","357,272,039.26","678,243,134.23","768,688,433.11","1,077,707,890.14","305,801,536.34","642,535,422.81","1,063,314,727.95","1,369,594,103.67","313,874,085.94","657,010,553.77","948,476,720.47","1,310,686,562.45"
二、营业利润,"14,337,729.41","45,285,243.27","57,534,883.83","108,977,523.62","30,671,633.47","40,738,434.77","63,904,907.11","5,538,749.22","7,194,548.19","-109,040,680.37","-146,299,921.11","-127,478,065.09","2,562,449.41","15,587,237.40","26,653,048.76","58,256,470.09","27,676,526.52","36,098,999.28","51,651,233.96","70,517,328.17","-12,163,311.78","28,306,079.10","44,009,020.97","83,254,609.20","11,096,756.81","17,220,590.21","32,830,458.85","80,244,936.42","-8,798,909.23","22,137,738.66","37,202,868.18","41,691,602.62","4,041,391.82","-26,217,214.94","-42,360,520.70","-51,732,825.37","-1,431,663.40","3,876,019.56","16,201,493.38","38,354,495.97","-26,300,359.14","-754,368.70","28,712,260.57","64,211,729.50"
减:营业成本,"182,369,920.74","420,461,850.73","668,153,183.32","1,071,117,419.75","342,015,657.57","496,784,384.77","747,860,614.18","939,395,332.24","114,571,644.75","515,411,387.28","606,487,966.17","1,104,566,959.90","161,337,291.32","822,449,542.53","1,207,074,633.74","1,730,287,293.55","314,784,023.20","737,273,383.33","1,112,376,975.73","2,145,979,060.11","147,494,915.98","1,092,901,813.95","1,724,029,019.80","1,756,382,148.78","248,836,805.57","779,424,557.76","988,164,923.03","2,096,335,965.56","151,386,714.11","698,765,063.38","906,796,122.45","1,130,742,922.46","262,314,433.75","488,454,692.64","583,298,973.96","862,540,854.00","247,306,988.32","536,544,385.91","869,369,957.55","1,055,012,475.37","243,885,451.78","508,888,432.97","715,605,665.93","967,880,982.85"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"6,286,010.58","12,688,483.62","17,288,572.14","29,308,162.50","7,465,094.37","10,171,367.29","19,392,311.27","22,732,677.82","7,941,211.63","28,287,307.98","31,080,522.02","62,966,013.63","841,996.60","33,666,208.60","48,083,550.56","76,561,253.00","14,368,650.09","27,187,779.89","37,894,286.03","114,008,251.01","4,116,030.28","57,020,906.43","94,359,723.03","103,022,723.57","20,655,954.09","52,598,368.90","60,065,190.02","159,817,853.15","4,570,684.39","35,691,196.08","47,915,921.33","24,768,843.16","22,542,446.64","36,579,459.31","42,531,107.89","46,046,449.10","11,723,055.19","14,908,715.00","17,892,230.14","23,374,381.79","4,960,237.53","10,308,933.76","15,107,871.60","20,063,177.66"
营业外收入,800.00,"1,105,685.78","1,155,363.78","8,586,095.63","1,495,618.26","8,931,260.08","12,420,722.11","12,421,622.85",,"135,498,377.61","136,663,065.36","191,668,995.41","3,842,950.00","3,931,940.00","4,044,264.00","13,868,875.44","1,048,916.44","9,422,632.06","11,481,682.06","27,128,044.85","18,948,659.53","18,248,214.17","24,994,764.17","36,518,676.84","1,539,599.05","22,926,930.97","23,475,258.49","6,762,433.17","7,409,802.28","13,906,822.67","19,525,591.73","13,911,755.88","697,471.61","3,583,557.60","5,614,016.25","17,232,993.32","1,803,044.18","4,445,986.22","7,321,277.23","12,235,054.91","2,590,449.70","2,629,105.42","3,185,238.36","3,903,780.27"
销售费用,"3,028,101.17","4,007,538.30","4,732,698.41","3,591,948.46","1,408,608.07","1,511,449.53","1,584,318.23","1,759,250.43","47,133.18","149,527.22","1,197,682.77","1,981,240.83","1,638,949.42","3,489,362.71","5,691,368.53","8,196,416.67","3,371,157.90","4,651,421.34","7,123,751.54","7,975,898.90","174,232.60","568,303.29","1,263,312.44","2,090,345.46","684,879.27","1,426,671.45","2,236,576.60","3,511,280.39","2,848,023.72","6,263,445.88","10,866,057.59","18,195,378.87","5,437,083.45","11,940,338.14","17,389,941.94","33,375,789.36","3,942,820.78","15,969,293.92","21,187,057.80","43,013,653.56","17,071,812.02","24,810,766.78","30,895,074.36","37,132,534.55"
减:营业外支出,"498,684.60","1,207,795.69","1,722,554.12","3,356,800.48","774,131.84","727,903.39","2,895,016.59","7,592,786.94","111,859.65","1,903,372.74","2,239,301.00","2,991,605.66","139,224.36","1,050,648.01","1,596,015.66","2,136,782.91","584,603.52","2,604,825.15","3,167,553.75","9,152,193.77","593,161.56","1,657,248.06","3,061,106.59","5,240,159.95","1,062,661.49","1,802,304.30","3,273,099.24","5,136,899.99","554,843.71","7,251,193.00","7,576,140.76","2,926,910.94","336,345.07","3,079,653.19","3,407,616.77","5,183,129.89","81,480.80","-563,086.22","234,509.28","1,937,305.16","474,104.59","11,742,657.06","12,538,943.96","7,797,435.25"
管理费用,"6,225,118.06","9,876,425.19","13,808,325.87","18,616,955.74","8,220,477.34","13,737,516.55","21,568,567.28","30,713,321.59","7,198,541.80","14,145,019.32","20,047,477.74","29,985,791.86","9,597,886.90","18,319,526.81","28,743,103.23","47,143,895.20","11,023,461.97","20,912,671.68","35,250,691.70","55,910,550.57","13,660,643.58","27,664,977.69","41,010,850.81","59,974,499.83","15,297,458.41","30,751,188.53","48,165,902.12","68,964,609.47","19,092,572.86","36,777,167.48","53,810,300.66","76,140,534.37","17,923,174.19","42,397,871.55","60,055,715.93","82,929,773.16","15,818,375.36","34,601,992.00","74,532,950.81","115,278,938.45","33,431,459.37","63,171,890.43","87,180,901.42","130,808,603.05"
其中:非流动资产处置净损失,,,,,,,,,,,,"113,387.29",,,,,,,,"307,289.11",,,,"133,100.41",,,,"53,119.53",,,,"18,461.70","3,477.43","86,410.46","86,410.46","99,338.52",,,"344,770.78","44,091.35",,"7,359,606.40","7,359,606.40",
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"4,929,705.01","8,862,283.56","15,332,010.18","23,141,544.53","7,932,604.60","21,849,766.72","33,320,009.49","44,956,538.10","11,251,036.08","22,069,277.56","34,308,575.99","19,375,260.44","10,096,037.43","23,701,032.34","38,267,980.43","61,485,080.57","49,884,915.72","91,245,773.63","122,004,522.60","157,569,198.44","42,546,823.32","104,502,032.82","178,134,056.66","208,154,035.63","55,360,928.78","102,446,044.16","172,824,893.34","224,735,991.52","56,483,094.74","131,707,259.70","182,341,870.61","243,420,041.46","37,573,482.51","70,904,060.76","116,510,021.48","115,670,890.03","19,073,423.10","39,794,157.85","53,157,916.31","54,739,052.46","22,331,852.61","44,867,547.89","57,073,617.02","73,172,356.78"
三、利润总额,"13,839,844.81","45,183,133.36","56,967,693.49","114,206,818.77","31,393,119.89","48,941,791.46","73,430,612.63","10,367,585.13","7,082,688.54","24,554,324.50","-11,876,156.75","61,199,324.66","6,266,175.05","18,468,529.39","29,101,297.10","69,988,562.62","28,140,839.44","42,916,806.19","59,965,362.27","88,493,179.25","6,192,186.19","44,897,045.21","65,942,678.55","114,533,126.09","11,573,694.37","38,345,216.88","53,032,618.10","81,870,469.60","-1,943,950.66","28,793,368.33","49,152,319.15","52,676,447.56","4,402,518.36","-25,713,310.53","-40,154,121.22","-39,682,961.94","289,899.98","8,885,092.00","23,288,261.33","48,652,245.72","-24,184,014.03","-9,867,920.34","19,358,554.97","60,318,074.52"
