科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"2,387,002,351.46","2,479,162,565.66","2,617,344,055.75","935,508,233.25","1,868,139,099.17","3,176,354,651.30","3,971,471,668.52","1,239,006,998.82","2,590,636,151.94","4,084,008,806.34","5,206,309,054.99","1,171,628,750.46","2,578,117,988.83","4,063,822,858.51","5,211,330,521.09","1,205,150,137.51","2,437,156,184.43","4,231,407,186.08","5,614,906,814.08","1,430,962,992.65","3,047,867,356.71","5,338,142,920.88","6,409,389,795.61","1,539,630,237.96","3,418,298,843.01","5,644,918,923.95","7,611,749,448.08","1,163,307,393.42","2,435,727,829.77","4,198,768,360.90","5,945,871,692.84"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,"857,324.14",,,,,,"2,709,183.32",,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,"4,000.00",,,,,,,,,,"2,053,000,000.00","12,215,650,000.00","17,610,330,000.00","7,378,031,000.00","10,461,649,000.00","11,719,429,000.00","13,021,957,465.75","780,000,000.00","1,450,000,000.00","2,830,000,000.00","3,391,000,000.00","320,000,000.00","928,000,000.00","1,397,000,000.00","2,190,990,000.00","24,998,000.00","1,063,298,000.00","1,723,578,000.00","3,261,573,000.00"
收到其他与经营活动有关的现金,"53,774,409.14","31,885,449.18","56,663,734.68","63,818,825.64","23,537,719.24","49,533,424.43","74,135,235.67","19,310,159.53","40,913,617.44","66,155,146.69","110,541,234.16","25,742,663.11","52,371,656.68","72,129,765.12","99,714,750.40","19,052,954.36","51,133,951.19","76,335,408.89","87,590,900.71","33,873,778.42","69,635,813.76","100,663,092.62","115,269,585.03","64,167,966.73","285,675,481.63","43,030,268.24","102,821,174.71","269,747,999.53","127,536,417.14","186,357,992.33","84,561,414.74"
投资活动现金流出小计,"101,049,980.53","90,924,438.05","100,413,781.05","14,824,602.34","45,554,345.52","115,310,275.60","150,402,361.53","47,273,538.77","140,067,474.72","269,567,276.61","437,315,413.94","136,064,775.37","2,344,178,966.02","12,619,840,119.46","18,124,496,836.80","7,474,857,835.31","10,654,520,361.87","12,008,923,009.09","13,587,096,779.42","908,276,292.82","1,691,620,574.88","3,304,636,365.19","4,148,401,397.69","465,502,457.43","1,195,101,260.51","1,819,458,801.91","2,827,842,753.27","129,875,696.68","1,214,499,257.34","1,949,202,401.74","3,570,892,134.09"
经营活动现金流入小计,"2,440,776,760.60","2,511,048,014.84","2,674,007,790.43","999,327,058.89","1,891,676,818.41","3,225,888,075.73","4,045,606,904.19","1,258,317,158.35","2,631,549,769.38","4,151,021,277.17","5,316,850,289.15","1,197,371,413.57","2,630,489,645.51","4,135,952,623.63","5,311,045,271.49","1,226,912,275.19","2,488,290,135.62","4,307,742,594.97","5,702,497,714.79","1,464,836,771.07","3,117,503,170.47","5,442,149,998.13","6,530,942,632.21","1,605,543,372.35","3,707,578,999.31","5,692,911,952.93","7,722,832,550.94","1,434,506,615.46","2,566,047,177.80","4,389,584,110.09","6,036,608,251.59"
投资活动产生的现金流量净额,"-100,969,872.45","-89,164,039.78","-100,031,978.79","-14,754,602.34","-45,217,859.11","-114,973,289.19","-150,065,875.12","-47,045,284.25","-139,839,220.20","-269,222,755.81","-436,973,482.44","-135,889,745.48","-590,448,190.86","-840,013,457.06","-501,556,024.69","-94,623,727.96","-190,034,051.12","-804,336,509.79","-546,581,400.77","-454,669,637.78","-430,399,458.08","-1,240,448,903.37","-1,175,308,506.70","-17,026,904.27","-366,713,963.72","-798,417,778.78","-1,229,449,988.86","89,550,492.33","117,412,091.77","-260,115,668.67","-548,098,851.98"
购买商品、接受劳务支付的现金,"2,062,502,349.16","1,976,913,495.93","2,492,415,597.18","852,488,132.72","1,752,628,434.84","2,723,995,479.36","3,640,284,148.59","606,006,685.45","1,764,969,852.49","2,612,424,288.26","3,852,142,926.86","871,228,291.85","2,147,749,993.22","2,767,559,289.83","4,184,796,015.18","908,030,407.07","1,759,326,904.71","2,892,131,822.67","4,158,805,907.38","1,003,614,800.69","2,707,746,085.44","3,984,858,906.42","5,280,389,191.03","980,719,469.38","2,735,932,876.41","3,697,454,043.58","5,433,539,156.10","1,590,240,683.92","2,445,480,984.05","3,278,645,559.04","4,609,867,012.13"
吸收投资收到的现金,"75,000,000.00",,,,"1,098,387,500.00","1,097,387,500.00","1,097,387,500.00",,,,,,,,"5,250,000.00",,,,,"124,919,100.00","153,495,119.30","181,117,000.00","181,117,000.00","9,800,000.00","9,800,000.00","13,838,552.28","27,825,000.00",,,,
