科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"578,333,376.57","700,716,147.50","1,197,423,479.15","223,048,575.05","577,346,021.32","1,011,454,501.76","1,385,924,416.99","274,287,456.25","718,443,137.97","1,229,450,472.12","1,696,428,967.98","324,938,284.92","765,581,415.32","1,411,742,029.60","2,013,596,274.47","388,126,058.83","1,089,944,407.19","1,887,424,030.09","2,563,241,141.77","518,638,994.35","1,377,951,825.94","2,296,690,649.13","3,116,823,564.74","569,865,062.18","1,425,155,069.58","2,290,813,005.21","3,135,583,666.05","725,637,173.75","1,534,532,132.68","2,374,244,765.51","3,256,104,480.98","850,684,631.88","1,712,215,682.85","2,671,123,009.42","3,570,699,877.82","757,377,945.19"
取得子公司及其他营业单位支付的现金净额,"42,176,000.00","224,000.00",,,,,,,,,,,,,"8,562,333.02","5,900,000.00","5,900,000.00","5,900,000.00","5,900,000.00",,,,,,,,,,,,,,,,,
收到的税费返还,"1,134,384.86","1,816,422.02","99,888.04",,,,,"242,257.93","242,257.93","242,257.93","242,257.93",,"120,560.57","186,690.52","215,379.11","154,092.06","154,223.50","154,092.06","154,092.06",,,,,,"8,526.93","8,526.93","8,526.93","143,414.85","143,414.85","143,414.85","143,414.85","927,373.65","927,373.65","932,787.06","927,373.65","475,860.44"
支付其他与投资活动有关的现金,,,,,,,"4,600,000.00",,"27,000.00","27,000.00","500,000.00",,,,,,,,"1,871,743.45","2,147,000.00","1,596,543.19","2,942,000.00","3,062,000.00","401,000.00","401,000.00","401,000.00","3,051,000.00",,,,,,,"190,146.00","190,146.00",
收到其他与经营活动有关的现金,"74,469,844.49","10,144,607.52","5,334,318.25","13,845,071.62","11,420,330.75","72,451,222.66","34,452,746.50","27,019,382.17","28,556,318.07","34,665,224.07","46,855,122.17","10,190,305.34","19,176,636.15","35,529,253.44","69,475,176.60","5,310,296.24","23,533,909.31","38,211,395.46","79,113,609.54","18,372,100.62","27,377,778.78","53,135,528.41","99,343,800.02","31,598,463.76","44,451,976.42","85,183,408.83","133,645,007.73","33,617,875.66","61,076,927.12","116,392,591.42","112,774,481.19","38,193,765.44","91,786,105.30","144,864,977.24","159,988,659.13","41,997,136.32"
投资活动现金流出小计,"88,552,524.92","56,402,957.62","30,406,977.14","12,244,268.74","45,794,789.43","62,962,112.30","111,835,357.05","37,246,168.81","105,514,052.96","237,712,891.54","314,364,756.95","44,054,175.63","85,866,781.66","125,171,740.67","250,308,969.82","71,587,948.22","135,962,777.25","192,356,546.02","502,079,750.20","363,952,052.16","1,261,600,060.29","2,594,495,533.16","3,403,898,269.23","415,814,460.35","1,070,740,742.55","1,553,401,692.58","2,248,312,619.12","370,347,725.64","1,077,452,981.08","2,496,744,738.03","3,351,809,684.79","919,308,091.34","1,695,005,679.64","2,672,065,529.29","3,626,574,571.14","877,167,544.85"
经营活动现金流入小计,"653,937,605.92","712,677,177.04","1,202,857,685.44","236,893,646.67","588,766,352.07","1,083,905,724.42","1,420,377,163.49","301,549,096.35","747,241,713.97","1,264,357,954.12","1,743,526,348.08","335,128,590.26","784,878,612.04","1,447,457,973.56","2,083,286,830.18","393,590,447.13","1,113,632,540.00","1,925,789,517.61","2,642,508,843.37","537,011,094.97","1,405,329,604.72","2,349,826,177.54","3,216,167,364.76","601,463,525.94","1,469,615,572.93","2,376,004,940.97","3,269,237,200.71","759,398,464.26","1,595,752,474.65","2,490,780,771.78","3,369,022,377.02","889,805,770.97","1,804,929,161.80","2,816,920,773.72","3,731,615,910.60","799,850,941.95"
投资活动产生的现金流量净额,"-43,731,714.64","-48,556,871.21","-22,818,465.21","-10,208,247.20","-41,448,970.63","-58,555,290.76","-104,604,876.76","-37,246,168.81","-105,391,477.72","-154,996,052.20","-229,072,639.70","-44,054,175.63","-84,581,382.76","-125,123,624.67","-247,923,646.81","-71,587,748.22","-134,813,096.29","-165,045,665.06","-474,712,693.86","-36,144,234.63","-352,115,388.52","-784,130,372.31","-783,432,947.00","159,312,953.49","141,918,710.68","-55,906,942.95","-232,786,203.47","59,338,052.23","-79,353,977.96","-817,549,551.83","-1,014,191,782.39","41,763,909.32","-76,270,183.17","-59,693,245.11","-111,598,885.91","153,025,170.79"
购买商品、接受劳务支付的现金,"446,625,382.69","560,664,571.42","734,870,984.00","254,259,001.57","448,429,641.64","730,080,329.86","979,325,493.27","315,689,847.24","609,415,815.61","1,022,641,917.25","1,315,079,896.28","342,692,487.18","585,446,455.21","1,011,822,132.87","1,410,641,615.58","375,713,969.44","713,402,586.11","1,269,918,456.04","1,670,909,636.83","412,697,081.10","711,792,841.49","1,240,148,381.36","1,819,180,249.67","555,289,413.31","950,818,854.83","1,523,937,619.05","2,052,153,140.74","413,434,760.68","860,973,871.65","1,467,530,731.36","1,948,800,951.62","580,044,445.01","1,139,035,009.02","1,781,336,508.19","2,396,834,122.11","656,584,223.72"
吸收投资收到的现金,"20,000,000.00",,,"852,850,000.00","852,850,000.00","852,850,000.00","852,850,000.00",,,"118,232,730.00","125,941,200.00",,,"8,073,000.00","8,073,000.00",,,,,,,,,,,,,,,"909,999,995.83","909,999,995.83",,,,,
