科目,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"94,756,654.34","111,223,552.53","88,682,911.57","176,500,565.20","239,528,421.30","248,324,319.39","231,635,724.41","198,554,180.02","69,044,632.00","122,813,719.53","105,273,354.70","110,526,910.15","185,280,208.74","173,804,196.37","184,431,538.60","1,086,023,631.44","479,651,906.66","400,415,547.61","534,858,931.62","482,273,739.94","414,172,270.11","426,685,365.27","742,547,321.91","500,646,395.63","452,729,902.91","429,049,785.95","402,011,258.82","420,778,347.32","466,227,497.09","545,109,522.31","707,197,621.62","730,213,865.41","951,276,108.27","621,701,750.22","692,261,717.30","646,591,443.51","1,364,245,611.75","532,537,512.20","390,507,741.18","728,966,695.03","624,370,938.00","647,680,546.03","562,921,224.01","598,747,850.15","559,601,109.93","474,323,193.80","604,027,041.80","1,000,588,834.00"
短期借款,"306,501,762.75","327,165,000.75","320,279,377.88","43,042,943.77","59,292,147.92","59,725,328.55","18,124,143.67",,"3,181,464.00","93,679,786.60","161,219,971.24","281,719,488.12","393,628,459.39","288,227,818.26","226,990,473.49","273,658,430.94","136,006,948.58","61,633,975.55","68,285,544.22","73,804,681.84","195,520,281.68","148,248,907.74","513,931,134.32","769,370,016.78","827,437,685.77","850,967,805.29","661,930,958.68","727,577,348.15","784,983,194.61","800,826,136.14","648,679,005.53","984,365,346.88","1,177,061,672.48","1,006,977,861.66","950,153,208.98","938,692,760.42","1,213,141,906.38","1,013,717,478.95","732,508,498.48","1,124,817,069.59","1,105,663,349.72","674,379,019.78","538,935,533.43","643,897,810.69","562,153,151.19","542,907,439.24","823,308,750.79","1,277,582,491.22"
交易性金融资产,,,,"11,000,000.00","1,006,275.97",,,"3,663,820.00","794,760.00","120,120.00",,"25,700.00","393,800.00","946,500.00","1,373,450.00","281,200.00","210,195,950.00","211,201,132.00","292,382.00","98,900.00",,"254,592.00","755,048.00","1,588,327.00","1,089,885.00",,"4,759,735.47","6,445,508.16","6,838,088.91","1,446,729.96","2,192,400.00","4,486,216.60",,"795,440.00","1,689,280.00","3,128,915.00","1,504,674.80","2,876,100.00","8,756,188.85","6,494,814.92",,"2,250,698.80","1,472,260.00","1,031,320.00","629,420.00","1,079,100.00",,"1,009,200.00"
交易性金融负债,,,,,,,"868,002.50",,,,"65,820.00",,,,,,,,,,"611,600.00",,,,"237,600.00","256,410.00",,,,,,,"2,124,270.20",,,,,,,,"4,162,124.09",,,,"2,043,650.00","3,450,170.00",,
应收票据,"6,649,362.83","5,227,803.19","14,765,332.36","25,382,596.32","25,750,310.48","24,032,762.78","6,126,397.36","3,448,000.00","2,949,207.60","12,525,150.02","8,613,235.60","8,947,062.74","48,725,422.62","38,218,280.07","38,235,011.20","17,390,794.45","31,067,520.65","65,313,142.97","86,105,896.71","52,423,342.83","24,150,242.30","19,263,489.00","28,130,409.35","31,609,705.11","38,627,487.89","36,947,326.92","39,407,286.05","39,187,941.36","22,146,316.12","15,163,143.10","12,867,571.79","16,434,302.83","13,428,470.61","11,256,127.07","18,906,427.42","20,895,283.64","19,714,772.05","16,380,830.31","31,723,161.37","32,497,364.94","51,194,394.99","42,331,164.26","31,733,386.42","34,818,312.37","41,588,484.82","46,052,315.91","60,476,130.62","102,996,721.35"
应付票据,"52,054,680.00","65,298,598.58","39,085,655.65","29,344,203.70","45,145,792.07","45,441,657.84","7,530,600.00","11,430,600.00","14,829,952.62","31,465,688.00","43,945,688.00","158,297,212.50","182,118,600.00","219,175,670.00","239,179,660.45","290,034,794.45","235,582,800.00","189,092,600.00","214,638,400.00","193,534,767.99","155,835,661.60","279,338,349.60","305,253,742.50","292,263,742.50","297,527,952.00","275,870,029.93","227,511,744.49","282,583,347.60","394,254,104.10","365,313,897.07","368,231,714.30","341,666,897.00","336,105,105.55","261,376,969.94","275,405,544.72","332,678,681.50","367,197,344.37","350,184,828.93","343,310,659.57","485,707,620.29","464,054,607.83","546,146,547.36","592,295,014.41","666,499,473.80","631,879,100.77",,"546,113,840.34",
应收账款,"78,367,909.68","87,487,317.20","76,668,963.34","93,515,738.52","91,213,681.91","101,292,363.62","84,856,401.16","84,396,719.66","123,647,150.39","136,887,931.61","136,906,152.10","156,666,698.01","156,306,549.43","202,515,083.74","191,773,123.63","233,740,037.16","257,763,129.08","228,313,414.45","206,850,358.95","234,916,955.70","202,108,752.23","226,661,279.60","233,729,876.26","271,413,542.46","260,965,953.59","304,195,689.63","302,738,745.43","338,092,974.15","344,767,115.83","358,208,993.36","334,411,277.90","318,164,597.21","366,205,128.75","348,973,300.91","333,409,008.40","383,320,583.95","401,485,952.53","434,695,943.91","387,407,290.85","461,267,036.75","471,558,367.73","511,484,932.61","539,462,975.18","533,038,393.82","554,212,627.23","554,171,628.06","527,525,252.31","527,666,815.51"
应付账款,"21,219,574.43","13,605,013.57","23,841,199.56","28,247,781.50","39,125,285.95","22,341,831.61","42,788,692.21","53,460,661.00","54,595,517.86","37,865,198.18","60,284,761.61","66,163,221.48","103,939,768.03","192,949,103.30","148,303,105.17","195,322,797.14","143,383,699.40","219,308,360.83","145,782,762.54","215,668,438.44","166,507,075.89","175,495,304.25","163,808,703.02","180,853,433.61","154,146,596.19","158,865,533.53","209,298,571.79","170,597,602.76","145,355,342.60","155,596,436.94","86,987,637.95","108,181,038.55","138,529,827.08","113,991,234.10","100,472,279.28","178,620,201.93","126,883,722.79","131,355,475.51","122,934,691.13","119,760,965.05","147,874,824.21","156,243,954.67","170,711,957.49","139,631,285.05","194,420,237.60",,"267,720,367.10",
预付款项,"55,714,066.61","25,983,951.37","22,064,814.59","18,060,646.66","49,009,174.38","32,092,209.98","70,799,746.01","52,353,750.31","108,520,534.55","135,497,227.76","80,879,396.46","169,308,332.16","140,120,624.01","155,127,346.05","68,454,918.87","139,884,271.51","157,417,611.10","148,114,141.10","126,976,474.99","129,373,095.37","101,965,295.75","133,222,341.15","57,364,131.14","54,831,557.56","72,035,805.51","29,356,258.54","52,620,766.31","66,482,356.19","114,312,955.33","134,587,607.14","52,282,307.53","84,969,992.26","59,598,552.63","70,634,048.12","45,330,946.32","62,545,119.41","47,562,562.69","66,583,607.30","103,437,560.12","119,407,317.04","113,347,233.75","97,645,045.38","78,425,645.39","109,110,702.86","108,373,506.49","112,612,780.65","48,844,386.59","95,355,650.23"
预收款项,"8,227,267.72","13,828,834.23","6,546,811.62","12,712,140.62","13,077,230.96","10,468,142.71","8,158,056.33","13,360,872.24","14,148,236.44","11,021,612.77","6,329,596.53","11,651,537.26","23,971,933.35","30,335,795.49","21,624,660.20","23,522,950.15","25,976,551.71","18,328,061.98","19,257,005.86","16,722,653.43","20,254,751.94","22,076,388.92","22,997,582.52","23,868,341.62","23,272,646.95","15,867,930.61","12,366,596.00","15,955,919.70","20,951,984.37","23,573,921.01","12,603,612.09","23,756,477.28","16,042,961.85","10,192,481.17","11,021,292.62","18,800,598.86","18,624,788.23","20,863,262.93","19,292,045.41","24,291,347.27","30,422,987.74","22,114,326.23","20,810,092.73","29,946,752.75","28,529,751.14","38,584,556.59","12,781,470.51","27,826,731.82"
