科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"577,711,593.47","705,656,254.75","830,571,453.76","615,268,906.68","849,353,662.67","230,309,850.76","396,104,116.19","651,151,945.35","938,236,397.97","186,121,978.19","425,008,893.06","798,262,405.56","1,289,239,976.50","402,849,253.42","932,375,018.45","1,540,666,470.63","2,089,683,196.60","704,446,054.74","1,307,592,083.06"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"-53,368.68",,"218,689,434.72","343,792,918.06","448,997,531.93",,"-6,499,509.77","-6,499,509.77","93,071,960.37",,
收到的税费返还,,,,,,,,,,,"3,050,000.00","3,170,408.39","3,050,000.00","337,490.26","7,386,295.24","7,654,672.31","8,617,286.10","854,502.06","1,551,958.54"
支付其他与投资活动有关的现金,"16,000,000.00",,"50,000,000.00","70,000,000.00","100,000,000.00","170,000,000.00","700,000,000.00","841,500,000.00","4,500,000.00",,"284,780,934.21","324,780,934.21","146,000,000.00","15,000,000.00","125,000,000.00","134,000,000.00","50,100,000.00","9,000,000.00",
收到其他与经营活动有关的现金,"7,835,421.15","8,535,658.07","18,823,224.79","10,252,357.16","16,878,859.59","5,091,052.58","9,529,466.16","19,293,375.44","28,860,963.20","17,733,071.02","18,485,275.39","32,846,271.75","41,730,532.46","14,309,428.68","25,324,723.55","45,452,879.05","76,379,574.63","28,766,883.65","44,960,671.41"
投资活动现金流出小计,"88,844,252.86","200,901,897.89","125,582,873.59","107,730,581.89","154,681,164.32","174,511,164.44","710,609,031.91","864,042,883.58","124,238,817.00","9,618,352.62","958,705,653.83","1,078,097,066.31","962,545,618.92","30,628,564.70","163,865,180.15","266,582,546.05","270,316,404.48","47,989,341.57","34,660,314.74"
经营活动现金流入小计,"585,547,014.62","714,191,912.82","849,394,678.55","625,521,263.84","866,232,522.26","235,400,903.34","405,633,582.35","670,445,320.79","967,097,361.17","203,855,049.21","446,544,168.45","834,279,085.70","1,334,020,508.96","417,496,172.36","965,086,037.24","1,593,774,021.99","2,174,680,057.33","734,067,440.45","1,354,104,713.01"
投资活动产生的现金流量净额,"-84,234,631.12","-198,782,145.74","-123,970,471.50","-55,080,626.15","-100,896,422.84","-73,481,564.44","-607,627,107.95","-58,539,819.50","-13,820,048.25","-5,054,173.30","-823,025,003.97","-942,362,736.45","-764,748,676.94","-30,564,688.20","-31,028,639.43","-109,166,778.01","-228,026,362.42","52,285,886.75","58,238,265.12"
购买商品、接受劳务支付的现金,"217,955,220.26","245,359,418.48","285,608,051.88","180,960,765.96","251,095,613.39","53,267,485.32","85,992,449.39","174,769,759.01","260,449,090.08","50,697,784.76","110,526,318.81","220,379,045.12","365,075,014.80","108,542,979.94","271,365,051.26","499,260,100.43","446,011,439.08","229,576,924.70","417,781,930.72"
吸收投资收到的现金,"11,753,200.00",,,,,,"738,800,000.00","876,604,323.00","880,154,323.00",,,,,,"169,123,300.00","169,123,300.00","174,890,825.00",,
支付给职工以及为职工支付的现金,"86,497,640.07","118,840,627.61","156,992,813.50","134,742,190.73","180,398,287.07","44,196,825.16","108,479,328.80","162,557,117.26","222,224,128.68","57,208,707.64","126,028,574.26","186,700,933.00","258,416,716.09","98,762,776.91","197,791,193.04","292,330,487.34","422,976,116.86","124,820,548.28","257,978,737.19"
取得借款收到的现金,,"24,100,000.00",,,,,,,,,"350,288,348.46","350,288,348.46","350,288,348.46",,"113,098,589.48","152,275,077.65","125,770,818.65","24,363,880.34","12,797,871.74"
支付的各项税费,"91,502,369.40","110,916,893.77","132,285,445.75","111,099,537.49","145,847,909.59","38,414,085.37","94,619,663.17","126,813,840.94","165,901,661.90","35,260,127.06","110,028,199.49","149,789,274.51","200,036,363.68","64,104,538.05","151,474,694.69","220,193,810.04","288,581,562.77","84,961,395.48","231,174,689.23"
收到其他与筹资活动有关的现金,,,,,,,,"10,700,000.00",,,,,,,"92,000,000.00","92,000,000.00","92,000,000.00",,"116,000,000.00"
支付其他与经营活动有关的现金,"77,020,588.56","88,753,200.32","117,277,129.02","89,555,568.50","119,193,413.64","31,560,643.27","78,669,332.05","114,857,082.70","152,544,949.97","47,448,240.51","81,973,533.45","139,657,643.64","409,318,593.21","83,902,593.82","201,796,496.18","321,182,985.57","556,618,184.06","161,767,743.13","268,250,342.72"
