科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"325,606,154.80","419,624,657.99","528,270,238.26","251,318,694.61","419,422,554.00","601,994,663.61","181,785,610.55","389,829,093.79","612,817,645.47","799,611,322.38","233,473,545.97","480,340,856.04"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"17,684,746.81",,
收到的税费返还,"2,787,909.37","3,528,650.44",,,,,,,"3,456,274.51","9,336,912.48","3,782,367.80","13,531,628.96"
支付其他与投资活动有关的现金,,,,,,,,,,,,
收到其他与经营活动有关的现金,"2,376,541.88","2,209,886.81","5,058,351.99","5,140,109.87","8,834,786.99","10,226,516.62","791,233.81","4,035,941.70","8,180,720.22","30,648,326.48","3,870,528.72","26,180,737.24"
投资活动现金流出小计,"32,811,311.00","30,759,793.83","10,181,192.52","22,315,567.15","37,597,426.28","25,715,670.44","30,735,873.20","38,277,068.99","100,439,734.82","275,573,118.70","75,028,469.52","92,255,506.61"
经营活动现金流入小计,"330,770,606.05","425,363,195.24","533,328,590.25","256,458,804.48","428,257,340.99","612,221,180.23","182,576,844.36","393,865,035.49","624,454,640.20","839,596,561.34","241,126,442.49","520,053,222.24"
投资活动产生的现金流量净额,"-30,525,811.00","-22,589,793.83","-10,181,192.52","-22,315,567.15","-37,597,426.28","-25,715,670.44","-30,735,873.20","-38,277,068.99","-100,439,734.82","-272,042,005.92","-73,790,329.52","41,761,383.39"
购买商品、接受劳务支付的现金,"241,485,859.40","319,921,487.77","359,574,495.86","180,023,402.65","329,782,814.50","428,757,591.40","122,014,105.30","289,372,562.84","420,975,676.06","565,608,117.06","209,666,766.45","346,837,277.56"
吸收投资收到的现金,"1,238.24","732,954.00",,,,,"284,700,000.00","284,700,000.00","284,700,000.00","275,397,827.02",,
支付给职工以及为职工支付的现金,"27,552,350.52","32,827,804.19","44,462,991.82","35,245,146.27","51,955,502.80","70,526,944.33","27,253,169.56","47,798,630.78","66,651,826.02","105,529,053.19","44,225,191.28","76,602,403.56"
取得借款收到的现金,"138,499,601.90","138,694,948.18","119,409,579.15","176,928,012.39","239,163,583.75","273,533,598.21","98,026,199.39","151,599,098.48","241,807,858.40","423,375,424.79","94,297,620.33","211,037,289.17"
支付的各项税费,"14,995,876.48","12,059,395.94","20,807,552.66","18,778,884.81","26,476,581.90","28,469,381.58","5,888,160.34","25,937,563.45","42,103,466.72","43,599,789.18","6,489,747.39","26,871,458.01"
收到其他与筹资活动有关的现金,,,,,,,,,"2,185,927.20","13,405,843.05","31,118.19",
支付其他与经营活动有关的现金,"29,043,130.57","26,500,498.35","27,767,804.41","12,217,769.11","16,153,456.06","60,471,619.16","17,979,029.57","44,385,648.55","71,392,030.12","93,463,188.53","21,723,120.87","56,339,343.11"
筹资活动现金流入小计,"138,500,840.14","139,427,902.18","119,409,579.15","176,928,012.39","239,163,583.75","273,533,598.21","382,726,199.39","436,299,098.48","528,693,785.60","712,179,094.86","94,328,738.52","211,037,289.17"
经营活动现金流出小计,"313,077,216.97","391,309,186.25","452,612,844.75","246,265,202.84","424,368,355.26","588,225,536.47","173,134,464.77","407,494,405.62","601,122,998.92","808,200,147.96","282,104,825.99","506,650,482.24"
偿还债务支付的现金,"106,481,563.85","161,125,934.67","133,289,896.70","141,222,046.72","204,819,758.51","250,342,864.32","81,561,672.31","159,776,672.77","181,178,088.82","310,228,698.10","29,452,406.13","105,319,139.47"
经营活动产生的现金流量净额,"17,693,389.08","34,054,008.99","80,715,745.50","10,193,601.64","3,888,985.73","23,995,643.76","9,442,379.59","-13,629,370.13","23,331,641.28","31,396,413.38","-40,978,383.50","13,402,740.00"
分配股利、利润或偿还利息支付的现金,"6,524,430.67","6,104,892.74","6,495,390.49","2,949,563.08","4,151,886.73","6,732,134.72","1,110,477.79","14,333,569.95","15,385,704.27","16,712,512.67","2,690,840.92","25,034,021.02"
收回投资收到的现金,,,,,,,,,,,,"130,000,000.00"
支付其他与筹资活动有关的现金,"852,453.20","1,402.79",,,,,"10,464,638.68","10,470,000.00","13,077,148.00","21,012,272.67","2,622,600.00","2,622,600.00"
取得投资收益收到的现金,,,,,,,,,,"3,531,112.78","1,220,140.00","3,998,890.00"
筹资活动现金流出小计,"113,858,447.72","167,232,230.20","139,785,287.19","144,171,609.80","208,971,645.24","257,074,999.04","93,136,788.78","184,580,242.72","209,640,941.09","347,953,483.44","34,765,847.05","132,975,760.49"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,,,,"18,000.00","18,000.00"
筹资活动产生的现金流量净额,"24,642,392.42","-27,804,328.02","-20,375,708.04","32,756,402.59","30,191,938.51","16,458,599.17","289,589,410.61","251,718,855.76","319,052,844.51","364,225,611.42","59,562,891.47","78,061,528.68"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,"-2,533,074.38","-624,148.50","2,415,560.58","1,148,161.21","2,165,097.27","4,624,140.18","-303,297.20","-1,600,863.13","-3,221,480.26","-7,697,019.07","-3,040,861.06","-111,496.86"
收到其他与投资活动有关的现金,"2,285,500.00","8,170,000.00",,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"2,285,500.00","8,170,000.00",,,,,,,,"3,531,112.78","1,238,140.00","134,016,890.00"
五、现金及现金等价物净增加额,"9,276,896.12","-16,964,261.36","52,574,405.52","21,782,598.29","-1,351,404.77","19,362,712.67","267,992,619.80","198,211,553.51","238,723,270.71","115,882,999.81","-58,246,682.61","133,114,155.21"
购建固定资产、无形资产和其他长期资产支付的现金,"32,811,311.00","30,759,793.83","10,181,192.52","22,315,567.15","37,597,426.28","25,715,670.44","30,735,873.20","38,277,068.99","92,382,072.32","157,888,371.89","25,028,469.52","42,255,506.61"
期初现金及现金等价物余额,"45,967,418.60","55,244,314.72","38,280,053.36","90,854,458.88","90,854,458.88","90,854,458.88","110,217,171.55","110,217,171.55","110,217,171.55","110,217,171.55","226,100,171.36","226,100,171.36"
投资支付的现金,,,,,,,,,"8,057,662.50","100,000,000.00","50,000,000.00","50,000,000.00"
期末现金及现金等价物余额,"55,244,314.72","38,280,053.36","90,854,458.88","112,637,057.17","89,503,054.11","110,217,171.55","378,209,791.35","308,428,725.06","348,940,442.26","226,100,171.36","167,853,488.75","359,214,326.57"
