科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"17,189,034.97","20,068,364.42","24,959,612.07","18,044,463.25","35,465,521.11","14,422,781.09","23,126,554.30","32,696,881.04","50,009,722.09","14,648,264.23","29,480,055.87","45,378,963.75","58,436,329.41","20,125,588.92","42,280,050.88","64,266,746.15","84,917,432.30","27,347,728.99","54,140,529.01","83,067,172.69","114,673,292.97","38,524,608.87","72,829,646.53","107,425,401.36","144,677,652.72","55,348,524.17","89,218,396.91","148,479,910.53","186,599,760.78","67,394,623.08","119,457,818.91","190,452,655.19","259,981,642.29","110,011,988.68","179,501,074.65","260,485,416.13","367,237,000.29","95,952,633.57"
取得借款收到的现金,"35,000,000.00","50,000,000.00","120,000,000.00","87,000,000.00","148,000,000.00","25,000,000.00","25,000,000.00","25,000,000.00","25,000,000.00",,,,,,,,,,,"30,000,000.00","30,000,000.00",,,"147,600,000.00","373,497,279.91","134,690,000.00","134,690,000.00","269,690,000.00","573,335,500.00","225,000,000.00","411,250,000.00","691,250,000.00","853,086,000.00","115,000,000.00","160,000,000.00","385,000,000.00","857,625,000.00","255,000,000.00"
支付的各项税费,"6,509,349.46","23,489,780.14","22,155,409.85","15,617,903.78","27,611,708.97","5,122,268.44","13,566,859.56","16,386,325.31","18,072,353.83","4,904,180.60","6,823,708.80","14,300,639.59","21,354,805.63","3,620,111.64","16,092,758.97","21,359,705.73","34,673,228.68","4,117,786.28","15,307,428.10","27,847,021.29","35,270,601.87","5,667,881.47","74,471,253.18","95,082,085.22","99,133,604.78","2,554,195.88","25,063,530.52","35,184,617.54","41,190,383.92","21,775,590.43","57,492,001.79","82,731,489.97","70,661,948.50","39,477,616.01","85,498,217.49","115,534,214.74","83,784,034.25","39,184,741.32"
收到其他与筹资活动有关的现金,"30,000,000.00","110,000,000.00","50,000,000.00",,,"303,981.31","649,710.33","3,680,369.34",,,,,,,,,,,,"65,018,702.56",,,,,"30,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","86,357,671.44","90,000,000.00","160,000,000.00","325,020,500.00","510,000,000.00","640,000,000.00","760,000,000.00","1,153,716,885.00","206,000,000.00"
支付其他与经营活动有关的现金,"7,979,714.12","8,843,626.40","9,999,105.48","11,264,444.10","15,230,438.53","6,384,486.22","10,838,008.06","18,121,815.58","21,918,773.91","11,656,528.30","15,624,028.62","21,532,597.68","32,834,647.64","4,141,385.23","8,901,701.46","13,961,314.53","36,495,787.06","6,547,054.65","14,037,771.94","23,275,572.99","67,423,030.34","13,350,479.68","20,483,879.96","32,472,207.38","63,825,929.74","9,249,394.12","40,060,702.76","53,361,316.29","80,668,604.96","21,717,640.77","44,872,958.80","88,197,589.09","148,520,751.16","49,799,165.14","103,622,785.83","129,480,639.74","210,768,747.12","50,203,104.96"
筹资活动现金流入小计,"65,000,000.00","175,000,000.00","170,000,000.00","87,000,000.00","148,000,000.00","780,890,181.31","781,235,910.33","784,266,569.34","775,817,200.00",,,,,,,,,,,"95,018,702.56","30,000,000.00",,,"147,600,000.00","403,497,279.91","1,245,150,000.00","1,245,150,000.00","1,380,150,000.00","1,683,795,500.00","311,357,671.44","740,100,309.38","1,090,100,309.38","1,417,211,526.36","625,000,000.00","800,000,000.00","1,145,000,000.00","2,011,341,885.00","461,000,000.00"
经营活动现金流出小计,"438,354,960.45","293,099,890.56","297,185,443.50","201,516,790.40","429,332,731.43","101,714,290.77","195,911,510.44","287,976,283.37","494,942,926.48","95,730,000.29","210,557,147.40","335,582,249.24","445,654,928.54","120,275,682.82","310,937,164.39","480,617,296.98","629,809,365.59","144,799,224.17","342,507,330.35","569,089,667.58","765,487,197.92","212,685,657.59","469,600,300.01","655,103,035.63","829,352,331.78","235,391,253.67","546,516,974.33","865,211,930.62","1,325,695,847.59","372,327,630.02","750,345,988.12","1,235,339,056.17","1,533,353,359.24","471,650,349.57","1,073,814,463.72","1,509,377,448.92","1,693,660,197.76","486,592,802.05"
偿还债务支付的现金,"50,000,000.00","85,000,000.00","60,000,000.00","70,000,000.00","125,000,000.00","78,402,437.50","78,402,437.50","78,402,437.50","91,600,000.00","16,400,000.00","16,400,000.00","16,400,000.00","16,400,000.00",,,,,,,"30,000,000.00","30,000,000.00",,,,"37,687,279.91","20,000,000.00","470,500,000.00","470,500,000.00","470,500,000.00","25,000,000.00","25,000,000.00","190,300,000.00","421,320,500.00","115,250,000.00","165,250,000.00","390,250,000.00","889,711,000.00","95,100,000.00"
经营活动产生的现金流量净额,"44,618,603.64","55,158,664.00","91,035,289.87","45,385,802.35","73,932,087.60","-34,943,463.14","-19,106,852.23","-27,677,307.38","55,143,188.68","16,347,168.43","32,734,397.20","54,169,813.71","127,385,732.26","24,131,100.92","23,933,257.17","-14,477,032.54","58,392,578.56","15,900,517.76","74,910,262.56","73,780,043.19","121,831,346.43","-26,379,183.99","15,068,506.24","11,434,244.23","107,400,111.60","-4,580,201.21","-104,962,509.10","-208,269,546.69","-176,574,928.64","-123,750,820.98","-112,683,646.83","-43,476,795.83","178,259,277.17","-126,371,076.09","-117,736,923.09","-148,703,517.67","108,670,811.14","22,723,253.31"
分配股利、利润或偿还利息支付的现金,"1,186,706.25","63,346,791.88","1,155,763.98","1,581,068.82","3,673,537.60","748,004.64","1,177,654.65","1,668,321.33","2,571,025.49","66,133.33","66,133.33","22,679,383.33","24,180,216.05",,,"15,800,000.00","15,800,000.00",,,"15,800,000.00","15,818,666.67",,"12,640,000.00","12,868,805.56","15,113,116.37","2,257,104.16","14,167,616.35","17,105,039.58","22,048,694.63","2,406,937.47","20,060,745.09","27,017,152.73","49,337,430.33","11,006,308.00","55,945,652.95","71,589,819.03","101,621,621.60","19,243,982.24"
