科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"231,482,206.15","272,481,365.19","72,086,459.67","289,953,153.93","72,953,179.80","155,539,932.63","226,444,005.61","303,600,239.16","70,397,396.75","164,126,854.28","280,741,326.65","366,389,129.06","89,156,666.11","166,077,230.40","217,530,107.55","368,193,310.51","106,076,648.73","204,356,233.35","313,213,609.42","405,088,226.68","130,399,398.58","238,832,221.51","358,188,887.46","478,640,688.55","99,643,655.86","189,727,198.06","307,102,200.46","422,742,932.67","99,511,535.66","206,065,965.62","370,285,085.70","470,077,221.45","124,823,258.61","340,698,399.36","504,924,706.68","642,238,566.79","136,741,293.11"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"483,388,048.30","324,421,002.04","48,143,900.00","48,024,900.00","51,455,400.00","51,172,600.00",
收到的税费返还,"16,701,606.07","23,932,212.51","5,285,146.01","16,840,760.52","5,389,361.90","7,753,842.66","15,197,345.17","23,816,720.89","1,382,681.12","6,959,712.02","12,951,766.33","15,687,948.63","11,280,959.39","12,971,479.88","13,531,036.39","25,852,600.95","2,139,023.38","6,782,321.81","15,727,564.86","23,038,095.13","3,606,593.18","10,248,714.24","16,836,077.82","23,414,264.54","7,455,970.28","16,830,083.96","24,277,897.98","35,815,099.83","2,793,113.53","6,921,321.96","12,076,589.86","29,871,431.73","4,903,963.53","17,458,638.09","27,497,384.01","36,690,704.66","8,251,621.44"
支付其他与投资活动有关的现金,,"2,050,000.00",,,,,"5,000.00",,,,,,,"2,447.74",,,,,,,,,"2,128.00",,,,,,,,,,,,"1,073,574.00","55,345,074.00","40,504,384.08"
收到其他与经营活动有关的现金,"3,827,864.67","2,228,887.31","199,150.42","2,401,797.86","534,835.57","3,075,900.24","5,833,669.88","14,138,071.06","3,529,983.99","8,502,912.14","28,086,246.54","20,638,454.23","12,857,300.53","13,717,476.01","19,026,404.77","20,303,224.40","1,612,300.37","19,543,498.98","23,139,217.50","67,954,428.41","6,570,003.12","17,306,534.16","21,423,426.48","26,598,371.83","3,668,582.02","8,283,178.89","65,109,043.81","13,214,932.60","5,684,534.80","6,078,027.12","6,336,972.35","11,925,752.70","1,131,883.71","2,464,741.72","2,802,796.81","85,748,876.81","5,234,430.52"
投资活动现金流出小计,"6,505,038.95","43,117,172.34","24,663,494.60","54,391,756.73","1,407,960.26","5,867,345.63","16,015,063.49","17,851,370.47","3,952,843.52","19,099,578.97","40,417,076.89","48,547,322.96","6,482,668.03","12,769,121.17","23,613,192.49","43,729,025.35","5,984,803.26","13,952,173.50","26,540,457.69","60,618,067.20","10,735,184.75","250,904,050.64","267,186,509.53","211,487,401.16","3,205,503.53","18,510,934.02","10,353,320.07","61,600,515.36","1,192,659.55","811,200.09","735,821,168.27","644,044,907.07","61,519,547.20","120,734,642.97","310,233,379.56","417,016,712.79","58,574,607.33"
经营活动现金流入小计,"252,011,676.89","298,642,465.01","77,570,756.10","309,195,712.31","78,877,377.27","166,369,675.53","247,475,020.66","341,555,031.11","75,310,061.86","179,589,478.44","321,779,339.52","402,715,531.92","113,294,926.03","192,766,186.29","250,087,548.71","414,349,135.86","109,827,972.48","230,682,054.14","352,080,391.78","496,080,750.22","140,575,994.88","266,387,469.91","396,448,391.76","528,653,324.92","110,768,208.16","214,840,460.91","396,489,142.25","471,772,965.10","107,989,183.99","219,065,314.70","388,698,647.91","511,874,405.88","130,859,105.85","360,621,779.17","535,224,887.50","764,678,148.26","150,227,345.07"
投资活动产生的现金流量净额,"1,657,223.56","-41,527,610.26","-24,663,494.60","-54,391,756.73","-1,407,960.26","-5,867,345.63","-15,095,013.49","-17,850,920.47","-3,952,843.52","-19,099,237.09","-40,416,735.01","-48,527,203.29","-6,482,668.03","-12,525,507.94","-23,576,192.49","-43,680,811.67","-5,984,803.26","-13,917,617.95","-26,505,902.14","-60,583,114.21","-10,735,184.75","-200,547,677.66","-217,137,572.45","-171,357,153.23","-3,205,503.53","173,598,937.43","182,151,248.65","161,224,072.97","-1,192,659.55","-811,200.09","-735,821,168.27","-570,340,009.36","-61,486,528.03","213,427,118.25","95,743,142.87","182,136,567.67","-48,946,077.60"
购买商品、接受劳务支付的现金,"160,288,963.74","228,834,252.45","42,170,549.48","178,554,566.74","32,242,497.44","104,422,748.25","179,572,907.32","253,596,813.59","54,120,550.92","118,652,808.56","232,110,910.06","297,811,160.96","68,143,754.54","107,600,382.89","141,019,118.48","259,369,948.71","72,778,830.17","158,061,389.23","247,929,241.58","353,296,780.90","84,757,857.10","138,511,053.63","262,472,759.27","336,815,490.57","68,722,978.08","135,373,123.64","210,072,702.18","322,744,399.65","63,300,164.97","139,236,411.63","251,782,463.31","243,759,866.03","63,492,826.85","202,454,715.24","313,641,535.22","393,919,198.16","57,332,623.24"
吸收投资收到的现金,"15,915,050.00",,,,,"584,780,000.00","584,780,000.00","584,780,000.00",,,,,,"92,910.00","-4,261,670.00","126,142.00",,,"-2,542.84","309,640.00",,"2,204,964.00","2,204,964.00","30,601,547.45",,,,,,"955,644,581.33","913,389,193.28","914,249,999.20",,,,"3,881.74","125,815,448.68"
支付给职工以及为职工支付的现金,"25,871,663.72","41,165,813.73","13,953,304.24","54,905,065.49","18,977,767.59","33,362,289.50","49,893,729.20","68,565,253.96","21,120,681.10","38,720,556.21","60,031,440.55","88,634,616.43","25,475,503.53","43,237,588.26","62,516,698.96","83,648,674.41","30,062,244.40","58,278,769.51","85,726,824.86","97,730,364.65","35,270,703.61","68,679,691.06","106,984,587.36","137,712,027.49","50,393,943.13","98,056,416.38","132,449,119.14","172,530,732.16","45,797,929.32","71,425,379.08","150,602,247.31","145,975,098.72","50,525,624.25","121,424,342.58","185,868,709.23","210,353,688.51","57,008,085.02"
取得借款收到的现金,,"8,656,678.57","10,000,000.00","6,000,000.00",,,,,,,,,,"55,000.00","316,135.41",,,"12,000,000.00","75,444,345.53","133,547,280.00","74,520,612.90","91,974,684.41","105,058,365.28","152,719,653.00","35,038,500.00","89,638,500.00","89,054,925.80","97,979,742.00",,"20,000,000.00","451,691,096.40","454,434,734.00",,,"70,000,000.00","70,000,000.00",
支付的各项税费,"6,318,812.96","6,882,529.54","1,556,776.23","5,653,512.36","4,927,811.33","6,968,914.10","8,914,666.92","8,394,438.76","3,455,466.88","5,250,438.22","8,774,754.51","8,000,014.42","5,066,319.79","6,773,075.44","9,598,951.73","9,434,672.10","1,763,866.98","4,405,307.01","6,755,596.74","7,880,489.73","3,164,494.43","10,324,907.87","12,422,131.68","13,197,635.94","3,110,333.13","9,505,584.34","13,201,652.62","14,939,218.97","2,412,695.71","5,079,024.96","14,294,173.77","59,058,012.31","7,046,788.88","18,047,311.59","26,235,656.53","37,421,436.18","15,107,057.08"
收到其他与筹资活动有关的现金,,,,,,,"580,000.00",,,,,,,,,,,,,,,"57,726.06","57,726.06",,,"63,467.11",,"54,361,767.50",,,"56,122,573.16","59,201,122.55",,,,,
支付其他与经营活动有关的现金,"22,391,455.60","19,224,469.65","8,324,723.23","27,374,605.92","9,621,428.26","22,368,299.25","30,902,384.08","37,048,520.05","16,453,821.18","29,018,017.35","61,108,700.57","40,007,234.75","14,890,511.91","25,591,166.16","41,857,404.05","56,661,076.56","25,108,379.55","48,337,022.08","67,556,177.66","111,642,488.96","34,347,792.85","69,167,190.17","85,493,433.12","109,849,927.42","24,938,056.23","42,472,717.71","213,632,075.08","91,028,442.83","18,274,164.72","72,408,948.65","112,528,659.17","99,576,736.00","44,646,215.60","88,362,609.56","130,600,605.76","214,873,892.00","47,939,867.13"
筹资活动现金流入小计,"15,915,050.00","8,656,678.57","10,000,000.00","6,000,000.00",,"584,780,000.00","585,360,000.00","584,780,000.00",,,,,,"147,910.00","-3,945,534.59","126,142.00",,"12,000,000.00","75,441,802.69","133,856,920.00","74,520,612.90","94,237,374.47","107,321,055.34","183,321,200.45","35,038,500.00","89,701,967.11","89,054,925.80","152,341,509.50",,"975,644,581.33","1,421,202,862.84","1,427,885,855.75",,,"70,000,000.00","70,003,881.74","125,815,448.68"
