科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"35,040,210.79","74,546,411.18","186,563,392.60","33,990,258.02","75,159,854.28","99,552,999.48","168,063,117.50","21,393,555.78","46,221,158.36","82,617,627.46","141,025,787.37","30,123,116.17","68,194,713.40","105,902,122.53","182,156,749.73","30,048,856.92","59,866,450.81","96,022,911.19","173,973,567.02","32,848,618.95","78,416,106.90","137,190,353.84","251,755,817.51","52,443,971.32","116,181,879.75","187,956,935.28","347,952,846.78","70,022,856.35","153,037,460.13","256,258,462.86","457,956,296.47","43,403,231.76","140,327,313.19","229,906,446.97","343,762,698.99","59,711,394.62","145,837,643.97","237,876,486.85","360,965,806.28","44,706,405.25","137,726,033.08","215,132,446.44","366,535,958.90","366,535,958.90","130,190,259.93","200,241,733.41","352,636,770.08","48,254,957.24"
二、营业利润,"7,552,589.67","21,030,383.23","53,591,666.61","8,223,743.00","17,851,990.58","22,823,894.61","40,277,113.42","2,351,743.35","3,060,842.99","6,469,601.09","18,764,414.56","1,462,253.76","7,286,643.08","8,551,901.11","26,290,821.44","718,525.42","-3,322,342.91","-7,376,545.60","2,934,188.21","-2,213,076.98","-601,689.65","3,243,066.66","14,109,062.76","2,993,463.63","6,248,750.42","11,915,677.54","44,042,168.94","2,821,770.56","5,953,470.47","11,800,992.47","82,396,736.69","-13,803,046.06","-11,845,593.67","-10,482,887.71","3,598,329.89","-8,851,573.63","-11,857,282.80","-14,840,722.76","1,099,082.73","-9,121,717.58","-837,927.87","-650,159.70","22,059,822.32","22,059,822.32","-10,940,286.85","-13,488,897.26","2,217,620.03","-3,810,430.20"
减:营业成本,"18,332,861.86","38,365,390.96","94,901,193.95","17,305,068.04","38,922,151.51","53,027,109.89","94,425,291.04","11,975,568.39","27,276,678.88","50,326,312.37","85,266,113.66","18,848,932.87","42,045,283.29","63,862,596.84","108,749,656.67","18,054,990.78","39,144,779.88","66,095,260.52","107,824,067.83","19,573,417.54","49,749,832.96","86,333,776.79","163,215,326.28","31,542,218.51","70,493,556.04","113,861,049.48","215,564,935.91","41,977,536.53","94,169,330.70","160,800,130.71","268,421,310.20","27,559,368.42","89,420,482.85","146,599,542.23","228,149,385.95","42,179,884.63","98,712,283.11","158,943,258.36","241,083,008.17","24,379,539.56","78,399,018.97","122,683,221.65","216,688,120.60","216,688,120.60","85,478,791.49","131,036,774.71","240,549,490.49","29,458,476.40"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"34,395.01","97,059.50","348,151.46","55,003.85","135,673.57","183,621.46","339,059.93","40,270.72","86,379.99","161,260.13","332,912.29","72,169.31","171,743.08","264,199.88","649,612.23","112,160.09","337,900.21","804,484.02","1,447,723.38","176,422.30","428,120.98","871,494.33","1,967,035.24","253,480.44","814,605.57","1,651,278.84","3,414,468.91","443,656.51","1,221,137.61","2,075,449.02","3,450,172.65","398,247.31","1,106,374.72","1,813,785.17","2,954,274.31","319,480.23","921,859.01","1,260,233.42","2,951,522.19","807,252.07","1,865,278.65","2,859,724.86","4,485,519.56","4,485,519.56","1,919,502.99","2,739,328.61","3,847,742.74","777,713.53"
营业外收入,344.50,"24,644.50","7,638,504.59","1,184,855.56","4,300,379.41","5,137,004.68","11,155,131.99","2,987,006.63","6,797,823.84","8,002,197.70","9,253,891.87","1,385,276.04","1,949,129.03","5,550,112.54","5,551,275.27","2,282,624.60","12,285,124.60","19,385,864.51","19,203,753.10","4,555,000.00","7,899,300.00","7,899,600.00","17,385,314.91","120,000.00","120,000.00","6,316,211.87","8,726,761.78","2,801,321.92","4,841,366.41","6,654,429.50","10,619,021.92","2,045,198.97","3,684,601.63","5,766,884.45","9,389,274.70",252.47,"1,901,594.45","4,430,138.97","9,784,200.87","146,414.13","548,907.60","874,420.40","304,154.82","304,154.82","61,227.37","270,164.70","1,102,952.78","88,633.66"
销售费用,"3,580,742.28","7,516,298.79","17,623,554.29","4,419,414.38","9,124,690.75","13,843,349.94","19,862,283.67","4,706,288.15","9,463,497.23","14,409,173.74","18,801,933.02","6,135,596.41","10,430,960.46","16,807,750.49","21,255,222.70","7,339,303.31","12,636,833.78","18,734,921.95","28,772,964.67","7,846,612.55","17,274,413.17","25,865,975.09","35,688,564.81","7,808,013.51","20,166,747.83","31,250,610.72","39,515,728.22","6,334,922.38","17,096,444.83","28,286,000.85","46,299,087.44","13,438,114.07","26,777,372.05","38,723,339.16","51,363,835.09","11,321,279.03","24,175,948.88","37,795,221.71","51,722,503.33","10,209,554.29","24,341,637.63","37,863,983.78","55,175,460.75","55,175,460.75","20,574,041.16","30,589,607.94","36,226,007.01","8,026,157.88"
减:营业外支出,101.40,,"25,725.48","30,100.00","230,440.00","231,893.10","232,743.85","9,068.27","9,288.27","9,336.10","12,816.10",400.00,"14,987.16","83,610.17","85,369.89","20,000.00","20,000.00","300,728.04","300,728.04","100,090.00","100,220.00","100,457.62","135,185.01",,2.09,102.09,422.09,,"4,380.12","4,480.12","1,412,032.01","100,911.59","101,111.59","101,111.59","144,268.05","300,159.00","400,739.98","401,710.24","461,561.39","119,781.15","124,929.41","126,334.53","786,398.86","786,398.86","94,014.44","109,813.97","337,404.10","13,238.07"
管理费用,"4,517,768.92","5,265,889.61","15,519,552.88","2,551,185.45","8,950,092.15","13,850,824.61","19,505,836.32","5,061,485.03","10,548,218.46","17,275,729.51","22,683,149.48","4,852,051.37","10,825,788.16","20,401,380.64","27,769,540.47","5,951,989.55","12,670,350.15","22,042,272.61","35,066,652.99","9,756,165.17","18,840,464.76","28,453,333.73","40,595,021.38","10,845,302.18","20,131,990.65","32,014,911.52","45,514,999.82","19,345,245.78","36,184,290.26","53,207,926.09","59,536,192.94","16,750,034.17","35,529,663.38","54,644,257.10","60,300,306.94","13,442,217.81","31,083,143.47","49,070,406.68","56,299,837.51","16,495,566.80","34,259,059.12","53,423,283.59","72,422,982.48","72,422,982.48","35,069,972.79","27,662,786.01","39,126,829.04","9,134,929.82"
其中:非流动资产处置净损失,,,,"1,980.00",,"3,393.10","3,243.85",,,,,,"14,387.16","22,610.17","24,169.89",,,,,,,,"29,527.39",,,,,,"4,380.12",,,,,,"1,416.67",,,,"23,491.87",,"1,510.90","1,510.90",,,,,,
