科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"126,000,552.24","208,367,089.56","244,757,370.67","125,227,950.63","171,234,513.09","236,882,897.05","56,479,451.00","111,084,984.35","158,707,100.14","191,177,279.94","47,738,344.82","90,037,155.12","135,898,210.68","213,217,432.36","55,575,705.57","137,235,229.20","215,204,754.66","250,557,399.02","60,762,980.10","115,261,494.91","165,839,093.45","198,716,065.71","47,803,607.23","99,510,356.79","302,659,476.21","151,142,966.51","31,587,665.56"
二、营业利润,"30,933,564.76","47,131,336.75","62,712,878.91","28,103,954.49","33,689,804.25","48,786,545.02","12,158,223.28","28,617,773.25","32,575,570.68","23,550,002.39","1,008,727.91","2,211,211.14","1,227,751.74","11,856,849.39","7,996,674.56","23,248,043.30","37,469,524.00","30,210,413.39","14,485,655.81","12,556,838.15","12,186,036.29","7,809,482.92","-4,285,858.75","-715,922.17","11,671,992.39","-57,614,070.32","-71,813.59"
减:营业成本,"72,631,508.95","130,199,241.90","147,252,960.67","77,662,405.63","108,838,229.34","147,600,177.69","32,484,935.27","63,996,657.96","93,669,737.34","118,327,374.99","35,068,052.01","63,045,583.59","97,243,948.51","148,009,914.39","34,318,970.11","84,037,700.72","131,863,981.51","155,869,350.54","35,334,000.17","67,091,560.96","102,080,899.44","121,637,076.88","36,711,914.72","75,563,681.62","244,750,716.16","125,692,747.66","24,745,243.46"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"874,706.22","1,768,018.73","2,380,917.32","1,134,602.18","1,419,085.83","1,640,982.42","636,703.03","685,581.90","909,353.31","1,217,536.29","142,711.39","348,371.69","692,987.74","1,224,753.02","258,653.42","644,606.37","867,609.73","1,642,292.96","722,978.38","741,032.27","905,692.24","3,073,528.70","447,239.67","755,395.33","1,574,064.91","2,901,241.43","736,825.71"
营业外收入,"2,298,422.40","6,955,998.20","4,297,742.98","6,673,985.61","7,186,631.35","9,562,075.07","145,424.81","247,374.45","806,508.09","2,251,729.09","311,033.52","312,946.98","1,038,787.62","2,328,787.62","1,072,628.49","1,655,868.51","3,287,367.53","4,198,940.69","40,000.00","643,100.00","1,593,422.79","4,341,428.70","917,332.58","4,627.97","24,737.41","187,899.84",0.01
销售费用,"9,336,429.05","9,367,402.89","9,402,030.81","4,353,744.42","6,003,816.76","9,639,064.43","3,464,068.62","4,713,833.01","8,734,073.45","14,424,086.98","2,390,083.09","6,487,031.96","10,345,829.89","14,981,305.53","3,035,022.60","7,596,437.31","12,732,653.45","17,505,588.54","3,563,826.51","7,990,472.20","11,621,139.93","18,427,920.38","4,755,199.32","8,203,361.63","13,318,820.10","16,883,040.74","1,533,959.52"
减:营业外支出,"209,754.96","21,004.76","13,567.19","8,984.97","8,984.97","97,061.15","20,000.00","22,303.28","486,505.69","1,092,861.07","20,433.00","20,433.00","33,489.53","322,450.21","25,000.00","40,100.00","375,299.57","375,699.57","210,000.00","248,237.83","340,057.97","994,388.67","90,981.93","314,295.64","480,379.55","318,902.08","96,708.01"
管理费用,"8,011,395.77","15,380,565.77","15,895,797.97","8,881,137.53","14,703,461.68","19,555,223.59","7,561,195.67","13,172,894.64","22,049,135.53","29,835,312.53","8,471,409.92","16,413,442.73","24,320,599.53","32,274,034.91","8,636,627.23","16,837,952.39","26,263,717.31","38,728,171.39","7,940,179.51","17,166,119.11","25,735,178.51","31,182,486.87","9,221,448.38","16,522,216.65","34,222,883.73","38,129,951.97","5,818,560.38"
其中:非流动资产处置净损失,"205,620.51",,"3,167.19",,,"38,455.23",,,,"197,510.48",333.00,,,"289,131.20",,,,"6,894.66",,,"91,692.99","91,692.99",,,,,
