科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"246,683,423.45","575,851,015.94","991,689,990.39","1,220,164,479.42","211,013,617.88","562,824,663.71","1,007,607,521.93","1,179,568,664.05","237,069,142.86","639,988,343.89","1,068,518,299.27","1,276,206,429.73","202,116,642.95","499,135,074.91","919,793,220.60","1,037,476,242.93","196,153,764.51","511,826,920.06","848,185,916.59","954,539,992.40","169,096,811.17","432,681,325.87","665,187,359.27","756,188,899.88","176,037,965.45","415,604,462.32","740,297,147.73","888,663,852.61","175,167,375.47","453,765,346.64","815,097,531.79","931,314,340.61","177,663,386.75","493,599,188.89","747,852,367.90","859,553,190.45","150,016,291.85","371,367,408.97","625,711,543.97","714,239,219.60","134,572,298.27","348,476,750.73","586,472,419.87","665,096,512.23","150,923,115.45","341,305,216.10","579,962,324.91","646,220,642.40","159,377,531.26"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,"2,064,358.08",,,,,,,,"361,922.76",,,,"1,024,269.04",,,,"100,532.45",,,,,,,,,,,,"8,221,100.00",,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,"200,000,000.00","200,000,000.00","715,000,000.00",,"90,000,000.00","90,000,000.00","540,000,000.00",,"100,000,000.00","150,000,000.00","846,580,000.00","180,000,000.00","90,000,000.00","120,000,000.00","1,026,000,000.00","110,000,000.00","310,000,000.00","270,000,000.00","2,080,000,000.00","170,000,000.00","294,000,000.00","398,128,000.00","1,139,000,000.00","370,000,000.00","385,818,959.42","389,449,103.02","1,193,000,000.00","460,000,000.00","310,000,000.00","360,000,000.00","1,250,000,000.00","460,000,000.00"
收到其他与经营活动有关的现金,"7,863,894.95","19,652,395.18","24,946,723.00","18,293,718.88","9,243,925.46","28,384,096.50","31,028,197.60","18,941,761.24","3,666,404.98","16,005,935.91","11,174,901.54","10,670,347.60","1,546,163.91","4,208,403.36","8,234,613.43","7,390,026.28","2,029,159.38","2,227,527.57","4,336,558.41","18,888,095.69","2,299,640.91","3,656,256.38","10,169,151.64","9,110,643.23","2,950,624.67","8,028,283.50","15,407,734.67","15,249,516.54","10,080,001.82","13,785,919.55","17,721,915.05","6,811,893.52","1,567,087.21","4,410,210.63","3,910,427.43","3,742,258.06","4,456,618.21","1,785,876.83","2,640,037.84","6,862,984.12","5,049,531.25","2,453,575.95","12,294,620.41","7,870,868.33","8,143,344.52","6,031,882.47","2,061,609.79","5,812,116.54","3,220,271.93"
投资活动现金流出小计,"3,143,421.16","38,393,402.44","67,412,104.98","92,272,811.78","6,129,006.20","11,065,467.52","14,282,808.52","17,319,536.07","14,614,751.01","28,961,967.87","30,754,948.45","36,252,405.71","2,573,522.96","9,465,171.17","12,661,448.86","22,561,167.42","9,029,473.16","235,150,405.50","244,408,902.74","770,760,637.55","2,118,190.57","95,117,687.91","98,738,630.23","553,248,034.73","3,443,134.29","127,359,060.51","181,167,019.71","888,904,678.22","184,891,483.40","104,132,082.89","134,907,270.98","1,049,381,288.77","113,008,638.26","321,182,197.40","283,322,340.19","2,094,226,876.47","170,420,187.29","297,291,691.71","404,872,550.19","1,146,343,639.69","370,817,569.23","386,179,840.22","390,784,693.65","1,198,573,641.97","463,761,079.93","319,521,770.10","372,145,904.13","1,270,562,799.31","465,926,344.70"
经营活动现金流入小计,"254,547,318.40","595,503,411.12","1,016,636,713.39","1,240,522,556.38","220,257,543.34","591,208,760.21","1,038,635,719.53","1,198,510,425.29","240,735,547.84","655,994,279.80","1,079,693,200.81","1,287,238,700.09","203,662,806.86","503,343,478.27","928,027,834.03","1,045,890,538.25","198,182,923.89","514,054,447.63","852,522,475.00","973,528,620.54","171,396,452.08","436,337,582.25","675,356,510.91","765,299,543.11","178,988,590.12","423,632,745.82","755,704,882.40","903,913,369.15","185,247,377.29","467,551,266.19","832,819,446.84","946,347,334.13","179,230,473.96","498,009,399.52","751,762,795.33","863,295,448.51","154,472,910.06","373,153,285.80","628,351,581.81","721,102,203.72","139,621,829.52","350,930,326.68","598,767,040.28","672,967,380.56","159,066,459.97","347,337,098.57","582,023,934.70","652,032,758.94","162,597,803.19"
投资活动产生的现金流量净额,"-3,001,848.92","-36,904,932.24","-65,247,666.82","-69,885,789.14","-5,917,500.37","-10,588,185.72","-13,317,863.02","-16,571,650.17","-14,614,751.01","-24,773,625.33","-26,174,344.24","-31,474,267.24","-2,573,522.96","-9,465,171.17","-12,661,448.86","-21,989,326.26","-8,953,492.35","-234,970,610.98","-242,032,017.81","-48,187,727.21","-979,170.01","-93,521,705.02","-95,296,072.00","-9,107,471.91","-3,088,065.81","-125,898,978.33","-178,665,595.07","-37,481,787.60","-184,201,072.44","-101,785,754.11","-130,935,407.96","-16,922,009.79","-111,192,508.13","-317,161,265.90","-276,992,223.71","-1,267,534.31","-169,614,296.88","-294,496,155.30","-399,827,528.86","12,414,163.38","-370,382,062.38","-354,308,650.14","-292,275,110.23","87,602,739.83","-462,066,477.76","-310,893,852.88","-359,604,082.80","72,142,464.20","-465,049,613.32"
购买商品、接受劳务支付的现金,"136,910,616.37","309,125,107.33","551,257,583.92","734,751,317.06","130,298,878.51","304,759,042.27","586,130,034.92","710,311,238.91","145,589,297.91","293,181,701.39","480,774,112.29","623,607,192.66","106,875,997.54","227,094,746.29","431,611,998.31","511,262,727.96","107,110,813.12","241,182,403.82","443,177,970.62","532,252,462.78","87,317,738.00","213,336,258.27","345,566,848.77","423,823,307.62","91,770,191.22","172,007,433.34","323,638,629.80","453,857,018.20","79,085,118.75","207,556,173.51","370,390,297.10","482,749,028.75","91,345,490.74","236,539,905.15","355,098,492.00","444,174,021.76","66,450,937.21","164,840,980.53","322,984,653.14","362,356,690.10","75,395,993.02","169,999,345.36","330,874,560.76","391,518,825.62","92,751,875.03","176,559,437.07","310,621,390.21","400,265,340.46","87,481,704.13"
吸收投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
