科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"2,159,292,930.50","1,973,615,328.89","1,925,664,688.12","1,072,576,741.63","1,649,215,784.83","2,118,564,298.76","374,269,524.10","1,193,388,368.67","1,810,411,861.35","2,753,727,446.00","765,840,803.83","1,557,030,330.86","2,432,507,630.02","3,529,039,533.91","780,523,169.07","1,803,523,970.52","2,734,153,238.21","4,218,614,444.40","908,675,509.27","1,987,816,695.43"
取得子公司及其他营业单位支付的现金净额,,,,"7,958.53",,,,,,,,,,,,,,,,
收到的税费返还,"4,985,994.59",,"1,105,415.59","2,930,322.57","3,000,742.55","4,307,606.74","1,706,941.48","3,793,467.52","8,971,266.25","10,875,499.70","55,196.81","64,399.90","1,488,894.03","6,286,911.31",,"1,789,114.35","6,481,659.57","3,333,552.70","94,989.82","2,936,640.26"
支付其他与投资活动有关的现金,,,,,"500,000,000.00","1,160,000,000.00","505,200,000.00","799,250,000.00","2,958,782,000.00","4,933,852,000.00","936,360,000.00","5,087,760,000.00","8,315,260,000.00","12,205,680,000.00","3,359,000,000.00","5,222,730,000.00","7,629,400,000.00","9,677,741,000.00","2,071,941,200.00","4,337,554,073.97"
收到其他与经营活动有关的现金,"14,873,243.14","43,299,150.71","10,571,246.02","7,244,293.43","27,469,930.84","41,138,114.05","2,208,744.49","3,846,558.90","25,248,335.40","36,752,277.68","4,857,017.80","13,236,017.69","16,974,945.28","24,502,701.30","2,453,203.61","7,587,608.37","9,622,542.73","10,647,972.48","2,258,849.43","13,373,057.59"
投资活动现金流出小计,"71,557,875.95","97,339,535.26","104,495,789.27","30,751,218.81","543,045,667.28","1,234,988,808.22","526,088,887.44","843,804,723.56","3,031,174,064.36","5,048,312,055.87","1,000,551,583.82","5,301,091,792.84","8,560,132,904.92","12,493,258,185.51","3,401,641,090.61","5,307,060,017.26","7,748,245,893.26","9,882,397,063.62","2,123,032,059.76","4,427,720,605.37"
经营活动现金流入小计,"2,179,152,168.23","2,016,914,479.60","1,937,341,349.73","1,082,751,357.63","1,679,686,458.22","2,164,010,019.55","378,185,210.07","1,201,028,395.09","1,844,631,463.00","2,801,355,223.38","770,753,018.44","1,570,330,748.45","2,450,971,469.33","3,559,829,146.52","782,976,372.68","1,812,900,693.24","2,750,257,440.51","4,232,595,969.58","911,029,348.52","2,004,126,393.28"
投资活动产生的现金流量净额,"-71,518,953.32","-91,207,494.37","-82,696,904.63","-16,794,455.62","-526,696,311.08","-1,213,590,943.77","-114,078,080.48","-84,298,200.19","-369,514,217.86","-199,463,634.96","459,962,626.30","399,173,504.66","-4,372,341.61","-517,232,154.51","181,808,251.53","452,485,076.89","473,062,252.55","240,611,380.90","-18,929,158.17","54,119,555.83"
购买商品、接受劳务支付的现金,"1,544,030,996.15","1,328,487,966.14","1,255,047,091.80","880,280,182.81","1,329,165,393.45","1,712,991,031.96","493,956,533.43","811,450,504.65","1,332,352,164.06","1,973,288,517.67","643,494,175.76","1,154,131,520.30","1,937,891,841.36","2,772,410,368.02","839,752,773.72","1,660,718,401.93","2,500,484,755.29","3,473,237,053.66","791,526,077.94","1,755,615,834.79"
吸收投资收到的现金,,,,,"1,571,046,725.40","1,581,876,000.00",,,,,,,"1,400,000.00","1,400,000.00","500,000.00","500,000.00","500,000.00","500,000.00",,
支付给职工以及为职工支付的现金,"36,297,046.66","47,513,209.93","57,227,427.22","37,017,392.03","57,849,875.15","72,445,745.22","26,206,714.07","45,828,435.04","93,063,658.06","117,842,262.88","40,080,415.55","65,823,206.38","96,444,026.28","123,595,966.98","44,941,993.36","78,005,564.07","108,217,807.62","149,447,759.47","52,385,978.83","86,876,993.89"
取得借款收到的现金,"500,000.00","311,042,931.94","174,723,249.42","29,612,350.72","29,612,350.72","38,756,331.72",,,,,,,,,,,,,"15,663,416.77","15,663,416.77"
支付的各项税费,"264,806,814.93","264,986,023.21","165,897,637.58","102,598,047.35","168,957,438.06","227,418,763.59","34,272,298.77","102,645,762.36","145,314,403.24","206,265,976.23","63,150,950.40","153,214,077.12","219,070,710.52","274,460,556.19","79,775,658.60","116,199,568.86","190,575,959.93","238,187,992.62","54,844,516.52","78,926,704.34"
收到其他与筹资活动有关的现金,"23,960,175.98","68,653,001.54","15,000,000.00","104,225,000.00","114,764,274.60","105,971,000.00",,,,,,,"51,339,658.81","43,655,913.15",,,,,,
支付其他与经营活动有关的现金,"61,109,198.75","58,414,182.88","52,200,091.99","23,758,946.71","38,573,688.85","51,281,301.49","16,295,592.69","34,497,459.96","51,894,160.18","88,012,353.34","29,678,078.78","105,074,336.75","146,584,170.29","94,274,296.45","29,980,436.73","56,044,463.75","92,056,412.74","128,761,114.73","28,501,685.73","60,806,899.36"
筹资活动现金流入小计,"24,460,175.98","379,695,933.48","189,723,249.42","133,837,350.72","1,715,423,350.72","1,726,603,331.72",,,,,,,"52,739,658.81","45,055,913.15","500,000.00","500,000.00","500,000.00","500,000.00","15,663,416.77","15,663,416.77"
经营活动现金流出小计,"1,906,244,056.49","1,699,401,382.16","1,530,372,248.59","1,043,654,568.90","1,594,546,395.51","2,064,136,842.26","570,731,138.96","994,422,162.01","1,622,624,385.54","2,385,409,110.12","776,403,620.49","1,478,243,140.55","2,399,990,748.45","3,264,741,187.64","994,450,862.41","1,910,967,998.61","2,891,334,935.58","3,989,633,920.48","927,258,259.02","1,982,226,432.38"
偿还债务支付的现金,"34,768,747.39","311,042,931.94",,"209,217,456.72","209,217,456.72","209,217,456.72","9,117,310.00","9,117,310.00","9,117,310.00","9,117,310.00",,,,,,,,,,
经营活动产生的现金流量净额,"272,908,111.74","317,513,097.44","406,969,101.14","39,096,788.73","85,140,062.71","99,873,177.29","-192,545,928.89","206,606,233.08","222,007,077.46","415,946,113.26","-5,650,602.05","92,087,607.90","50,980,720.88","295,087,958.88","-211,474,489.73","-98,067,305.37","-141,077,495.07","242,962,049.10","-16,228,910.50","21,899,960.90"
分配股利、利润或偿还利息支付的现金,"46,769,879.28","2,390,628.13","497,445,471.22","99,018,257.37","99,018,257.37","103,341,939.37","48,866.42","180,948,866.42","180,948,212.25","180,946,127.54",,"281,400,000.00","281,400,000.00","281,400,000.00",,"402,000,000.00","402,000,000.00","402,000,000.00","955,395.29","241,200,000.00"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,"19,067,296.54","153,540,000.00","2,341,000.00","5,258,433.13","11,789,719.88","1,126,000.00","5,956,053.97","7,745,277.41","1,149,433.97",,,,,,,,"43,655,913.15",,"21,442,100.58"
取得投资收益收到的现金,,,"8,640,032.60","4,806,163.35","6,984,234.75","10,918,668.11","5,610,806.96","35,630,411.40","58,148,001.65","79,794,122.56","12,063,161.97","23,313,326.84","31,806,650.31","53,164,988.51","14,273,342.14","24,331,761.03","37,687,288.42","46,146,285.62","14,379,078.60","27,933,930.65"
筹资活动现金流出小计,"81,538,626.67","332,500,856.61","650,985,471.22","310,576,714.09","313,494,147.22","324,349,115.97","10,292,176.42","196,022,230.39","197,810,799.66","191,212,871.51",,"281,400,000.00","281,400,000.00","281,400,000.00",,"402,000,000.00","402,000,000.00","445,655,913.15","955,395.29","262,642,100.58"
处置固定资产、无形资产和其他长期资产收回的现金净额,"38,922.63","272,040.89","5,871,152.04","50,599.84",,"349,196.34",,"636,111.97","739,844.85","292,298.35","2,091,048.15","2,301,970.66","2,442,952.00","12,404,894.99","96,000.00","759,480.62","3,357,004.89","337,306.40","201,651,622.99","200,535,630.55"
