科目,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"1,139,078,460.00","3,156,516,825.00","956,181,013.00","1,637,531,186.00","2,854,732,640.61","4,473,679,912.00","1,089,625,723.00","1,822,367,127.00","3,079,783,850.00","5,217,518,137.00","1,418,722,525.00","2,541,940,199.00","4,851,752,602.00","7,500,479,103.00","2,075,002,047.00","3,795,273,566.00","6,793,038,950.00","9,945,057,797.00","2,638,877,030.00","4,600,343,850.00","7,194,407,062.00","9,509,550,614.00","2,224,050,910.00","3,738,022,446.00","5,762,692,885.00","7,889,618,084.00","1,841,419,865.00","2,994,144,866.00","4,694,483,514.00","6,620,767,477.00","1,753,874,869.00","2,777,288,031.00","4,328,375,005.00","6,294,783,764.00","1,921,547,396.00","3,074,473,224.00","4,710,519,499.00","6,519,192,145.00","1,673,842,454.00","2,896,390,173.00","4,442,592,348.00","6,472,359,205.00","2,177,946,209.00"
二、营业利润,"42,095,206.00","428,594,862.00","191,573,075.00","259,713,390.00","491,000,366.35","833,290,267.00","165,967,706.00","148,392,530.00","221,169,643.00","561,657,937.00","39,469,674.00","62,530,988.00","485,882,584.00","962,839,674.00","275,143,089.00","452,549,649.00","1,032,594,508.00","1,445,596,629.00","313,029,457.00","527,624,695.00","863,482,136.00","894,249,218.00","176,264,626.00","282,199,014.00","504,192,718.00","517,720,023.00","111,991,780.00","181,682,086.00","238,155,255.00","178,250,190.00","47,393,784.00","-93,158,091.00","-134,298,972.00","-150,577,938.00","56,365,104.00","-59,195,203.00","-144,332,998.00","156,881,598.00","27,069,442.00","-58,745,579.00","-146,674,217.00","-305,553,390.00","42,888,375.00"
减:营业成本,"744,617,140.00","1,930,475,321.00","549,954,060.00","925,177,893.00","1,603,147,229.32","2,434,058,560.00","601,067,818.00","992,760,966.00","1,742,185,417.00","2,894,596,877.00","879,795,477.00","1,455,130,074.00","2,693,578,830.00","4,094,535,807.00","1,123,491,584.00","2,011,560,598.00","3,719,637,509.00","5,552,258,986.00","1,506,902,943.00","2,484,298,224.00","3,976,385,092.00","5,272,796,271.00","1,237,609,623.00","1,986,093,892.00","3,107,475,796.00","4,368,315,248.00","1,021,776,982.00","1,526,116,025.00","2,475,365,979.00","3,629,859,517.00","1,005,265,293.00","1,507,944,594.00","2,421,939,205.00","3,524,126,145.00","1,077,441,383.00","1,700,396,877.00","2,671,965,154.00","3,667,918,379.00","838,043,982.00","1,430,974,795.00","2,306,182,256.00","3,401,184,231.00","1,214,884,571.00"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"5,073,097.00","14,393,453.00","4,833,044.00","8,486,129.00","15,879,611.31","21,468,897.00","5,537,105.00","10,125,547.00","15,800,090.00","27,649,050.00","9,780,890.00","14,407,165.00","28,578,269.00","33,792,560.00","7,461,198.00","15,283,373.00","33,397,541.00","55,069,792.00","19,379,025.00","33,490,519.00","52,121,592.00","62,377,702.00","17,852,585.00","29,049,889.00","44,222,634.00","61,867,637.00","20,171,674.00","29,836,651.00","41,833,259.00","57,957,580.00","16,270,748.00","23,744,473.00","36,584,906.00","50,603,405.00","14,843,367.00","21,371,505.00","31,970,288.00","46,642,022.00","16,223,439.00","24,882,871.00","33,918,192.00","44,383,943.00","16,813,276.00"
营业外收入,"2,670,419.00","9,195,528.00","1,091,144.00","2,258,627.00","16,186,902.13","17,415,410.00","16,631,271.00","46,083,243.00","62,312,406.00","83,380,703.00","726,240.00","22,211,378.00","47,442,620.00","104,499,215.00","6,137,396.00","52,515,325.00","57,651,978.00","159,139,489.00","10,225,668.00","68,833,439.00","142,389,987.00","227,709,470.00","5,551,480.00","47,594,776.00","63,490,477.00","55,270,598.00","29,829,050.00","65,981,286.00","88,303,627.00","106,038,866.00","9,442,395.00","17,135,159.00","28,159,683.00","30,970,647.00","3,279,366.00","17,201,775.00","22,563,623.00","44,593,270.00","2,363,812.00","8,619,134.00","17,985,480.00","12,021,298.00","617,515.00"
销售费用,"268,803,092.00","602,888,915.00","166,987,759.00","353,772,251.00","597,670,541.35","943,668,057.00","269,687,790.00","570,854,716.00","927,804,381.00","1,450,555,987.00","438,831,002.00","875,042,076.00","1,371,923,326.00","1,988,704,377.00","552,594,919.00","1,080,629,626.00","1,638,380,118.00","2,305,129,855.00","666,318,126.00","1,313,038,296.00","1,962,659,810.00","2,772,165,147.00","711,961,365.00","1,239,486,324.00","1,809,359,167.00","2,481,228,935.00","575,131,929.00","1,026,843,263.00","1,553,002,011.00","2,166,133,578.00","562,427,694.00","1,057,915,236.00","1,573,331,537.00","2,194,489,454.00","577,202,396.00","1,095,449,654.00","1,687,062,529.00","2,445,984,633.00","627,105,034.00","1,207,009,300.00","1,849,880,711.00","2,580,646,278.00","738,552,501.00"
减:营业外支出,"2,197,138.00","5,271,095.00","433,661.00","4,374,267.00","5,449,083.54","9,534,184.00","2,070,054.00","5,211,516.00","7,415,525.00","12,214,286.00","3,083,401.00","6,354,596.00","22,520,481.00","33,525,043.00","4,329,886.00","6,175,145.00","26,367,273.00","28,672,476.00","2,659,953.00","4,315,803.00","9,545,731.00","18,486,463.00","7,694,166.00","23,325,601.00","55,993,254.00","85,572,284.00","2,487,853.00","15,902,351.00","28,448,766.00","38,011,363.00","3,174,562.00","5,362,925.00","7,136,640.00","12,789,319.00","1,370,078.00","5,026,352.00","7,690,014.00","38,128,744.00","2,178,025.00","4,694,508.00","6,852,870.00","5,270,959.00","2,107,537.00"
管理费用,"70,587,974.00","154,974,904.00","31,863,920.00","68,456,173.00","111,297,327.14","189,349,391.00","34,798,695.00","76,587,770.00","132,755,823.00","216,662,364.00","39,934,839.00","107,493,743.00","219,276,127.00","324,720,130.00","72,300,689.00","136,901,129.00","213,806,130.00","340,910,993.00","77,456,794.00","140,531,122.00","192,882,014.00","265,102,432.00","56,715,561.00","115,449,144.00","177,874,573.00","261,087,264.00","56,290,916.00","108,859,717.00","185,007,174.00","227,151,728.00","57,776,690.00","148,365,288.00","232,633,386.00","322,352,412.00","76,493,914.00","143,746,077.00","222,226,023.00","333,044,368.00","65,437,767.00","125,698,300.00","196,603,421.00","276,841,049.00","62,629,844.00"
其中:非流动资产处置净损失,,,,,,"790,597.00","32,177.00","221,807.00","273,123.00","618,411.00","205,086.00",,"669,022.00",,,,,"132,828.00",,"613,090.00",,"13,997,835.00",,"339,124.00",,"74,959,372.00",,"14,780,057.00",,"26,190,592.00","277,705.00","2,065,839.00",,"5,699,402.00",,"1,126,239.00","2,026,508.00","8,143,507.00",,"1,583,904.00","2,438,776.00",,
