科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"722,409,816.45","707,892,562.73","820,962,359.54","476,027,151.18","686,169,005.10","881,781,907.06","208,191,457.60","460,213,844.45","646,865,914.11","891,623,589.00","306,166,737.84"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,,,,,,,,"7,972.22","7,972.22","1,206,782.05",
支付其他与投资活动有关的现金,"178,755.84",,,,,,,,,,
收到其他与经营活动有关的现金,"2,814,955.74","1,567,099.52","5,204,739.97","336,121.84","712,198.30","1,126,181.78","471,305.79","1,199,931.04","1,197,350.47","1,625,179.48","117,153.20"
投资活动现金流出小计,"2,476,290.92","4,367,010.98","4,762,832.27","2,163,443.65","2,754,566.57","131,024,051.62","91,144,507.89","172,705,459.11","174,207,124.22","438,922,621.94","146,045,228.07"
经营活动现金流入小计,"725,224,772.19","709,459,662.25","826,167,099.51","476,363,273.02","686,881,203.40","882,908,088.84","208,662,763.39","461,421,747.71","648,071,236.80","894,455,550.53","306,283,891.04"
投资活动产生的现金流量净额,"-2,446,921.53","-4,163,256.36","-4,740,456.20","-2,163,433.65","-2,754,556.57","-104,829,061.33","-680,344.84","14,270,077.94","13,700,901.42","32,667,546.56","2,101,454.23"
购买商品、接受劳务支付的现金,"596,932,454.65","590,921,772.47","700,288,200.44","407,392,769.63","612,108,320.03","765,691,850.69","212,512,870.47","446,178,384.81","652,220,107.63","922,630,622.36","263,956,092.07"
吸收投资收到的现金,,,,,"221,900,000.00","194,950,000.00",,"17,850,367.00","17,850,367.00","17,850,367.00",
支付给职工以及为职工支付的现金,"23,351,390.65","26,849,427.43","26,955,205.52","15,228,314.20","21,421,669.04","28,882,568.52","11,239,324.14","19,740,823.16","29,365,105.22","37,626,703.41","10,843,252.57"
取得借款收到的现金,"98,818,585.39","143,020,626.36","48,557,299.18","1,419,358.63","11,327,262.63","10,336,130.00","20,355,202.00","45,355,202.00","45,355,202.00","45,355,202.00","15,000,000.00"
支付的各项税费,"30,465,960.88","36,253,458.20","30,390,070.34","13,007,152.16","18,857,976.99","33,884,709.34","4,501,424.79","10,836,952.61","15,341,276.47","21,586,939.58","7,120,113.09"
收到其他与筹资活动有关的现金,"19,694,602.98","1,410,000.00",,"8,731,922.65","15,469,996.32","20,000,410.66",,"5,496,616.49","6,251,014.02","13,097,976.85","2,103,226.09"
支付其他与经营活动有关的现金,"28,316,418.37","28,646,531.82","26,129,676.50","15,502,923.29","25,794,961.85","33,536,952.87","12,497,604.96","25,216,366.10","31,559,733.14","36,269,389.31","9,541,015.60"
筹资活动现金流入小计,"118,513,188.37","144,430,626.36","48,557,299.18","10,151,281.28","248,697,258.95","225,286,540.66","20,355,202.00","68,702,185.49","69,456,583.02","76,303,545.85","17,103,226.09"
经营活动现金流出小计,"679,066,224.55","682,671,189.92","783,763,152.80","451,131,159.28","678,182,927.91","861,996,081.42","240,751,224.36","501,972,526.68","728,486,222.46","1,018,113,654.66","291,460,473.33"
偿还债务支付的现金,"112,228,977.13","132,760,636.62","65,492,703.04","35,361,302.45","35,361,302.45","45,789,528.45","10,355,202.00","10,355,202.00","20,453,230.00","20,430,413.48","10,000,000.00"
经营活动产生的现金流量净额,"46,158,547.64","26,788,472.33","42,403,946.71","25,232,113.74","8,698,275.49","20,912,007.42","-32,088,460.97","-40,550,778.97","-80,414,985.66","-123,658,104.13","14,823,417.71"
分配股利、利润或偿还利息支付的现金,"6,506,599.57","22,444,591.87","16,521,951.93","14,565,050.92","15,325,738.37","16,413,433.75","1,045,007.75","13,158,960.65","13,688,206.82","12,623,586.36","391,802.08"
收回投资收到的现金,,,,,,"26,000,000.00","90,000,000.00","185,000,000.00","185,000,000.00","468,020,000.00","147,570,000.00"
支付其他与筹资活动有关的现金,"5,632,356.81","15,218,013.57","11,678,295.21","807,915.54","27,964,797.28","7,207,845.29","2,391,050.87","4,729,046.71","8,423,031.35","5,111,690.71","4,699,075.02"
取得投资收益收到的现金,,,,,,"48,803.82","464,163.05","1,732,388.30","2,887,375.64","3,116,816.35","576,682.30"
筹资活动现金流出小计,"124,367,933.51","170,423,242.06","93,692,950.18","50,734,268.91","78,651,838.10","69,410,807.49","13,791,260.62","28,243,209.36","42,564,468.17","38,165,690.55","15,090,877.10"
处置固定资产、无形资产和其他长期资产收回的现金净额,"29,369.39","203,754.62","22,376.07",10.00,10.00,"146,186.47",,"243,148.75","20,650.00","453,352.15",
筹资活动产生的现金流量净额,"-5,854,745.14","-25,992,615.70","-45,135,651.00","-40,582,987.63","170,045,420.85","155,875,733.17","6,563,941.38","40,458,976.13","26,892,114.85","38,137,855.30","2,012,348.99"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,"-407,192.50","-282,863.18","1,203,862.27","294,628.53","148,756.08","477,717.11","-66,726.93","-249,758.78","-535,837.94","-1,608,079.47","-446,027.85"
收到其他与投资活动有关的现金,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"29,369.39","203,754.62","22,376.07",10.00,10.00,"26,194,990.29","90,464,163.05","186,975,537.05","187,908,025.64","471,590,168.50","148,146,682.30"
五、现金及现金等价物净增加额,"37,449,688.47","-3,650,262.91","-6,268,298.22","-17,219,679.01","176,137,895.85","72,436,396.37","-26,271,591.36","13,928,516.32","-40,357,807.33","-54,460,781.74","18,491,193.08"
购建固定资产、无形资产和其他长期资产支付的现金,"2,297,535.08","4,367,010.98","4,762,832.27","2,163,443.65","2,754,566.57","5,024,051.62","1,144,507.89","2,705,459.11","4,207,124.22","6,762,621.94","877,013.16"
期初现金及现金等价物余额,"21,024,829.83","58,474,518.30","54,824,255.39","48,555,957.17","48,555,957.17","48,555,957.17","120,992,353.54","120,992,353.54","120,992,353.55","120,992,353.54","76,885,881.67"
投资支付的现金,,,,,,"126,000,000.00","90,000,000.00","170,000,000.00","170,000,000.00","432,160,000.00","145,168,214.91"
期末现金及现金等价物余额,"58,474,518.30","54,824,255.39","48,555,957.17","31,336,278.16","224,693,853.02","120,992,353.54","94,720,762.18","134,920,869.86","80,634,546.22","66,531,571.80","95,377,074.75"
