科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"302,134,553.72","614,881,403.79","1,017,962,944.79","1,631,136,950.25","489,207,867.75","1,231,708,079.37","1,969,003,832.69","2,696,374,478.06","525,031,616.73","1,739,229,104.46","3,037,078,351.68","4,458,530,735.04","1,365,928,333.24","2,949,989,422.36","4,970,150,994.34","7,427,271,334.33","1,855,761,371.68","4,339,335,999.51","7,830,843,412.72","10,690,093,060.91","2,732,752,670.15","5,991,391,384.78","10,179,715,998.62","13,626,735,837.56","3,469,403,423.60","7,222,354,814.50","11,299,616,938.92","15,582,493,561.33","3,556,345,132.34","7,553,969,020.11","12,148,880,491.64","16,483,547,772.92","3,569,103,661.47","8,332,088,088.95","12,832,195,164.34","16,416,267,218.40","4,010,121,627.09","8,694,272,503.05","13,887,703,142.70","18,920,144,828.29","4,621,801,851.55","9,038,878,645.64","14,728,816,798.51","20,614,922,289.50"
二、营业利润,"6,730,136.75","14,847,746.99","33,111,944.45","44,907,789.03","17,135,257.04","37,121,331.02","51,596,481.62","51,532,837.29","17,683,940.02","37,273,173.32","59,784,004.47","64,241,667.80","14,482,157.69","37,589,386.37","80,457,275.38","89,614,115.77","28,324,173.28","75,660,352.42","164,404,008.48","176,066,902.49","42,191,020.52","97,813,980.08","137,578,199.42","60,653,905.17","1,193,620.38","-11,688,250.22","2,301,209.99","-42,486,494.81","-90,248,396.59","-191,469,924.30","-157,504,869.43","23,894,948.06","-86,203,798.32","-36,354,932.00","149,756,451.11","281,187,804.67","207,899,464.63","557,623,992.00","891,863,339.85","999,458,681.12","127,958,548.46","292,784,288.09","439,274,300.97","610,701,821.42"
减:营业成本,"274,529,373.10","557,231,751.20","915,705,827.00","1,490,757,144.83","445,589,508.74","1,135,620,698.51","1,822,594,216.35","2,507,492,922.43","467,078,639.49","1,608,471,810.08","2,813,644,924.26","4,134,412,246.97","1,265,976,619.58","2,735,585,058.51","4,598,958,227.75","6,919,470,216.35","1,716,523,165.90","4,024,422,569.02","7,274,621,742.28","9,979,482,831.11","2,537,301,818.10","5,600,481,456.94","9,521,143,268.67","12,836,259,843.97","3,280,383,893.88","6,846,381,554.49","10,659,877,702.57","14,746,760,144.66","3,394,926,535.12","7,203,151,102.44","11,485,384,333.29","15,529,061,039.89","3,413,098,120.46","7,818,374,781.50","11,708,191,785.55","14,892,818,402.70","3,421,293,732.37","7,282,635,206.22","11,720,609,104.15","16,311,908,036.99","4,058,917,383.85","7,865,956,667.50","12,910,821,169.81","18,218,385,286.40"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,,,,"30,666.67","30,666.67","72,916.67",,"15,531.31","110,895.61","391,864.20","14,982.34","34,271.13","56,469.32","394,946.20","37,501.52","127,559.76","166,663.89","498,867.71","43,831.82","213,395.56","924,531.02","1,208,038.83","199,772.03","388,960.97","574,461.58","1,169,101.39","261,729.54","442,444.10","624,039.83","1,398,999.09","138,479.00","374,159.69","1,410,817.17","2,908,562.98","949,233.74","1,382,495.21","1,822,566.26","14,580,623.64","1,158,428.66","5,352,717.58","10,742,600.72","25,231,553.74"
营业外收入,"218,416.56","608,465.11","1,282,927.00","3,335,004.57","1,352,446.77","2,022,189.45","5,171,859.29","8,202,605.83","1,773,163.65","6,140,196.15","11,558,727.01","19,339,187.40","1,881,143.97","3,273,225.35","5,463,864.25","18,689,976.97","3,769,569.36","8,759,375.36","18,504,967.78","35,083,776.65","5,953,818.80","12,207,397.27","18,479,881.34","65,255,612.00","16,061,223.57","27,057,491.75","35,702,541.36","63,268,093.41","17,081,241.89","37,629,681.34","47,466,660.83","96,030,009.40","32,651,542.46","52,913,785.50","70,086,802.54","119,030,917.98","20,038,889.83","100,392,884.27","112,514,262.55","155,053,596.97","17,995,030.11","27,537,831.78","42,860,654.79","35,670,255.97"
销售费用,"11,880,435.22","24,063,314.30","37,810,509.06","51,558,343.86","13,478,836.13","26,137,164.91","44,293,736.11","63,103,789.11","19,756,581.65","48,036,099.96","82,664,133.69","119,712,200.47","37,329,919.42","79,178,179.10","132,209,849.41","188,354,653.55","50,150,637.14","107,664,188.72","176,095,492.69","236,501,851.59","66,984,928.37","124,949,311.86","233,826,519.52","319,327,308.14","82,198,415.89","156,449,860.06","243,001,188.66","341,924,045.86","93,714,455.16","200,321,432.21","315,942,615.36","430,031,834.37","96,092,388.70","213,933,122.15","403,315,257.98","555,568,923.01","151,968,691.33","334,439,854.97","506,567,563.60","679,779,804.20","155,195,271.49","355,466,445.81","599,961,081.35","668,050,892.45"
减:营业外支出,"89,596.60","168,314.23","206,402.76","719,415.45","2,243,595.96","2,277,465.49","3,021,640.00","6,181,844.16","914,928.63","3,709,190.20","4,991,197.97","6,381,112.87","1,348,532.63","3,275,489.40","11,610,349.91","12,059,252.70","2,869,094.09","4,526,702.64","11,075,533.28","15,435,355.18","1,900,484.43","6,645,436.74","12,855,938.79","18,909,309.48","6,086,582.73","14,981,777.41","24,232,080.33","30,772,071.54","10,522,775.41","22,593,190.82","35,171,517.74","53,264,058.16","12,649,209.33","19,488,951.46","24,223,098.08","32,155,586.85","4,259,238.25","53,265,403.72","57,962,094.76","83,345,188.50","12,860,942.43","23,331,883.98","39,252,779.63","57,883,225.49"
管理费用,"6,511,699.24","12,815,590.99","21,829,953.34","32,218,053.86","9,607,005.95","22,106,430.63","34,560,509.67","52,013,946.90","14,342,658.22","36,990,051.12","62,979,400.41","106,777,493.97","35,390,176.73","77,011,701.99","120,914,774.41","176,689,506.25","48,467,194.42","99,354,188.58","162,796,290.58","225,266,783.28","69,683,154.72","131,519,526.47","216,939,799.83","308,767,782.40","87,226,311.54","170,511,621.40","282,815,592.23","372,437,929.66","103,594,981.20","217,886,514.85","327,487,360.20","398,113,544.26","104,251,258.55","266,620,592.88","445,920,146.51","512,846,705.68","169,948,525.52","339,251,292.69","546,087,287.10","693,543,342.38","222,613,759.18","402,902,281.28","607,052,825.88","921,207,583.80"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,"2,985,219.14",,,,,,,,,,,,"22,834,913.91",,"19,181,067.42",,,,,,"20,911,200.32",,"42,739,928.83",,"63,070,586.66",,"18,942,842.69",,
