科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"49,991,861.81","40,651,987.16","45,960,416.59","63,939,117.63","70,288,347.22","43,343,352.57","150,844,790.04","138,244,107.13","146,362,354.24","152,709,514.09","109,711,842.27","334,735,509.05","332,141,934.09","221,642,134.99","285,762,441.74","261,672,171.64","217,840,361.12","194,929,636.50"
短期借款,"20,000,000.00","10,000,000.00","12,444,000.00","12,000,000.00","12,000,000.00",,,,,,,"88,850,000.00","100,000,000.00","100,000,000.00","189,176,313.40","225,400,000.00","454,399,019.81","482,061,048.20"
交易性金融资产,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,
应收票据,"3,649,222.14","6,496,840.56","21,580,645.38","31,571,466.09","28,248,724.46","33,340,553.55","46,522,278.00","35,613,909.07","42,504,238.91","25,810,434.92","26,979,303.85","18,351,739.85","35,151,080.12","33,780,045.32","52,781,564.03","60,663,907.29","69,536,811.30","43,208,566.12"
应付票据,,"10,000,000.00","7,500,000.00","13,400,000.00","8,000,000.00","9,620,000.00","5,220,000.00","5,600,000.00","3,000,000.00","5,450,000.00","8,450,000.00","2,000,000.00","19,303,287.36","30,025,357.62","24,942,070.26","49,803,399.96","57,896,105.76","35,127,580.80"
应收账款,"27,274,257.52","37,650,930.14","32,242,931.15","50,375,602.64","32,948,483.67","58,801,270.17","47,252,977.49","61,404,192.50","53,688,612.39","75,926,770.37","65,277,038.98","110,486,621.66","100,917,579.14","169,890,975.20","213,973,723.71","241,248,704.28","775,570,945.02","758,962,238.52"
应付账款,"19,180,954.86","32,467,871.36","39,584,825.06","40,192,071.94","35,240,546.75","25,265,514.85","41,248,680.75","36,847,531.71","35,993,952.39","36,642,277.16","70,506,887.24","88,421,790.20","105,196,000.48","94,188,719.68","120,126,659.80","102,680,875.49","453,470,212.83","348,338,242.57"
预付款项,"25,025,766.14","27,765,842.71","6,971,160.95","6,935,046.62","6,357,531.17","6,481,060.41","2,173,474.17","15,615,924.42","2,400,478.15","8,146,485.88","17,623,029.18","12,484,342.76","13,149,707.28","39,828,818.71","28,142,847.17","36,818,449.57","51,554,957.66","102,206,391.17"
预收款项,"4,812,997.51","1,437,172.16","4,027,636.41","8,044,069.54","2,448,962.71","3,442,063.44","3,475,936.55","2,361,482.67","2,814,243.71","2,129,131.71","2,801,355.09","13,510,291.61","4,774,645.39","4,357,856.43","6,571,916.05","11,036,364.05","44,502,176.51","62,549,481.01"
