科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"217,776,530.93","269,550,559.23","389,942,168.32","88,841,503.22","195,837,574.98","318,874,258.79","501,500,787.20","155,010,507.10"
二、营业利润,"25,310,106.20","27,956,400.34","41,194,633.25","5,521,179.46","16,275,795.63","27,423,529.74","59,946,691.42","13,902,081.70"
减:营业成本,"137,897,504.79","174,686,342.02","263,798,790.87","61,725,104.71","134,746,263.96","217,591,037.21","344,139,257.00","104,322,774.28"
加:补贴收入,,,,,,,,
营业税金及附加,"1,336,879.33","1,618,063.69","2,234,605.92","626,531.54","1,328,814.20","2,106,446.17","3,324,083.86","934,512.16"
营业外收入,"10,651,574.86","14,145,222.93","20,150,693.71","2,071,985.07","6,357,438.53","12,369,150.46","2,129,344.71",
销售费用,"29,651,198.77","35,414,676.08","41,308,160.93","10,675,271.60","22,226,762.17","39,447,808.32","60,809,053.44","18,714,288.74"
减:营业外支出,"256,107.09","294,707.04","257,566.81",,"5,024.50","5,024.50","57,455.92","7,105.56"
管理费用,"23,737,709.95","29,956,782.66","40,511,779.83","9,653,429.58","19,616,640.53","32,505,802.46","54,753,779.89","17,104,886.89"
其中:非流动资产处置净损失,"36,131.87","24,588.87","19,007.84",,,,,
堪探费用,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,
财务费用,"248,722.15","109,879.59","238,589.93","-153,399.16","-1,865,271.54","-3,718,972.28","-5,751,894.30","-2,270,769.38"
三、利润总额,"35,705,573.97","41,806,916.23","61,087,760.15","7,593,164.53","22,628,209.66","39,787,655.70","62,018,580.21","13,894,976.14"
资产减值损失,"290,584.39","1,561,252.98","1,497,404.90","793,385.49","3,508,570.03","3,518,607.17","4,542,427.50","3,242,657.49"
减:所得税,"5,140,478.46","6,313,138.41","8,859,155.75","1,077,002.60","3,121,715.48","5,610,493.46","8,817,936.36","2,034,121.18"
加:公允价值变动净收益,,,,,,,,
加:影响净利润的其他科目,,,,,,,,
投资收益,"696,174.65","1,752,838.13","841,797.31",,,,,
四、净利润,"30,565,095.51","35,493,777.82","52,228,604.40","6,516,161.93","19,506,494.18","34,177,162.24","53,200,643.85","11,860,854.96"
其中:对联营企业和合营企业的投资权益,,,,,,,,
归属于母公司所有者的净利润,"30,565,095.51","35,493,777.82","52,228,604.40","6,516,161.93","19,506,494.18","34,177,162.24","53,204,476.10","11,461,670.25"
影响营业利润的其他科目,,,,,,,,
少数股东损益,,,,,,,"-3,832.25","399,184.71"
