科目,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"371,527,606.32","558,642,851.28","804,029,210.38","220,697,131.68","505,489,617.76","784,726,280.23","1,045,002,452.23","228,031,935.29","465,464,527.03","751,446,815.25","1,095,842,372.69","335,455,622.86","730,212,924.72","1,150,710,108.77","1,592,143,341.18","457,757,859.72","950,961,585.02","1,453,849,858.84","2,020,548,329.18","497,756,523.98","1,036,996,560.62","1,568,042,473.35","2,145,694,194.59","566,030,087.51","1,161,492,442.21","1,765,887,864.81","2,432,474,181.14","635,814,750.05","1,300,093,441.54","1,940,109,836.76","2,611,009,066.55","702,912,161.69","1,479,431,913.86","2,168,460,947.60","2,793,734,998.63","547,331,644.95","1,151,910,745.97","1,735,362,192.73","2,338,540,787.41","575,823,092.87","1,229,402,795.78","1,989,614,989.19","2,814,626,707.79","890,354,032.51","1,901,348,345.58","2,851,443,313.22","3,863,095,492.53","1,101,274,503.78"
二、营业利润,"52,640,129.15","74,712,839.83","102,589,442.82","26,526,885.77","58,687,293.75","89,935,789.80","115,955,395.06","32,473,139.40","65,012,638.56","108,678,709.36","157,641,760.19","41,385,220.27","82,486,993.37","127,286,327.88","176,591,684.98","44,788,815.60","81,080,162.52","103,480,001.06","142,210,993.85","26,525,532.62","56,829,780.69","79,400,774.25","107,312,937.74","36,132,359.96","73,467,440.78","102,714,507.00","141,338,552.37","48,539,104.07","104,922,694.86","143,383,443.29","189,464,874.79","54,833,237.03","111,072,965.13","141,330,722.21","92,971,607.30","32,902,896.78","59,781,233.43","76,680,533.59","-178,485,230.36","38,072,949.74","66,562,272.95","60,535,458.17","30,017,908.13","70,950,573.27","158,876,823.69","227,849,387.58","282,431,523.38","63,850,978.21"
减:营业成本,"225,593,075.91","331,745,403.80","476,482,759.87","125,652,089.38","308,482,386.25","488,974,531.56","664,082,276.65","137,751,346.60","286,541,381.93","462,763,946.05","671,789,919.75","207,557,260.06","469,007,261.26","742,438,061.64","1,042,163,842.22","305,949,919.37","652,366,973.05","1,016,567,247.37","1,417,936,691.67","358,757,912.36","745,772,488.21","1,128,415,076.03","1,530,000,895.73","412,078,493.05","833,264,052.65","1,266,949,562.54","1,726,356,866.43","449,229,352.42","905,935,090.33","1,352,274,062.60","1,811,542,144.50","488,928,813.71","1,033,154,152.50","1,509,840,394.35","1,960,535,770.28","380,201,411.54","804,452,594.91","1,203,093,186.89","1,637,570,160.69","387,553,196.64","832,377,325.97","1,393,045,088.40","1,978,822,380.31","639,575,695.86","1,352,253,054.41","2,003,532,492.48","2,734,385,268.48","801,570,112.39"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,171,557.30","4,637,144.15","6,466,080.76","1,608,790.59","4,045,538.95","6,024,605.05","8,708,752.25","2,172,633.68","4,462,971.08","6,248,906.39","9,057,038.31","2,214,859.98","5,113,807.57","8,070,738.56","10,754,649.39","2,444,821.06","5,912,724.90","9,258,570.26","13,171,915.71","3,069,436.95","6,699,241.64","9,752,718.23","13,691,008.74","3,956,145.49","8,798,119.13","13,219,377.57","16,075,011.23","4,542,264.09","9,322,864.09","13,410,003.70","16,801,305.75","4,291,277.17","10,573,793.95","15,144,334.10","19,481,324.07","4,538,651.99","9,746,767.56","13,735,317.64","23,238,657.43","5,232,136.94","12,097,307.89","19,068,260.37","25,604,596.51","6,814,975.48","15,911,882.99","24,018,398.94","32,371,301.24","9,561,976.99"
营业外收入,"10,520,934.92","11,331,172.40","15,862,235.90","5,515,569.60","10,556,247.85","12,930,317.85","13,061,537.01","233,649.86","4,971,287.91","5,794,357.20","4,226,326.84","2,328,494.00","2,511,421.77","5,087,005.65","5,967,345.38","1,403,000.55","2,792,762.44","3,206,868.70","7,132,750.20","3,277,485.69","7,889,019.06","9,211,219.07","14,614,037.16","1,813,146.21","3,449,368.98","6,400,804.74","8,350,421.80","3,821,604.16","5,672,768.69","7,333,542.36","9,398,829.98","2,333,293.79","10,159,825.90","15,024,498.93","23,648,796.85","4,575,019.70","9,039,890.81","12,999,566.88","25,891,726.31","5,690,831.22","8,905,783.35","8,267,773.52","15,492,280.77","2,112,798.32","6,048,573.27","8,346,726.07","5,590,851.53","2,081,375.74"
销售费用,"45,752,485.80","72,729,038.69","104,798,823.03","32,239,578.30","63,804,178.23","96,350,920.20","126,250,937.41","29,928,520.72","53,870,518.15","89,131,493.15","130,902,767.24","46,150,062.78","98,782,540.75","145,451,141.74","184,886,607.81","47,879,530.77","97,118,315.61","145,875,838.03","198,648,497.05","49,423,922.46","104,481,788.08","165,118,616.90","225,375,750.82","57,068,368.70","116,350,378.64","176,006,751.86","247,470,209.42","60,504,881.25","124,043,518.33","193,822,959.58","262,804,759.02","71,135,860.74","141,803,958.85","227,195,580.64","307,181,778.06","50,222,145.26","113,523,088.86","167,495,479.06","254,688,214.61","59,575,826.17","125,068,039.12","197,941,640.30","297,800,468.25","74,670,493.45","156,039,003.29","236,950,914.27","338,850,924.35","90,393,859.44"
减:营业外支出,"1,686,028.44","3,478,731.16","3,798,673.74","574,561.89","1,319,079.93","1,689,740.31","1,374,542.35","161,547.90","235,074.62","854,500.57","1,426,519.21","698,460.88","806,109.77","2,579,075.76","3,779,456.01","577,922.67","640,312.39","800,803.34","1,522,994.80","98,251.94","1,307,837.61","1,404,256.16","3,561,593.84","129,070.55","736,222.82","930,956.43","1,220,703.36","599,376.12","1,825,863.53","1,943,560.78","4,669,446.24","489,102.67","848,497.23","1,372,374.77","4,466,699.31","1,750,750.78","2,326,992.86","4,237,605.71","13,617,609.52","1,078,068.64","3,103,213.29","5,414,482.35","6,219,686.12","4,895,240.00","11,904,260.05","21,323,972.67","20,732,216.06","495,525.29"
管理费用,"33,777,316.25","60,183,672.20","90,000,551.79","27,175,844.60","53,294,302.76","78,237,155.49","100,016,836.72","20,768,881.11","46,130,154.98","71,165,160.58","106,018,502.39","28,201,165.14","59,116,017.29","103,697,438.84","145,504,467.53","44,175,248.93","86,960,575.25","134,951,502.78","182,762,889.76","42,822,806.34","86,245,467.54","133,503,627.46","193,793,189.91","40,254,637.49","97,653,558.22","159,876,724.72","232,255,533.22","53,164,932.88","117,352,871.81","176,747,804.26","254,718,727.02","58,356,049.51","127,948,459.70","208,153,513.81","295,307,773.32","55,346,368.11","123,549,169.74","204,969,936.24","272,984,773.21","63,373,954.11","134,010,058.32","218,132,972.60","293,920,468.98","75,967,172.20","167,215,878.87","131,916,006.66","190,752,958.30","49,961,449.85"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,,,,"787,211.57",,"384,962.05",,"202,536.78",,,,,,"607,432.82","198,675.77","300,657.19","337,296.64","2,237,162.85","269,605.31","700,137.34","919,361.06","1,211,925.78","48,514.55","65,915.20","943,991.84",,,,,,
