科目,2011年度,2012年度,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"293,779,995.26","203,817,276.53","173,055,068.80","311,786,206.97","141,449,119.38","280,656,119.94","389,519,014.80","96,398,249.05","178,133,645.86","287,502,703.29","459,264,547.88","106,290,528.13","160,554,514.91","225,213,763.74","816,994,612.08","287,930,076.45","615,220,452.63","994,421,617.09","1,492,144,943.23","292,046,370.16","606,312,611.44"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,"32,445,928.16","24,360,211.90",,,,,,
收到的税费返还,"4,056,747.39","2,323,322.07","2,673,597.20","4,411,727.24","1,156,423.85","3,773,622.45","5,346,256.24","221,846.10","1,844,771.22","3,346,063.12","4,990,534.18","1,457,683.57","3,041,455.17","4,162,101.25","6,033,288.55","3,663,939.49","18,538,299.28","4,656,817.23","34,161,847.34","27,269,297.59","59,676,294.01"
支付其他与投资活动有关的现金,,,,,,,,,"99,830,000.00","129,830,000.00","200,000,000.00",,,"22,195.80","64,150,700.91",,"35,000,000.00","35,000,000.00","37,169,811.32",,
收到其他与经营活动有关的现金,"13,518,430.71","11,663,670.19","4,042,087.81","21,051,445.24","2,381,679.19","6,423,646.27","13,324,520.51","2,553,442.61","5,572,803.62","8,280,485.18","14,189,479.77","1,671,242.97","6,203,388.51","6,290,561.48","17,253,557.95","2,174,400.71","4,315,404.46","14,101,529.52","76,038,988.31","6,093,961.01","9,807,130.53"
投资活动现金流出小计,"12,820,719.93","52,165,957.16","24,005,779.33","64,285,070.38","10,165,806.93","19,465,060.13","31,011,854.64","11,088,621.09","116,785,682.50","150,330,193.59","226,198,658.28","6,380,001.98","8,744,282.26","42,492,253.03","105,552,254.12","11,453,666.79","56,466,954.05","77,718,731.28","81,485,394.32","13,429,031.85","22,974,537.68"
经营活动现金流入小计,"311,355,173.36","217,804,268.79","179,770,753.81","337,249,379.45","144,987,222.42","290,853,388.66","408,189,791.55","99,173,537.76","185,551,220.70","299,129,251.59","478,444,561.83","109,419,454.67","169,799,358.59","235,666,426.47","840,281,458.58","293,768,416.65","638,074,156.37","1,013,179,963.84","1,602,345,778.88","325,409,628.76","675,796,035.98"
投资活动产生的现金流量净额,"-12,820,719.93","-52,165,957.16","-24,005,779.33","-64,285,070.38","-10,165,806.93","-19,465,060.13","-31,011,854.64","-11,088,621.09","-96,737,471.24","-99,813,525.52","-22,133,753.60","-6,193,015.68","-8,458,311.03","-40,445,158.52","-58,077,667.41","-11,421,585.54","-21,221,488.55","-42,471,715.78","-42,440,587.85","-13,371,031.85","-22,837,337.68"
购买商品、接受劳务支付的现金,"163,738,260.90","83,473,140.16","114,871,749.43","156,664,690.47","102,776,474.47","165,813,756.14","210,841,938.15","67,841,631.72","131,566,514.36","219,986,337.67","326,476,312.26","51,044,463.90","114,663,563.09","151,140,905.70","457,408,589.63","232,781,712.86","464,510,501.53","707,488,063.14","969,686,083.62","210,105,050.38","424,100,991.27"
吸收投资收到的现金,,,,,,,"343,397,162.80",,,"1,590,675.89","1,590,675.89",,"1,056,002.60","1,056,002.60","1,056,000.00",,"32,235,000.00","32,235,000.00","32,235,000.00","4,866,400.00","4,866,400.00"
支付给职工以及为职工支付的现金,"30,646,505.57","32,748,175.27","26,607,456.02","36,316,873.78","26,122,774.36","35,628,334.14","45,936,673.11","27,033,008.25","41,870,258.45","56,954,099.49","72,643,182.29","30,096,418.01","46,284,808.72","64,468,113.36","181,331,371.23","121,284,015.06","249,621,891.91","372,032,224.41","475,896,283.60","127,573,896.92","252,522,905.64"
取得借款收到的现金,"15,400,000.00","34,590,000.00","39,630,776.40","100,156,293.07","30,000,000.00","32,000,000.00","63,908,900.00",,,,,,,"196,348,120.00","197,975,053.71","181,000,000.00","194,000,000.00","256,000,000.00","371,426,800.00",,"13,523,893.00"
支付的各项税费,"44,028,290.61","33,963,097.83","31,065,405.87","50,730,328.53","17,214,702.18","39,187,166.94","62,944,307.69","12,889,033.63","17,740,504.22","26,667,054.52","44,069,797.40","10,279,016.84","17,993,439.43","34,040,370.53","40,016,565.11","21,345,513.60","30,714,480.49","14,142,506.43","55,834,470.48","21,849,119.85","38,217,096.49"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"32,865,975.65","32,057,168.34","46,528,436.06","52,394,612.12","30,805,578.07","41,129,304.10","44,592,129.89","20,378,526.27","38,326,057.15","68,959,753.08","77,776,797.38","18,371,012.53","31,337,445.46","254,307,041.16","286,809,560.93","35,599,172.96","84,465,770.85","107,070,049.51","163,023,748.95","37,995,139.52","83,703,781.07"
筹资活动现金流入小计,"15,400,000.00","34,590,000.00","39,630,776.40","100,156,293.07","30,000,000.00","32,000,000.00","407,306,062.80",,,"1,590,675.89","1,590,675.89",,"1,056,002.60","197,404,122.60","199,031,053.71","181,000,000.00","226,235,000.00","288,235,000.00","403,661,800.00","4,866,400.00","18,390,293.00"
经营活动现金流出小计,"271,279,032.73","182,241,581.60","219,073,047.38","296,106,504.90","176,919,529.08","281,758,561.32","364,315,048.84","128,142,199.87","229,503,334.18","372,567,244.76","520,966,089.33","109,790,911.28","210,279,256.70","503,956,430.75","965,566,086.90","411,010,414.48","829,312,644.78","1,200,732,843.49","1,664,440,586.65","397,523,206.67","798,544,774.47"
偿还债务支付的现金,"5,000,000.00","15,400,000.00","21,600,000.00","32,575,893.13","31,792,300.00","38,690,076.40","150,560,143.07","16,998,900.00","16,998,900.00","16,998,900.00","16,998,900.00",,,,"3,910,000.00","31,700,000.00","34,640,633.71","104,640,633.71","238,079,393.71","51,000,000.00","79,000,000.00"
经营活动产生的现金流量净额,"40,076,140.63","35,562,687.19","-39,302,293.57","41,142,874.55","-31,932,306.66","9,094,827.34","43,874,742.71","-28,968,662.11","-43,952,113.48","-73,437,993.17","-42,521,527.50","-371,456.61","-40,479,898.11","-268,290,004.28","-125,284,628.32","-117,241,997.83","-191,238,488.41","-187,552,879.65","-62,094,807.77","-72,113,577.91","-122,748,738.49"
分配股利、利润或偿还利息支付的现金,"6,225,997.46","6,409,624.35","9,893,605.30","21,128,787.81","9,538,769.90","10,316,404.09","11,167,338.57","252,135.55","10,452,135.55","10,452,135.55","10,452,135.55",,"13,774,703.38","17,000,538.63","15,638,047.72","2,359,700.10","5,798,707.71","15,459,725.12","20,265,579.16","3,529,814.61","21,222,010.16"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,,,"98,600.00","98,600.00",,,,,"3,328,894.92",,,,"539,126.43",,
取得投资收益收到的现金,,,,,,,,,,,"4,062,064.68","186,986.30","285,171.23","2,046,294.51","2,046,294.51",,"177,784.25","177,784.25","177,784.25",,
筹资活动现金流出小计,"11,225,997.46","21,809,624.35","31,493,605.30","53,704,680.94","41,331,069.90","49,006,480.49","161,727,481.64","17,251,035.55","27,549,635.55","27,549,635.55","27,451,035.55",,"13,774,703.38","17,000,538.63","22,876,942.64","34,059,700.10","40,439,341.42","120,100,358.83","258,884,099.30","54,529,814.61","100,222,010.16"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,,,"1,096.52","2,840.00",,800.00,800.00,"428,292.20","32,081.25","67,681.25","69,231.25","3,867,022.22","58,000.00","137,200.00"
筹资活动产生的现金流量净额,"4,174,002.54","12,780,375.65","8,137,171.10","46,451,612.13","-11,331,069.90","-17,006,480.49","245,578,581.16","-17,251,035.55","-27,549,635.55","-25,958,959.66","-25,860,359.66",,"-12,718,700.78","180,403,583.97","176,154,111.07","146,940,299.90","185,795,658.58","168,134,641.17","144,777,700.70","-49,663,414.61","-81,831,717.16"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,"10,238.91","10,238.91",,,,,"-9,378.67","25,737.39","15,443.58","1,040,858.54","-1,486,012.45","1,298,897.82","7,773,690.52","10,798,463.84","9,584,795.95","-713,436.04","-2,028,885.89"
收到其他与投资活动有关的现金,,,,,,,,,"20,048,211.26","50,515,571.55","200,000,000.00",,,,"45,000,000.00",,"35,000,000.00","35,000,000.00","35,000,000.00",,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,,,,,,,"20,048,211.26","50,516,668.07","204,064,904.68","186,986.30","285,971.23","2,047,094.51","47,474,586.71","32,081.25","35,245,465.50","35,247,015.50","39,044,806.47","58,000.00","137,200.00"
五、现金及现金等价物净增加额,"31,429,423.24","-3,822,894.32","-55,170,901.80","23,309,416.30","-53,418,944.58","-27,366,474.37","258,441,469.23","-57,308,318.75","-168,239,220.27","-199,210,478.35","-90,525,019.43","-6,538,734.90","-61,641,466.34","-127,290,720.29","-8,694,197.11","19,575,614.35","-18,890,627.86","-51,091,490.42","49,827,101.03","-135,861,460.41","-229,446,679.22"
购建固定资产、无形资产和其他长期资产支付的现金,"12,820,719.93","52,165,957.16","24,005,779.33","64,285,070.38","10,165,806.93","19,465,060.13","31,011,854.64","11,088,621.09","16,955,682.50","20,500,193.59","26,198,658.28","6,380,001.98","8,722,086.46","10,024,129.07","17,041,341.31","11,453,666.79","21,466,954.05","42,718,731.28","44,315,583.00","13,429,031.85","22,974,537.68"
期初现金及现金等价物余额,"70,344,062.88","101,773,486.12","97,950,591.80","97,950,591.80","121,260,008.10","121,260,008.10","121,260,008.10","379,701,477.33","379,701,477.33","379,701,477.33","379,701,477.33","289,176,457.90","289,176,457.90","289,176,457.90","289,176,457.90","280,482,260.79","280,482,260.79","280,482,260.79","280,482,260.79","330,309,361.82","330,309,361.82"
投资支付的现金,,,,,,,,,,,,,"22,195.80",,,,,,,,
期末现金及现金等价物余额,"101,773,486.12","97,950,591.80","42,779,690.00","121,260,008.10","67,841,063.52","93,893,533.73","379,701,477.33","322,393,158.58","211,462,257.06","180,490,998.98","289,176,457.90","282,637,723.00","227,534,991.56","161,885,737.61","280,482,260.79","300,057,875.14","261,591,632.93","229,390,770.37","330,309,361.82","194,447,901.41","100,862,682.60"
