科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"278,253,824.55","381,068,028.08","380,302,231.40","266,512,106.59","439,811,177.21","590,735,794.38","147,224,782.60","358,073,171.27","569,035,476.47","775,615,766.66","190,482,301.06","416,542,900.86","638,092,637.17","896,786,308.45","215,014,510.37","581,854,245.10","866,678,256.82","1,166,230,898.77","269,657,902.75","624,099,344.04","1,020,962,355.12","1,313,154,024.97","284,628,729.11","695,015,830.23","1,096,197,390.91","1,523,773,694.71","445,381,088.48","1,081,117,761.37","1,633,973,978.26","2,271,911,668.99","650,715,629.96","1,305,383,753.72","2,073,756,172.35","3,001,200,083.68"
二、营业利润,"30,995,575.84","21,928,533.25","39,585,757.16","31,243,485.41","51,736,642.33","64,919,799.65","15,190,546.05","41,101,666.80","65,285,361.67","78,414,209.54","15,642,795.49","43,614,570.97","61,857,300.08","63,150,101.07","11,509,057.57","37,905,350.29","52,350,639.32","42,707,679.17","10,509,383.89","40,163,515.61","67,999,742.28","63,236,179.58","11,914,178.59","47,317,087.74","68,718,117.48","23,478,094.69","-18,918,169.08","-43,588,043.20","-51,694,603.56","-205,767,766.16","-29,410,996.15","-60,967,805.59","20,583,860.67","35,715,067.15"
减:营业成本,"212,246,316.57","293,259,155.20","270,117,910.27","187,324,093.70","307,134,260.21","409,831,966.00","101,413,569.85","249,552,693.86","398,765,386.90","555,385,856.40","139,174,231.99","300,359,148.21","457,170,730.52","662,179,616.89","158,411,423.50","449,140,987.04","660,557,509.05","900,197,055.55","209,566,117.48","458,334,735.19","763,599,359.89","985,988,296.60","208,528,454.81","504,521,797.09","818,795,262.38","1,162,545,776.50","370,644,912.72","891,429,152.19","1,351,739,365.39","1,965,118,146.60","557,835,457.84","1,093,465,830.29","1,693,136,008.20","2,513,525,645.93"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"941,388.22","1,144,780.14","2,083,625.75","805,563.66","1,117,698.19","1,963,411.35","318,411.79","568,755.03","1,216,374.12","2,073,624.41","679,761.23","907,745.42","1,013,481.34","1,254,823.21","122,541.32","574,257.69","711,477.46","853,816.42","315,287.66","578,121.94","824,630.24","1,100,686.84","358,856.79","574,281.24","1,152,216.57","4,330,884.94","4,650,326.46","6,075,398.12","6,498,824.48","13,110,576.50","6,094,052.89","12,146,400.70","14,315,503.07","20,130,018.08"
营业外收入,"2,905,137.02","6,157,928.47","4,640,707.17","1,508,757.77","1,656,450.62","7,829,576.30","736,072.00","863,810.81","2,335,920.04","5,187,425.92","2,210,916.89","2,218,353.34","7,132,465.08","8,083,289.32","2,118,609.72","2,675,740.97","10,391,953.19","12,157,795.81","1,625,889.00","4,138,801.47","8,692,418.46","12,044,395.82","1,695,694.41","3,488,100.90","10,580,300.17","21,999,872.23","2,190,785.73","5,898,870.07","9,085,034.90","23,211,120.23","4,766,530.94","1,671,315.46","2,314,111.11","1,629,851.85"
销售费用,"10,982,201.85","14,437,816.44","16,419,324.69","14,246,942.99","26,716,257.97","38,645,988.84","10,528,139.56","20,899,238.95","34,010,235.60","47,005,352.48","12,125,929.09","24,775,757.63","39,214,440.58","55,594,983.90","13,870,893.45","25,707,761.63","44,715,702.97","68,063,084.49","11,376,792.91","29,383,645.23","43,815,436.51","71,190,977.58","14,674,723.86","39,903,956.26","75,214,560.24","134,779,229.97","50,637,144.20","118,983,352.00","173,960,072.25","280,260,412.80","53,181,856.11","133,658,500.05","193,054,233.05","271,315,314.62"
减:营业外支出,"368,135.60","1,127,521.42","530,751.95","397,925.79","532,280.08","1,032,963.74","171,557.07","937,010.29","1,221,651.89","1,472,973.14","572,255.98","1,059,052.75","1,306,677.31","3,874,762.15","601,822.06","1,159,192.42","1,931,811.46","3,113,275.53","1,061,486.65","1,704,396.26","2,202,758.94","3,017,214.88","584,598.36","1,244,868.59","1,694,870.76","2,482,072.78","869,313.68","2,197,613.95","2,832,997.89","3,551,018.59","533,690.84","2,145,079.68","3,218,025.22","3,518,056.39"
管理费用,"15,796,985.17","29,673,249.37","33,672,440.71","21,579,979.43","33,572,132.38","51,787,654.95","13,810,902.73","27,652,054.63","46,296,027.72","65,432,156.44","16,612,708.49","32,029,367.83","57,004,666.31","82,122,872.86","19,021,893.11","44,666,269.09","68,501,436.31","101,258,612.20","25,868,498.12","57,224,693.41","84,666,020.47","111,835,479.87","29,136,125.41","59,186,950.31","90,066,011.76","137,888,110.66","30,267,504.28","80,561,781.17","126,501,954.49","176,061,984.44","48,890,743.71","103,421,935.45","152,007,829.99","227,052,647.68"
其中:非流动资产处置净损失,"37,597.45","13,264.84","40,918.38",,,"38,076.42",,,,"14,584.54",,"32,045.92",,"32,045.92",,,,"870,446.04",,"624,098.94","624,098.94","862,191.85",,"22,231.68","22,231.68","74,958.75",,"496,031.19","755,091.97","994,659.11",,"833,442.70","1,323,228.39",
