科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"252,669,799.65","322,482,751.35","240,665,732.14","117,300,859.54","172,718,951.74","253,316,102.39","34,408,258.90","72,446,441.88","76,383,764.60","190,557,345.42","40,891,601.05","102,321,687.04","131,509,064.91","179,120,509.53","47,283,499.81","109,426,131.49","224,859,142.57","229,321,588.05","39,303,506.08","175,251,556.72","208,707,857.05","301,678,018.66","82,685,341.95"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,"1,022,242.28",,"2,403,135.04",,"11,491,013.79",
支付其他与投资活动有关的现金,,,,,,"43,000,000.00","7,000,000.00","277,000,000.00","284,000,000.00",,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"10,799,289.02","5,514,518.11","23,239,528.08","13,128,249.00","13,696,523.64","15,995,202.11","2,499,083.67","13,738,529.60","16,046,545.04","7,553,725.48","6,013,807.91","1,381,800.50","1,684,028.68","2,890,017.14","12,858,133.04","914,759.42","1,860,879.72","2,817,744.61","8,102,963.83","7,257,490.94","16,507,724.35","5,106,314.48","8,821,269.68"
投资活动现金流出小计,"6,150,873.84","580,588.10","119,865.99","646,893.01","686,785.67","44,373,182.01","7,000,000.00","277,000,000.00","285,158,768.61","1,186,403,338.54","49,241,520.00","56,228,151.76","396,662,415.33","1,171,020,988.86","218,174,255.69","592,637,215.50","611,051,797.77","785,521,124.65","322,827,522.86","582,058,244.19","657,235,418.77","691,711,605.98","132,069,671.15"
经营活动现金流入小计,"263,469,088.67","327,997,269.46","263,905,260.22","130,429,108.54","186,415,475.38","269,311,304.50","36,907,342.57","86,184,971.48","92,430,309.64","198,111,070.90","46,905,408.96","103,703,487.54","133,193,093.59","182,010,526.67","60,141,632.85","110,340,890.91","226,720,022.29","233,161,574.94","47,406,469.91","184,912,182.70","225,215,581.40","318,275,346.93","91,506,611.63"
投资活动产生的现金流量净额,"-2,924,409.33","-580,588.10","-59,865.99","-646,893.01","-686,785.67","-44,373,182.01","-6,932,000.00","-225,346,917.81","-178,433,346.42","-197,460,003.68","-46,160,678.63","9,406,147.92","13,314,484.82","1,751,329.18","29,860,218.29","14,843,870.20","1,482,790.13","35,757,013.55","-45,716,651.37","-55,857,680.16","-88,474,207.42","101,453,159.89","-8,610,225.54"
购买商品、接受劳务支付的现金,"142,027,067.31","101,414,971.14","117,065,212.14","64,176,090.02","100,004,892.13","139,325,984.34","18,688,002.93","44,222,394.45","65,209,716.68","90,231,418.28","9,665,828.11","31,774,579.80","56,191,333.77","67,057,538.04","28,839,129.63","40,427,070.90","143,301,006.30","97,782,290.10","15,288,629.62","87,735,210.13","150,873,936.88","144,845,896.02","34,880,934.32"
吸收投资收到的现金,,,,,,"276,613,120.00",,,,,,,,,,,,,,,,,
