科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"1,743,697,792.32","3,359,350,956.35","3,303,258,199.11","2,282,828,260.46","11,247,269,854.46","8,886,042,859.68","8,919,058,651.47","7,298,355,869.00","8,463,711,764.26","8,265,658,650.54","12,639,618,168.56","13,188,730,074.61","13,494,347,483.47","9,729,158,078.18","8,728,085,707.66","13,907,140,440.19","10,940,751,163.26","13,133,113,976.65","10,063,921,443.31","9,234,381,010.53","10,940,809,630.42","12,454,103,775.63","13,973,761,072.43","11,380,518,595.11","12,455,341,111.36","9,941,424,613.63","13,938,222,821.46","9,774,054,408.66","12,159,950,249.45","8,763,439,980.52","7,931,776,867.56","8,061,919,611.37","4,872,652,782.36","7,938,074,640.97","8,381,563,495.34","8,543,148,911.92","9,127,316,658.74","15,764,359,001.77","12,328,954,922.11","13,339,391,428.48","14,861,702,055.65","13,490,287,727.03","11,230,348,961.80","11,549,154,048.57"
短期借款,"1,970,000,000.00","1,413,000,000.00","1,093,000,000.00","1,243,000,000.00","1,843,000,000.00","1,450,000,000.00","1,047,040,000.00","1,647,040,000.00","2,097,040,000.00","3,817,040,000.00","2,720,000,000.00","2,720,000,000.00","4,620,000,000.00","4,500,000,000.00","3,500,000,000.00","5,010,000,000.00","2,060,000,000.00","560,000,000.00","1,000,000,000.00","800,000,000.00","800,000,000.00","2,440,000,000.00","7,540,000,000.00","7,240,000,000.00","6,640,000,000.00","6,300,000,000.00","1,230,000,000.00","1,260,000,000.00","1,530,000,000.00","530,000,000.00",,"530,000,000.00","580,000,000.00","580,000,000.00","2,055,000,000.00","1,525,000,000.00","1,475,000,000.00","1,475,000,000.00",,,,,,"950,000,000.00"
交易性金融资产,"154,000.00",,"47,569,140.00",,,"1,000,855,467.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,"94,941,445.00","94,941,445.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,"10,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,112,000.00","124,019,962.63","255,783,993.69","231,661,810.78","244,390,076.56","218,609,035.37"
应收账款,"1,215,493,720.11","500,463,039.22","498,991,925.05","471,512,525.27","365,310,245.62","359,890,839.21","395,720,052.32","603,410,318.37","506,131,036.32","469,816,573.16","864,921,450.80","539,641,606.26","489,104,452.93","319,371,434.88","227,653,222.33","309,074,483.49","297,537,266.62","402,053,830.32","398,417,665.72","210,591,565.69","286,979,640.91","259,639,921.68","235,866,406.76","241,286,711.67","225,322,799.71","468,103,184.73","398,672,041.50","388,209,904.30","379,181,116.70","354,664,854.92","325,316,523.97","1,679,963,076.39","898,137,824.28","863,742,297.43","629,955,126.58","827,999,630.61","891,949,153.61","819,165,000.21","821,775,931.88","960,400,069.11","1,096,931,407.05","630,987,811.01","415,550,790.23","331,138,193.73"
应付账款,"778,142,389.87","830,231,477.91","941,923,887.90","1,299,502,256.32","1,007,621,505.37","956,014,429.71","1,333,268,001.72","1,571,960,721.09","1,372,952,804.99","1,441,898,382.81","1,521,710,228.92","1,500,541,510.35","1,275,338,317.91","1,182,565,758.20","1,003,579,259.16","1,464,904,804.68","2,252,964,554.75","2,528,786,539.92","2,466,055,905.70","2,068,354,845.73","1,853,331,992.99","1,665,674,250.58","2,103,119,026.98","2,928,364,817.28","2,742,821,399.87","3,133,487,053.64","3,198,492,424.59","4,270,349,838.87","3,215,247,839.86","3,257,629,495.63","3,169,407,487.64","4,032,734,711.28","3,405,981,132.60","3,199,465,758.72","2,965,461,955.51","4,038,338,883.38","3,449,539,083.53","3,457,814,727.84","4,229,175,815.94","4,245,513,204.60","3,928,733,438.82","6,005,532,118.53","7,036,997,103.40","9,084,275,747.91"
预付款项,"35,218,507.34","40,273,418.14","46,520,735.33","16,226,971.16","122,280,049.27","553,874,142.10","325,292,278.95","1,452,049,531.69","1,617,755,390.85","149,304,107.39","199,925,976.87","220,251,261.68","199,265,268.18","156,091,086.27","204,230,372.46","1,102,874,128.28","1,241,788,265.17","1,341,753,712.86","2,674,111,312.42","2,826,506,843.41","2,909,467,557.62","2,870,278,004.17","2,701,044,078.54","2,706,818,748.77","2,771,505,522.39","2,750,826,566.27","2,366,246,835.86","5,350,155,123.01","7,173,280,854.58","4,415,175,776.44","6,430,992,299.26","5,932,656,560.40","4,627,028,804.86","4,762,653,449.12","6,403,974,515.80","5,623,599,357.51","6,540,888,968.86","5,978,479,235.71","5,852,061,020.18","5,883,714,395.09","6,025,180,481.26","5,559,642,438.92","5,573,199,223.74","5,698,297,582.66"
预收款项,"165,437,359.86","1,397,705,840.19","1,716,061,109.04","925,138,570.28","1,974,075,874.18","2,015,743,070.04","2,058,061,050.25","347,778,780.03","1,207,481,814.20","903,700,870.77","2,903,222,135.42","2,811,083,547.75","3,506,184,889.57","4,155,982,902.60","5,151,871,871.04","8,958,177,919.69","12,255,045,974.30","12,283,430,307.89","12,807,533,702.45","13,623,661,952.76","13,258,313,306.19","13,636,008,631.14","14,178,371,046.93","14,465,309,794.70","15,333,919,084.88","15,044,006,895.38","17,418,872,689.59","11,934,938,259.65","11,668,911,538.32","14,807,957,703.98","15,077,749,717.31","8,812,450,363.38","9,006,438,857.73","11,211,448,705.86","11,432,867,338.60","8,617,936,157.38","8,398,580,472.19","13,974,593,404.23","19,620,726,368.82","18,793,033,279.99","18,240,733,403.98","18,322,045,324.39","16,317,184,240.15","10,212,198,276.80"
