科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"339,567,723.05","605,049,151.31","845,824,490.68","167,823,121.94","484,747,982.66","734,711,337.67","1,080,430,838.32","146,411,819.97","380,876,390.70","583,432,266.80","911,596,079.76","149,294,142.27","345,663,292.43","546,719,297.66","889,431,946.42","187,222,476.52","405,963,430.85","689,458,977.66","1,103,048,519.32","152,134,421.21","427,878,974.02"
二、营业利润,"63,106,565.78","102,167,328.20","179,746,405.15","28,522,912.71","117,951,158.43","183,093,774.73","247,917,153.19","11,430,311.41","42,314,179.83","61,350,028.51","144,644,295.86","7,360,910.81","18,173,380.86","44,407,114.67","97,025,348.85","6,148,634.58","26,200,200.12","38,934,789.20","115,588,913.35","2,397,597.89","40,954,304.66"
减:营业成本,"194,548,040.19","376,760,226.73","507,224,490.60",,"276,589,649.48","415,213,021.15","643,676,437.95","92,468,824.66","239,497,300.84","368,762,644.53","547,881,570.79","82,927,935.64","197,764,528.86","316,045,152.82","527,248,185.80","115,280,979.81","243,135,056.48","413,483,727.25","673,655,125.98","89,095,991.20","257,216,233.47"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,769,338.07","5,769,528.90","6,273,057.13",,"2,928,310.56","4,323,358.77","9,243,698.93","430,333.67","1,962,595.31","3,205,185.65","7,995,146.00","928,175.52","1,678,732.21","2,765,351.56","7,004,338.88","839,698.93","2,114,310.09","3,504,500.22","8,397,611.21","881,403.90","2,540,291.16"
营业外收入,"6,776,513.00","20,263,702.42","52,296,669.77",,"22,607,035.26","26,327,630.70","38,051,503.18","12,759,801.32","28,245,713.61","31,274,625.13","52,906,737.80","870,053.83","16,650,699.90","17,665,268.92","37,975,587.38","6,575,083.64","4,491,413.40","6,533,445.65","9,946,944.81","1,385,432.62","4,230,691.01"
销售费用,"22,261,234.20","34,766,577.03","37,710,628.23",,"24,782,826.56","41,679,887.69","50,525,888.68","13,957,635.75","32,776,541.28","51,396,530.81","85,907,601.92","16,879,088.94","38,767,592.67","59,326,186.28","87,502,107.24","19,722,094.85","41,893,578.23","61,654,624.27","93,200,031.30","20,610,503.69","45,145,504.47"
减:营业外支出,"9,637.86","52,196.04","3,301.62",,,"32,150.04","59,456.04",,"500,000.00","542,610.59","742,923.49","62,223.28","62,223.29","70,723.29","1,118,930.74","6,718.09","6,714.71","6,701.06","14,124.89","33,912.11","33,912.11"
管理费用,"54,979,275.88","83,875,669.83","113,117,489.91",,"54,918,571.03","83,532,658.45","131,694,423.13","34,519,037.20","80,422,041.47","124,788,179.38","171,633,953.87","45,628,666.78","98,402,501.42","141,303,436.84","193,923,655.14","51,005,383.21","109,799,112.73","205,861,755.15","258,378,396.99","46,011,464.70","100,702,504.96"
其中:非流动资产处置净损失,"9,637.86","52,196.04","1,301.62",,,"32,150.04","32,150.04",,,"2,038.63","1,706.38",,,,"6,707.45","5,298.45","5,298.95","5,298.95",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,
财务费用,"957,206.51","1,157,172.64","501,164.80",,"-1,112,974.40","-1,688,040.10","-3,704,835.06","-6,668,909.49","-11,533,838.62","-21,404,189.20","-13,386,227.99","398,418.22","-4,768,535.61","-10,397,731.03","-18,459,657.97","-1,220,234.31","-826,269.66","55,083.77","867,095.89","2,882,216.40","-1,628,082.57"
三、利润总额,"69,873,440.92","122,378,834.58","232,039,773.30","37,723,440.97","140,558,193.69","209,389,255.39","285,909,200.33","24,190,112.73","70,059,893.44","92,082,043.05","196,808,110.17","8,168,741.36","34,761,857.47","62,001,660.30","133,882,005.49","12,717,000.13","30,684,898.81","45,461,533.79","125,521,733.27","3,749,118.40","45,151,083.56"
资产减值损失,"946,062.42","552,647.98","1,251,254.86",,"8,690,441.00","8,556,676.98","1,212,871.98","1,264,311.83","2,945,756.75","2,765,284.12","-2,559,560.99","2,120,330.35","4,292,378.54","3,794,712.90","4,613,108.45","3,927,524.60","2,542,200.77","6,176,554.41","14,982,475.68","3,376,854.09","7,308,688.60"
