科目,2008年度,2009年度,2010年度,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"7,539,728.33","11,056,461.38","24,550,589.68","20,056,838.19","26,297,979.20","7,777,049.07","18,116,262.82","30,613,956.98","40,318,900.89","11,364,608.59","21,820,318.58","32,010,466.93","42,343,566.00","10,021,324.17","21,990,776.76","236,664,705.58","146,261,105.04","68,669,214.04","169,386,812.15","264,949,113.99","357,010,300.40","74,387,847.16","155,901,237.47","236,581,803.68","317,922,937.11","100,497,064.41","213,750,959.27","335,565,803.58","288,719,814.15"
取得借款收到的现金,,,,,,,,,,,,"948,035.55","3,948,035.55",,,"37,235,214.00",,"41,748,872.00","38,052,826.41","82,345,921.41","231,281,945.68","25,179,186.00","128,679,186.00","204,326,014.00","245,326,014.00","30,667,130.00","358,683,684.50","467,261,754.20","399,104,624.20"
支付的各项税费,"3,047,249.67","3,744,530.38","6,470,899.95","5,379,251.50","8,262,692.75","4,576,737.80","6,307,893.63","7,976,218.99","8,549,476.82","1,807,491.81","2,986,624.40","4,124,136.50","5,299,027.41","1,967,021.02","5,107,726.52","64,710,737.08","37,068,830.30","19,844,523.88","32,172,724.15","51,586,107.77","87,699,754.02","42,848,275.08","69,750,702.14","95,957,930.74","107,560,610.16","32,481,093.15","56,275,574.22","69,609,738.57","80,587,595.86"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,"329,759,300.18","75,536,462.05",,"145,475,094.04","207,767,853.65","153,191,844.42","29,076,195.15","152,326,844.83","267,017,193.56","375,916,881.84","15,380,548.35","125,101,981.54","273,603,892.58","218,487,281.34"
支付其他与经营活动有关的现金,"9,122,900.30","20,082,045.24","13,872,466.63","11,901,865.79","15,025,432.80","3,201,056.29","6,332,414.11","16,023,703.12","20,535,283.98","4,314,281.28","13,812,416.67","22,636,753.26","23,895,444.91","5,041,369.08","3,120,073.32","53,440,130.97","47,190,639.98","98,254,422.24","35,868,234.95","72,618,257.23","104,499,110.53","28,131,704.50","47,958,303.51","78,922,049.10","84,558,838.73","44,594,450.71","67,692,256.03","113,374,753.48","96,528,820.37"
筹资活动现金流入小计,,"20,160,000.00",,,"183,972,000.00",,,,,,,"948,035.55","3,948,035.55",,,"366,994,514.18","395,466,427.05","41,748,872.00","183,527,920.45","290,113,775.06","384,473,790.10","54,255,381.15","281,006,030.83","471,343,207.56","621,242,895.84","549,047,671.65","986,965,659.34","1,243,845,640.08","1,119,991,898.84"
经营活动现金流出小计,"40,734,932.68","63,982,055.44","106,068,820.24","74,994,650.71","101,044,055.20","37,726,208.97","78,563,583.20","131,877,226.60","162,348,462.27","39,275,236.61","77,004,608.93","105,668,571.12","135,381,866.88","46,147,551.20","107,219,492.01","1,135,370,175.55","727,486,855.56","362,678,552.74","634,756,694.18","1,019,356,370.26","1,353,031,328.66","372,625,836.63","829,893,382.71","1,252,632,983.05","1,557,437,832.17","395,921,585.85","1,077,720,218.88","1,670,928,082.03","1,579,299,829.98"
偿还债务支付的现金,,,,,,,,,,,,,"3,948,035.55",,,"51,844,911.61","25,571,749.00","22,301,876.72",,"21,748,872.00","101,748,872.00","66,286,278.28","79,639,734.76","134,818,920.76","216,212,259.68","31,042,348.00","162,519,685.08","261,558,018.00","295,845,227.72"
经营活动产生的现金流量净额,"13,418,811.78","9,671,790.49","12,674,011.35","12,545,103.33","21,772,831.71","-17,698,999.30","-19,733,047.90","-12,768,986.24","-3,737,366.26","-7,961,650.66","-20,241,372.79","-15,752,013.16","-12,729,598.91","503,597.37","-3,900,537.83","69,197,761.36","19,267,828.05","17,598,051.71","16,835,126.50","40,974,507.62","187,449,389.34","-57,936,338.12","-54,232,851.98","-11,061,786.43","158,514,312.80","-106,845,853.42","-118,227,953.95","-128,596,085.89","-40,889,232.27"
分配股利、利润或偿还利息支付的现金,,"6,300,000.00","3,452,000.00",,,,"6,695,685.50","6,695,685.50","6,904,500.00",,"4,418,880.00","4,439,734.80","4,468,772.10",,,"4,021,257.64","1,299,047.57","2,267,691.25","6,672,266.20","7,119,480.69","15,581,062.03","2,606,953.60","14,774,754.90","17,735,407.42","21,006,264.62","2,552,864.06","13,311,762.56","20,315,255.59","16,891,262.34"
