科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"28,696,914.13","6,631,206.54","57,852,717.81","5,723,381.80","44,361,446.39","590,745,727.35","571,311,729.70","542,178,952.28","551,982,328.72","487,271,042.11","485,368,271.16","509,179,109.14","528,050,017.03","466,709,724.89","495,865,042.85","433,644,739.47","422,287,520.68","220,192,712.35","34,530,248.31","33,590,604.11","39,565,246.52","66,313,519.05","47,222,183.53","8,024,399.58","24,164,641.44","71,054,273.66","86,232,311.75","45,624,820.12","100,252,161.41","67,508,142.84","65,094,035.16","81,305,942.38","128,827,305.23","74,878,794.74","139,395,989.95","95,399,426.67"
短期借款,"110,000,000.00","91,000,000.00","86,000,000.00","80,000,000.00","80,000,000.00",,,,"40,000,000.00",,,"50,000,000.00","50,000,000.00","50,000,000.00","130,000,000.00","70,000,000.00","96,000,000.00","86,000,000.00","86,000,000.00","86,000,000.00",,"32,000,000.00","32,000,000.00","32,000,000.00",,,"100,000,000.00","100,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,"62,458,633.81","29,722,017.54","750,000.00","1,114,717.73","157,077,871.49","219,170,318.02","193,953,130.90","210,364,090.19","204,457,435.44","117,153,217.87"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"4,000,000.00","6,295,000.00","295,000.00","500,000.00",,"3,280,000.00","580,000.00","8,054,452.00","4,050,000.00","10,250,000.00","15,586,000.00","11,090,000.00","12,450,000.00","12,900,000.00",,"21,000,000.00","5,592,691.00","2,400,000.00",,"4,000,000.00","7,536,000.00","7,250,000.00","3,050,000.00","34,598,111.00","2,748,111.00","4,716,794.00","651,512.66","6,799,507.30","25,379,200.00","28,800,000.00","11,373,700.00","8,000,000.00","21,400,000.00","21,796,539.95","12,216,539.95"
应付票据,"1,000,000.00",,"9,586,399.76","3,000,000.00",,,,,,,,"10,000,000.00",,"600,000.00",,,"2,240,000.00","17,451,921.33","15,332,721.33",,,"3,943,533.87","3,943,533.87",,,,,,,,,,,,,
应收账款,"28,123,623.65","34,514,251.98","26,784,786.82","52,627,522.50","42,326,846.17","37,843,561.29","69,197,147.25","60,604,192.22","88,904,459.12","112,109,250.41","113,530,485.47","91,846,693.93","148,481,104.32","171,310,483.21","156,685,661.99","168,677,196.45","197,670,293.10","150,782,950.68","202,913,734.06","178,536,229.06","103,916,915.26","87,516,335.80","123,405,797.12","136,205,356.72","230,544,093.88","179,357,499.74","215,181,727.06","228,615,679.24","270,248,600.58","237,310,579.99","271,472,902.33","247,108,709.69","263,450,798.95","215,636,885.54","171,891,771.00","219,006,127.66"
应付账款,"15,176,471.10","14,699,022.72","17,978,785.22","10,875,036.21","12,162,715.08","4,316,141.26","22,927,164.94","14,191,982.76","24,679,513.44","28,816,591.08","51,549,480.88","37,220,273.51","19,118,751.72","28,756,715.17","26,978,235.06","23,914,455.93","41,874,298.83","33,869,992.37","61,826,965.60","37,051,835.82","42,045,189.71","22,549,717.17","29,439,034.85","25,575,124.85","86,294,712.49","46,420,379.96","71,682,295.56","66,329,984.16","146,556,541.64","121,941,436.03","145,861,955.53","146,347,899.56","111,539,104.72","135,495,376.19","94,436,942.89","128,788,572.71"
预付款项,"12,624,554.44","4,866,032.79","6,772,290.33","4,791,205.61","3,460,466.22","5,243,575.88","4,280,725.20","49,453,865.00","58,323,734.18","63,803,770.65","76,592,800.32","83,619,240.92","18,622,351.23","45,438,367.70","38,727,522.23","35,479,627.46","2,676,192.16","13,280,748.27","4,634,498.27","3,420,578.27","1,677,264.43","3,184,364.26","3,303,157.90","3,680,554.68","8,240,801.95","31,437,021.98","1,164,082.85","985,638.07","2,075,480.18","8,385,656.99","4,901,848.95","11,206,012.67","3,812,997.63","3,006,255.94","7,320,743.57","6,648,606.13"
预收款项,"23,215,877.20","28,509,902.00","15,819,488.00","15,687,668.00","13,494,227.49","2,345,706.00","12,771,971.00","9,143,038.62","3,811,343.00","6,827,300.00","14,164,561.95","24,657,943.00","16,202,943.00","14,826,609.00","16,794,785.00","3,693,428.61","2,905,172.46","4,271,716.46","4,830,552.46","6,186,278.99","2,686,120.27","5,638,726.14","2,444,305.00","3,444,305.00","39,692,830.31","67,797,368.43","58,425,066.08","59,000,066.08","63,511,237.97","69,918,970.12","69,318,576.91","75,516,790.77","52,714,317.44","55,494,902.66","55,974,488.26","56,533,749.69"
其他应收款,"1,904,727.15","2,272,406.63","4,390,025.04","4,002,573.30","1,710,706.44","1,598,646.16","4,988,962.62","3,946,971.22","928,012.74","12,644,900.78","13,183,090.04","2,765,352.15","6,177,383.47","9,577,601.73","8,752,600.56","8,925,746.77","3,782,871.17","7,088,970.06","5,803,553.37","4,863,837.01","2,535,714.63","1,826,642.49","4,806,559.30","4,700,314.20","14,430,144.91","38,491,883.08","55,691,930.29","126,399,956.22","206,923,712.44","215,374,908.31","193,651,448.94","197,089,357.13","42,027,200.23","58,452,639.39","35,256,016.20","31,181,591.36"
应付职工薪酬,"1,000,000.00","97,596.74",,,,,,,,,,,,,,,"258,614.32","1,312,746.46","2,178,747.13",,"2,820,377.00","396,254.00","1,694,462.18","896,639.87","148,345.50","98,635.70","939,816.56","862,162.36","1,949,506.00",,,,"21,160.10",,,
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"23,449,823.90","8,948,435.92","9,272,600.29","4,097,761.40","8,567,538.96","-2,031,961.89","-167,480.54","1,486,490.02","15,762,185.16","7,813,144.70","9,875,035.27","668,165.30","18,868,455.65","2,024,424.81","1,083,511.95","6,037,223.77","2,873,063.75","-2,939,698.85","1,194,492.72","-1,210,007.70","8,245,092.51","1,174,490.62","6,282,386.51","4,302,260.81","19,412,273.42","21,198,284.40","26,811,471.95","26,646,662.37","45,643,347.13","36,579,804.12","36,197,822.48","40,048,689.07","63,182,815.54","39,068,419.06","32,100,204.33","102,357,198.46"
应收利息,,,,,,,"4,175,737.50","2,505,442.50","4,391,077.64",,"4,960,768.18","2,144,758.36","1,971,694.53","1,971,694.53","4,046,237.31","2,487,220.26","3,414,766.30","796,260.00","3,858,473.37","2,955,079.51","4,783,886.50","5,941,956.16","7,079,178.07","10,273,479.45","17,199,178.07","503,863.02","3,021,204.34","3,021,204.34",,,,,"491,713.70","491,713.70","491,713.70","491,713.70"
应付利息,"184,750.00","135,375.00","113,325.00","103,950.00","103,950.00",,,,"56,666.67",,,,"91,111.11",,,,"300,858.40","236,258.40","283,758.40","283,758.40",,,,,,,"147,796.80","147,796.79","209,041.67","267,041.67","240,337.51","240,337.52","11,917.81","11,917.81",,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,"14,000,000.00",,,,"14,000,000.00",,,,"20,000,000.00","20,000,000.00",,
应付股利,,,,,,,,,,,,,,,,,,,,"10,000,000.00",,,,,,,,,,,,,"14,326,305.90","14,326,305.90",,
存货,"74,377,485.03","78,273,980.77","59,664,682.69","60,589,710.91","54,586,233.66","53,512,340.74","73,375,485.99","68,158,163.32","65,464,801.52","65,811,162.41","82,077,441.57","113,811,588.90","76,821,827.03","72,496,078.77","83,263,023.56","59,163,900.93","53,699,317.87","77,392,692.44","83,084,925.93","80,852,913.90","44,447,779.07","55,216,336.40","38,284,115.38","27,864,644.99","124,752,821.50","146,227,297.61","140,661,468.97","114,657,022.16","57,908,827.91","67,566,920.60","75,692,979.89","73,244,982.92","71,509,204.47","96,161,088.38","114,540,480.99","112,454,762.75"
其他应付款,"25,126,821.44","8,831,633.12","5,493,356.83","4,815,104.57","5,394,801.93","1,993,813.11","2,394,872.18","2,705,990.12","6,269,321.23","5,907,872.21","4,008,098.18","7,946,853.93","12,074,436.29","13,177,808.79","12,844,394.19","12,829,408.98","16,935,783.75","15,353,879.57","15,268,626.10","15,360,009.74","2,380,160.65","11,991,821.98","12,497,714.56","12,460,760.99","172,445,731.64","69,351,427.75","210,464,672.76","245,958,604.16","54,124,638.50","104,335,883.87","101,503,594.71","144,074,367.07","9,192,412.92","9,553,515.20","11,360,936.76","11,751,186.65"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,"1,183,715.56",,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,"40,000,000.00",,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,"4,000,000.00",,,,"220,000,000.00","400,190,000.00","389,600,000.00","574,600,000.00","572,000,000.00","586,000,000.00","625,169,102.24","645,423,430.32","367,423,430.32","372,319,243.76","382,319,243.76","355,402,125.36","383,664,434.14","331,900,814.00","355,400,814.00","226,664,683.52","271,572,168.22","81,000,000.00","196,500,000.00"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"145,727,304.40","130,557,878.71","161,759,502.69","128,029,394.12","146,945,698.88","688,943,851.42","730,609,788.26","727,427,586.54","778,048,865.92","745,690,126.36","785,962,856.74","818,952,743.40","791,214,377.61","783,953,950.83","800,240,088.50","708,378,431.34","704,530,961.28","695,127,024.80","737,415,433.31","693,819,241.86","775,526,806.41","800,718,869.72","817,350,991.30","818,967,851.86","1,113,353,223.07","837,243,380.41","941,447,396.83","931,997,094.11","1,014,360,415.18","1,006,304,560.60","1,128,591,900.76","1,195,899,836.81","958,737,034.63","971,963,636.10","776,150,690.80","791,051,986.09"
流动负债合计,"199,153,743.64","152,221,965.50","144,263,955.10","118,579,520.18","119,723,233.46","6,623,698.48","37,926,527.58","27,527,501.52","90,579,029.50","49,364,907.99","79,597,176.28","130,493,235.74","116,355,697.77","109,385,557.77","187,700,926.20","116,474,517.29","163,387,791.51","155,556,815.74","186,915,863.74","153,671,875.25","58,176,940.14","77,694,543.78","88,301,436.97","78,679,091.52","357,993,893.36","204,866,096.24","468,471,119.71","498,945,275.92","511,994,312.91","533,043,135.81","553,122,287.14","606,228,083.99","260,988,034.43","263,950,436.82","203,872,572.24","309,430,707.51"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,"36,000,000.00","58,000,000.00","248,000,000.00","248,000,000.00","249,248,943.23","249,248,943.23","279,603,598.19","290,337,126.91","282,228,577.93","278,352,481.83","476,963,262.57","804,384,383.00"
长期借款,,,,,,,,,,,,,,,,,,,,,,,,,"100,000,000.00",,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,,,,,,,,"162,834,388.78","162,893,835.58","173,048,208.37","184,921,025.63","168,095,145.72","174,469,145.72","189,510,336.87","192,581,414.72","162,643,138.70","167,444,464.58","179,053,944.48","182,896,732.04"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"158,712,489.62","150,480,123.49","143,209,071.52","139,582,770.67","135,903,128.37","133,535,477.60","129,895,678.22","126,317,028.85","136,708,118.83","135,656,857.87","131,580,560.63","130,187,350.66","147,674,226.26","151,887,504.48","148,809,777.37","151,860,364.87","210,247,021.12","207,174,399.17","202,080,491.03","195,126,995.19","163,218,511.68","157,167,068.15","152,137,605.93","147,741,291.11","159,929,500.28","155,479,336.64","153,420,746.33","148,653,624.79","432,186,479.75","429,315,406.77","424,728,440.11","420,319,815.21","393,752,391.54","389,615,890.00","382,459,784.18","370,575,369.10"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,741,163.87","4,458,302.63","187,341.48","187,341.48","10,585,012.78","12,508,909.07","21,673,351.72","24,384,298.71","31,406,874.75","46,410,019.28"
在建工程,"34,000.00",,,,,,,,,"649,626.00","13,869,576.00","24,476,395.17","32,164,553.96","31,406,417.08","34,641,891.30","36,377,660.92","46,035,132.56","46,861,840.44","46,883,994.29","47,705,429.56","6,251,563.75","6,276,936.74","6,666,897.74","6,666,897.74","127,886,097.99","167,197,206.42","198,823,635.01","227,294,432.82","1,919,605.46","40,580,337.21","41,915,549.78","42,358,438.72","2,005,405.46","12,574,980.73","12,640,584.74","12,945,530.39"
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,,,,,,,,,,,,,,,,,,,,,,,,,"100,000,000.00",,"8,741,163.87","4,458,302.63","187,341.48","187,341.48","10,585,012.78","12,508,909.07","21,673,351.72","24,384,298.71","31,406,874.75","46,410,019.28"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"199,153,743.64","152,221,965.50","144,263,955.10","118,579,520.18","119,723,233.46","6,623,698.48","37,926,527.58","27,527,501.52","90,579,029.50","49,364,907.99","79,597,176.28","130,493,235.74","116,355,697.77","109,385,557.77","187,700,926.20","116,474,517.29","163,387,791.51","155,556,815.74","186,915,863.74","153,671,875.25","58,176,940.14","77,694,543.78","88,301,436.97","78,679,091.52","457,993,893.36","204,866,096.24","477,212,283.58","503,403,578.55","512,181,654.39","533,230,477.29","563,707,299.92","618,736,993.06","282,661,386.15","288,334,735.53","235,279,446.99","355,840,726.79"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","135,000,000.00","135,000,000.00","135,000,000.00","135,000,000.00","135,000,000.00","135,000,000.00","135,000,000.00","135,000,000.00","135,000,000.00","135,000,000.00","135,000,000.00","135,000,000.00","135,000,000.00","135,000,000.00","135,000,000.00","135,000,000.00","270,000,000.00","270,000,000.00","270,000,000.00","441,575,416.00","441,575,416.00","441,575,416.00","441,575,416.00","441,575,416.00","441,575,416.00","441,575,416.00","441,575,416.00","441,575,416.00","441,575,416.00","441,575,416.00","441,575,416.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
