科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"703,219,225.13","882,945,808.08","824,966,048.34","419,703,874.14","838,140,487.37","184,284,375.87","410,489,822.53","572,854,061.32","769,802,790.12","196,452,344.88","369,195,002.65","538,366,616.28","707,802,068.02","138,982,399.82","282,749,856.96","451,415,989.42","622,719,377.96","165,468,663.24","341,873,226.11","575,172,896.69","770,859,578.06","189,597,235.71","423,443,987.70"
取得子公司及其他营业单位支付的现金净额,"1,019,676.23",,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"77,322,796.45","89,840,576.08","83,286,467.02","44,489,039.87","89,376,551.87","25,037,817.40","44,240,822.42","70,429,532.84","91,745,758.80","34,365,501.52","50,957,434.08","69,295,238.26","81,862,276.29","11,823,122.54","25,654,214.95","42,252,652.56","57,959,238.29","17,534,110.94","36,514,296.58","60,436,085.04","84,098,610.68","18,174,346.17","42,936,038.57"
支付其他与投资活动有关的现金,,,,,,,,"343,057.07",,,,,,,,,"25,436.02",,"25,871.80","52,781.86","65,846.48","5,362.63","10,126.65"
收到其他与经营活动有关的现金,"15,460,698.11","3,511,299.38","5,355,157.61","3,290,857.88","7,436,952.61","1,696,159.12","5,180,186.43","7,445,905.16","9,829,781.70","698,980.41","3,390,064.46","4,379,679.98","7,312,577.35","220,771.49","5,464,748.51","7,582,894.16","3,101,005.55","66,318.03","218,702.62","497,879.32","5,297,635.80","667,006.49","1,282,523.07"
投资活动现金流出小计,"36,154,652.98","143,126,811.38","66,803,695.47","30,659,030.47","71,869,123.64","232,694,058.83","277,145,940.16","316,717,708.20","346,919,630.60","28,603,009.02","46,179,795.14","61,930,485.65","109,890,650.72","56,415,165.63","71,664,168.85","135,122,757.54","230,136,437.38","46,527,253.71","121,226,698.02","176,753,752.26","284,547,952.10","69,809,400.00","134,103,863.16"
经营活动现金流入小计,"796,002,719.69","976,297,683.54","913,607,672.97","467,483,771.89","934,953,991.85","211,018,352.39","459,910,831.38","650,729,499.32","871,378,330.62","231,516,826.81","423,542,501.19","612,041,534.52","796,976,921.66","151,026,293.85","313,868,820.42","501,251,536.14","683,779,621.80","183,069,092.21","378,606,225.31","636,106,861.05","860,255,824.54","208,438,588.37","467,662,549.34"
投资活动产生的现金流量净额,"-13,262,116.44","-143,126,811.38","-66,771,572.29","-10,650,055.13","-51,794,932.00","-232,581,353.83","-125,636,332.69","-114,066,749.30","-143,781,230.90","-28,582,215.04","-46,149,241.70","-61,889,298.01","-109,783,869.57","4,208,257.60","-10,941,735.72","-64,190,012.00","-83,779,855.94","-16,307,555.08","-60,021,271.41","-54,528,599.92","-109,106,348.72","-39,554,618.83","-73,453,022.30"
购买商品、接受劳务支付的现金,"631,712,159.81","688,325,168.82","632,541,029.02","304,974,561.60","641,747,220.30","145,473,616.18","330,208,559.54","532,159,660.65","676,838,679.59","142,294,344.97","269,002,808.98","398,902,480.69","477,247,196.64","110,079,400.75","212,730,178.93","346,694,489.57","457,680,185.13","124,912,395.00","278,022,572.32","444,274,538.09","595,967,319.13","190,825,452.94","363,301,706.24"
吸收投资收到的现金,"13,800,000.00","64,800,000.00",,,,"356,000,000.00","356,000,000.00","356,000,000.00","356,000,000.00",,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"60,874,723.56","80,462,336.34","89,276,645.79","53,127,953.56","103,909,235.50","33,113,722.40","61,588,469.32","91,909,984.55","124,687,665.20","36,872,870.17","66,966,377.98","96,300,605.38","127,225,927.60","33,239,038.53","59,820,558.44","89,703,406.16","121,880,007.89","37,104,688.97","71,402,366.15","105,488,536.14","139,795,640.38","44,112,632.43","78,672,997.67"
取得借款收到的现金,"213,000,000.00","204,919,416.00","75,327,532.70","24,933,496.80","49,765,976.80",,,,,,,,,,,,,"28,000,000.00","28,000,000.00","102,000,000.00","172,000,000.00","40,000,000.00","60,000,000.00"
支付的各项税费,"11,658,401.04","13,955,988.39","23,248,720.91","9,446,140.55","22,368,601.52","2,621,383.13","10,802,946.76","17,638,069.55","22,917,250.63","5,451,039.57","9,573,139.15","13,754,485.51","17,539,718.96","4,761,695.23","7,944,410.48","13,112,130.73","16,796,742.54","5,082,820.55","8,584,021.51","12,246,698.73","14,391,064.06","3,811,430.22","5,729,322.35"
收到其他与筹资活动有关的现金,"3,426,011.01","2,310,000.00","14,485,000.00","12,485,000.00","12,485,000.00","13,750,000.00","13,750,000.00","13,750,000.00","13,750,000.00",,,,,,,,,,"3,351,085.00","3,351,085.00","1,775,586.40",,
支付其他与经营活动有关的现金,"47,054,359.48","55,408,726.63","41,466,768.17","23,478,552.45","46,352,689.79","14,376,885.66","24,732,107.88","34,013,318.14","49,405,449.26","11,285,892.42","21,832,271.62","24,671,009.23","42,997,080.42","12,389,368.13","23,208,722.04","31,327,243.21","49,108,159.66","14,060,417.49","23,570,663.53","36,083,510.06","60,662,661.39","18,772,293.29","25,730,279.50"
筹资活动现金流入小计,"230,226,011.01","272,029,416.00","89,812,532.70","37,418,496.80","62,250,976.80","369,750,000.00","369,750,000.00","369,750,000.00","369,750,000.00",,,,,,,,,"28,000,000.00","31,351,085.00","105,351,085.00","173,775,586.40","40,000,000.00","60,000,000.00"
经营活动现金流出小计,"751,299,643.89","838,152,220.18","786,533,163.89","391,027,208.16","814,377,747.11","195,585,607.37","427,332,083.50","675,721,032.89","873,849,044.68","195,904,147.13","367,374,597.73","533,628,580.81","665,009,923.62","160,469,502.64","303,703,869.89","480,837,269.67","645,465,095.22","181,160,322.01","381,579,623.51","598,093,283.02","810,816,684.96","257,521,808.88","473,434,305.76"
偿还债务支付的现金,"200,000,000.00","211,000,000.00","131,936,483.20","30,268,030.30","70,231,390.30",,"24,755,040.00","24,755,040.00","39,755,040.00",,,,,,,,,,"18,000,000.00","18,000,000.00","112,000,000.00","20,000,000.00","40,000,000.00"
经营活动产生的现金流量净额,"44,703,075.80","138,145,463.36","127,074,509.08","76,456,563.73","120,576,244.74","15,432,745.02","32,578,747.88","-24,991,533.57","-2,470,714.06","35,612,679.68","56,167,903.46","78,412,953.71","131,966,998.04","-9,443,208.79","10,164,950.53","20,414,266.47","38,314,526.58","1,908,770.20","-2,973,398.20","38,013,578.03","49,439,139.58","-49,083,220.51","-5,771,756.42"
分配股利、利润或偿还利息支付的现金,"53,565,610.10","7,446,036.96","21,212,912.57","31,418,989.35","32,580,147.38","503,856.14","36,987,911.67","41,102,016.85","41,284,516.85",,"39,106,970.46","39,990,929.16","40,000,000.00",,"23,709,446.95","24,000,000.00","24,000,000.00","193,200.41","16,368,710.82","16,867,752.49","17,752,977.48","818,766.60","1,853,838.76"
