科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"91,753,551.84","132,170,644.61","203,267,963.38","32,264,550.99","86,384,389.20","142,172,151.84","203,455,136.52","36,308,926.43","81,123,353.92","110,940,869.56","149,142,875.41","24,161,563.99","60,683,413.41","96,473,635.59","143,786,169.35","39,285,646.32","90,776,409.40","130,475,545.63","168,999,257.43","153,944,231.52","374,744,287.82","648,972,066.76","900,825,281.28","574,429,045.71","1,300,440,083.54","2,084,061,843.59","2,823,857,826.78","679,568,621.16","1,298,863,061.60","2,052,839,252.52","2,706,124,702.33","912,183,459.67"
二、营业利润,"14,713,799.21","16,915,639.09","23,489,153.97","1,965,804.52","9,455,916.29","15,089,962.63","22,314,661.91","172,181.30","5,576,902.63","4,929,305.04","3,492,756.85","-1,837,236.84","-9,225,821.24","-19,032,238.74","-31,429,232.43","55,051.05","1,439,802.08","1,477,850.17","2,769,041.23","5,279,171.74","14,101,168.94","24,674,554.88","57,009,479.09","60,692,142.19","113,670,931.83","149,079,981.08","180,250,864.63","67,956,223.80","107,442,431.39","161,899,532.25","196,912,290.35","27,798,909.35"
减:营业成本,"64,323,792.27","89,400,606.03","143,170,706.28","23,258,267.40","60,107,497.46","101,181,246.60","145,228,299.11","27,848,195.83","59,648,637.85","83,443,010.88","110,508,651.28","18,682,999.11","51,364,921.15","83,434,723.50","126,845,281.59","32,366,019.74","74,832,796.32","107,419,217.37","136,778,417.99","130,637,126.53","320,025,136.93","560,935,246.67","781,903,988.28","475,376,473.06","1,099,729,578.63","1,806,422,637.60","2,471,913,774.21","592,889,329.08","1,143,925,699.07","1,809,920,686.52","2,342,794,878.50","842,714,436.01"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"119,060.79","26,653.71","64,936.38","86,307.28","123,737.01","190,481.38","210,654.82","15,840.08","44,701.98","57,827.76","99,999.58","6,929.32","15,344.98","380,146.49","1,610,571.43","238,965.05","390,479.05","591,292.83","997,241.67","314,741.81","2,948,948.06","3,754,965.09","2,229,851.61","2,881,260.23","5,353,660.19","6,189,443.28","6,889,230.22","1,239,881.50","427,110.65","1,733,538.35","3,506,248.17","1,477,177.90"
营业外收入,"15,742.00","4,330,142.24","5,146,186.00","1,039,410.70","1,372,337.70","4,195,836.52","6,615,558.41","169,812.37","492,937.37","492,949.37","1,298,071.30","340,190.17","1,593,839.70","1,642,239.70","2,152,498.61","2,957.89","110,823.68","372,651.95","1,418,798.98","39,034.96","987,101.17","1,698,064.33","4,265,064.33","1,769,861.29","7,841,278.54","10,945,704.89","11,285,692.33","596,479.48","951,936.27","1,010,711.68","8,634,130.85","978,144.33"
销售费用,"2,103,925.00","5,188,516.10","9,983,766.46","1,857,756.06","5,185,147.08","7,530,910.18","10,259,996.20","3,508,715.70","6,943,106.09","10,083,579.48","13,578,819.31","3,055,990.95","7,849,186.47","12,470,275.23","18,834,382.09","2,884,674.26","6,443,187.71","8,764,141.29","11,175,687.85","4,194,638.03","7,731,928.69","10,687,975.87","17,238,899.65","3,959,571.12","8,103,137.29","10,448,240.72","17,564,642.83","2,908,976.94","5,517,636.46","7,778,973.31","11,314,801.73","11,401,494.86"
减:营业外支出,"25,437.18","312,916.38","456,036.07",513.03,"7,373.03","17,960.06","53,940.73","1,180.00","2,587.96","9,677.31","52,602.87","8,465.38","266,746.33","316,777.37","465,024.97","2,000.00","34,309.64","37,309.64","67,233.82","2,740.00","70,425.17","107,709.43","444,189.70","32,749.98","414,369.86","644,404.24","644,954.24","2,092.41","17,791.38","174,388.37","274,738.37","41,158.00"
管理费用,"12,421,417.46","20,302,719.86","23,385,560.68","4,629,528.69","10,789,218.49","17,383,998.61","24,690,753.17","5,920,603.76","11,138,679.55","15,883,234.95","24,261,819.49","5,614,627.72","11,439,439.98","19,716,029.79","26,688,230.58","4,377,335.85","8,864,123.40","14,355,569.41","19,110,211.47","9,654,624.11","22,344,374.16","35,568,573.21","63,241,125.86","26,516,475.73","58,642,671.02","92,696,214.76","127,875,019.43","26,922,018.04","51,338,902.98","75,445,897.00","90,675,002.73","26,413,059.13"
其中:非流动资产处置净损失,,,,,,,,,,,"40,126.18",,"7,847.38","7,847.38","7,847.38",,"7,309.64",,"11,075.09",,,"16,626.07","304,989.80",479.49,479.49,479.49,,,"10,100.40","10,100.40",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"342,042.07","183,338.10","1,714,744.42","428,057.06","1,011,690.59","889,271.03","237,032.30","-968,795.47","-2,165,375.33","-3,129,609.07","-3,227,160.39","-567,103.87","-249,201.92","-460,004.45","-509,219.11","-466,223.72","-1,023,050.69","-1,321,365.32","-1,313,437.77","126,282.13","1,458,900.41","2,445,304.33","4,191,681.49","26,793.94","91,292.29","1,874,988.84","4,680,315.28","2,875,860.65","4,942,871.75","6,822,471.53","9,042,227.70","6,076,097.15"
三、利润总额,"14,704,104.03","20,932,864.95","28,179,303.90","3,004,702.19","10,820,880.96","19,267,839.09","28,876,279.59","340,813.67","6,067,252.04","5,412,577.10","4,738,225.28","-1,505,512.05","-7,898,727.87","-17,706,776.41","-29,741,758.79","56,008.94","1,516,316.12","1,813,192.48","4,120,606.39","5,315,466.70","15,017,844.94","26,264,909.78","60,830,353.72","62,429,253.50","121,097,840.51","159,381,281.73","190,891,602.72","68,550,610.87","108,376,576.28","162,735,855.56","205,271,682.83","28,735,895.68"
