科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"497,441,519.39","789,938,631.33","897,153,287.36","405,977,151.18","592,761,023.26","777,114,992.38","165,464,673.98","370,314,492.18","582,220,547.96","808,443,062.05","233,205,056.19","455,548,277.20","688,937,218.87","908,167,713.13","198,396,533.77","459,266,663.89","726,979,615.82","947,040,813.79","234,508,200.42","477,863,512.34","700,779,330.18","975,673,089.30","271,275,718.65","543,906,124.89","966,367,016.84","1,376,900,403.39","298,503,625.59"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"900,000.00",,,,,,,,,,,,,,,,,
收到的税费返还,"346,112.11","1,023,365.75",,"1,428,277.00","1,428,277.00","1,428,277.00","1,665,756.22","8,665,539.31","16,363,910.63","23,891,619.97","7,996,664.80","13,874,553.19","25,745,946.77","32,270,988.34","10,034,649.95","20,434,800.09","32,833,096.39","45,357,291.41","9,133,180.86","20,561,511.59","31,411,332.28","40,362,116.26","17,181,699.10","32,191,787.30","34,279,476.97","58,436,422.85","12,604,952.45"
支付其他与投资活动有关的现金,,,,,,"500,000,000.00",,,,"10,000,000.00",,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"1,305,211.44","6,141,460.23","40,462,919.47","9,612,689.11","13,109,642.59","52,487,128.86","4,838,706.68","14,253,300.51","41,583,096.49","44,744,867.41","4,841,084.34","10,122,532.96","26,089,962.13","31,152,556.01","4,162,985.74","13,340,700.61","52,430,115.10","35,733,446.87","4,399,702.93","5,646,808.26","27,852,782.00","36,436,629.00","6,814,157.68","13,744,403.25","29,108,708.31","16,672,389.37","6,533,493.33"
投资活动现金流出小计,"23,111,950.24","28,440,976.41","112,175,118.48","28,609,286.47","100,113,815.47","696,184,508.73","34,499,088.66","84,350,328.65","164,281,372.92","334,323,736.97","52,737,577.06","100,299,899.93","214,681,053.93","241,856,072.11","22,827,712.49","76,641,809.72","82,632,225.81","147,402,429.86","7,837,843.29","9,386,912.57","15,153,307.85","19,556,706.33","9,791,315.33","17,103,452.82","18,753,581.22","168,082,573.99","102,215,526.46"
经营活动现金流入小计,"499,092,842.94","797,103,457.31","937,616,206.83","417,018,117.29","607,298,942.85","831,030,398.24","171,969,136.88","393,233,332.00","640,167,555.08","877,079,549.43","246,042,805.33","479,545,363.35","740,773,127.77","971,591,257.48","212,594,169.46","493,042,164.59","812,242,827.31","1,028,131,552.07","248,041,084.21","504,071,832.19","760,043,444.46","1,052,471,834.56","295,271,575.43","589,842,315.44","1,029,755,202.12","1,452,009,215.61","317,642,071.37"
投资活动产生的现金流量净额,"-22,127,196.49","-13,561,429.48","-112,158,008.27","-28,586,358.89","-100,090,887.89","-696,161,581.15","-34,499,088.66","-84,318,688.60","-64,249,732.87","-230,798,598.70","-52,737,577.06","-100,268,259.88","-214,649,413.88","-70,552,539.35","-22,815,497.49","-76,187,201.39","167,932,382.52","183,114,274.65","-7,457,433.29","1,275,297.45","22,889,902.17","18,569,803.69","-9,791,315.33","-17,103,452.82","-16,467,221.33","-38,259,169.91","-10,708,070.75"
购买商品、接受劳务支付的现金,"471,138,757.94","710,988,124.96","810,820,672.57","375,989,428.04","562,100,518.32","591,507,066.72","200,337,837.13","433,987,492.80","626,966,228.76","653,620,083.64","202,451,508.84","362,450,985.29","629,194,423.63","875,247,457.25","260,610,042.63","655,750,619.72","930,447,184.18","1,127,476,988.44","302,445,756.04","562,250,484.86","871,241,579.50","1,108,275,438.36","319,093,588.77","604,659,218.76","921,994,483.09","1,321,054,762.82","294,060,703.80"
吸收投资收到的现金,"33,430,000.00","138,000,000.00",,,"902,620,000.00","891,817,968.00",,,,"100,000.00",,,,,"5,100,000.00","100,000.00","100,000.00","100,000.00",,"89,284.84","89,284.84",,,,,,
支付给职工以及为职工支付的现金,"12,604,963.87","20,254,091.29","33,660,668.42","22,254,657.73","33,398,980.78","44,789,439.03","14,752,270.47","28,538,656.11","43,090,647.75","57,967,626.07","17,478,892.59","33,103,473.83","49,864,153.49","70,500,616.98","21,432,543.14","43,616,281.69","62,263,107.66","88,059,047.89","21,342,915.92","42,850,826.02","63,685,345.85","88,849,952.28","22,764,591.98","45,057,635.66","69,531,550.26","100,204,534.83","25,851,773.50"
取得借款收到的现金,"281,300,000.00","310,300,000.00","326,350,000.00","152,000,000.00","327,888,856.00","385,196,179.48","254,760,641.44","329,476,804.68","476,476,804.68","497,173,113.94","71,000,000.00","194,000,000.00","294,000,000.00","494,136,802.88","317,358,271.00","608,858,271.00","943,464,063.00","1,064,586,749.59","130,000,000.00","431,725,188.00","726,056,929.00","914,477,713.00","184,453,625.00","610,789,885.00","871,289,885.00","1,318,289,885.00","146,533,797.83"
支付的各项税费,"26,223,781.63","44,920,226.73","56,523,181.29","26,187,286.67","42,995,799.14","54,919,172.32","8,911,501.59","17,431,428.01","23,041,509.85","28,625,997.89","3,140,457.80","11,251,992.81","16,172,278.59","16,205,339.91","2,825,151.96","4,618,709.73","10,690,805.45","9,289,055.83","2,023,011.42","3,970,486.11","6,563,361.72","8,107,094.32","2,921,311.40","6,007,582.16","8,342,694.01","6,706,304.79","2,646,720.60"
收到其他与筹资活动有关的现金,"1,300,000.00","73,000.00","27,823,000.00",,,,,,,,,,,,,,,,,,,,,,,,
