科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"1,087,896,241.85","1,334,609,550.41","901,401,300.00","1,376,271,548.90","653,487,422.54","983,279,700.00","1,592,015,156.86","249,072,477.43","766,920,399.15","1,227,597,824.39","1,880,016,947.39","321,662,274.72","923,999,972.56","1,439,577,862.83","2,257,325,473.72","406,791,165.23","1,129,582,744.29","1,851,507,842.52","2,998,905,933.11","533,730,815.46","1,490,084,328.10","2,380,026,297.89","3,612,493,372.70","717,058,734.44","1,809,986,645.38","2,940,003,949.16","4,203,392,411.92","796,547,958.52"
二、营业利润,"56,735,952.89","84,643,645.13","19,698,600.00","87,749,865.56","23,779,589.62","27,118,400.00","126,787,497.94","-49,487,972.85","24,499,493.35","31,120,657.85","143,648,459.59","-65,928,454.51","-5,661,695.48","-15,765,791.40","161,755,524.90","-58,569,982.62","-1,623,187.46","56,985,324.32","250,251,161.81","-49,558,458.18","33,182,045.43","119,162,399.86","344,848,847.36","-46,247,537.86","68,636,609.19","185,385,385.25","379,955,496.85","-74,895,673.86"
减:营业成本,"698,607,889.70","867,219,544.17","579,210,800.00","873,865,101.17","400,615,198.61","601,198,200.00","951,853,290.15","168,327,419.54","476,733,913.09","772,060,416.06","1,162,461,121.57","222,410,568.35","589,668,571.02","928,105,249.24","1,374,093,052.99","271,501,113.08","726,413,334.93","1,172,241,635.73","1,882,744,267.55","363,322,322.99","984,772,680.58","1,547,711,876.40","2,279,041,684.62","485,651,489.08","1,157,634,116.31","1,885,116,743.67","2,641,352,837.15","549,992,711.47"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"33,736,840.41","42,299,684.81","30,347,000.00","45,571,509.41","21,088,892.06","31,105,100.00","49,368,825.57","7,351,159.05","23,627,125.48","37,767,421.91","57,092,343.16","8,771,498.44","26,901,175.28","42,117,173.33","65,552,317.17","11,282,136.52","28,205,920.66","37,630,630.14","44,570,045.64","4,013,326.64","9,382,916.77","14,545,858.56","21,077,279.83","5,463,773.67","12,045,405.83","18,900,769.13","25,446,493.26","5,351,917.38"
营业外收入,"6,989,921.87","6,772,423.35","4,540,800.00","7,399,965.07","4,002,152.97","6,056,600.00","8,804,784.23","1,691,851.54","5,658,513.86","8,640,740.86","10,519,600.46","677,087.84","1,507,175.61","2,395,388.14","5,525,023.93","1,952,618.37","3,041,546.25","5,026,696.50","9,312,954.09","586,385.46","4,749,194.10","6,027,341.37","8,945,149.74","2,134,639.94","5,915,873.15","10,075,852.52","16,739,040.65","7,490,860.20"
销售费用,"220,545,446.34","251,978,408.17","200,176,000.00","266,450,726.00","150,231,215.76","236,295,400.00","324,793,982.51","86,671,848.59","177,969,354.44","281,712,290.14","370,920,136.51","109,237,686.00","220,976,048.50","355,493,444.76","423,854,857.07","135,631,672.91","243,965,115.44","380,395,659.86","513,056,165.27","139,397,824.91","275,545,296.42","391,162,665.79","582,368,936.62","163,440,805.79","353,028,880.27","533,380,522.86","709,056,071.39","190,674,650.36"
减:营业外支出,"2,660,165.25","-30,088.97","512,800.00","1,298,501.80","1,521,186.55","428,700.00","714,104.47","-569,205.78","684,302.43","702,697.28","537,521.26","78,454.18","-374,142.20","-368,975.46","17,367,150.67","260,354.77","283,911.98","6,149,417.14","4,303,766.23","546,425.12","2,973,184.92","5,580,940.96","6,310,615.64","841,391.52","1,674,350.28","2,015,155.31","1,132,859.73","-154,712.38"
管理费用,"79,077,544.96","88,173,339.42","73,651,400.00","102,411,072.48","56,814,649.46","85,860,300.00","133,001,122.06","40,630,221.76","72,353,584.61","121,850,123.56","168,299,852.91","55,865,415.76","108,898,973.67","149,360,625.34","264,237,285.27","56,785,601.66","142,174,093.67","214,087,619.53","317,281,672.53","91,267,587.92","203,260,883.05","327,863,516.08","409,238,779.78","117,224,899.04","227,432,278.98","253,143,184.25","334,948,135.87","94,606,266.87"
其中:非流动资产处置净损失,,,,,,,"136,030.98","1,668.96","10,159.62","26,731.88","86,916.94","19,327.52","189,955.26","190,760.61","15,454,103.04","20,968.50","31,456.91","54,605.69","177,053.11","8,744.95","281,525.94","425,890.36",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,
