科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"134,565,836.60","162,380,739.20","196,777,784.49","279,249,606.92","1,013,131,130.58","844,460,888.51","754,198,562.56","702,090,673.21","626,793,199.35","377,879,533.26","355,357,118.76","356,280,569.05","427,137,555.37","412,912,107.49","421,927,799.22","563,303,666.57","906,434,653.89","1,082,420,542.16","1,301,338,067.07","1,483,141,630.03","1,144,968,863.32","1,228,329,737.64","1,458,136,757.46","1,330,581,458.74","1,045,585,239.12","1,570,407,947.68","1,537,227,746.07","1,519,719,918.46","1,839,892,626.32","2,021,465,635.83","1,872,813,397.25"
短期借款,"104,054,094.91","128,444,202.16","146,697,009.03","257,139,554.06","199,813,745.00","95,000,000.00","40,000,000.00","70,000,000.00","111,825,611.13","75,000,000.00","159,904,590.65","197,860,642.62","282,396,904.15","372,913,571.23","550,250,010.30","563,441,417.88","854,089,661.58","706,650,405.13","890,994,365.62","817,088,060.87","524,660,758.78","727,171,148.56","704,632,131.30","394,363,240.00","363,722,838.01","586,635,690.00","476,535,490.00","805,535,490.00","1,266,599,490.00","1,556,103,298.64","1,924,085,584.94"
交易性金融资产,,,,,,,,,,,,,,,"128,800.00",,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,"1,007,200.00","1,149,600.00","628,800.00",,,,,,,,,,,,,
应收票据,"35,756,931.15","28,974,151.42","37,766,273.83","33,149,469.66","46,972,031.79","60,936,854.34","48,539,028.41","32,309,261.35","14,861,924.67","42,723,545.37","95,127,138.05","187,959,563.37","116,800,058.13","277,436,813.24","302,323,762.12","404,717,045.63","162,155,100.19","239,672,242.04","296,552,174.54","178,769,441.49","101,090,276.81","157,447,115.79","263,021,278.68","181,099,252.36","188,443,514.49","126,113,810.35","136,585,847.70","142,566,058.09","157,338,635.96","259,544,231.60","103,731,971.92"
应付票据,"64,311,670.74","54,044,407.67","102,366,311.74","91,225,555.71","82,316,776.29","36,930,330.63","25,947,281.11","68,126,467.50","70,383,997.39","56,952,928.75","77,310,625.31","73,555,680.55","73,365,772.92","147,350,034.57","139,206,229.57","221,025,054.24","152,726,178.19","360,263,891.49","532,565,006.57","594,011,257.62","365,560,115.93","551,253,156.64","768,512,059.05","838,751,301.74","833,262,040.58","1,331,770,824.72","1,809,946,057.45","1,767,308,763.37","1,432,265,248.26","1,926,163,108.17","2,110,351,912.53"
应收账款,"126,556,195.99","142,985,959.09","140,077,181.87","198,289,245.64","202,075,279.25","252,161,368.80","279,964,596.61","240,695,309.53","260,196,178.67","394,225,522.42","637,060,231.38","388,727,083.99","494,052,326.00","526,992,024.62","869,908,225.97","608,062,116.18","971,643,845.34","888,782,453.49","1,051,838,900.95","643,727,358.86","1,125,222,649.19","1,337,044,684.55","1,525,662,545.71","1,016,610,558.99","1,543,783,586.35","1,789,839,458.78","2,214,019,066.70","1,601,961,096.17","2,909,176,755.95","2,334,665,066.49","4,045,680,375.55"
应付账款,"83,497,994.67","85,392,083.55","92,157,418.13","140,248,325.29","114,753,603.20","171,744,244.22","195,395,216.16","144,369,499.56","180,630,477.42","346,312,852.08","556,181,308.59","315,243,284.08","478,917,080.26","486,694,546.64","636,355,983.26","613,597,367.12","880,563,707.43","938,875,382.82","1,193,424,475.38","736,654,742.58","1,279,871,654.60","1,413,234,704.38","1,366,563,129.66","1,107,827,427.60","1,629,179,094.46","2,087,863,653.36","2,408,089,709.75","1,650,174,843.72","2,529,584,783.84","2,392,008,766.85","3,760,383,474.31"
预付款项,"9,786,152.72","8,658,019.14","24,839,047.22","37,241,287.10","31,330,623.98","35,771,136.84","29,899,511.69","102,661,646.13","119,763,316.08","150,577,472.13","58,388,127.50","39,173,408.23","63,402,563.02","100,449,928.69","33,659,299.09","52,645,628.28","15,272,401.37","52,364,262.52","26,205,567.43","57,683,556.42","80,233,449.28","91,926,112.67","11,260,872.82","25,411,521.48","17,847,623.94","34,486,330.30","29,400,911.07","84,834,465.02","107,125,402.02","81,132,378.24","85,823,228.11"
预收款项,"9,935,978.40","17,517,016.42","5,700,145.60","3,497,185.41","4,237,449.54","6,152,276.43","4,895,965.16","6,712,739.70","10,160,879.16","16,559,143.25","11,663,462.10","23,946,025.47","20,069,953.23","47,097,862.42","24,537,748.72","19,676,405.58","16,947,886.70","142,608,542.00","9,333,182.00","20,307,220.70","21,722,541.34","23,262,395.53","12,819,863.10","23,026,838.55","31,426,915.14","45,295,651.30","38,158,217.78","41,558,062.62","45,132,575.07","45,921,339.00","51,134,781.17"
