科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"67,257,214.99","94,305,557.91","84,568,532.82","78,971,952.01","268,874,956.53","146,449,366.89","112,893,370.71","66,102,678.84","75,954,033.20"
短期借款,,,,,,,"11,500,000.00",,
交易性金融资产,,,,,,,,,
交易性金融负债,,"228,693.60","400,710.00","836,220.00","411,510.00",,,,
应收票据,,"20,000.00","698,000.00",,,"250,000.00","70,000.00","845,000.00","310,000.00"
应付票据,"10,030,000.00","26,500,000.00","14,500,000.00","11,500,000.00","10,500,000.00","11,500,000.00","15,000,000.00","15,500,000.00","14,750,000.00"
应收账款,"53,697,237.62","64,860,038.68","74,956,846.25","70,936,229.75","74,607,879.55","79,041,769.17","102,066,523.91","109,718,749.62","121,318,593.61"
应付账款,"29,124,738.46","34,681,896.25","35,534,921.88","38,733,720.35","37,920,891.35","44,471,143.83","58,598,559.36","59,301,423.01","60,859,684.01"
预付款项,"1,825,728.92","3,692,002.40","4,106,352.72","5,797,155.71","1,063,524.64","823,560.02","1,498,884.57","1,973,497.11","1,422,602.18"
预收款项,"458,161.89","611,974.27","837,540.71","783,033.72","1,338,403.77","1,731,928.60","3,208,110.10","3,731,603.87","4,025,546.42"
其他应收款,"446,706.65","1,378,432.13","364,823.26","229,475.90","234,134.07","118,400.79","294,749.85","269,704.41","354,089.74"
应付职工薪酬,"2,562,347.09","3,435,403.87","3,719,798.45","3,226,117.14","3,767,449.68","4,292,401.03","2,740,602.58","3,167,663.82","3,470,119.93"
应收关联公司款,,,,,,,,,
应交税费,"379,256.28","290,791.47","893,605.83","762,825.87","1,473,620.35","1,331,449.54","485,948.43","545,189.86","871,962.45"
应收利息,,,,,,,,,
应付利息,,,,,,,,,
应收股利,,,,,,,,,
应付股利,,,,,,,,,
存货,"37,324,253.88","38,446,534.37","35,103,280.47","34,816,510.22","34,835,809.52","36,505,644.88","47,851,818.24","47,782,586.90","49,957,816.74"
其他应付款,"194,511.00","196,395.00","824,074.00","829,104.00","833,476.00","830,076.00","7,834,306.70","7,830,648.00","7,525,727.00"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,
其他流动资产,"2,545,928.64","6,015,509.43","2,528,797.74","2,113,356.99","1,628,755.86","132,973,163.73","77,534,852.46","92,764,593.63","64,906,609.29"
其他流动负债,,,,,,,,,
流动资产合计,"163,097,070.70","208,718,074.92","202,326,633.26","192,864,680.58","381,245,060.17","396,161,905.48","342,210,199.74","319,456,810.51","314,223,744.76"
