科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"173,141,144.25","179,226,054.28","207,949,864.31","120,730,453.07","176,045,265.51","246,485,467.82","43,696,899.30","129,119,529.33","191,318,439.95","267,607,710.58","41,490,779.42","113,308,804.69","177,673,012.09","250,006,703.49","63,127,333.63","140,606,890.02","207,419,753.70","267,898,214.78","43,787,517.67","108,885,894.02","179,813,091.35","230,513,610.47","32,899,089.09","60,594,998.93","92,685,024.65","138,517,636.08","31,272,921.01","68,890,355.49","108,675,731.96","174,156,219.05","25,134,999.10","67,580,013.63"
二、营业利润,"37,163,102.92","37,723,118.24","39,769,590.41","19,610,800.35","30,285,551.82","39,711,822.53","2,370,530.64","9,349,239.26","9,198,820.01","6,306,282.62","-5,668,810.06","-5,906,836.65","-15,330,250.95","-24,502,352.09","-4,142,028.57","-7,876,423.73","-13,931,303.53","-40,434,120.66","-6,382,764.74","-16,086,581.23","-14,513,523.52","21,612,737.96","-5,034,666.43","-12,265,862.17","-19,320,680.01","-26,676,327.14","-1,025,964.55","-2,478,016.25","-1,129,058.53","5,161,204.50","-3,304,323.03","-2,604,407.99"
减:营业成本,"96,270,098.32","98,202,515.40","122,793,959.37","71,986,665.99","104,445,031.23","147,506,260.90","28,335,610.67","86,757,280.08","128,337,536.00","187,365,159.13","33,441,550.55","87,498,413.46","137,062,831.42","197,901,597.51","49,300,366.37","108,362,179.28","162,168,086.37","215,690,958.38","35,678,864.26","91,560,607.55","145,256,086.24","187,292,383.82","25,990,912.60","47,025,336.05","72,248,506.86","110,552,586.62","22,817,852.10","50,488,875.13","80,508,696.92","128,212,492.08","19,024,749.19","50,176,989.86"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,111,370.76","816,364.24","114,526.26","410,594.77","616,327.30","1,504,919.33","213,256.36","758,859.29","1,223,339.00","1,946,454.20","381,281.32","1,152,067.62","1,484,399.77","1,996,827.27","455,873.97","1,307,270.19","1,963,866.18","2,501,086.40","175,391.30","816,665.85","1,380,009.85","2,173,488.77","84,000.00","231,607.08","565,149.76","3,171,818.36","1,114,847.40","2,363,661.18","3,447,703.70","5,112,731.05","1,101,054.99","2,196,234.14"
营业外收入,"345,127.50","1,498,941.53","5,156,594.43","3,908,587.25","4,861,487.51","6,224,058.28","447,343.58","680,003.77","1,111,452.63","1,905,597.50","205,056.03","495,073.51","1,422,593.13","2,235,542.21","1,337,753.45","3,416,479.21","3,919,369.85","4,430,086.41","230,773.32","418,289.85","626,770.55","792,432.53","232,709.37","528,745.74","719,624.67","1,189,029.55","148,916.66","250,486.28","914,044.65","349,386.29","5,106.00","10,084.20"
销售费用,"7,300,319.82","9,373,270.40","9,097,044.65","5,183,241.10","7,322,422.57","9,966,221.84","2,315,114.52","5,141,128.94","8,687,596.40","12,219,477.09","3,555,307.41","6,161,025.00","10,398,148.63","13,314,475.68","2,956,544.85","5,867,191.60","9,395,258.39","12,958,219.40","2,170,403.57","4,440,593.66","6,838,873.78","8,933,533.41","1,120,810.92","3,737,409.05","6,274,461.10","9,161,668.71","2,402,054.13","4,540,337.15","6,627,043.91","9,868,946.26","1,688,142.44","4,071,876.00"
减:营业外支出,"1,798,843.33","424,656.69","440,909.89","131,919.24","189,493.34","282,536.61","183,934.92","755,595.67","928,465.54","1,059,683.37","647,127.29","848,480.15","898,818.58","1,618,674.19","109,648.60","538,786.37","1,055,981.86","1,298,080.93","40,276.23","681,608.37","763,287.57","1,527,193.66","73,322.41","145,989.78","172,257.26","218,496.74","83,051.85","92,651.85","95,851.85","98,133.88","501,540.60","503,250.00"
管理费用,"26,333,937.02","27,569,155.22","29,641,782.82","13,856,959.09","19,993,172.61","28,278,865.75","8,240,598.06","20,022,315.40","31,810,394.69","38,283,552.24","7,562,734.99","17,617,130.91","31,947,286.97","44,580,477.98","10,488,838.55","22,964,648.75","33,000,018.93","58,555,384.51","8,867,252.02","20,137,726.04","29,322,733.01","36,446,010.31","6,663,437.95","17,420,525.82","27,954,649.68","32,407,069.60","6,321,845.62","12,335,472.13","17,544,168.94","23,851,384.01","7,845,408.82","15,205,640.51"
其中:非流动资产处置净损失,"626,675.77","136,008.23","14,911.90",,,,,,"113,797.88","113,797.88","3,997.64","3,997.64","3,997.64","51,510.45","34,047.91","34,047.91","36,369.00","240,999.57","2,597.40","2,597.40","2,597.40","424,497.29",,"26,333.43","26,333.43","59,543.54",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"5,301,732.61","5,594,966.61","6,147,717.69","8,507,475.56","12,464,223.87","16,961,837.69","2,100,292.94","4,472,873.34","7,435,984.61","14,685,752.45","3,633,711.88","7,797,307.86","11,587,594.59","16,109,931.71","3,764,391.93","8,238,932.48","12,337,242.93","17,071,575.15","7,927,088.28","9,578,403.57","11,697,006.63","16,394,197.56","3,165,846.25","3,320,221.02","3,577,350.69","3,077,922.97","-40,698.82","-185,122.84","-375,180.83","-496,426.93","-80,009.87","47,163.41"
三、利润总额,"35,709,387.09","38,797,403.08","44,485,274.95","23,387,468.36","34,957,545.99","45,653,344.20","2,633,939.30","9,273,647.36","9,381,807.10","7,152,196.75","-6,110,881.32","-6,260,243.29","-14,806,476.40","-23,885,484.07","-2,913,923.72","-4,998,730.89","-11,067,915.54","-37,302,115.18","-6,192,267.65","-16,349,899.75","-14,650,040.54","20,877,976.83","-4,875,279.47","-11,883,106.21","-18,773,312.60","-25,705,794.33","-960,099.74","-2,320,181.82","-310,865.73","5,412,456.91","-3,800,757.63","-3,097,573.79"
