科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"867,757,325.21","858,188,706.68","702,514,854.23","180,295,448.08","360,329,303.88","560,428,849.64","784,838,996.52","260,632,275.85","507,709,044.06","774,106,044.95","1,061,301,304.89","262,460,858.42","543,807,717.72"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,
收到的税费返还,"17,899,761.07","41,251,071.33","43,163,499.05","2,241,880.78","3,546,360.93","12,403,608.46","28,069,202.52","5,158,178.63","19,747,351.05","30,816,322.92","35,567,513.63","21,643,324.65","43,184,595.11"
支付其他与投资活动有关的现金,,"266,000,000.00",,,,,,"100,000,000.00","100,000,000.00","140,000,000.00","140,000,000.00","32,000,000.00","32,000,000.00"
收到其他与经营活动有关的现金,"13,692,630.40","14,410,011.57","19,209,304.60","1,877,664.92","2,895,119.94","6,480,870.56","11,957,531.77","6,008,262.98","9,552,415.04","21,872,997.34","30,171,748.90","11,763,420.98","18,396,816.77"
投资活动现金流出小计,"8,486,373.24","287,566,671.78","80,735,793.22","12,357,746.81","32,757,915.91","38,514,006.71","47,300,503.65","114,737,283.29","134,432,991.09","274,135,491.10","369,650,734.43","112,934,664.83","151,864,450.64"
经营活动现金流入小计,"899,349,716.68","913,849,789.58","764,887,657.88","184,414,993.78","366,770,784.75","579,313,328.66","824,865,730.81","271,798,717.46","537,008,810.15","826,795,365.21","1,127,040,567.42","295,867,604.05","605,389,129.60"
投资活动产生的现金流量净额,"-2,518,225.36","-19,852,888.41","-80,391,799.84","18,642,253.19","-1,757,915.91","-7,514,006.71","-15,975,990.71","-114,737,283.29","-134,432,991.09","-274,011,741.10","-226,383,349.21","-80,853,623.74","-119,768,370.15"
购买商品、接受劳务支付的现金,"582,183,190.35","642,636,123.48","429,503,581.46","66,311,999.47","284,742,118.12","391,544,385.04","518,039,786.15","180,937,156.86","328,031,472.64","443,051,033.01","679,973,523.19","273,147,342.40","536,462,650.19"
吸收投资收到的现金,,,,,"479,408,930.00","479,408,930.00","479,408,930.00",,"54,829,837.50","54,829,837.50","54,829,837.50","6,371,000.00","6,371,000.00"
支付给职工以及为职工支付的现金,"72,941,977.79","79,738,475.24","86,902,394.92","27,208,317.54","49,746,549.06","71,652,943.77","97,314,620.86","32,005,997.02","57,076,048.72","82,332,373.22","111,217,094.40","39,798,987.43","72,379,202.27"
取得借款收到的现金,"6,549,631.49",,,,,,,,,"50,000,000.00","50,000,000.00",,
支付的各项税费,"39,571,942.06","41,141,743.10","40,509,510.70","11,628,803.95","26,316,069.35","36,281,859.36","40,657,075.74","13,127,516.05","22,376,523.06","33,353,962.77","51,357,650.39","16,182,357.17","33,834,730.51"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"26,573,275.88","28,051,496.54","35,600,936.72","4,233,291.23","14,004,783.35","24,235,464.20","34,901,078.19","11,305,102.41","24,792,895.83","39,791,068.90","50,375,451.25","16,958,283.23","31,512,017.00"
筹资活动现金流入小计,"6,549,631.49",,,,"479,408,930.00","479,408,930.00","479,408,930.00",,"54,829,837.50","104,829,837.50","104,829,837.50","6,371,000.00","6,371,000.00"
经营活动现金流出小计,"721,270,386.08","791,567,838.36","592,516,423.80","109,382,412.19","374,809,519.88","523,714,652.37","690,912,560.94","237,375,772.34","432,276,940.25","598,528,437.90","892,923,719.23","346,086,970.23","674,188,599.97"
偿还债务支付的现金,"72,737,675.95",,,,,,,,,,"50,000,000.00",,
经营活动产生的现金流量净额,"178,079,330.60","122,281,951.22","172,371,234.08","75,032,581.59","-8,038,735.13","55,598,676.29","133,953,169.87","34,422,945.12","104,731,869.90","228,266,927.31","234,116,848.19","-50,219,366.18","-68,799,470.37"
分配股利、利润或偿还利息支付的现金,"477,549.42","9,306,000.00","32,751,949.98",,,,,,"35,107,216.85","37,844,325.00","38,001,408.33",,
收回投资收到的现金,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"43,750,000.00",,,,"9,118,930.00","9,118,930.00","10,718,930.00",,,,,,
取得投资收益收到的现金,"880,273.97","1,516,383.37",,,,,,,,,,"53,041.09",
筹资活动现金流出小计,"116,965,225.37","9,306,000.00","32,751,949.98",,"9,118,930.00","9,118,930.00","10,718,930.00",,"35,107,216.85","37,844,325.00","88,001,408.33",,
处置固定资产、无形资产和其他长期资产收回的现金净额,"87,873.91","197,400.00","343,993.38","31,000,000.00","31,000,000.00","31,000,000.00","31,324,512.94",,,"123,750.00","220,018.10","28,000.00","43,039.40"
筹资活动产生的现金流量净额,"-110,415,593.88","-9,306,000.00","-32,751,949.98",,"470,290,000.00","470,290,000.00","468,690,000.00",,"19,722,620.65","66,985,512.50","16,828,429.17","6,371,000.00","6,371,000.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,
