科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"12,729,412.09","16,734,295.16","13,328,762.76","28,469,018.95","480,498,548.73","417,323,586.02","380,953,008.52","373,178,959.64","375,087,338.56","340,513,248.57","314,419,311.97","287,869,382.19","262,461,954.69","231,755,657.21","214,936,968.59","192,701,849.84","244,752,269.29","212,900,623.24","210,776,921.16","171,709,725.49","223,080,691.21","202,630,303.61","200,087,396.32","196,042,068.38","205,844,034.53","243,964,173.70","241,741,920.81","146,515,902.80","160,761,070.20","201,549,698.30","703,126,549.56","766,980,593.15","441,333,502.01","408,905,334.10","413,111,229.83","1,748,528,987.34"
短期借款,"25,000,000.00","15,000,000.00","15,000,000.00","20,000,000.00","20,000,000.00",,,,,,,,,,,,,"15,045,360.00","14,828,880.00",,,,,,,,,,"12,127,420.00","100,000,000.00",,,,"40,000,000.00","40,000,000.00","1,190,000,000.00"
交易性金融资产,,"100,897.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,585,769.12","4,584,296.74","12,019,253.67",
交易性金融负债,,,,,,,,,,,,,"421,075.00",,,,,,,,,,,,,,,,,,,,,,,
应收票据,"4,465,992.50","6,932,473.15","8,650,785.46","10,676,648.44","13,837,447.51","13,423,373.13","20,438,784.21","19,482,790.95","37,490,417.05","24,677,535.77","26,629,061.52","12,953,381.21","72,134,131.25","86,827,200.44","105,279,546.73","108,261,293.53","108,794,345.54","137,834,207.43","80,647,478.05","90,488,854.13","93,196,270.98","85,885,966.87","74,756,890.28","74,096,507.60","100,288,587.87","57,886,035.01","57,217,952.61","68,082,855.58","81,400,976.11","66,544,541.20","45,205,880.71","45,934,148.01","74,149,566.15","71,083,508.21","92,777,600.72","112,485,282.89"
应付票据,"5,970,000.00",,,,,,,,,"1,450,000.00","3,733,815.00","18,260,000.00","14,000,000.00","14,632,200.00","46,228,665.35","57,154,544.40","63,174,678.25","65,270,210.78","49,908,713.31","61,135,394.26","59,872,483.78","59,135,039.04","60,077,334.24","50,139,351.03","63,210,058.28","61,767,461.15","42,629,121.92","36,431,579.54","34,357,219.46","45,695,227.36","49,694,992.70","48,583,655.78","21,603,651.53","42,404,626.11","66,265,793.00","55,759,825.91"
应收账款,"38,288,363.04","59,760,430.60","74,072,758.24","72,352,858.51","77,567,163.62","96,892,659.12","110,911,097.66","120,910,208.58","103,738,656.25","126,860,862.71","157,536,585.29","154,587,002.03","151,664,124.77","164,031,517.86","183,848,290.29","215,415,137.70","212,071,902.07","233,166,754.18","234,375,585.35","245,954,912.98","253,954,461.33","249,908,885.21","249,703,821.77","258,851,895.39","250,649,905.79","253,774,123.67","236,068,353.90","255,283,188.05","244,774,758.53","407,836,717.55","436,800,118.64","412,294,170.55","403,390,243.24","389,994,805.14","394,805,095.09","474,519,140.78"
应付账款,"33,167,622.51","21,071,969.76","31,093,318.20","36,774,296.04","42,190,798.18","39,526,266.04","32,962,191.40","32,008,625.80","51,214,008.24","40,505,574.67","55,536,672.52","46,881,622.88","84,991,763.04","60,870,673.48","58,128,619.00","58,233,511.68","71,894,301.65","77,344,707.68","75,859,437.64","69,942,126.67","93,694,356.22","62,335,533.38","73,375,485.67","67,751,878.68","80,124,580.44","50,160,756.94","51,278,301.87","56,173,640.45","61,496,566.58","227,825,975.60","147,480,051.05","155,311,377.75","162,493,690.15","161,279,347.37","157,183,031.44","220,041,635.09"
预付款项,"3,234,402.12","10,505,544.42","3,156,946.84","366,731.90","6,446,360.29","20,913,787.69","31,016,110.52","27,189,620.81","15,440,423.93","16,097,029.66","18,881,123.73","47,294,456.07","31,693,047.39","28,427,842.08","32,389,511.17","35,075,979.98","15,532,118.39","8,986,079.31","17,163,419.38","24,389,859.36","8,795,618.51","13,847,034.62","22,269,697.11","10,417,103.49","8,764,799.93","15,054,158.16","10,068,144.86","16,423,833.72","13,451,542.87","83,461,478.48","74,188,485.52","67,346,625.09","65,740,972.39","88,986,167.57","79,734,599.67","72,603,542.10"
预收款项,"5,956,002.62","6,080,649.70","1,846,246.44","1,361,528.92","6,314,425.19","4,255,945.41","4,022,998.67","8,460,412.77","6,650,859.70","3,184,685.27","3,816,535.33","3,077,070.02","8,130,511.91","7,815,827.32","7,962,074.52","4,376,042.78","3,314,926.98","7,657,495.29","4,393,754.02","3,332,365.77","1,159,885.79","1,027,264.13","1,695,784.51","611,871.71","1,804,543.45","3,272,862.26","6,040,453.30","4,800,900.84","4,184,944.29","4,485,662.95","4,526,030.49","2,996,228.21","4,413,998.99","9,584,182.91","5,085,008.28","5,091,381.08"
其他应收款,"2,338,668.62","1,337,372.00","1,705,930.43","2,871,299.25","2,153,295.95","7,013,466.04","7,532,795.42","7,575,502.21","2,179,595.88","4,951,272.88","4,191,124.25","5,154,324.02","2,597,136.87","3,421,040.88","3,776,946.51","6,185,983.23","5,363,796.38","5,838,391.39","6,937,828.45","5,934,689.96","6,944,960.27","7,308,858.80","8,427,680.12","7,200,324.59","7,362,183.29","7,872,026.81","11,094,172.64","15,329,689.84","11,332,479.75","19,998,453.30","15,092,821.83","16,368,509.63","12,189,489.78","12,244,090.74","16,697,408.95","15,749,966.89"
应付职工薪酬,"351,943.22","244,172.69","70,910.83","163,066.13","95,167.33","25,788.53","22,313.73","22,912.83","36,061.70","16,601.45","67,900.45","-9,287.42",,,"-47,575.67","-35,420.87","1,188,982.80","942,765.99",,,"2,312,910.20",,"11,456.00",447.00,"1,811,913.40","286,558.41","120,970.95","146,011.00","1,821,968.25","4,145,933.73","4,367,746.16","4,927,964.85","6,684,949.80","7,018,921.97","5,975,579.05","6,300,722.61"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"2,771,738.38","4,003,989.70","888,359.48","1,993,342.28","3,046,585.78","3,928,771.48","3,162,775.08","3,193,177.46","-2,112,382.62","343,537.22","-1,129,527.12","4,205,307.14","2,845,402.48","6,516,022.24","6,141,171.44","5,096,754.00","8,322,497.29","4,282,073.24","6,242,996.07","5,760,192.04","35,203,063.05","9,521,875.62","8,706,957.90","4,754,859.16","5,602,915.79","10,199,264.21","5,458,790.65","4,431,351.34","4,133,098.14","6,425,016.13","10,321,413.40","5,236,540.40","14,945,202.26","10,818,320.62","18,612,369.74","15,903,903.08"
应收利息,,,,,,,,,"1,324,053.16","2,481,096.99","2,136,061.64","3,504,824.66","2,610,536.99","4,055,530.19","2,116,241.41","3,429,384.41","2,288,753.84","3,223,680.51","410,271.47","706,571.84","332,569.08","556,302.78","232,740.55","550,519.46","179,244.94","499,599.40","867,897.12","302,702.71","89,062.01","66,513.20","1,185,076.10","3,939,784.23","300,615.56","264,863.16","905,321.62","3,752,773.64"
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,296,624.99"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,"20,000,000.00",,,,,"-159,438.79",,,,,,,,,,,,,,,,,
存货,"30,446,493.38","24,574,456.06","21,969,181.48","33,918,883.88","27,872,619.71","33,102,088.05","26,913,806.75","29,126,273.97","34,403,704.82","44,488,084.30","41,372,022.29","47,057,011.09","51,608,770.58","47,097,215.56","54,410,749.37","62,810,377.34","45,060,630.70","42,763,327.92","49,180,492.29","56,862,523.73","59,612,593.65","49,578,193.02","45,873,983.89","41,967,815.69","62,978,253.60","54,321,085.82","50,944,307.03","68,639,079.91","79,524,766.02","84,763,112.83","78,231,014.31","85,445,987.41","110,385,350.41","130,576,174.11","152,768,184.03","158,960,003.81"
其他应付款,"982,976.20","279,302.71","364,646.35","349,293.65","5,775,160.15","1,110,912.00","1,065,416.43","1,064,412.00","960,341.95","951,802.18","1,035,439.66","865,462.89","1,096,777.49","1,032,551.03","1,331,004.72","1,638,955.65","2,655,180.29","2,509,031.76","1,224,526.66","1,253,796.33","3,060,174.47","1,435,868.61","1,496,272.68","787,269.53","751,420.39","708,012.44","777,973.17","780,570.81","1,540,680.01","170,596,185.81","170,111,508.69","172,438,273.31","169,505,824.29","345,972,056.69","337,391,744.59","356,017,334.58"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,"2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00",,,,,,,,
其他流动资产,,,,,,,,,,,,"1,719,375.00",,,,,,,,,,,,,"701,607.96","576,607.95","208,333.31","478,261.20","4,573,049.78","4,883,372.08","1,713,942.67","1,141,521.79","276,575,360.35","1,735,479.37","8,623,360.37","6,079,147.60"
其他流动负债,,,,,,,,,,,,,,"30,000.00","985,479.39",,,,"1,690,434.35",,,,,,,,,,,,,,,,"8,732,616.67",
流动资产合计,"91,503,331.75","119,945,468.55","122,884,365.21","148,655,440.93","608,375,435.81","588,668,960.05","577,765,603.08","577,463,356.16","569,664,189.65","560,069,130.88","565,165,290.69","560,139,756.27","574,769,702.54","565,616,004.22","596,758,254.07","623,880,006.03","633,863,816.21","644,713,063.98","599,491,996.15","596,047,137.49","645,917,165.03","609,715,544.91","601,352,210.04","589,126,234.60","636,768,617.91","633,947,810.52","608,211,082.28","571,055,513.81","595,907,705.27","869,103,886.94","1,355,543,889.34","1,399,451,339.86","1,434,650,869.01","1,108,374,719.14","1,171,442,053.95","2,592,678,845.05"
流动负债合计,"74,200,282.93","46,680,084.56","49,263,481.30","60,641,527.02","77,422,136.63","48,847,683.46","41,235,695.31","44,749,540.86","56,748,888.97","46,452,200.79","63,060,835.84","73,280,175.51","111,485,529.92","110,897,274.07","120,729,438.75","126,464,387.64","150,550,567.26","173,051,644.74","153,989,303.26","141,423,875.07","195,302,873.51","133,455,580.78","145,363,291.00","124,045,677.11","155,305,431.75","128,394,915.41","108,305,611.86","104,764,053.98","119,661,896.73","559,174,001.58","386,501,742.49","389,494,040.30","379,647,317.02","617,077,455.67","639,246,142.77","1,850,411,427.34"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,500,000.00","40,856,315.32","40,856,315.32","42,211,262.27","45,818,276.66","45,818,276.66","44,400,000.00","49,400,000.00"
长期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"899,132.66",,,,,"150,000,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,093,041.99","38,027,533.59"
长期应付款,,,,,,,,,,,,,,,,,"2,000,000.00",,"2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00",,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,000,000.00","93,000,000.00","63,000,000.00",,,,,"100,000,000.00","99,371,437.04","100,750,395.32"
专项应付款,,,,,,,,,,,,,,,"550,000.00","1,050,000.00",,"2,000,000.00",,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"45,573,367.57","53,046,410.52","74,655,559.54","74,235,008.34","72,661,914.07","70,977,718.79","70,592,425.20","69,044,874.46","72,151,942.28","70,836,277.33","69,596,463.92","67,575,957.35","183,493,709.91","179,373,798.91","177,137,996.28","173,891,969.40","172,774,940.81","172,365,027.39","167,060,419.58","169,752,136.02","323,768,359.14","319,422,020.96","312,264,066.58","306,313,577.61","312,648,365.80","307,859,129.07","306,716,709.41","300,740,330.88","293,517,188.14","295,628,751.41","293,765,993.87","285,861,262.49","289,033,045.62","285,573,413.01","276,432,176.10","270,427,388.42"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,"3,745,719.53","30,000.00","687,619.66","72,863.25","1,964,082.72","5,356,996.21","4,207,507.62","20,927,674.34","48,734,001.20","57,933,942.30","76,133,455.06","100,362,474.77","22,909,630.00","32,001,639.25","31,977,397.68","37,259,773.83","59,569,910.14","92,734,883.88","105,162,617.18","120,123,705.49","898,795.90","803,525.11","3,133,903.34","12,271,350.90","8,832,398.44","12,243,826.22","7,241,912.02","7,827,685.80","8,021,936.28","8,189,282.56","11,946,135.89","13,211,651.23","4,122,034.24","4,218,261.98","4,142,865.31","4,142,865.31"
其他非流动负债,,,,,,,,,,,,,,,,,"4,050,000.00","4,500,000.00","4,630,000.00","4,630,000.00","6,465,000.92","6,465,000.92","6,595,103.23","6,595,103.23",,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,,,,,,,,,,,,,,,"550,000.00","1,050,000.00","6,050,000.00","6,500,000.00","6,630,000.00","6,630,000.00","8,465,000.92","8,465,000.92","8,595,103.23","8,595,103.23","6,265,141.88","6,265,141.88","6,351,768.65","6,855,141.88","6,733,993.20","57,276,807.99","46,923,003.91","47,152,022.62","46,634,664.92","38,323,338.80","51,780,306.44","250,948,303.17"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"74,200,282.93","46,680,084.56","49,263,481.30","60,641,527.02","77,422,136.63","48,847,683.46","41,235,695.31","44,749,540.86","56,748,888.97","46,452,200.79","63,060,835.84","73,280,175.51","111,485,529.92","110,897,274.07","121,279,438.75","127,514,387.64","156,600,567.26","179,551,644.74","160,619,303.26","148,053,875.07","203,767,874.43","141,920,581.70","153,958,394.23","132,640,780.34","161,570,573.63","134,660,057.29","114,657,380.51","111,619,195.86","126,395,889.93","616,450,809.57","433,424,746.40","436,646,062.92","426,281,981.94","655,400,794.47","691,026,449.21","2,101,359,730.51"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"10,000,000.00","37,500,000.00","37,500,000.00","37,500,000.00","50,000,000.00","50,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00","300,000,000.00","300,000,000.00","300,000,000.00","300,000,000.00","300,000,000.00","300,000,000.00","300,000,000.00","367,370,532.00","396,767,886.00","396,767,886.00","396,767,886.00","396,767,886.00","396,767,886.00","396,767,886.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
