科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"770,432,595.42","974,935,831.52","1,547,852,398.23","867,037,934.87",,"1,698,627,062.55","376,927,298.05","902,156,326.68","1,315,674,147.01","1,567,815,834.06","446,215,760.94","978,326,181.60"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,"2,081,021.45","1,748,118.66","958,111.89","118,344.70",,"3,273,904.04","6,204,534.69","11,924,305.41","19,331,300.57","35,519,298.92","9,197,192.84","14,569,449.76"
支付其他与投资活动有关的现金,,,,,,,,,,,,
收到其他与经营活动有关的现金,"15,770,780.40","21,011,014.51","16,527,529.96","9,759,133.31",,"26,024,081.38","11,307,326.16","19,726,085.22","38,160,665.20","14,639,071.47","6,759,903.27","16,442,624.99"
投资活动现金流出小计,"54,749,959.78","153,750,909.22","227,123,053.23","84,276,835.88",,"187,527,718.80","18,716,619.96","721,866,843.10","977,362,422.71","1,114,503,833.79","418,630,934.70","1,181,681,235.05"
经营活动现金流入小计,"788,284,397.27","997,694,964.69","1,565,338,040.08","876,915,412.88",,"1,727,925,047.97","394,439,158.90","933,806,717.31","1,373,166,112.78","1,617,974,204.45","462,172,857.05","1,009,338,256.35"
投资活动产生的现金流量净额,"-54,655,591.27","-140,896,294.07","-214,571,889.84","-67,413,011.96","-131,061,800.00","-170,397,461.16","-18,716,619.96","-721,364,418.40","-745,246,615.26","-148,668,710.54","-357,977,230.59","-515,175,108.79"
购买商品、接受劳务支付的现金,"606,752,347.93","454,325,365.47","858,331,384.32","521,222,573.68",,"976,109,635.18","239,720,112.20","606,429,306.92","925,893,456.65","1,040,840,905.46","348,881,230.87","707,305,843.65"
吸收投资收到的现金,,,,,,"912,963,215.11",,,,,,
支付给职工以及为职工支付的现金,"105,023,742.72","143,254,491.65","171,177,442.14","98,539,837.26",,"187,489,761.16","48,721,160.23","102,233,577.60","152,029,067.94","225,185,901.53","41,461,668.73","120,125,486.72"
取得借款收到的现金,"775,000,000.00","874,000,000.00","517,095,098.00","219,650,000.00",,"219,650,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,
支付的各项税费,"71,999,846.31","113,381,892.44","195,774,347.90","91,966,043.65",,"197,411,269.34","25,831,699.85","52,988,230.28","96,143,591.04","109,860,109.04","32,107,519.98","65,346,416.93"
收到其他与筹资活动有关的现金,,,,,,,"12,500,000.00","12,500,000.00","12,500,000.00",,,"1,450,800.00"
支付其他与经营活动有关的现金,"41,821,558.92","45,391,090.56","40,330,245.45","19,150,060.17",,"47,632,305.68","14,789,252.92","33,823,765.69","35,882,040.66","51,135,595.37","11,163,619.56","30,587,674.78"
筹资活动现金流入小计,"775,000,000.00","874,000,000.00","517,095,098.00","219,650,000.00",,"1,132,613,215.11","112,500,000.00","112,500,000.00","112,500,000.00","100,000,000.00",,"1,450,800.00"
经营活动现金流出小计,"825,597,495.88","756,352,840.12","1,265,613,419.81","730,878,514.76",,"1,408,642,971.36","329,062,225.20","795,474,880.49","1,209,948,156.29","1,427,022,511.40","433,614,039.14","923,365,422.08"
偿还债务支付的现金,"690,000,000.00","869,000,000.00","540,000,000.00","251,960,000.00",,"356,960,000.00","304,785,098.00","329,785,098.00","329,785,098.00","329,785,098.00",,
经营活动产生的现金流量净额,"-37,313,098.61","241,342,124.57","299,724,620.27","146,036,898.12","254,850,000.00","319,282,076.61","65,376,933.70","138,331,836.82","163,217,956.49","190,951,693.05","28,558,817.91","85,972,834.27"
分配股利、利润或偿还利息支付的现金,"33,413,521.48","40,311,694.88","40,185,087.70","8,233,084.24",,"15,797,461.79","396,295.54","1,179,948.03","57,314,655.97","61,800,263.08",,"77,654,842.00"
收回投资收到的现金,,,,,,,,,"230,000,000.00","915,000,000.00","60,000,000.00","660,000,000.00"
支付其他与筹资活动有关的现金,,"6,948,839.50",,,,,,,,"10,286,800.00",,
