科目,2007-03-31,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"75,196,971.25","75,196,971.25","305,176,446.17","292,857,366.27","292,623,736.19","397,766,355.17","515,880,822.37","502,903,122.61","524,837,553.69","428,176,088.46","466,627,219.63","318,368,977.16","939,878,363.19","756,792,628.75","828,064,776.96","802,133,196.46","692,997,392.27","859,297,820.64","885,748,112.26","523,056,367.16","529,235,487.53","577,665,210.13","632,494,477.66","517,490,965.66","519,596,750.51","532,581,226.31","607,758,358.02","589,076,082.93","545,510,821.09","563,235,362.40","388,432,170.18","586,387,959.94","459,048,618.95","360,158,166.62","317,762,698.03","509,888,301.61","531,468,807.49","675,538,654.92","485,819,051.02","319,520,699.48","3,414,429,477.85","997,056,093.31","1,100,751,153.22","1,255,431,301.36","1,047,637,026.21","1,472,054,172.43","1,219,832,064.11"
短期借款,"575,395,440.00","575,395,440.00","743,245,440.00","290,245,440.00","590,245,440.00","1,015,245,440.00","1,240,395,440.00","1,400,395,440.00","1,238,000,000.00","1,143,000,000.00","1,068,000,000.00","1,040,000,000.00","890,000,000.00","720,000,000.00","680,000,000.00","640,000,000.00","580,000,000.00","550,000,000.00","695,000,000.00","560,000,000.00","570,000,000.00","520,000,000.00","470,000,000.00","620,000,000.00","575,000,000.00","475,000,000.00","440,000,000.00","385,000,000.00","250,000,000.00","200,000,000.00","200,000,000.00","300,000,000.00","475,000,000.00","495,000,000.00","544,000,000.00","394,000,000.00","320,000,000.00","355,000,000.00","211,000,000.00","180,000,000.00","100,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"252,402,265.05","188,769,396.95","174,214,524.27","172,381,618.33","138,649,435.08","81,935,445.00","138,816,885.35","142,567,945.43","148,860,178.11","194,096,853.91","247,342,701.85","198,884,320.86","411,732,822.02","350,716,179.38","1,515,880,949.64"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,"6,159,698.40","4,390,000.00","9,158,788.80","11,102,461.00","47,547,344.95","12,505,304.64","8,555,723.10","4,388,197.51","29,523,520.96","38,175,039.67","95,069,022.96","192,544,849.85","150,246,689.92","132,380,957.75","98,363,930.36","192,297,027.25","190,179,461.52","138,585,467.75","210,916,382.09","361,928,448.83","545,499,506.35","510,753,196.92","505,623,692.90","492,904,838.07","423,068,762.50","392,082,818.51","352,373,046.89","251,819,516.54","236,913,891.80","180,984,448.59","225,093,751.71","194,464,299.70","164,794,010.18","203,277,897.35","218,726,648.53","230,035,349.05","314,470,306.01","305,442,955.91","255,505,903.84","155,694,677.75","101,497,695.18","69,996,737.93"
应付票据,,,"49,139,105.10","72,674,156.90","29,155,051.80","10,847,000.00","5,227,000.00","3,000,000.00","31,978,000.00",,"31,094,000.00","31,094,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"29,832,943.27","29,832,943.27","26,039,210.55","38,505,661.59","35,042,529.68","30,186,279.78","38,494,208.33","40,817,241.90","43,627,606.63","64,208,896.22","47,734,267.84","36,331,706.57","31,181,521.99","38,438,824.84","32,082,034.54","36,503,049.46","48,307,202.72","52,814,282.09","49,499,051.22","49,051,809.17","53,032,328.31","56,467,747.37","59,931,710.81","66,088,639.89","67,896,716.51","70,713,791.64","72,867,628.67","83,889,921.56","86,636,391.95","79,854,055.48","74,151,242.85","91,155,050.55","97,083,442.23","90,631,502.71","95,026,878.96","109,877,322.93","113,173,918.12","127,576,217.63","107,111,860.83","110,890,369.18","95,758,243.74","103,940,889.01","84,632,540.17","92,745,165.58","89,403,179.60","53,913,299.89","53,717,543.61"
应付账款,"245,162,461.78","245,162,461.78","191,694,008.84","177,329,620.34","242,470,582.56","227,976,818.17","174,048,481.01","304,089,428.44","269,726,753.92","231,222,284.62","167,211,147.23","264,587,903.71","208,136,392.98","183,917,169.12","232,863,422.12","299,683,975.41","307,114,966.05","342,821,275.05","264,670,092.17","242,794,145.21","284,539,643.89","256,135,962.67","218,032,105.27","267,422,390.86","329,293,011.50","328,540,678.73","280,187,207.98","329,946,060.29","379,378,362.11","266,068,283.98","213,357,045.47","355,930,105.59","389,135,331.77","437,024,845.14","306,528,172.64","366,250,120.16","357,014,405.47","676,013,641.09","558,303,001.08","647,604,710.40","890,768,544.01","793,972,859.88","637,669,692.94","759,735,966.40",,"985,253,908.62",
预付款项,"26,522,422.83","26,522,422.83","37,028,464.88","96,198,622.24","97,304,796.11","370,055,935.48","405,417,953.04","229,745,698.97","164,535,328.52","110,289,684.76","184,542,032.06","241,300,069.59","163,800,479.21","36,150,598.02","41,782,691.05","51,289,757.10","81,984,082.15","68,426,980.49","97,137,413.17","101,977,747.42","100,819,318.05","74,382,512.94","88,205,202.91","126,366,134.88","136,605,131.64","30,391,589.12","35,605,463.51","36,840,163.54","55,535,857.30","35,117,135.58","40,067,730.22","42,319,565.94","38,197,723.92","23,247,930.49","21,783,880.22","35,674,246.84","27,198,713.12","28,069,232.10","42,820,051.19","46,354,597.12","46,212,617.31","21,512,286.71","34,502,688.65","37,078,928.70","59,879,465.69","38,489,433.66","53,780,383.84"
预收款项,"156,252,930.51","156,252,930.51","179,998,017.60","147,735,605.61","148,508,171.51","128,360,726.55","53,171,774.58","64,032,447.66","106,609,725.72","115,546,799.99","134,093,636.72","148,789,450.11","186,847,948.22","227,576,468.30","215,111,464.85","237,946,142.19","277,706,206.31","227,231,661.35","257,583,449.76","253,280,504.63","265,647,596.28","237,060,560.82","225,673,886.25","195,511,990.74","276,494,908.41","233,612,939.32","275,533,731.88","242,873,069.31","292,661,075.04","275,819,524.37","224,198,626.76","207,514,058.37","229,853,181.25","250,900,580.60","198,976,788.61","186,952,832.15","216,949,792.63","287,992,213.76","228,071,487.83","214,686,708.92","266,879,239.22","302,376,949.74","301,110,863.01","277,880,550.33","329,487,536.66","275,626,422.91","129,414,086.47"
