科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"174,382,048.09","193,011,048.21","255,257,846.76","62,986,491.75","141,309,189.25","198,538,510.41","295,441,133.18","75,558,870.30","167,406,369.91","250,537,606.60","348,751,114.18","76,743,964.74","188,195,906.46","263,694,273.45","357,956,818.30","83,612,778.66","177,199,298.55","285,696,859.06","400,435,133.30","78,136,702.77","203,806,191.67","329,320,539.32","433,172,013.37","84,283,900.97","185,254,325.99","255,255,127.87","349,886,473.28","65,185,394.23","144,161,128.08","234,835,405.68","352,259,956.30","58,463,259.02","192,661,894.16","335,845,817.83"
二、营业利润,"26,190,595.15","38,113,736.56","48,743,371.15","8,611,444.02","25,608,142.63","33,386,969.37","48,000,060.04","10,015,886.79","28,340,826.02","33,958,726.77","45,630,316.77","10,295,909.22","27,791,868.30","33,367,610.70","30,560,944.96","9,241,627.48","18,802,277.20","28,683,538.58","10,834,387.34","6,819,939.53","11,172,429.97","18,592,737.46","20,596,999.04","7,023,419.38","7,228,474.01","7,113,638.34","2,366,640.92","385,973.73","1,546,067.82","2,507,811.54","6,059,531.71","413,047.15","11,372,141.84","16,815,182.86"
减:营业成本,"111,822,331.11","117,734,180.36","168,196,745.56","41,175,231.29","90,231,891.63","128,741,322.21","188,290,385.34","49,984,113.66","107,177,311.01","163,670,436.56","225,230,344.84","50,366,352.08","115,316,299.35","168,153,735.45","233,768,010.59","50,263,404.12","113,609,192.92","181,653,401.04","260,426,512.62","46,464,221.66","136,333,596.02","218,800,753.28","286,584,534.62","51,159,302.32","118,086,042.43","165,630,578.94","221,041,475.57","39,583,156.48","88,012,251.19","150,391,041.60","240,714,878.47","40,110,660.54","121,219,453.14","218,538,865.27"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,208,060.08",,"3,502.23",,,,"380,250.68","546,943.51","884,999.02","1,033,232.20","2,534,900.68","735,101.21","1,834,424.75","2,970,687.26","3,814,091.41","551,392.37","1,308,256.03","1,688,226.90","2,388,901.35","250,801.60","2,086,705.75","2,893,167.96","3,836,787.44","963,420.00","1,543,604.02","2,228,094.92","4,031,142.60","635,165.99","1,464,152.10","2,026,175.18","3,942,776.18","350,210.25","2,341,960.89","3,048,326.85"
营业外收入,"3,500,000.00","5,201,735.67","650,000.00","1,380,000.00","1,880,000.00","1,880,000.00","2,782,000.00","950,000.00","950,000.00","2,030,000.00","6,060,300.00","711,826.11","802,076.11","880,326.11","1,142,826.11","202,500.00","255,000.00","255,000.00","3,425,967.52",,"754,375.00","891,562.00","1,757,325.00","145,188.00","1,510,376.00","2,738,064.00","3,501,432.00","115,008.00","740,896.00","1,177,444.00","2,195,885.99","120,008.00","321,692.09","437,515.48"
销售费用,"7,891,446.19","13,188,030.33","16,606,103.87","4,877,202.53","9,275,144.44","14,206,935.66","16,985,071.45","5,587,357.45","11,062,688.67","18,544,151.56","25,048,948.21","4,392,916.63","12,715,721.20","17,299,989.23","21,196,046.60","6,573,274.51","11,780,837.12","18,416,736.20","23,734,526.21","6,301,514.45","10,247,517.52","14,881,882.47","20,713,688.51","6,641,070.36","12,079,269.21","15,648,940.60","21,125,244.98","4,465,309.16","9,268,112.83","12,505,228.90","18,765,668.15","3,978,252.66","10,530,717.40","21,047,343.33"
减:营业外支出,"124,800.00","174,414.60","397,052.57","45,825.87","45,825.87","75,825.87","81,195.87","35,000.00","35,000.00","65,931.00","65,931.00","54,000.00","207,135.88","307,135.88","326,905.88",,"17,420.00","19,920.00","21,920.00",,"1,066.98","1,066.98","35,875.10","28,000.00","36,618.54","59,418.54","84,418.54","12,074.40","102,198.61","239,981.79","239,981.79",,"157,053.90","180,098.41"
管理费用,"14,160,018.61","14,650,877.22","17,714,883.62","5,945,999.43","11,117,262.54","15,870,241.33","34,789,844.28","7,911,206.92","15,647,941.12","25,235,368.85","38,137,645.95","7,816,771.31","22,422,244.46","31,662,028.42","53,867,786.66","11,686,368.59","21,315,404.86","37,398,702.56","56,985,507.65","10,023,285.78","27,253,508.32","48,193,755.81","68,882,742.60","11,771,384.22","35,770,956.53","48,365,393.27","76,000,456.76","15,826,947.54","41,365,462.72","60,824,015.31","74,644,329.33","11,762,251.32","43,974,782.40","65,109,473.37"
其中:非流动资产处置净损失,"38,800.00","4,247.67","238,444.06","5,825.87","5,825.87","5,825.87","11,195.87",,,,,,"143,040.88",,"143,040.88",,"17,350.00","17,350.00","17,350.00",,"1,066.98","1,066.98","1,066.98",,,,,,,"43,193.73","43,193.73",,,"20,608.06"
