科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"219,289,722.13","223,814,037.29","214,086,987.74","53,718,662.85","121,818,259.34","184,479,738.56","251,987,136.60","77,211,023.66","162,551,564.69","287,866,672.61","397,194,769.31","99,718,806.15","188,878,430.58","275,651,312.63","358,579,062.90","80,958,287.31","167,783,182.80","267,443,961.35","441,947,563.23","124,986,865.64","266,129,617.98","476,980,212.03","699,622,636.57","173,885,455.90","410,471,076.88","656,852,011.21","923,366,217.00","237,126,225.26","556,864,301.79","866,941,272.04","1,213,767,023.11","330,998,232.33","666,114,870.35","1,042,059,967.83","1,446,735,530.13","452,406,404.94","937,809,134.42"
二、营业利润,"39,903,985.55","38,786,580.22","50,896,771.56","13,371,565.35","31,398,318.55","47,696,226.44","67,367,509.33","29,829,098.60","54,591,244.60","93,452,273.16","121,919,926.13","22,599,565.40","37,805,212.92","46,997,837.83","56,906,931.78","9,663,066.20","19,213,675.19","22,345,188.44","31,827,648.29","11,147,315.48","26,828,482.22","49,086,520.89","65,068,315.41","25,516,890.33","57,129,990.90","86,611,859.76","129,018,401.34","33,641,080.94","86,111,349.56","126,613,334.21","153,573,555.50","35,652,799.31","76,039,736.27","105,145,443.74","217,002,035.65","20,784,284.23","45,943,777.90"
减:营业成本,"159,812,791.92","164,015,411.08","138,684,553.40","34,011,568.56","77,383,613.74","118,783,982.04","158,905,462.00","44,634,918.52","95,399,644.58","168,627,720.13","234,910,300.30","63,432,544.49","130,212,401.46","203,053,586.59","270,941,946.12","65,885,592.90","133,476,858.67","222,181,455.59","367,384,032.55","99,335,234.43","211,432,433.13","366,482,117.76","533,467,386.11","118,389,342.39","276,075,919.70","448,628,045.76","624,843,106.94","162,829,430.89","387,603,896.98","618,896,419.57","882,773,410.54","259,908,765.83","511,621,383.21","809,218,019.61","1,013,093,660.70","341,141,987.55","714,039,360.16"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"873,375.15","1,700,450.40","1,499,232.48","358,303.48","852,000.10","1,140,730.68","1,436,729.78","54,722.53","376,345.10","2,374,499.24","2,640,978.51","345,462.67","441,194.26","538,306.05","927,354.16","267,343.22","391,209.07","495,255.35","536,920.16","15,373.28","1,000,009.83","1,782,541.42","1,410,411.20","111,745.09","306,065.40","925,642.60","1,667,852.45","937,389.21","2,951,922.97","4,386,376.49","11,842,833.68","3,748,674.61","8,110,368.78","13,919,713.44","5,354,262.22","3,612,711.80","11,050,908.40"
营业外收入,"320,984.98","1,384,820.70","2,617,926.78","4,809,500.00","6,161,708.44","6,393,917.55","6,350,709.11","21,500.00","2,537,417.29","2,948,498.69","3,675,208.43","7,881,650.81","17,896,439.78","21,914,117.54","20,512,774.79","5,577,439.60","5,680,878.62","6,145,172.34","12,125,639.69","41,278.65","661,882.45","5,216,296.40","9,164,523.69","1,819,704.37","3,586,222.90","7,271,511.93","8,422,443.43","7,404,463.27","2,377,692.21","4,980,463.87","11,443,972.71","806,890.58","2,614,044.94","4,448,481.55","343,023.28","87,642.85","127,768.57"
销售费用,"3,279,585.09","3,347,997.40","3,389,765.19","674,990.48","1,682,778.57","2,779,367.53","3,555,408.14","835,255.62","2,150,164.10","3,672,251.28","5,119,379.38","1,363,382.06","3,145,922.87","4,896,873.48","6,858,700.98","1,628,642.22","4,029,002.10","6,159,763.09","9,359,390.99","2,826,212.01","5,712,974.14","9,359,641.11","20,470,584.26","5,399,578.00","12,381,649.72","20,190,343.52","28,975,322.31","7,454,885.07","15,383,988.12","25,954,174.67","44,115,179.00","8,817,741.30","18,261,467.06","30,577,569.54","13,550,137.27","8,045,168.38","24,788,576.12"
减:营业外支出,"455,169.14","514,478.14","370,669.06","94,590.23","232,660.83","352,239.28","481,964.26","106,865.57","292,333.96","476,404.39","675,595.24","187,845.18","326,594.62","583,157.16","797,597.04","239,446.05","440,475.47","768,844.47","1,004,649.59","466,337.75","981,684.47","950,903.45","3,673,448.55","439,088.28","776,815.19","1,073,092.36","2,256,744.91","460,049.20","899,859.50","1,552,982.12","2,193,401.43","235,777.28","356,265.77","747,219.02","41,652.53","557,453.68","1,091,388.06"
管理费用,"7,118,527.81","8,943,971.48","16,363,465.81","4,029,651.23","8,112,644.16","12,839,525.21","25,573,073.91","5,113,339.14","14,238,544.67","24,015,703.22","35,370,846.41","9,236,379.49","19,185,646.91","29,046,273.04","36,715,210.21","7,830,248.11","18,681,533.51","27,688,074.29","42,385,464.01","13,465,186.80","23,346,116.71","44,762,177.37","75,289,097.28","25,304,844.07","48,664,830.25","76,185,607.84","108,842,446.20","27,890,475.81","59,870,367.93","88,947,418.93","111,997,193.27","23,696,406.69","50,838,230.94","81,086,845.55","178,203,091.33","72,628,671.02","131,711,561.16"
其中:非流动资产处置净损失,"1,570.80","20,370.63","11,128.48",,,,,,391.00,391.00,"1,677.36","1,520.00","1,520.00","1,520.00","38,186.65",,"28,280.70","28,280.70","28,280.70",,"149,690.48","150,364.55","163,126.52","1,338.50","6,063.80","6,063.80","6,063.80",,"17,485.53","17,485.53","23,290.89","67,836.23","67,836.23","67,836.23",,,
