科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"41,795,739.49","96,432,530.12","162,914,376.90","911,132,721.57","563,819,893.33","502,631,641.94","381,189,192.94","509,248,875.91","512,229,281.11","713,951,711.84","663,074,487.09","804,595,308.54","740,628,394.64","676,110,056.89","1,244,363,905.10","1,762,232,594.91","1,649,076,719.01","1,404,624,500.05","1,458,084,645.46","1,872,394,239.35","1,763,132,561.12","1,394,693,872.76","1,081,137,845.33","1,010,336,662.67","566,883,228.86","112,579,226.54","182,016,447.65","228,326,689.44","229,856,693.00","160,541,396.16","243,469,045.22","471,479,196.91","428,255,378.06","307,559,623.09"
短期借款,"252,291,335.94","334,401,800.00","455,248,055.60","682,467,800.00","496,480,000.00","770,179,876.00","813,380,000.00","1,307,486,944.98","1,468,600,000.00","1,628,700,000.00","1,702,700,000.00","1,899,158,880.00","2,159,778,625.90","2,110,957,391.46","2,367,014,552.70","2,812,706,585.13","2,776,568,158.05","3,024,309,961.76","3,287,291,450.03","3,246,927,518.16","2,771,904,218.86","2,995,792,737.40","2,066,091,617.88","1,667,808,581.48","2,000,347,276.10","550,000,000.00","694,800,000.00","661,000,000.00","681,000,000.00","499,044,677.41","232,000,000.00","100,000,000.00","100,000,000.00","45,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"2,396,267.20","70,000.00","43,488,702.42","52,856,281.60","92,999,188.78","78,847,877.21","101,400,106.92","121,760,094.01","157,643,336.83","201,781,976.34","163,483,646.90","79,873,431.53","128,050,620.29","179,838,847.70","98,554,838.45","109,334,235.17","51,675,653.36","56,607,505.66","90,067,674.64","89,303,815.41","86,674,619.08","82,315,823.51","8,027,883.74","6,241,907.00","1,734,974.98",,,"47,881,664.00",,"2,153,351.00",,"940,000.00","91,139,000.00","19,456,941.00"
应付票据,,"79,000,000.00","79,400,000.00","174,329,520.00","280,469,262.80","240,139,742.80","232,210,857.94","174,609,577.40","274,795,703.40","406,601,126.00","495,475,000.00","416,060,000.00","382,300,000.00","657,622,369.97","440,335,192.40","965,035,192.40","1,079,431,723.06","881,464,923.06","858,311,171.80","1,211,474,959.91","1,701,639,878.96","1,190,000,000.00","1,343,970,965.60","1,635,740,016.76","737,000,000.00","139,000,000.00","219,450,000.00","231,450,000.00","236,450,000.00","150,000,000.00","30,000,000.00",,,
应收账款,"87,185,052.46","63,800,302.68","58,523,022.70","77,847,057.74","64,059,379.55","85,914,686.37","86,270,522.77","96,560,034.23","158,480,733.86","183,308,646.48","144,814,489.82","214,598,830.39","235,664,918.78","167,009,118.71","169,241,961.48","214,071,281.28","196,807,142.99","229,688,535.20","225,672,738.95","302,686,413.30","322,049,827.68","382,311,087.92","205,602,466.33","264,886,847.92","230,860,893.87","52,764,534.08","259,876,444.73","270,186,658.74","237,189,499.80","437,440,237.86","197,643,470.57","207,335,050.84","218,987,764.71","347,211,156.74"
应付账款,"29,766,761.04","24,181,478.38","93,230,804.04","73,591,236.57","42,962,584.17","74,306,037.80","77,723,336.10","141,035,290.26","139,673,229.93","135,836,564.26","79,442,586.81","110,369,236.68","115,356,864.99","112,903,656.75","111,478,638.63","137,066,698.42","97,588,816.33","103,314,055.05","186,993,817.63","171,389,681.21","153,558,468.04","219,757,115.72","160,742,001.21","127,693,467.71","140,192,230.29","36,739,251.42","11,881,254.70","18,281,187.58","16,295,877.32","13,841,621.10","11,063,811.74","41,691,973.54","9,396,669.16","47,867,559.06"
预付款项,"52,991,877.76","67,611,544.75","203,859,870.59","306,947,251.47","459,608,775.03","626,440,417.75","515,770,700.40","489,508,787.66","564,296,255.68","721,874,875.19","759,856,634.56","834,821,261.04","945,604,329.77","1,083,879,149.72","59,021,362.32","66,796,901.12","59,202,281.01","82,735,970.54","282,685,694.71","328,829,469.15","112,236,401.59","141,365,457.33","407,097,070.30","357,869,694.66","406,681,354.95","538,981,249.72","103,149,914.75","64,600,572.27","160,750,260.64","353,257,201.75","116,852,867.22","87,876,319.90","17,361,454.10","26,623,611.68"
预收款项,"5,869,193.32","3,065,742.02","4,351,653.70","4,210,148.08","10,421,880.91","9,401,163.86","9,357,226.05","34,307,895.43","23,420,697.22","22,499,082.56","22,766,177.29","20,843,446.99","19,596,676.58","29,523,505.70","21,934,046.85","26,370,842.21","30,259,045.96","16,991,488.44","29,691,391.93","49,136,083.86","71,173,711.67","61,057,018.39","23,886,145.12","42,933,897.39","26,128,468.98","180,128,546.72","7,251,414.26","7,615,687.24","7,581,678.89","7,421,205.51","1,362,779.59","1,386,453.94","1,542,042.04","1,587,914.22"
