科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"612,585,279.00","736,120,121.39","887,853,611.20","184,410,131.16","431,356,285.40","653,741,661.96","900,471,123.37","190,936,680.00","446,748,105.90","684,394,374.06","1,005,347,833.58","248,121,489.17","574,187,146.54","954,809,730.32","1,376,648,527.98","301,609,655.70","752,649,093.69","1,157,314,865.92","1,650,902,933.71","405,296,370.90"
二、营业利润,"76,330,521.28","81,049,614.95","81,296,426.86","15,150,065.73","44,151,628.72","63,903,416.43","82,654,032.45","18,072,809.81","47,575,829.11","70,850,589.16","85,573,934.65","17,398,430.40","43,481,232.81","64,447,675.45","78,963,783.59","16,482,708.84","53,676,602.22","83,370,816.79","84,018,269.84","22,622,784.77"
减:营业成本,"394,496,083.75","480,322,708.70","608,325,031.89","124,972,883.02","293,432,993.92","446,482,564.51","614,735,353.92","130,820,256.79","303,683,597.52","460,415,995.00","675,032,098.04","172,629,880.00","401,714,129.90","678,836,038.62","979,027,435.38","204,241,659.74","529,647,894.39","813,557,600.30","1,159,350,622.31","286,517,781.42"
加:补贴收入,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,196,893.02","5,722,895.76","6,289,012.88","1,358,166.84","2,957,761.64","5,410,645.08","7,066,223.08","1,376,721.19","3,099,450.69","5,114,207.77","9,971,592.44","1,791,570.56","5,850,560.42","8,971,371.20","13,885,552.20","3,446,120.73","8,390,444.37","12,238,061.76","17,756,780.63","3,988,559.88"
营业外收入,"1,645,127.59","2,794,145.24","9,520,545.91","1,984,391.80","2,082,995.08","6,911,543.23","7,875,222.26","1,470,884.70","4,862,061.44","13,855,603.05","21,238,172.31","2,360,024.83","2,638,275.02","4,093,452.15","1,314,630.39","238,472.88","738,332.78","2,872,150.61","160,605.75","235,072.07"
销售费用,"69,272,597.08","86,209,320.47","102,185,814.52","20,651,529.26","43,336,597.14","67,878,070.74","99,781,333.47","20,142,846.37","46,850,177.92","76,129,673.73","119,416,806.90","26,275,685.55","61,902,891.32","100,121,359.17","149,307,756.02","34,126,427.38","74,606,926.00","116,569,826.38","176,426,224.00","44,155,957.22"
减:营业外支出,"381,471.63","770,816.88","3,086,480.28","251,942.64","656,254.98","503,040.45","812,226.83","475,089.23","796,845.75","377,032.00","620,753.80","3,889.04","509,006.37","698,068.45","1,403,678.18","39,443.98","535,155.57","555,314.18","710,820.24","5,182.97"
管理费用,"57,032,098.78","67,754,921.96","76,040,547.30","18,687,098.57","40,402,165.38","60,626,332.64","86,441,077.40","19,188,382.09","41,565,466.06","65,284,581.21","101,310,714.69","25,789,308.94","51,888,293.31","84,432,325.62","133,597,737.55","33,538,824.22","73,379,204.30","65,297,241.14","87,341,306.27","18,508,125.41"
其中:非流动资产处置净损失,"3,691.17","140,453.34","44,564.82","8,257.18","8,257.18","181,551.95","153,741.74","229,031.10","264,130.62","265,385.66","265,385.88",,"410,680.29","410,680.29",,,,,,
